name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
1886 Cafe & Bakery - Driskill Hotel,3.8,"604 Brazos St. Austin, TX  78701 ",14,American,$30 and under,Downtown,http://www.1886cafeandbakery.com/,driskillinfo@destinationhotels.com,(512) 391-7066,3.8 / 5,"I had the Hickory Roasted half Chicken for $15.00 and the other person had the Austin, TX Burger, this person enjoyed the burger but I did NOT enjoyed the chicken. I could tell that they had just reheated the chicken to lukewarm stage and poured over the hickory sauce! The side dish of spinach I had was a little on the sour side! I'm sorry to say that I did not enjoyed as much as the first!! I have had the High Tea, which I will recommend. Very nice High Tea but it's $$$$!",07/04/2012
34th Street Cafe,4.1,"1005 W. 34th Street Austin, TX  78705 ",41,Contemporary American,$30 and under,North Central,http://www.34thstreetcafe.com,goodfood@34thstreetcafe.com,(512) 371-3400,4.1 / 5,"34th Street cuisine never disappoints. Consistent, great food at reasonable prices. Good wine list. Wonderful neighborhood venue.",07/07/2012
ALC Steaks (Austin Land & Cattle),4.2,"1205 N. Lamar Blvd Austin, TX  78703 ",197,Steakhouse,$31 to $50,Downtown,http://www.ALCSteaks.com,steaks@austin.rr.com,(512) 472-1813,4.2 / 5,"Meh. I've been to ALC before, but it had been awhile. I was surprised at how much the building has deteriorated, & there was a distinct ""old house"" smell - slightly mildewy. We were seated (in a mostly empty restaurant) right by the kitchen entrance. Okay, I guess, until right after we got our appetizer we were overpowered with what smelled like wintergreen dip. Air freshener to mask the mildew smell? Cleaning solution? We asked to move tables & were accommodated (with only a slight eye roll). New table was better, food was good (though I wasn't crazy about the steak rub). Service was fair - our waiter kind of forgot about us after our entrees came. All in all, not a stellar dining experience. The best part was the current art work.",07/11/2012
ASTI Trattoria,4.4,"408 C East 43rd Street Austin, TX  78751 ",119,Italian,$30 and under,Midtown,http://www.astiaustin.com,astiaustin@gmail.com,(512) 451-1218,4.4 / 5,"It's rare to find a restaurant where every single course is excellent, but Asti definitely fits the bill. My husband and I each had different salads and different entrees (sharing a side and dessert), and we were both ecstatic with our selections. The portions aren't the three-meals in one you sometimes get at Italian restaurants, but they aren't the 2-ounces-of-food-with-parsley you get at other restaurants of this quality, either. I was full without the dessert and side, but I ate them anyway (they were delicious!). It was not overpriced for the quality or the size, but ordering a lot of food will add up (2 entrees, 2 salads, 1 wine, 1 side, and 1 dessert ran us about $85). I highly recommend it, and will definitely be back.",06/23/2012
ate.cafe,4.3,"2127 Lohman's Crossing Suite 310 Lakeway, TX  78734",4,Californian,$30 and under,Bee Caves/Lakeway/Lake Travis,http://www.atecafe.com,Rodolfo@atefoods.com,(512) 263-4933,4.3 / 5,Went there for Easter brunch. Food was fresh and tasty. Portions were large. Coffee was excellent although the cups were too small!,04/08/2012
August E's,4.3,"203 East San Antonio Street Fredericksburg, TX  78624 ",12,Continental,$31 to $50,Fredericksburg,http://www.august-es.com,info@august-es.com,(830) 997-1585,4.3 / 5,"Nice place. Good food. I was a little annoyed that they were out of the two items on the menu that I thought were reasonably priced (the new York strip my first choice for $41, and the Pork chop my second choice for $25) were both sold out at 7:15pm. Then my only other choice for steak were $80 and $65. I'm sure they were probably great choices, but a little pricey for my budget. I ended up going with the ""off the menu"" choice of sea scallopes. Which was good, but not really what I was in the mood for. I understand sometimes restaurants run out of things, but really, the first two items on your menu and it's only 7:15 on a Saturday?",07/07/2012
Bartlett's,4.4,"2408 West Anderson Lane Austin, TX  78757 ",190,American,$30 and under,Northwest,http://www.bartlettsaustin.com,bartletts@bartlettsaustin.com,(512) 451-7333,4.4 / 5,Been going here for 25 years and always come back.,07/11/2012
Botticelli's,4.3,"1321 South Congress Ave Austin, TX  78704 ",146,Italian,$30 and under,Downtown,http://botticellissouthcongress.com,botticellissouthcongress@yahoo.com,(512) 916-1315,4.3 / 5,"It was our first visit but I had been wanting to try it for sometime. It was as good as we all hoped it would be. Good service, great food (the butter lettuce salad was great - as was the chicken dish....). We will difinitely return and enjoy the back outdoor space! There is a lack of Italian restaurants in Austin and this one is a good one!",07/07/2012
Braise,4.0,"2121 East 6th Suite 101 Austin, TX  78702",147,Contemporary American,$30 and under,Downtown,http://www.braiseaustin.com,restbraise@gmail.com,(512) 478-8700,4 / 5,"Had the 4 course special offer.. excellent pumpkin bisque, osso bucco was a little peppery for my taste but tender, good crab cake and great desserts.",07/11/2012
Brizo's,3.6,"3404 American Drive Lago Vista, TX  78645 ",7,American,$31 to $50,Lago Vista/Jonestown/Cedar Park,http://www.brizos.net/,"",(512) 519-9429,3.6 / 5,The cost of the brunch was a little out of line for the spread tht was served.,05/13/2012
Buca di Beppo - Austin,4.2,"3612 Tudor Boulevard Austin, TX  78759 ",100,Italian,$30 and under,Downtown,http://www.bucadibeppo.com,austin@bucadibeppo.com,(512) 342-8462,4.2 / 5,"Excellent evening, great food and birthday party for my grandson.",07/06/2012
