name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
1833,http://www.opentable.com/1833?scpref=109&tab=2,4.4,"500 Hartnell Avenue Monterey, CA  93920 ",260,Californian,$31 to $50,Monterey,http://www.restaurant1833.com,tobias@restaurant1833.com,(831) 643-1833,4.4 / 5,"The food is better, more refined than when the building housed Stoke's. A little less casual than before, for better or worse. Service is good and the food is as good as most places in San Francisco at a much lower price than you pay in the City. All in all, maybe my new favorite place in the Monterey area.",07/20/2012
Abalonetti Bar and Grill,http://www.opentable.com/abalonetti-bar-and-grill?scpref=109&tab=2,3.4,"57 Fisherman's Wharf Monterey, CA  93940 ",7,Seafood,$30 and under,Monterey,http://www.abalonettimonterey.com,abalonetti@gmail.com,(831) 373-1851,3.4 / 5,One of the best dinning spots in the Monterey area with great food and service,06/29/2012
Adelina's Bistro,http://www.opentable.com/adelinas-bistro?scpref=109&tab=2,4.3,"1645 Trilogy Parkway Nipomo, CA  93444 ",36,Californian,$30 and under,San Luis Obispo,http://Adelinasbistro.com,"",(805) 343-7510,4.3 / 5,"I had the cod which was cooked well. It didn't wow me, especially at that price. My friend had their duck breast, which he liked. He substituted mashed potatoes for the pasta, which worked well for him. The bread had a nice crunchy crust.",07/20/2012
Alberto's Ristorante (Pacifc Grove),http://www.opentable.com/albertos-ristorante-pacifc-grove?scpref=109&tab=2,4.4,"1219 Forest Avenue Pacific Grove, CA  93950 ",7,Italian,$30 and under,Pacific Grove,http://www.albertospg.com/,albertobonatelli@comcast.net,(831) 373-3993,4.3 / 5,"Excellent food. Everything we had was fantastic. We came with a group of 9 and they accommodated us well. Only thing was that it took a while for us to get our entrees, but they were very polite about it, and kept apologizing for the food taking so long (because they had only 1 cook that day), but once it came out, we were all pleased with the entrees. Very pleasant surprise! A hidden away gem in Pacific Grove.",06/16/2012
Alcazar,http://www.opentable.com/alcazar-restaurant?scpref=109&tab=2,3.0,"1812 Cliff Dr. Santa Barbara, CA  93109 ",3,Tapas / Small Plates,$30 and under,Santa Barbara,http://ALCAZARTAPASBAR.COM,"",(805) 962-0337,3 / 5,Very overpriced for what was served. The tuna especially was both tiny and bone dry.,04/21/2012
Andre’s Bouchée Bistro and Wine Bar,http://www.opentable.com/andres-bouchee-bistro-and-wine-bar?scpref=109&tab=2,4.3,"Mission Street Carmel, CA  93921 ",116,French,$31 to $50,Carmel,http://www.andresbouchee.com,elizabeth@andresbouchee.com,(831) 626-7880,4.3 / 5,"We're foodies,but also want everything else-- service and atmosphere. We happwned to be in Carme3 on our anniversary, and chose Andre's based on the reviews, menu, and a walk-by--bingo! It was perfect!",07/20/2012
Anton & Michel Restaurant,http://www.opentable.com/anton-and-michel-restaurant?scpref=109&tab=2,4.3,"Mission St &amp; 7th Ave Carmel-by-the-Sea, CA  93921-4917 ",74,European,$31 to $50,Carmel,http://www.carmelsbest.com/antonmichel,anton@carmelsbest.com,(831) 624-2406,4.3 / 5,We celebrated our anniversary and had a wonderful meal. The food and service were both excellent. We would highly recommend this restaurant!,07/19/2012
Apple Farm Restaurant,http://www.opentable.com/apple-farm-restaurant?scpref=109&tab=2,3.9,"2015 Monterey Street San Luis Obispo, CA  93401 ",40,American,$30 and under,San Luis Obispo,http://www.applefarm.com,afrestaurant@applefarm.com,(805) 544-6100,3.9 / 5,"I have been there for lunch several times, and this time four of us tried breakfast. The menu has many choices, and they are not just your average bacon and eggs. I had the corned beef Eggs Benedict, and it was outstanding. The corned beef was homemade and delicious, the presentation was excellent. My friend raved about her omelette with smoked salmon, and her husband said the pancakes and apple sausage were very good. Most breakfast are accompanied with your choice of a homemade blueberry or apple streusel muffin, or an English muffin. We all had the homemade muffins, which came with a small cup of warm whole blackberry preserves! Our waiter was very accommodating and met our requests for minor changes graciously. I will go back.",07/16/2012
Aquarius - Dream Inn,http://www.opentable.com/aquarius-dream-inn?scpref=109&tab=2,3.9,"175 West Cliff Drive Santa Cruz, CA  95060 ",62,Seafood,$31 to $50,Santa Cruz,http://www.aquariussantacruz.com,"",(831) 460-5012,3.9 / 5,Daniel was our waiter and he was awesome. GREAT VIEW from all seats. Yummy food.,07/19/2012
Arch Rock Fish,http://www.opentable.com/arch-rock-fish?scpref=109&tab=2,4.1,"608 Anacapa St. Santa Barbara, CA  93101 ",101,Seafood,$30 and under,Santa Barbara,http://www.archrockfish.com,events@archrockfish.com,(805) 845-2800,4.1 / 5,"Nice outdoor patio with lots of shading. Also has heat lamps for those cooler days. Food was excellent. We had the calamari appetizer, which was perfect for 2 to share. The salads were delicious, as were our entrees. I highly reccommend the ciopinno, which was generously stocked with lots of seafood (including a small lobster tail)and a delicious broth. Hubby had the lobster roll, which also had generous-sized portion of lobster. we managed to save room for a shared dessert - the ice cream sundae, which was topped with caramelized banana and cashews - a perfect end to a perfect meal. :)",04/28/2012
