name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
The 10th,4.1,"Mid-Vail area on Vail Mountain Vail, CO  81658 ",16,Modern European,$30 and under,Vail,http://www.vail.com/lodging-and-dining/dining/the10th.aspx,The10th@vailresorts.com,(970) 754-1010,4.1 / 5,"Our favorite place to eat on ""the"" mountain! We enjoyed a delightful lunch our last day of skiing at Vail for the year! Thank you ! Great server too!",04/13/2012
1515 Restaurant,4.2,"1515 Market Street Denver, CO  80202 ",127,American,$30 and under,Downtown/LoDo,http://www.1515restaurant.com,gene@1515restaurant.com,(303) 571-0011,4.2 / 5,"Upon getting there, we were greeted by our waitress, and given a complimentary sampler for it being our first time there. We were then greeted by the Owner of the restaurant, and he answered all our questions. The Apples and Watercress (appetizer salad) was AMAZING. For the Entree, i had the Sea food sampler.",07/14/2012
221 South Oak Bistro,4.4,"221 S. Oak St  Telluride, CO  81435 ",56,Contemporary American,$50 and over,Telluride,http://221SouthOak.com,southoak221@earthlink.net,(970) 728-9507,4.4 / 5,"Has a full vegetarian but I'd like to see actual vegan entrees rather than having them substitute some vegetable for items with dairy, eggs or cheese.",07/18/2012
4580,4.1,"4580 Broadway Boulder, CO  80304 ",86,Mediterranean,$30 and under,Boulder,http://www.restaurant4580.com,martin@restaurant4580.com,(303) 448-1500,4.1 / 5,Really great atmosphere and service. The food was wonderful and I'd recommend this restaurant to my friends.,07/06/2012
4th Street Chophouse,4.3,"125 E. 4th Street Loveland, CO  80537 ",81,Steakhouse,$30 and under,Loveland,http://4thstchophouse.com,mikeanddebbiemccarty@yahoo.com,(970) 613-8287,4.3 / 5,Great 1930's style steakhouse. I have enjoyed the steak cuts and my wife loves the seafood options on the menu. Good wine list. Fantastic service and ambiance for a romantic dinner!,07/14/2012
5th Sun Cafe and Lounge,4.0,"3024 N. Speer Denver, CO  80211 ",8,Latin / Spanish,$30 and under,Downtown/LoDo,http://www.facebook.com/pages/5th-Sun-Cafe-Lounge,5thsuncafeandlounge@gmail.com,(303) 433-6935,4 / 5,"Breakfast burritos and green chili are the best! Tried the pesole too which was very good! I always enjoy the great service and food made with fresh ingredients - housemaid tortillas with organic flour - yum! Also, where else can you get chocolate cake (and other delicious deserts) to help put out the green chili fire left in your mouth? I wonder why this restaurant isn't busier. I think it is just a gem waiting to be discovered.",06/17/2012
626 on Rood...Modern American Cuisine and Wine Bar,4.5,"626 Rood Ave Grand Junction, CO  81501 ",36,Contemporary American,$31 to $50,Grand Junction,http://www.626onrood.com,boss@626onrood.com,(970) 257-7663,4.5 / 5,"We chose to eat here on a ladies weekend. We are from Denver and none of us had spent any significant time in Grand Junction. The reviews and menu looked great for 626 on Rood. The salads used fresh greens, but were VERY lightly dressed, but the main course was wonderful. I noticed a display of gorgeous ripe heirloom tomatoes and asked for one to be sliced to accompany our meal. There was some hesitation, but eventually the waiter agreed and the chef made a delightful caprese salad. We asked the waiter for recommendations on other places to check out that night and he happily directed us to some local bars and breweries. It was a good experience overall and I will dine here again when I visit GJ",06/30/2012
8100 Mountainside Bar & Grill,4.1,"136 East Thomas Place Avon, CO  81620 ",27,American,$31 to $50,Beaver Creek,http://www.8100barandgrill.com,beavercreek@hyatt.com,(970) 827-6600,4.1 / 5,"Delicious fresh food, beautiful scenery, and great service. Would highly recommend.",07/09/2012
9380,1.0,"Elevation Hotel -  500 Gothic Rd. Mt. Crested Butte, CO  81225 ",1,Fusion / Eclectic,$30 and under,Crested Butte,http://www.skicb.com/cbmr/lodging/elevation-hotel/elevation-dining.aspx,9380@cbmr.com,(970) 251-3030,1 / 5,Not a good dining experience.,02/27/2012
9545 Restaurant @ Inn at lost Creek,3.0,"119 Lost Creek Lane Telluride, CO  81435 ",5,American,$30 and under,Telluride,http://www.innatlostcreek.com,jklein@hotelmadelinetelluride.com,(970) 728-5678,3.5 / 5,Off season menu was quite small and misrepresented on their website.,06/30/2012
