name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
12th Ave. Grill,http://www.opentable.com/12th-ave-grill?scpref=109&tab=2,4.5,"1145 C 12th Ave, Honolulu Honolulu, HI  96816 ",87,Contemporary American,$30 and under,Honolulu,http://www.12thavegrill.com,"",(808) 732-9469,4.5 / 5,"We shared four dishes, appetizer, small plates, entree and dessert. Each one was very good and innovative. Definitely will be going back for more.",07/21/2012
Adega Portuguesa,http://www.opentable.com/adega-portuguesa?scpref=109&tab=2,2.4,"1138 Smith Street Honolulu, HI  96817 ",9,Portuguese,$30 and under,Honolulu,http://Adegahi.com,Adega1138@hotmail.com,(808) 566-5909,2.4 / 5,"The service was terrible. Our server admitted it was her first day and it showed. Service was painfully slow though the restaurant was mostly empty. She asked for our drink orders before giving us a drink menu, didn't know anything about the menu (including how to even pronounce the names of the dishes), walked away before we could finish ordering our food, and didn't bring bread plates when she brought out the bread.",07/20/2012
Alan Wong's Restaurant,http://www.opentable.com/alan-wongs-restaurant?scpref=109&tab=2,4.6,"1857 S. King Street Honolulu, HI  96826 ",157,Hawaii Regional Cuisine,$50 and over,Honolulu,http://www.alanwongs.com,contact@alanwongs.com,(808) 949-2526,4.6 / 5,"We celebrated my wife's birthday and had a wonderful evening - food was superb and the service was outstanding. We definitely will return and will recommend restaurant to others.Cal Sagara, Leilehua Class of '65",07/21/2012
Apartment 3,http://www.opentable.com/apartment-3?scpref=109&tab=2,2.5,"1750 Kalakaua Ave. Honolulu, HI  96826 ",4,Hawaiian,$30 and under,Honolulu,http://www.Apartmentthree.com,hello@apartmentthree.com,(808) 955-9300,2.5 / 5,This restaurant is out of business. I made a reservation online and went to the restaurant but it does not exist. This should be removed from Open Table.,07/13/2012
Azul,http://www.opentable.com/azul?scpref=109&tab=2,4.1,"92-1001 Olani Street Kapolei, HI  96707 ",48,Organic,$31 to $50,Ko Olina,http://www.Ihilani.com,andy.hope@marriotthotels.com,(808) 679-0079,4.1 / 5,Food was great. Services was very slow. Appeared short staffed that night. Several surrounding tables that arrived after us dined and left well before us. No less than 6 different people served us.,07/11/2012
Azure - The Royal Hawaiian,http://www.opentable.com/azure-the-royal-hawaiian?scpref=109&tab=2,4.5,"2259 Kalakaua Avenue Honolulu, HI  96815 ",68,Seafood,$50 and over,Honolulu,http://www.royal-hawaiian.com/the-resort/dining-entertainment/azure/,jim.weisiger@luxurycollection.com,(808) 931-7440,4.5 / 5,Outstanding food and wine selection. Gracious but attentive service. Beautiful beachfront ocean view.,07/21/2012
Baci Bistro,http://www.opentable.com/baci-bistro?scpref=109&tab=2,4.3,"30 Aulike St. Kailua, HI  96734 ",39,Italian,$30 and under,Kailua,http://www.Bacibistro.com,duvalwm@aol.com,(808) 262-7555,4.3 / 5,The food we had was excellent. We would definitely go again. Menu not a long one but what we had was very good. Happy patrons who were obviously enjoying themselves including the drinks and the meals.,07/22/2012
Bali Steak & Seafood,http://www.opentable.com/bali-steak-and-seafood?scpref=109&tab=2,4.1,"Hilton Hawaiian Village 2005 Kalia Road Honolulu, HI  96815",66,Steakhouse,$31 to $50,Honolulu,http://www.hiltonhawaiianvillage.com/dining,"",(808) 949-4321 x43,4.1 / 5,Excellent food and wine. Gracious service. Wonderful ocean view.,07/19/2012
Banyan Tree - Ritz Carlton Kapalua,http://www.opentable.com/banyan-tree-ritz-carlton-kapalua?scpref=109&tab=2,4.5,"One Ritz-Carlton Drive Lahaina, HI  96761 ",34,International,$31 to $50,Kapalua,http://www.ritzcarlton.com/en/Properties/KapaluaMaui/Dining/TheBanyanTree/Default.htm,banyantree@ritzcarlton.com,(808) 669-6200,4.5 / 5,Excellent dinner and Ritz service,07/18/2012
Beach Tree at the Hualalai,http://www.opentable.com/beach-tree-at-the-hualalai?scpref=109&tab=2,4.4,"72-100 Kaupulehu Dr. Kaupulehu, HI  96740 ",41,Italian,$30 and under,Kailua-Kona,http://www.fourseasons.com/hualalai/dining/restaurants/beach_tree/,kon.beachtree@fourseasons.com,(808) 325-8000 x8915,4.4 / 5,"While not even the priciest restaurant at the Four Seasons Hualalai, eating at this restaurant isn't cheap. If one can get past the sticker shock (which is a necessity I believe in Hawaii), this restaurant is a special treat. The dining space is spacious and comfortable with a relaxed feel. Take a few minutes to find the time of the sunset and book your reservation 45to 60 minutes in advance and you will be treated to an incredible view, one of the two most beautiful spots on the island, in my opinion. For our recent dinner, we celebrated a special occasion and the staff and waitress were simply fantastic; highly attentive and never pushy. The menu is great and our dinner was thoroughly enjoyable. This is a special place.",07/13/2012
Beachhouse - Moana Surfrider,http://www.opentable.com/beachhouse-moana-surfrider?scpref=109&tab=2,4.1,"2365 Kalakaua Ave. Honolulu, HI  96815 ",60,Steakhouse,$50 and over,Honolulu,http://www.beachhousewaikiki.com,TDRC.Hawaii@starwoodhotels.com,(808) 921-4600,4.1 / 5,Beautiful location with the beach in the background but the food was definitely not worth the price - overly salted filet mignon and did there sampler which was so so. Not very impressed for the price. Expected a much higher quality meal,07/14/2012
Bistro Casanova,http://www.opentable.com/bistro-casanova?scpref=109&tab=2,3.9,"33 Lono Ave Kahului, HI  96733 ",25,Italian,$30 and under,Kahalui,http://www.casanovamaui.com,bistrocasanova@gmail.com,(808) 873-3650,3.9 / 5,My wife and I dine at Casanova's any time we are in Maui. We enjoy the food and the employees are great. Thanks for a great time.,07/17/2012
Bite Me Fish Market Bar & Grill,http://www.opentable.com/bite-me-fish-market-bar-and-grill?scpref=109&tab=2,2.9,"74-425 Kealakehe Pkwy #17 Kailua-Kona, HI  96740 ",11,Seafood,$30 and under,Kailua-Kona,http://www.bitemefishmarket.com,konafishing@bitemesportfishing.com,(808) 327-3474,2.9 / 5,"Found it well overrated. Limited fish selection for a supposed local favorite for fish, and what they did have was prepared poorly. Poor service also - waitress seemed put out by our presence. Not worth it at all!",07/07/2012
Black Rock Steak & Seafood,http://www.opentable.com/black-rock-steak-and-seafood?scpref=109&tab=2,3.7,"2605 Kaanapali Parkway Lahaina, HI  96761 ",15,Steak,$31 to $50,Kaanapali ,http://www.sheraton-maui.com/dining/blackrock/,sheraton_maui@sheraton.com,(808) 921-4600,3.7 / 5,Not what we expected for the price.,07/14/2012
BLT Steak - Waikiki,http://www.opentable.com/blt-steak-waikiki?scpref=109&tab=2,4.3,"223 Saratoga Road Honolulu, HI  96815 ",99,Steakhouse,$50 and over,Honolulu,http://www.bltsteak.com,info@bltsteakwaikiki.com,(808) 683-7440,4.3 / 5,"All good! Nice atmosphere, too.",07/18/2012
Blue Dragon Restaurant,http://www.opentable.com/blue-dragon-restaurant?scpref=109&tab=2,4.5,"61-3616 Kawaihae Road Kamuela, HI  96743 ",168,International,$30 and under,Kawaihae,http://www.BlueDragonHawaii.com,BlueDragonManager@gmail.com,(808) 882-7771 x2,4.5 / 5,"Great food and service. We lucked out when our blue hawaiian helicopter pilot recommended this local place. To top it off, there was a 12 piece swing band playing that night. Again, thanks for your mobile app which made it so easy to book a reservation for our party of six.",07/15/2012
BluWater Grill,http://www.opentable.com/bluwater-grill?scpref=109&tab=2,3.9,"377 Keahole ST. Honolulu, HI  96825 ",41,American,$30 and under,Honolulu,http://www.bluwatergrill.com,divebabe@aol.com,(808) 395-6224,3.9 / 5,"My husband and I took my dad here for his birthday dinner. We asked to be seated outside so we could enjoy the view. All the food was tasty. Our server was great as well. The ducks are kind of hilarious because they just stand there and stare at you, like a dog begging for food!Overall I think this is a great spot for couples for a casual romantic dinner or for special occasions.",07/16/2012
Brasserie Du Vin,http://www.opentable.com/brasserie-du-vin?scpref=109&tab=2,3.9,"1115 Bethel St Honolulu, HI  96813 ",75,Contemporary French,$30 and under,Honolulu,http://www.brasserieduvin.com,brasserie.duvin@gmail.com,(808) 545-1115,3.9 / 5,"we enjoyed the food and service, but was very hot and cramped",07/13/2012
Brown's Beach House - The Fairmont Orchid - Kohala Coast,http://www.opentable.com/browns-beach-house-the-fairmont-orchid-kohala-coast?scpref=109&tab=2,4.5,"1 North Kaniku Drive Kohala Coast, HI  96743 ",119,Contemporary American,$31 to $50,Kohala Coast,http://www.fairmont.com/orchid/GuestServices/Restaurants/BrownsBeachHouse.htm,Joe.Taber@fairmont.com,(808) 887-7443,4.5 / 5,"I have had the great fortune of eating at many nice restaurants on islands in the Caribbean and Hawaii, and without a doubt, I feel Brown's ambience and view is as good as it gets. We recently celebrated my wife's 50th birthday and were treated to a table at the edge of the lanai closest to the ocean, to a very kind and attentive waitress and to an excellent meal. Along with the Beach Tree at the Four Seasons, I think Brown's is in the elite class of places to enjoy a special occasion dinner. Get a reservation time prior to sunset, order a nice bottle of wine and enjoy a great evening.",07/15/2012
Buca di Beppo - Honolulu,http://www.opentable.com/buca-di-beppo-honolulu?scpref=109&tab=2,4.3,"1030 Auahi Street, Bay 1 Honolulu, HI  96814 ",99,Italian,$30 and under,Honolulu,http://www.bucadibeppo.com,honolulu@bucainc.com,(808) 591-0800,4.3 / 5,The perfect spot for a great dinner before a movie!,07/16/2012
Cafe Miro,http://www.opentable.com/cafe-miro?scpref=109&tab=2,4.6,"3446 Waialae Ave. Honolulu, HI  96816 ",68,French,$31 to $50,Honolulu,http://cafemirohawaii.com/,web@cafemirohawaii.com,(808) 734-2737,4.6 / 5,Appreciated that the waiter graciously returned the duck to the kitchen for additional cooking.,07/21/2012
Cafe Pesto - Hilo Bay,http://www.opentable.com/cafe-pesto-hilo-bay?scpref=109&tab=2,4.3,"308 Kamehameha Ave. Ste.101 Hilo, HI  96720 ",94,Fusion / Eclectic,$30 and under,Hilo,http://www.cafepesto.com,cphilo@cafepesto.com,(808) 969-6640,4.3 / 5,Great food & excellent service!Open Table Ap is great!,07/22/2012
Cafe Pesto - Kawaihae Harbor,http://www.opentable.com/cafe-pesto-kawaihae-harbor?scpref=109&tab=2,4.2,"Kawaihae hbr lower level Kawaihae, HI  96743 ",61,Mediterranean,$30 and under,Kawaihae,http://cafepesto.com,Kawaihae@CafePesto.com,(808) 882-1071,4.2 / 5,"Great food, great service...simply put, a great find.Wish we had this restaurant on Oahu.Will definitely go back whenever we find ourselves on the Big Island.",07/20/2012
Cafe Sistina,http://www.opentable.com/cafe-sistina?scpref=109&tab=2,4.1,"1314 South King St. Honolulu, HI  96814 ",136,Italian,$30 and under,Honolulu,http://www.cafesistina.com/,mitrottis001@hawaii.rr.com,(808) 596-0061,4.1 / 5,Excellent food and excellent service.,07/17/2012
Capische,http://www.opentable.com/capische?scpref=109&tab=2,4.3,"555 Kaukahi Street Wailea, HI  96753 ",80,Italian,$31 to $50,Wailea,http://www.capische.com,info@capische.com,(808) 879-2224,4.2 / 5,SIMPLY AMAZING!!!! A must go to place to dine.,07/09/2012
Casanova Makawao,http://www.opentable.com/casanova-makawao?scpref=109&tab=2,3.5,"1188 Makawao Ave Makawao, HI  96768 ",15,Italian,$30 and under,Makawao,http://www.casanovamaui.com,casanovamaui@yahoo.com,(808) 572-0220,3.4 / 5,The female bartender has always been good (some of the other ones have been rude at times) and the food also quite good. The focaccia at this location (they don't seem to have it in the Kahului location...why???) is outstanding.,07/05/2012
Cattle Company Steakhouse - Pearl City,http://www.opentable.com/cattle-company-steakhouse-pearl-city?scpref=109&tab=2,4.1,"98-1262 Kaahumanu Street Pearl City, HI  96782 ",118,Steakhouse,$30 and under,Pearl City,http://blackangus.com,ba1054@blackangus.com,(808) 487-0054,4.1 / 5,"The steak is not as good like before. Kind of on the chewy/tough side. Service was very good and efficient. They were kind enough to exchange my friend's steak to prime rib, since her steak was too tough. My recommendations is, buy better quality meats.",07/21/2012
