name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
17 at Alden-Houston,3.9,"1117 Prairie St. Houston, TX  77002 ",39,American,$31 to $50,Downtown,http://www.17food.com,info@aldenhotels.com,(832) 200-8888,3.9 / 5,"Amazing food beautifully prepared with an ambiance fit for a King! We celebrated our anniversary there,and couldn't have asked for a more romantic atmosphere!",07/07/2012
51Fifteen Restaurant & Lounge,4.1,"5115 Westheimer Houston, TX  77056 ",30,International,$31 to $50,Galleria / Uptown,http://www.51fifteen.com,51fifteen@lh2g.com,(713) 963-8067,4.1 / 5,The food was outstanding as well as the service. It is a perfect place for a quiet dinner.The refurbished decor is beautiful. The black chairs look great and are comfortable. The curtain effect at the back of the restaurant adds softness as well privacy for private parties.,07/06/2012
Aldo's Cucina Italiana,4.2,"18450 I 45 S Shenandoah, TX  77384 ",54,Italian,$30 and under,The Woodlands,http://www.aldoscucinaitaliana.com,aldoscucina@gmail.com,(936) 447-9623,4.2 / 5,Food and service were outstanding. Very good choices on menu. Only disappointment was the wine list is pricey. We were celebrating our anniversary and they provided at no charge an excellent dessert. Nice touch.,07/07/2012
Américas - The Woodlands,4.1,"21 Waterway Avenue Ste. 130 The Woodlands, TX  77380",148,Latin American,$30 and under,The Woodlands,http://www.cordua.com,americaswoodlands@cordua.com,(281) 367-1492,4.1 / 5,Food was fantastic once again. Everyone enjoyed the meal and the steaks were outstanding! our waiter was less than attentive. In almost two hours we never got a refill on our drinks except for water.,07/14/2012
Américas River Oaks,4.4,"2040 West Gray, Suite 200 Houston, TX  77019 ",279,Latin American,$30 and under,River Oaks,http://www.cordua.com,americasriveroaks@cordua.com,(832) 200-1492,4.4 / 5,The charusscos steak was over priced for the quality and taste.The salmon caleinte and chileno sea bass was delicious.Service was mediocre.,07/13/2012
Amerigo's - The Woodlands,4.3,"25250 Grogans Park Dr The Woodlands, TX  77380 ",35,Italian,$50 and over,The Woodlands,http://www.amerigos.com,info@amerigos.com,(281) 362-0808,4.3 / 5,Food is a bit pricey and was not as good as it has been on prior visits.,07/13/2012
Arcodoro - Houston,4.0,"5000 Westheimer Houston, TX  77056 ",78,Italian,$31 to $50,Galleria / Uptown,http://www.arcodoro.com,rsvphouston@arcodoro.com,(713) 621-6888,4 / 5,Food and service great contrary to some of the negative reviews we read prior to going.,07/14/2012
Armandos,4.2,"2630 Westheimer Houston, TX  77098 ",39,Mexican / Southwestern,$31 to $50,River Oaks,http://www.armandosrestaurant.com/,"",(713) 520-1738,4.2 / 5,Always a pleasure to dine here.,06/22/2012
Artisans Restaurant,4.5,"3201 Louisiana Street Houston, TX  77006 ",244,French,$30 and under,Downtown,http://artisansrestaurant.com,info@artisansrestaurant.com,(713) 529-9111,4.5 / 5,"This is my second time to dine at Artisan's. It was simply outstanding again. Food, service, ambiance were all excellent. Great choice for a night out!",07/13/2012
Artista,4.3,"800 Bagby Street, Suite 400 Hobby Center of the Performing Arts Houston, TX  77002",272,American,$31 to $50,Downtown,http://www.cordua.com,artista@cordua.com,(713) 278-4782,4.3 / 5,Wonderful location and atmosphere. Quality food,07/15/2012
Arturo's Uptown Italiano,4.4,"1180-1 Uptown Park Blvd Houston, TX  77056 ",111,Italian,$31 to $50,Galleria / Uptown,http://www.arturosuptown.com,arturositaliano@sbcglobal.net,(713) 621-1180,4.4 / 5,"First off, I will not use valet parking. Arturo's has valet parking, but also mucho self parking spaces, so they get a big plus for that. Second,the food is very good, as is the service. Third, they have a great covered patio. I'm in.",07/13/2012
Aura Restaurant,4.4,"3340 FM 1092 #160 Missouri City, TX  77459",75,American,$30 and under,Sugar Land / Missouri City,http://aura-restaurant.com,"",(281) 403-2872,4.4 / 5,"We went for a special birthday celebration for my husband with daughter and late teen grandson. The table was lovely and conversation was easy to hear each other. The waiter was not knowledgable on wine, but we ended up from our own experience w/ a very nice Graves. Everyone loved their salads, entrees (3 had fish which they loved--I had seafood risotto--the seafood was a little over cooked & salty, but OK). We shared 3 different desserts, which were all outstanding.",07/07/2012
Azuma - Downtown,3.8,"909 Texas Street Ste.E Houston, TX  77002",23,Japanese,$30 and under,Downtown,http://www.azumarestaurant.com,azumarestaurant@gmail.com,(713) 223-0909,3.8 / 5,"I can't say enough good things about this visit. My boyfriend and I have always enjoyed dining here, but this dinner was the best. Due to traffic, we arrived late, and now we were going to be rushed to dine before our play started. The hostess was kind enough to seat us promptly near the door, and our waiter David made suggestions to help us pick a quick meal. David also got drinks and the bill to us quickly to help expedite the process. He was wonderful about making sure we had a great time at dinner, but still left us time to walk to the Alley. I look forward to returning soon, but this time for a more relaxed dining experience. Thanks for saving the evening!",07/11/2012
Azuma - Kirby,4.0,"5600 Kirby Drive #5 Houston, TX  77005",1,Japanese,$30 and under,W. University / Med Center,http://www.azumarestaurant.com,"",(713) 432-9649,4 / 5,Never disappointed! Try the crazy Irishman role! The samplers off the hot appetizer section are delish!,01/27/2012
Azuma on the Lake,4.4,"15830 Southwest Freeway #100 Sugar Land, TX  77479 ",36,Sushi,$30 and under,Sugar Land / Missouri City,http://www.azumarestaurant.com/,azumaonthelake@yahoo.com,(281) 313-0518,4.4 / 5,Disappointed with the fried tofu (appetizer) but everything else was excellent (as always). Service has been consistently good lately.,06/07/2012
Benihana - Houston,4.3,"9707 Westheimer Rd Houston, TX  77042 ",25,Japanese,$30 and under,Far Westheimer,http://www.benihana.com/locations/houston-tx-hh,Houston2@benihana.com,(713) 789-4962,4.3 / 5,"The overall experience was good. The chicken was just slightly over cooked, but the chicken friend rice made up for it. Our chef seemed a little tired that evening and had a little dry humor. The other tables seemed to be having a better time with their chef, but truly had no real complaints about our chef overall. Great for a first date, and to celebrate birthday's (as I did).",07/13/2012
