name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
43 North - Jackson Hole,http://www.opentable.com/43-north-jackson-hole?scpref=109&tab=2,4.0,"645 So Cache St. Jackson Hole, WY  83001 ",13,Contemporary American,$31 to $50,Jackson,http://www.forty3north.com,43njackson@gmail.com,(307) 733-0043,4 / 5,"The duck special on our Saturday night dinner was under cooked and the mashed potatoes on several of our groups dinner had a dry, instant flavor. We'll give them the benefit of the doubt and try it again in a few months. The facility is stunning, at the base of Snow King, with beautiful views. The service was decent and the wine list was okay. Pure foodies might want to pass on this place, but the location and views are worth checking out.",07/14/2012
Alpenrose at the Alpenhof Lodge,http://www.opentable.com/alpenrose-at-the-alpenhof-lodge?scpref=109&tab=2,4.1,"3255 W. Village Dr. Teton Village, WY  83025 ",10,Swiss,$30 and under,Teton Village,http://www.alpenhoflodge.com,ann@alpenhoflodge.com,(307) 733-3242,4.1 / 5,"Lovely,romantic restaurant at base of ski lift. Fondue for two was fun. Though it's more of a grown up restaurant they had an excellent kid menue and made the kids feel very welcome.",07/14/2012
Amangani Grill,http://www.opentable.com/amangani-grill?scpref=109&tab=2,4.0,"1535 NE Butte Road Jackson Hole, WY  83001 ",2,Contemporary American,$31 to $50,Jackson,http://amanresorts.com/amangani/home.aspx,grill@amanresorts.com,(307) 734-4878,4 / 5,We add reservation for 5:30 and we were the only ones dining the entire time. Nobody else there. We felt like we had to whisper. No music either.,03/28/2012
The Blue Lion,http://www.opentable.com/the-blue-lion?scpref=109&tab=2,4.4,"160 N. Millward Jackson, WY  83001 ",94,Contemporary American,$30 and under,Jackson,http://www.bluelionrestaurant.com,dinner@bluelionrestaurant.com,(307) 733-3912,4.3 / 5,very slow service which seemed to be due to a slow kitchen and not the servers,07/21/2012
Cafe Genevieve,http://www.opentable.com/cafe-genevieve?scpref=109&tab=2,4.2,"135 East Broadway Jackson, WY  83001 ",45,American,$30 and under,Jackson,http://www.genevievejh.com,cafegenevieve@gmail.com,(307) 732-1910,4.2 / 5,The food was excellent. We ate there two times in a short stay in Jackson and loved it both times. The hard part was deciding what to have.,07/15/2012
Calico Restaurant,http://www.opentable.com/calico-restaurant?scpref=109&tab=2,4.0,"2650 Moose Wilson Rd. Wilson, WY  83014 ",6,Italian,$30 and under,Wilson,http://Calicorestaurant.com,info@calicorestaurant.com,(307) 733-2460,4 / 5,Great food and loved dining on the patio. They have a great field for kids to run around and play.,07/04/2012
Cascade Restaurant at Teton Mountain Lodge,http://www.opentable.com/cascade-restaurant-at-teton-mountain-lodge?scpref=109&tab=2,4.6,"3385 Cody Lane Teton Village, WY  83025 ",5,American,$30 and under,Teton Village,http://www.tetonlodge.com/fine-dining-jackson-hole.php,"",(307) 732-6932,4.5 / 5,"Fantastic menu expertly executed. Relaxed atmosphere on outdoor patio. Friendly and attentive service. Loved our choices - beet salad and pork tenderloin with yumilicious sweet potatoes for me and for hubby, goat cheese starter and fall off the bone short ribs with grits as good as you'll ever have them. Portions are generous and prices reasonable.",07/18/2012
COULOIR,http://www.opentable.com/couloir?scpref=109&tab=2,4.8,"Jackson Hole Mountain Resort Teton Village, WY  83925 ",32,American,$50 and over,Teton Village,http://www.jacksonhole.com/info/ae.dining.winter.asp,couloir@jacksonhole.com,(307) 739-2675,4.8 / 5,"We had the four course dinner with wine pairings. Service was the outstanding memory and our waiter was very knowledgable about the wines he poured. Yes the view was wonderful, but once the sun has set, there are not enough lights on the mountain and valley to make it spectacular. The interior lighting is too bright and the huge windows become mostly black mirrors. The interior design is on the cheap side of the spectrum. What you go there for is the view.",07/12/2012
gamefish,http://www.opentable.com/gamefish?scpref=109&tab=2,3.8,"7710 Granite Loop Drive Teton Village, WY  83025 ",6,Wild Game,$31 to $50,Teton Village,http://snakeriverlodge.rockresorts.com/dining/gamefish-restaurant.asp,"",(307) 732-6040,3.8 / 5,"Service was very slow, but very friendly and good menu. Would go back again. Very bad smell in dining room tho, scared us away from ordering any fish.",07/07/2012
The Garage,http://www.opentable.com/the-garage?scpref=109&tab=2,3.8,"72 South Glenwood Jackson Hole, WY  83002 ",13,Contemporary American,$30 and under,Jackson,http://WWW.THEGARAGEJACKSONHOLE.COM,THEGARAGEJH@GMAIL.COM,(307) 733-8575,3.7 / 5,"Our party of four had a good experience for a first visit. The onion ring appetizer is fantastic...crispy, seasoned batter and enough for four people to split. Although none of us wanted more than a burger, they were excellent including a portabella mushroom burger. Great martini to boot! Service was solid and the friendly manager even dropped by to see how things went for us. The place had a good buzz on a Thursday night and the ambience is nice. I can see how it might get a little rowdy when packed as the concrete floor will reflect noise upward with little to stop it. But for us, there were no noise issues. Portions are ample as well. Like!",07/05/2012
