name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
5th and Wine,4.2,"7051 E. 5th Ave. Scottsdale, AZ  85251 ",74,Contemporary American,$30 and under,Scottsdale,http://www.5thandwine.com,von@5thandwine.com,(480) 699-8001,4.2 / 5,"On Mondays & Tuesdays 5th and Wine offers a date night special menu that is awesome! Filled with items from their regular menu, you can choose two salads, two entrees, and one dessert, all for a very pleasing price! Plus you get $10 off your first bottle of wine. We had Chicken Picata and Hangar Steak, both of which were delicious. Ceasar salad for my hubby and my salad with strawberries and gorgonzola cheese were lovely and very good. Our server was conversational and savvy and wrapped up a huge piece of cheesecake for us to take back to our hotel. We loved the entire evening!",07/02/2012
Acacia,4.3,"3001 East Skyline Drive Tucson, AZ  85718 ",161,Contemporary American,$30 and under,Tucson,http://www.acaciatucson.com,info@acaciatucson.com,(520) 232-0101,4.3 / 5,"Wonderful cuisine, great service! A little noisy, but a nice dining experience.",07/19/2012
Afternoon Tea - The Phoenician,4.7,"6000 E. Camelback Road Scottsdale, AZ  85251 ",54,English,$31 to $50,Scottsdale,http://www.thephoenician.com/dining,thephoenician@luxurycollection.com,(480) 423-2530,4.7 / 5,"Afternoon tea is almost a thing of the past. Not at the Phoenician where it is still done with bone English china, a great loose tea selection and wonderful ambiance. It has gotten a little pricier than when I first started going however for something special, it is worth it. You leave full and happy.",07/15/2012
Agave Restaurant at Desert Diamond Casino,4.1,"1100 West Pima Mine Road Sahuarita, AZ  85629 ",123,Contemporary American,$30 and under,Sahuarita,http://www.ddcaz.com/content/agave-restaurant,"",(520) 342-2328,4.1 / 5,I was unable to go but the 7 girls who did go enjoyed themselves.,07/18/2012
Aiello's,3.9,"5202 North Central Ave Phoenix, AZ  85012 ",59,Italian,$30 and under,Phoenix,http://www.aiellositalianrestaurant.com,info@aiellositalianrestaurant.com,(602) 277-8700,3.9 / 5,"I've been here twice and only have good things to say about this place. The food is great, the service is even better.",05/24/2012
Alchemy Restaurant at Copperwynd Resort,4.5,"13220 N. Eagle Ridge Drive Fountain Hills, AZ  85268 ",97,Contemporary American,$30 and under,Scottsdale,http://copperwynd.com/Alchemy/ScottsdaleFineDining.html,reservations@Alchemy360az.com,(480) 333-1880,4.5 / 5,"Excellent service, wonderful view! Food was great. Wonderful evening.",07/13/2012
Alexi's Grill,4.3,"3550 N. Central Ave Suite 120 Phoenix, AZ  85012 ",39,Italian,$30 and under,Phoenix,http://www.alexisgrillphx.com,reservations@alexisgrillphx.com,(602) 279-0982,4.3 / 5,"Our birthday work group loves Alexi's. The waiters are outstanding, very attentive and funny! The food is always high quality. I love your new way of getting reservations also--on line. We have been to this venue many times.",07/19/2012
Alto Ristorante e Bar,4.2,"7500 E. Doubletree Ranch Road Hyatt Regency Scottsdale Resort and Spa at Gainey Ranch Scottsdale, AZ  85258",50,Italian,$31 to $50,Scottsdale,http://www.scottsdale.hyatt.com,gina.dellapella@hyatt.com,(480) 444-1234 x8640,4.2 / 5,It was just O'kay...Our server was great but messed up twice on our food and added extra drinks to our tab (which is always awkward to point out).,06/20/2012
Amaro Pizzeria & Vino Lounge,4.5,"28234 N. Tatum Blvd Cave Creek, AZ  85331 ",12,Italian,$30 and under,Cave Creek,http://www.amaroaz.com,dining@amaroaz.com,(480) 502-1920,4.5 / 5,Can be depended on for a fabulous meal!,06/15/2012
Arizona Grand Resort- The Lobby Grill,3.3,"8000 S Arizona Grand Pkwy Phoenix, AZ  85044 ",6,American,$30 and under,Phoenix,http://www.arizonagrandresort.com/fine-dining-phoenix.php,drobinson@arizonagrandresort.com,(602) 431-6476,3.3 / 5,View is nice. Sandwiches were okay but the fries were soggy and greasy. Was hoping for more but will probably try one more tomr because the location and view from the dining room are so nice.,05/13/2012
