name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
4th Street Grille,http://www.opentable.com/4th-street-grille?scpref=109&tab=2,3.8,"400 L St. Sacramento, CA  95814 ",29,Californian,$30 and under,Sacramento,http://4thstreetgrille.com,mngmt@4thstreetgrille.com,(916) 448-2847,3.8 / 5,"I had been to this restaurant twice before with a group of 4, 2, and lastly 12. The first two visits were more positive experiences. The service was fine but the food was just average for me. Let's just say that not one of the 12 people that ate there gave me any feedback whatsoever. I ordered the fish and chips and regretted it right after I saw it. The fish looked like a fast food fry and was absolutely tasteless. Fries were just average, nothing special. I did not finish the meal as it was too bland. My co-worker ordered a very nice spinach salad but his black bean soup was delvered cold. it took the waiter about 10-15 minutes to come back to the table to even notice it. My co-worker had time to complete this whole salad.",06/26/2012
Aioli Bodega Espanola,http://www.opentable.com/aioli-bodega-espanola?scpref=109&tab=2,4.3,"1800 L Street Sacramento, CA  95818 ",101,Spanish,$30 and under,Sacramento,http://aiolibodega.com,aiolibodega@gmail.com,(916) 447-9440,4.3 / 5,We had the best evening in July to enjoy the outdoor patio. It was beautiful. The only thing that was of a concern is that the sun was in everyone's eyes. I thought they should have foreseen this issue before the dinner instead of spending time during dinner trying to correct the problem. The food was excellent and the patio had a fabulous ambiance. We were a table of 10 and had a wonderful evening.,07/17/2012
Alebrijes Mexican Bistro,http://www.opentable.com/alebrijes-mexican-bistro?scpref=109&tab=2,3.8,"10 West Oak Street Lodi, CA  95240 ",33,Mexican,$30 and under,Lodi,http://www.alebrijesbistro.com/,"",(209) 368-1831,3.8 / 5,The food was great. I had the pork tenderloin with bourbon sauce. Very delicious and meat was so tender. The one thing that made our experience very uncomfortable was the fact that they have no air-conditioner. We won't be going back in the summer. Too hot in the restaurant to eat.,07/19/2012
Ambience,http://www.opentable.com/ambience?scpref=109&tab=2,4.9,"6440 Fair Oaks Blvd Carmichael, CA  95608 ",59,French,$31 to $50,Carmichael,http://www.ambiencerestaurantsac.com,ambience_restaurant@yahoo.com,(916) 489-8464,4.9 / 5,"This was my third time back. The food was outstanding as usual. We did the 7 course option this time. It was fantastic! We had venison, beef wellington (deconstructed), a perfectly cooked cod, and a lovely Baked Alaska. The sauces were perfect for each dish, and each piece of protein was cooked to perfection. The portions were just right and we left comfortably full but not stuffed. This meal compares favorably to the meals we had in Paris in May, and that's really saying something!",06/29/2012
Back Wine Bar & Bistro,http://www.opentable.com/back-wine-bar-and-bistro?scpref=109&tab=2,4.5,"25075 Blue Ravine Rd #150 Folsom, CA  95630",26,Californian,$30 and under,Folsom,http://www.backwinebar.com,info@backwinebar.com,(916) 986-9100,4.5 / 5,"I have had dinner at the Back Wine Bar & Bistro about 5 times now over the last 2 yrs. The food has always been outstanding, I have never been let down.",07/13/2012
Bamiyan - Citrus Heights,http://www.opentable.com/bamiyan-citrus-heights?scpref=109&tab=2,4.1,"7622 Greenback Ln Citrus Heights, CA  95610 ",7,Mediterranean,$30 and under,Citrus Heights,http://www.afghancuisine.com,bamiyanmail@msn.com,(916) 725-6009,4.1 / 5,"This was my second visit to Sacramento Ca Benihana. I've been to many other Benihana including their branch in Ginza Tokyo many times. I ordered same order as I did this time, Hibachi Chateaubriand. Meat they served me was far from Chateaubriand this time. Restaurant know meat was not Chateaubriand and Chef should also know. I realized one of Chateaubriand we order, which came to me wasn't proper Chateaubriand cut and has too much fat portion in it. I tried to eat but it wasn't what I expected and told Chef to call manager and told him that this is not Chateaubriand. It was a big disappointment for me that Benihana serves this kind of food to customers and it was the worst experience.",07/17/2012
Bamiyan - El Dorado Hills,http://www.opentable.com/bamiyan-el-dorado-hills?scpref=109&tab=2,4.7,"1121 White Rock Rd El Dorado Hills, CA  95762 ",6,"Global, International",$30 and under,El Dorado Hills,http://www.afghancuisine.com,www.bamiyanmail@msn.com,(916) 941-8787,4.7 / 5,We went on a Monday night so it was very quiet. Very nice decor...outstanding service and excellent food.,06/11/2012
Benihana - Sacramento,http://www.opentable.com/benihana-sacramento?scpref=109&tab=2,4.3,"5489 Sunrise Blvd Citrus Heights, CA  95610 ",57,Japanese,$30 and under,Citrus Heights,http://www.benihana.com/locations/sacramento-ca-sa,sacramento@benihana.com,(916) 961-2791,4.3 / 5,Excellent Food and Excellent Service after we were seated. The hostess was not very friendly and did not seat us according to our reservation time. We will definitely return for the wonderful dinning experience.,06/14/2012
Biba Restaurant,http://www.opentable.com/biba-restaurant?scpref=109&tab=2,4.6,"2801 Capitol Avenue Sacramento, CA  95816 ",186,Italian,$31 to $50,Sacramento,http://www.biba-restaurant.com,biba@biba-restaurant.com,(916) 455-2422,4.6 / 5,My wife and I celebrated our 17th wedding anniversary at Biba and we both felt it was a memorable moment. The food was excellant (my wife had the lasaga and I had the marinated grilled chicken) and prepared to perfection; our waitress was most congenial and shared some humorous conversation with us; and the atmosphere was both lively and pleasant (we love the combination of old/new world decor). All and all it was another pleasurable eating experience at Biba.,07/13/2012
Bidwell Street Bistro,http://www.opentable.com/bidwell-street-bistro?scpref=109&tab=2,4.4,"1004 East Bidwell Street Folsom, CA  95630 ",116,Californian,$30 and under,Folsom,http://www.bidwellstreetbistro.com,bidwellstbistro@sbcglobal.net,(916) 984-7500,4.4 / 5,"Friday night was really busy. Since we didn't make our decision on wine right away it, it took waiter quite some time to get back to us. Another table that came in after us brought their own wine so waiter spent lots of time opening theirs before he came back for our order. So be decisive or bring in your own wine. Gespacho and Salmon were best ever!!!! Of course it IS salmon season.",07/20/2012
