name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
20nine Restaurant & Wine Bar,3.9,"255 E Basse Rd Ste 940 San Antonio, TX  78209 ",30,Contemporary American,$30 and under,Alamo Heights,http://www.20ninewine.com,info@20ninewine.com,(210) 798-9463,3.9 / 5,"Calamari was nicely seasoned, the breaded chicken breast was outstanding. Highly recommend!",07/10/2012
Ácenar,3.8,"146 East Houston San Antonio, TX  78205 ",124,Contemporary Mexican,$30 and under,Downtown,http://www.acenar.com,keith@acenar.com,(210) 222-2362,3.8 / 5,"Love the ambiance! Very groovy, oranges & browns. Right on the RiverWalk, so outside dining would be fun, although we chose to eat indoors.Note to all diners: Ask your server for recommendations - and then TAKE THEM. We asked Jeffrey for his suggestions of menu items that are specific to Ácenar - and there are many to choose from. (No point in ordering a cheese enchilada when there's a duck chalupa on the menu!) He gave us his personal favorites, as well as what other guests have recommended. We were not disappointed. Both my Fish Veracruz & my partner's Pork Tenderloin were outstanding in every way.Jeffrey also hooked us up w/ a jalapeño-based cream salsa that was well worth the $2.95.",07/09/2012
Achiote - Grand Hyatt San Antonio,4.0,"600 E. Market St. San Antonio, TX  78205 ",53,Latin / Spanish,$30 and under,Downtown,"",satgh@hyatt.com,(210) 224-1234,4 / 5,"For our first visit, we went specifically for the daily buffet. We arrived @ 130P, the buffet ends @ 200P, and we NEVER felt rushed; instead, all of the food, including the beef tenderloin, lamb, chicken sausage, and the guy that carves them, stayed available until we were finished. We enjoyed *everything* that we ate. Of special note was our server, Beth - attentive but not too, friendly but not too, available but not too - we hate ""hovering,"" and Beth was perfect in every way. She is also a genuinely interesting & delightful person. My partner and I felt completely comfortable w/ her, and w/ all of the staff @ Achiote. We will definitely return on our next visit to SA - may even go back for dinner tomorrow.",07/09/2012
Aldino Cucina Italiano,4.6,"1203 N Loop 1604 W  #101 San Antonio, TX  78258 ",32,Italian,$30 and under,North San Antonio,http://aldinos.com,a4pasta@sbcglobal.net,(210) 340-0000,4.6 / 5,"The best flounder we've ever had! - fresh, moist and perfectly prepared with a light, delicious sauce. Our waitress was charming, friendly and extremely efficient. We highly recommend this restaurant.",07/01/2012
Aldo's Ristorante Italiano,4.7,"8539 Fredericksburg Rd San Antonio, TX  78229 ",17,Italian,$31 to $50,North San Antonio,http://www.aldos.us/,Aldos@satx.rr.com,(210) 696-2536,4.7 / 5,"I really like this restaurant. Considering nothing is perfect, this restaurant comes as close to it as any other restaurant in San Antonio.",07/06/2012
Antlers Lodge,4.6,"9800 Hyatt Resort Drive San Antonio, TX  78251 ",30,Steak,$31 to $50,North San Antonio,http://www.hyatt.com/hyatt/images/hotels/sanhc/antlerslodgemenu.pdf,david.cantu@hyatt.com,(210) 520-4001,4.6 / 5,Awesome time from start to finish. We enjoyed the menu especially the game. Will be back soon,07/04/2012
Bella...On The River,4.4,"106 River Walk San Antonio, TX  78205 ",104,European,$31 to $50,Downtown,http://www.bellaontheriver.com,bellaontheriver@gmail.com,(210) 404-2355,4.4 / 5,Bella is a true Gem! I took my wife out for her birthday along with our teen age children and they had something for everyone. The atmosphere was warm and cozy and full of energy...very European! Their appetizers and salads were amazing as well as the main dishes. The owner was kind enough to send over a small dessert with a candle which was a perfect end to our evening. My wife and I will be back with a small group of friends to spend the evening sampling all of the appetizers along with a few bottles of wine.,07/11/2012
Biga on the Banks,4.5,"203 S. St. Mary's St. San Antonio, TX  78205 ",237,Contemporary American,$50 and over,Downtown,http://www.biga.com,reservations@biga.com,(210) 225-0722,4.5 / 5,"My husband and I were visiting San Antonio for the weekend and visited based on the excellent reviews. We were certainly not disappointed. The cheese plate is delicious but the real gems were our two entrees. My husband had the pork tenderloin; it was so tender you could cut it with a fork. I had the steak, which included an amazing combination of flavors. The berry dessert was to die for as well. We will definitely return next time we are in town.",07/06/2012
Bliss Restaurant,4.6,"926 S Presa Street San Antonio, TX  78210 ",290,Contemporary American,$31 to $50,Downtown,http://www.foodisbliss.com,info@foodisbliss.com,(210) 225-2547,4.6 / 5,Great service. Server was excellent and provided great recommendations.,07/07/2012
Bohanan's Prime Steaks and Seafood,4.7,"219 East Houston Street Suite 275 San Antonio, TX  78205",262,Steakhouse,$31 to $50,Downtown,http://www.Bohanans.com,Bohanans@aol.com,(210) 472-2600,4.7 / 5,"I loved the atmosphere and the food was EXCELLENT! I have to go back some day, even though I live out of town. It will be in my top list of favorite restaurants and my dinner was memorable.",07/04/2012
