name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
123 Bolinas,http://www.opentable.com/123-bolinas?scpref=109&tab=2,4.5,"123 Bolinas Road Fairfax, CA  94930 ",2,Californian,$30 and under,Fairfax,http://www.123bolinas.com,dominic@123bolinas.com,(415) 488-5123,4.5 / 5,Loved it all- very creative and unfussy. Keep it going on folks!,07/06/2012
1300 on Fillmore,http://www.opentable.com/1300-on-fillmore?scpref=109&tab=2,4.1,"1300 Fillmore Street San Francisco, CA  94115 ",189,American,$31 to $50,Pacific Heights,http://www.1300fillmore.com,guestinfo@1300fillmore.com,(415) 771-7100,4.1 / 5,"simple food done well. try the succatash with okra, unusual and very good",07/18/2012
1515 Restaurant & Lounge,http://www.opentable.com/1515-restaurant-and-lounge?scpref=109&tab=2,3.7,"1515 N. Main Street Walnut Creek, CA  94596 ",131,Californian,$30 and under,Walnut Creek,http://www.1515wc.com,info@1515wc.com,(925) 939-1515,3.7 / 5,Food is always tasty here at 1515....nice job!,07/16/2012
19 Market,http://www.opentable.com/19-market?scpref=109&tab=2,3.9,"19 N Market San Jose, CA  95113 ",39,Vietnamese,$30 and under,San Jose,http://19market.com,19market@gmail.com,(408) 280-6111,3.9 / 5,The food here was absolutely fabulous. I have not been to any Vietnamese place that has this good food. Ana Mandara is good but this is better.,06/29/2012
231 Ellsworth,http://www.opentable.com/231-ellsworth?scpref=109&tab=2,4.4,"231 South Ellsworth Ave. San Mateo, CA  94401 ",86,Contemporary American,$31 to $50,San Mateo,http://www.231ellsworth.com,letusknow@231ellsworth.com,(650) 347-7231,4.4 / 5,"Amazing service, amazing food, beautiful wine list. Courtious, patient and attentive staff. Very friendly and professional. I will DEFINITELY be back!",07/20/2012
25 Lusk,http://www.opentable.com/25-lusk?scpref=109&tab=2,4.3,"25 Lusk Street San Francisco, CA  94107 ",337,Contemporary American,$31 to $50,SOMA,http://www.twentyfivelusk.com,info@25lusk.com,(415) 495-5875,4.3 / 5,"Everything was excellent; the food was superb; the mixed drinks were delicious, and the service was superlative. The only small issue is that the two-person tables are little too close together.",07/20/2012
272 Soluna Cafe & Lounge,http://www.opentable.com/272-soluna-cafe-and-lounge?scpref=109&tab=2,3.5,"272 McAllister Street San Francisco, CA  94102 ",102,Californian,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.solunasf.com,info@solunasf.com,(415) 621-2200,3.5 / 5,"Perfect place for ""before the theatre"". We enjoyed the food and service.",07/18/2012
2G Japanese Brasserie,http://www.opentable.com/2g-japanese-brasserie?scpref=109&tab=2,3.5,"601 Van Ness Avenue Suite F San Francisco, CA  94102 ",33,Japanese,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.2gjapanese.com,info@2gjapanese.com,(415) 292-9997,3.5 / 5,"excellent food, nice variety and flavors. Sashimi varied from very fresh to okay, but still tasty. nice atmosphere, the adult foodies in our group and the kids were all happy.",07/16/2012
4290 Bistro & Bar,http://www.opentable.com/4290-bistro-and-bar?scpref=109&tab=2,3.8,"4290 El Camino Real Palo Alto, CA  94306 ",17,American,$30 and under,Palo Alto,http://www.cabanapaloalto.com/dining,4290bistro@cabanapaloalto.com,(650) 628-0145,3.8 / 5,the food was good & reasonably priced.a very good place for a banquet.,05/26/2012
54 Mint,http://www.opentable.com/54-mint?scpref=109&tab=2,3.8,"16 Mint Plaza San Francisco, CA  94103 ",213,Italian,$31 to $50,SOMA,http://www.54mint.com,information@54mint.com,(415) 543-5100,3.8 / 5,"The sound is loud enough to knock you over, but the charm of the front of the house and the very delicious food make you forget you can't hear anything. The raw Summer squash salad was a revelation, and the lamb melted in the mouth. Can't wait to go back.",07/19/2012
5A5 Steak Lounge,http://www.opentable.com/5a5-steak-lounge?scpref=109&tab=2,4.1,"244 Jackson Street San Francisco, CA  94111 ",192,Steak,$31 to $50,Financial District / Embarcadero,http://www.5a5stk.com,info@5a5stk.com,(415) 989-2539,4.1 / 5,Amazing food & service. We'd absolutely go back. Loved the menu! Not crazy gourmet where it was hard to find something you wanted to order but lots of variety at the same time. Just my kind of place.,07/20/2012
71 Saint Peter Restaurant,http://www.opentable.com/71-saint-peter-restaurant?scpref=109&tab=2,3.8,"71 N. San Pedro Street San Jose, CA  95110 ",115,Mediterranean,$30 and under,San Jose,http://www.71saintpeter.com,lr71saintpeter@yahoo.com,(408) 971-8523,3.8 / 5,"Our waiter seemed pretty out of it when talking to us and describing menu items, but he was still on top of serving us for the most part. The food was delicious! We enjoyed the bruschetta and crab cakes for an appetizer, caesar salad and spinach salad, duck and new york steak for entrees (which we took half of home and had for leftover lunch the next day), key lime pie and chocolate cake for dessert, along with a glass pinot noir wine. delicious dinner!",07/13/2012
750 Restaurant & Bar,http://www.opentable.com/750-restaurant-and-bar?scpref=109&tab=2,3.8,"Hilton San Francisco 750 Kearny Street San Francisco, CA  94108",105,American,$30 and under,Financial District / Embarcadero,http://www.sanfranciscohiltonhotel.com/html/sf-restaurant.asp,cdavis@hotelsanfran.com,(415) 433-6600,3.9 / 5,waiter services are not consistent. There is a waiter (Joe) won't serve you and being rude just because your table is not assigned to him for serving.,07/18/2012
A Bellagio,http://www.opentable.com/a-bellagio?scpref=109&tab=2,4.3,"33 S Central Ave Campbell, CA  95008 ",113,Italian,$31 to $50,Campbell,http://www.abellagio.com,contact@abellagio.com,(408) 370-7705,4.3 / 5,We went to dinner at A Bellagio to celebrate our 10th wedding anniversary and it lived up to expectations. The service was great and so was the food.,07/20/2012
A Caprice,http://www.opentable.com/a-caprice?scpref=109&tab=2,4.2,"2000 Paradise Drive Tiburon, CA  94920 ",248,Continental,$31 to $50,Tiburon,http://www.thecaprice.com,thecaprice@msn.com,(415) 435-3400,4.2 / 5,"This place has a great view of San Francisco and the Golden Gate Bridge. The ambience has white table cloths, real flowers on the table and plays classical music. They are willing to substitute and take requests. Their wines by the glass are pricey and limited. There are only 4 varied wines for both the red and white. Two of them in each category feature two domestic and two international wines. My meal of roasted pork tenderloin and coconut rice was delicious. I'd go back.",07/19/2012
A Cote,http://www.opentable.com/a-cote?scpref=109&tab=2,4.2,"5478 College Ave Oakland, CA  94618 ",205,Mediterranean,$30 and under,Oakland,http://www.acoterestaurant.com,acote@acoterestaurant.com,(510) 655-6469,4.2 / 5,"Incredible food, dishes perfectly prepared and presented under the direction of Chef Matt Colgan, interesting ingredient combinations, fantastic international wine list of little known wines from remote areas of Greece, southwestern France, Spain, Yugoslavia (Bosnia, etc), Hungary, Austria, etc... and a lovely bartender named Rich who recommended the Gruner Veltliner tasting, plus suggested an incredible red, an indigenous velvety full bodied Greek wine from the Peloponnesos area pf Greece...I bought the last two bottles...Go there! Plus, it's a great value..",07/20/2012
A Grape in the Fog,http://www.opentable.com/a-grape-in-the-fog?scpref=109&tab=2,3.5,"400 Old County Road Suite 1 Pacifica, CA  94044",6,Tapas / Small Plates,$30 and under,Pacifica,http://www.agitf.com,wine@agitf.com,(650) 735-5854,3.5 / 5,"Great selections of wine and friendly service. Not really a place to dine as food selection is very limited to empanadas & cheese plates. Great place to relax and enjoy nice flight of wine, listen to the live music.",05/30/2012
A Perfect Finish Wine Bar,http://www.opentable.com/a-perfect-finish-wine-bar?scpref=109&tab=2,3.7,"55 S. 1st Street San Jose, CA  95113 ",3,Californian,$30 and under,San Jose,http://www.apfwinebar.com/,info@apfwinebar.com,(408) 288-6000,3.7 / 5,"Good, enjoyed the music while drinking wine.",04/27/2012
A16,http://www.opentable.com/a16?scpref=109&tab=2,4.1,"2355 Chestnut St. San Francisco, CA  94123 ",405,Italian,$30 and under,Marina / Presidio,http://www.A16sf.com,info@A16sf.com,(415) 771-2216,4.1 / 5,"A-16 restaurant is a VERY, VERY GOOD restaurant with VERY GOOD food, service, wine/bar area, and the GREAT QUALITY of their food, service, wine/bar areas are CONSISTENTLY VERY GOOD. We have eaten there for both lunch and dinner MANY times and the experience is CONSISTENTLY VERY GOOD, and A-16 IS a ""YES, let's go back AGAIN and AGAIN"" restaurant!",07/20/2012
Abacus - San Francisco,http://www.opentable.com/abacus-san-francisco?scpref=109&tab=2,3.8,"2078 Hayes Street San Francisco, CA  94117 ",8,Chinese,$30 and under,North Panhandle / USF,http://www.abacussf.com,abacussf@aol.com,(415) 387-2828,3.8 / 5,"Abacus is an unpretentious neighborhood joint that delivers beautifully in arms of a well-prepared meal. It's small and unremarkable in decor (the art on the walls was a somewhat geeky collection of Batman toys) but we came for dinner and that did not disappoint. Excellent, flavorful dishes, with lovely presentation and clean, expert preparation. I was able to eat my short ribswith chopsticks (!) the meat simply fell away from the bone. And the tuna with a subtle, complex ginger wasabe glaze was exquisite. We'll be back, you should try it too!",05/18/2012
ABC Seafood - Foster City,http://www.opentable.com/abc-seafood-foster-city?scpref=109&tab=2,3.4,"973 E. Hillsdale Blvd Foster City, CA  94404 ",33,Chinese,$30 and under,Foster City,http://www.abcseafoodrestaurant.com,info@abcseafoodrestaurant.com,(650) 328-2288,3.3 / 5,"Went for lunch and food is adequate, only went because of conveneient location. Service was poor; asked for my Coke three times before it arrived. Serving staff was not courteous and did not remove the empty dishes or come by when we had a request. Asking for the bil was another long wait and after four requests, fianlly received the bill. My colleagues and I will not be going back anytime soon.",07/11/2012
ABC Seafood - Milpitas,http://www.opentable.com/abc-seafood-milpitas?scpref=109&tab=2,3.2,"768 Barber Lane Unit 206 Milpitas, CA  95035",18,Chinese,$30 and under,Milpitas,http://www.abcseafoodrestaurant.com,info@abcseafoodrestaurant.com,(408) 435-8888,3.2 / 5,"This appears to be a high-end Chinese restaurant, but the food is average. And, their attitude is horrible. It's almost as if I should be honored that they are willing to serve me. Maybe if I were Chinese, it would be a different case. I've heard many 'authentic' Chinese restaurants are that way - only wanting to serve Chinese people. I'm not sure if I'd go back. In the nearby area, there are many other excellent (and not snobby) places to eat.",06/29/2012
Absinthe Brasserie and Bar,http://www.opentable.com/absinthe-brasserie-and-bar?scpref=109&tab=2,4.3,"398 Hayes Street San Francisco, CA  94102 ",587,French,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.absinthe.com,talk@absinthe.com,(415) 551-1590,4.3 / 5,Oniuon soup and Croque Monsuer excellent. Appetizer of lamb kabob Asian fusion I would guess and had too much vinegar in the mix.,07/19/2012
