name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
13moons,4.2,"12885 Casino Drive Anacortes, WA  98221 ",45,Seafood,$30 and under,Anacortes,http://www.swinomishcasino.com/dining/13moons,"",(360) 293-2691,4.3 / 5,"First time with coupon...this was the best restaurant ever to eat. The food was the best and well presented...the biggest rib-eye steak cooked to perfection.Halibut was great.It was just perfect, with seasonings..etc.The waitress was very pleasant and attentive.",07/14/2012
35th Street Bistro,4.2,"709 N 35th Street Seattle, WA  98103 ",101,French,$30 and under,Fremont,http://35bistro.com,michellec@35bistro.com,(206) 547-9850,4.3 / 5,"35th Street Bistro delivers a wonderful, leisurely meal. Even the salads are remarkable.",07/14/2012
520 Bar & Grill,3.9,"10146 Main Street Bellevue, WA  98004 ",50,Northwest,$30 and under,Bellevue,http://www.20BarAndGrill.com,Info@520BarandGrill.com,(425) 450-0520,3.8 / 5,Lots of locals... we're Canucks and snuck in or would that be sneaked?,07/14/2012
A la bonne franquette,4.4,"1421 31st Avenue South Seattle, WA  98144 ",53,French,$31 to $50,Leschi / Madrona / Madison Park,http://www.Alabonnefranquetteseattle.com,reservations@alabonnefranquetteseattle.com,(206) 568-7715,4.4 / 5,"Friendly service, beautiful view, cosy room, good food -- what more do you want?",07/19/2012
Adriatic Grill - Italian Cuisine & Wine Bar,4.3,"4201 S. Steele St. Tacoma, WA  98409 ",84,Italian,$30 and under,Tacoma,http://www.adriaticgrill.com,adriaticgrill@comcast.net,(253) 475-6000,4.3 / 5,"After previously having a bad experience at the Adriatric Grill, I decided to give it a try again with a friend for lunch. We ate at the bar and the bartender served us. She was not that friendly, slow with service even though the bar was dead during lunch, didn't offer bread like the surrounding tables had, didn't refill our water, was slow to offer another alcoholic beverage (we were only on our first drink), and we had to wait forever for our check even though we asked for it twice and the waitress only had 1 other table! This is the second time I had a bad experience; really wanted to like the place but I probably won't go back. Bad service is a NO NO, especially when the server isn't busy. Worked in the restaurant biz for yrs NO EXCUSE",07/17/2012
Agave Cocina & Cantina,2.0,"17158 Redmond Way #180 Redmond, WA  98052 ",1,Contemporary Mexican,$30 and under,Redmond,http://agaverest.com,federicoramos8a@hotmail.com,(425) 881-8252,3.5 / 5,The food is generous and the wait staff very friendly.,03/11/2012
Agave Cocina & Tequilas,3.7,"1048 Northeast Park Drive Issaquah, WA  98029 ",6,Contemporary Mexican,$30 and under,Issaquah,http://www.agaverest.com,federicoramos8a@hotmail.com,(425) 369-8900,3.7 / 5,"The food at Agave is very fresh and well presented; however, the flavors are bland and lacking authenticity. It is okay if you are not expecting Mexican or TexMex. The staff are great.",06/28/2012
Al Boccalino,3.9,"1 Yesler Way Seattle, WA  98104 ",11,Italian,$30 and under,International District,http://www.seattleslittleitaly.com/al_boccalino.htm,angela@seattleslittleitaly.com,(206) 622-7688,3.9 / 5,lovely restaurant with an important chef - lovely,07/17/2012
Altura,4.7,"617 Broadway E Seattle, WA  98102 ",202,Italian,$50 and over,Capitol Hill / First Hill,http://www.alturarestaurant.com,info@alturarestaurant.com,(206) 402-6749,4.7 / 5,"Altura is an exceptional restaurant! This may sound untrue but they do everything right! The food is amazingly interesting, creative & DELICIOUS!, the staff (entire staff) work well together, each staff person is very knowledgeable about all menu items and wine list (of which there is an excellent & thoughtful selection).....they are always at the top of their game...we've never had a mediocre meal or experience at Altura.",07/18/2012
Amante Pizza & Pasta - Capitol Hill,4.0,"1525 S Olive Way Seattle, WA  98122 ",1,Pizzeria,$30 and under,Capitol Hill / First Hill,http://www.amantepizzaandpasta.com/,AmanteOffice@yahoo.com,(206) 861-1777,3 / 5,"The person who ""greeted"" me had no idea what open table was and made no effort to investigate after I tried to explain. I ordered coffee while I waited for a friend to join me. 20 minutes later it came! I cup of drip - 20 minutes. Then when we got the salads we ordered they were huge - way bigger than we could ever eat. She told us she made them big as a favor. It made me feel like I has wasted money by buying something to go with the salad since I assumed it would be the size it was described it in the menu. So poor service and a feeling I had wasted money be ordering an extra side. Not a good experience. She was nice and maybe trying to make up for the earlier lapses with the salad but it did not work.",02/24/2012
