Ariccia Italian Trattoria & Bar,http://www.opentable.com/ariccia-italian-trattoria-and-bar?scpref=110&tab=2,4,"241 South College Street Auburn, AL  36830 ",17,Italian,$30 and under,Auburn ,http://www.auhcc.com/dine/ariccia-en.html,wynn.springer@auhcc.com,(334) 844-5140,2.0 / 5,sevice and quality of food not up to review ratings,10/12/12,http://www.pickgrapevine.com/wantmore5/ariccia-italian-trattoria-and-bar,ariccia-italian-trattoria-and-bar
AVO,http://www.opentable.com/avo?scpref=110&tab=2,4.5,"2721 Cahaba Road Mt Brook, AL  35223 ",32,Californian,$30 and under,Birmingham,http://www.avorestaurant.com/,avodram@greenapplerestaurants.com,(205) 871-8212,4.0 / 5,"Our food was fantastic. The Grana Padano ham carpaccio had us all but licking the plate clean. My black Halibut was perfectly cooked, and her Prime NY Strip was nothing short of transcendent--a real surprise in a non-steakhouse outfit like Avo. The derby ice cream sandwich was lackluster and tasted bought, but other than that the food impressed. Oh, and the Burly 2007 cab they had at half-price was nice and smooth.",10/21/12,http://www.pickgrapevine.com/wantmore5/avo,avo
Bellini's Ristorante & Bar,http://www.opentable.com/bellinis-ristorante-and-bar?scpref=110&tab=2,4.6,"6801 Cahaba Valley Rd. Suite 106 Birmingham, AL  35242 ",102,Steak,$30 and under,Birmingham,http://www.ourbellinis.com,info@ourbellinis.com,(205) 981-5380,5.0 / 5,Really enjoyed the food and the ambiance. Overall a wonderful night!,10/20/12,http://www.pickgrapevine.com/wantmore5/bellinis-ristorante-and-bar,bellinis-ristorante-and-bar
Below The Radar,http://www.opentable.com/below-the-radar?scpref=110&tab=2,3.8,"220 Holmes Avenue, NE Huntsville, AL  35801 ",17,American,$30 and under,Huntsville,http://www.btrbeer.com/,info@btrbrew.com,(256) 603-2405,4.0 / 5,Food was really good - lots of selections at various price ranges - with a great beer selection and full bar. Definitely recommend.,10/14/12,http://www.pickgrapevine.com/wantmore5/below-the-radar,below-the-radar
Central,http://www.opentable.com/central?scpref=110&tab=2,4.2,"129 Coosa St Montgomery, AL  36104 ",125,American,$30 and under,Montgomery,http://www.central129coosa.com,info@129coosa.com,(334) 517-1155,4.0 / 5,"The ambiance and atmosphere of this restaurant was fantastic. Free valet parking for dinners and beautiful decor inside. Service was great as well. Only complaint was that the dinners missed the mark by a bit. Three of us had dinner, one had the grouper, one the pork hock and one the KC steak. All of the dishes were good, but the herb touches overpowered all three dinners. Mine was the rosemary in the mashed potatoes, my son's risotto and the pork hock also had too strong a taste that detracted from the real flavor. My suggestion would be to use a much lighter hand in seasoning. The menu is quite unique and the beet salad was great, as was the carrot and turnip hash. Loved the place overall, but just a bit disappointed.",10/20/12,http://www.pickgrapevine.com/wantmore5/central,central
The Cypress Inn,http://www.opentable.com/the-cypress-inn?scpref=110&tab=2,4.7,"501 Rice Mine Rd N Tuscaloosa, AL  35406 ",46,Southern,$30 and under,Tuscaloosa,http://www.cypressinnrestaurant.com/,slandis@cypressinnrestaurant.com,(205) 345-6963,3.0 / 5,"On vacation with my niece and treated her to lunch for her birthday. She requested to sit outside. Food was delicious. Service was great. View was beautiful! Outside noise from lawn mower, weed eater, and blower was disappointing. We arrived around 11:30 and it would have been nice if we could have heard each other talk but with the landscaping crew on grounds right near the outside deck it ruined the atmosphere.",10/25/12,http://www.pickgrapevine.com/wantmore5/the-cypress-inn,the-cypress-inn
Daniel George Restaurant and Bar,http://www.opentable.com/daniel-george-restaurant-and-bar?scpref=110&tab=2,4.2,"2837 Culver Rd Mountain Brook, AL  35223 ",63,Contemporary American,$30 and under,Birmingham,http://danielgeorgerestaurant.com,danielgeorgerest@bellsouth.net,(205) 871-3266,3.0 / 5,My husband took me there for my birthday. The food was very good but the server must have had too many tables because it was the worst service we have ever had at an upper scale restaurant. He was very pleasant but we were unable to get his attention for anything. He did not even check to see if our wine glasses needed refilling.,10/26/12,http://www.pickgrapevine.com/wantmore5/daniel-george-restaurant-and-bar,daniel-george-restaurant-and-bar
Dyrons Low country,http://www.opentable.com/dyrons-low-country?scpref=110&tab=2,4.4,"121 Oak Street Mountain Brook, AL  35213 ",90,Low Country,$31 to $50,Birmingham,http://www.dyronslowcountry.com,dyron@dyronslowcountry.com,(205) 834-8257,1.0 / 5,"I had a horrible experience! I got there on time for my 8:15pm reservation for a party of five & they seated at least half a dozen groups of walk-ins before us! The bar was too crowded to even order a drink while we had to wait! Stating that the diners at ""our table"" were finished eating, but had not left yet & didn't end up seating us until after 9:00pm & most of the patrons had deserted the place. Not only was our table not set up with proper place settings (even by the time they brought our appetizers), but prior they ignored taking our order making us wait even longer to eat. At which time of course there were a limited amount of entrees still left, forcing us to not be able to enjoy what we'd gone to that particular restaurant to eat!",10/26/12,http://www.pickgrapevine.com/wantmore5/dyrons-low-country,dyrons-low-country
Epiphany Cafe,http://www.opentable.com/epiphany-cafe?scpref=110&tab=2,4.2,"519 Greensboro Avenue Tuscaloosa, AL  35401 ",22,Contemporary American,$30 and under,Tuscaloosa,http://epiphanycafe.vpweb.com/,tresjac@aol.com,(205) 344-5583,3.0 / 5,Unique menu using local food. Chef is very creative and always updating menu.,10/25/12,http://www.pickgrapevine.com/wantmore5/epiphany-cafe,epiphany-cafe
Fleming's Prime Steakhouse & Wine Bar - Birmingham,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-birmingham?scpref=110&tab=2,4.7,"103 Summit Blvd. Birmingham, AL  35243 ",43,Steak,$31 to $50,Birmingham,http://www.flemingssteakhouse.com/BirmAL,birmingham@flemingssteakhouse.com,(205) 262-9463,5.0 / 5,The dining experience was simply outstanding.,10/26/12,http://www.pickgrapevine.com/wantmore5/flemings-prime-steakhouse-and-wine-bar-birmingham,flemings-prime-steakhouse-and-wine-bar-birmingham
Grille 29,http://www.opentable.com/grille-29?scpref=110&tab=2,4.6,"445 Providence Main Street, Ste 101 Huntsville, AL  35806 ",154,Contemporary American,$30 and under,Huntsville,http://www.grille29.com,troyg@grille29.com,(256) 489-9470,5.0 / 5,Went here with another couple before a downtown show. The service was attentive and the food was excellent. Only problem was inability to save room for dessert! I highly recommend this place.,10/28/12,http://www.pickgrapevine.com/wantmore5/grille-29,grille-29
