Benihana - Anchorage,http://www.opentable.com/benihana-anchorage?scpref=110&tab=2,4.0,"1100 W 8th Ave Anchorage, AK  99501 ",46,Japanese,$30 and under,Anchorage,http://www.benihana.com/locations/anchorage-ak-ac,alaska@benihana.com,(907) 222-5212,4 / 5,food was great service and your servers a plus to your business they were very friendly and fun I would recommend to others,10/02/2012,http://www.pickgrapevine.com/wantmore5/benihana-anchorage,benihana-anchorage
Cattle Company Steakhouse - Anchorage,http://www.opentable.com/cattle-company-steakhouse-anchorage?scpref=110&tab=2,4.3,"300 W. Tudor Road Anchorage, AK  99503 ",35,Steakhouse,$30 and under,Anchorage,http://blackangus.com,ba1023@blackangus.com,(907) 562-2844,4.3 / 5,"The food, service, servers were all outstanding! Best place iv eaten in a very long time! Definetly going back!",10/05/2012,http://www.pickgrapevine.com/wantmore5/cattle-company-steakhouse-anchorage,cattle-company-steakhouse-anchorage
Crow's Nest - Hotel Captain Cook,http://www.opentable.com/crows-nest-hotel-captain-cook?scpref=110&tab=2,4.4,"939 West 5th Ave Anchorage, AK  99501 ",142,American,$31 to $50,Anchorage,http://www.captaincook.com/dining/crows-nest,hickelinvestment@gci.net,(907) 343-2217,4.4 / 5,We were very pleased with the fresh fish. Excellent flavor and quality. My only complaint was were sitting in a corner enjoying a romantic evening and the hostess seated a birthday party of 4 ladies right behind us that we're loud even though many other sections were completely empty. Would have preferred to avoid that.,10/09/2012,http://www.pickgrapevine.com/wantmore5/crows-nest-hotel-captain-cook,crows-nest-hotel-captain-cook
Ginger,http://www.opentable.com/ginger?scpref=110&tab=2,4.3,"425 W. 5th Ave. Anchorage, AK  99501 ",104,Pan-Asian,$30 and under,Anchorage,http://gingeralaska.com,ginger@gci.net,(907) 929-3680,4.3 / 5,"My girlfriend and I went there for our second year anniversary,the waitress congragulated us on it. And wished us many more,the staff was great n so was the feel of the place.defiantly a good spot for romantic dates or even just a night out",10/06/2012,http://www.pickgrapevine.com/wantmore5/ginger,ginger
Glacier BrewHouse,http://www.opentable.com/glacier-brewhouse?scpref=110&tab=2,4.2,"737 W. 5th Ave Anchorage, AK  99501 ",517,Seafood,$30 and under,Anchorage,http://www.glacierbrewhouse.com,reservations@glacierbrewhouse.com,(907) 274-2739,4.2 / 5,"Every time we've eaten here, we've always had great experience/service. We love the calamari, but we've noticed lately that the amount of calamari on the plate has diminished. We have to order 2 now. Overall, Outstanding Service!",10/07/2012,http://www.pickgrapevine.com/wantmore5/glacier-brewhouse,glacier-brewhouse
Jens' Restaurant,http://www.opentable.com/jens-restaurant?scpref=110&tab=2,4.6,"701 West 36th Avenue Anchorage, AK  99503 ",76,Seafood,$31 to $50,Anchorage,http://www.jensrestaurant.com,jens@alaska.net,(907) 561-5367,4.6 / 5,"We had the calamari piccata appetizer and both chose the Filet Wellington (perfectly medium rare) for our entrées. For dessert we had the Danish berry pudding, finished tableside with rich cream. Everything was delicious! The servers were friendly and attentive and I loved the atmosphere. Definitely a special occasion restaurant for us!",10/06/2012,http://www.pickgrapevine.com/wantmore5/jens-restaurant,jens-restaurant
Kincaid Grill,http://www.opentable.com/kincaid-grill?scpref=110&tab=2,4.5,"6700 Jewel Lake Road Anchorage, AK  99502 ",63,Seafood,$31 to $50,Anchorage,http://www.kincaidgrill.com,kincaidgrill@gci.net,(907) 243-0507,4.5 / 5,"Food was wonderful, as always. Still our favorite foodie destination in Anchorage.",09/25/2012,http://www.pickgrapevine.com/wantmore5/kincaid-grill,kincaid-grill
Kinley's Restaurant and Bar,http://www.opentable.com/kinleys-restaurant-and-bar?scpref=110&tab=2,4.1,"3230 Seward Highway Anchorage, AK  99503 ",83,Contemporary American,$30 and under,Anchorage,http://www.kinleysrestaurant.com/,kinleys@ak.net,(907) 644-8953,4.1 / 5,"Late evening dinner, last to leave but not the slightest hint that we were keeping thestaff from other things. Food and wine were excellent. Service was the best of Alaskan, friendly, on time and very helpful.",10/08/2012,http://www.pickgrapevine.com/wantmore5/kinleys-restaurant-and-bar,kinleys-restaurant-and-bar
Lucy's - University of Alaska Anchorage,http://www.opentable.com/lucys-university-of-alaska-anchorage?scpref=110&tab=2,4.7,"3211 Providence Drive Cuddy Hall Anchorage, AK  99508",14,Contemporary American,$30 and under,Anchorage,http://www.uaa.alaska.edu/ctcnew/programs/culinary/lucy-cuddy-dining.cfm,aychef@uaa.alaska.edu,(907) 786-1122,4.8 / 5,"Lucy's is a fine dining restaurant that supports the UAA Culinary program. Since the food is cooked by students there is a potential for the food to be ""hit or miss"", though I have experienced more hits than misses.I think it is a wonderful thing they are doing for the students and recommend that all my friends go check it out at least twice.",10/09/2012,http://www.pickgrapevine.com/wantmore5/lucys-university-of-alaska-anchorage,lucys-university-of-alaska-anchorage
Marx Bros Cafe,http://www.opentable.com/marx-bros-cafe?scpref=110&tab=2,4.6,"627 W Third Avenue Anchorage, AK  99501 ",74,Contemporary American,$31 to $50,Anchorage,http://marxcafe.com,reservations@marxcafe.com,(907) 278-2133,4.6 / 5,"Top notch gourmet food in a comfortable, homey setting. Like going for dinner at your aunt's house, and your aunt is a 5 star chef.",10/06/2012,http://www.pickgrapevine.com/wantmore5/marx-bros-cafe,marx-bros-cafe
Maxine’s Fireweed Bistro,http://www.opentable.com/maxines-fireweed-bistro?scpref=110&tab=2,4.3,"302 W Fireweed Ln Anchorage, AK  99503 ",97,Modern European,$30 and under,Anchorage,http://www.maxinesfireweedbistro.com,maxinesfireweedbistro@gmail.com,(907) 770-7600,4.3 / 5,"We were truly amazed. What a great find. I had the pork belly and my husband had a New York strip with foie gras. In Anchorage! So good, great wine selection and the service was amazing. Friendly without being intrusive. Just a wonderful dinner.",10/06/2012,http://www.pickgrapevine.com/wantmore5/maxines-fireweed-bistro,maxines-fireweed-bistro
Muse,http://www.opentable.com/muse?scpref=110&tab=2,4.3,"625 C Street Anchorage, AK  99501 ",43,Contemporary American,$30 and under,Anchorage,http://www.marxcafe.com ,catering@marxcafe.com,(907) 929-9210,4.3 / 5,Food was great. Kitchen and bar were slow. It was a busy night though,10/05/2012,http://www.pickgrapevine.com/wantmore5/muse,muse
