21 (Twenty-One) Restaurant - fka Ferneau,http://www.opentable.com/21-twenty-one-restaurant-fka-ferneau?scpref=110&tab=2,4.3,"2601 Kavanaugh Blvd. Little Rock, AR  72205 ",43,Contemporary American,$31 to $50,Little Rock,http://www.twentyonerestaurant.com/,kimberly@fletcherauto.com,(501) 603-9208,3 / 5,"First two courses amazing. We sampled 6 appetizers and all were top quality, delicious. Entrees equally good food, prepared extremely well, showcased D. Ferneau talents. Dessert course was average - we sampled all options and the creme brulees were a runny egg white texture. Waitress was very good. Decor and atmosphere are not what we prefer. Liked the ""scene"" better when it was just Ferneau.",10/20/2012,http://www.pickgrapevine.com/wantmore5/21-twenty-one-restaurant-fka-ferneau,21-twenty-one-restaurant-fka-ferneau
28 Springs Restaurant,http://www.opentable.com/28-springs-restaurant?scpref=110&tab=2,4.5,"100 East University Siloam Springs, AR  72761 ",33,American,$30 and under,Fayetteville / Siloam Springs,http://28springs.com,info@28springs.com,(479) 524-2828,5 / 5,Food is incredibly delicious and it's affordable!,10/13/2012,http://www.pickgrapevine.com/wantmore5/28-springs-restaurant,28-springs-restaurant
Ashley's Restaurant - Capital Hotel,http://www.opentable.com/ashleys-restaurant-capital-hotel?scpref=110&tab=2,4.7,"111 West Markham Street Little Rock, AR  72201 ",46,American,$31 to $50,Little Rock,http://www.ashleysatthecapital.com,lingold@capitalhotel.com,(501) 370-7011,5 / 5,Free valet parking is a big plus,10/14/2012,http://www.pickgrapevine.com/wantmore5/ashleys-restaurant-capital-hotel,ashleys-restaurant-capital-hotel
Bordinos,http://www.opentable.com/bordinos?scpref=110&tab=2,4.5,"310 W. Dickson St. Fayetteville, AR  72701 ",47,Italian,$31 to $50,Fayetteville / Rogers,http://www.bordinos.com,bordinosdining@aol.com,(479) 527-6795,3 / 5,overall my food was good but not excellent. it definately was not unique in taste but presentation was nice. most dishes were quite pricey so i don't think the food was worth the price.,10/20/2012,http://www.pickgrapevine.com/wantmore5/bordinos,bordinos
Brave New Restaurant,http://www.opentable.com/brave-new-restaurant?scpref=110&tab=2,4.5,"2300 Cottondale Lane Suite 102 Little Rock, AR  72202",113,Contemporary American,$31 to $50,Little Rock,http://bravenewrestaurant.com,bnr@msn.com,(501) 663-2677,5 / 5,"This is one of those paces that is a gem. The building it is in looks like a typical office structure, but once inside the restaurant, you realize this is fine dining. The view along the river is fine and there is a nice outdoor seating area. This heirloom tomato salad was sumptuous and filling. The fish was excellent and the veal was tender. I look forward to taking advantage of it the next visit to Little Rock.",10/13/2012,http://www.pickgrapevine.com/wantmore5/brave-new-restaurant,brave-new-restaurant
Central Park Fusion,http://www.opentable.com/central-park-fusion?scpref=110&tab=2,4.3,"200 Park Ave Hot Springs, AR  71901 ",40,Fusion / Eclectic,$31 to $50,Hot Springs,http://centralparkfusion.com,info@centralparkfusion.com,(501) 623-0202,4 / 5,"This was a special occasion and we weren't disappointed. We were seated close to the noisy bar(not a good place to be). Our waiter took good care of us and we appreciated his service. The food was great. The noise level was high and ambiance low, for an upscale restaurant, but I would recommend it. We will go back there.",10/13/2012,http://www.pickgrapevine.com/wantmore5/central-park-fusion,central-park-fusion
Little Rock Ya Ya's,http://www.opentable.com/little-rock-ya-yas?scpref=110&tab=2,4.5,"17711 Chenal Parkway Little Rock, AR  72223 ",84,Mediterranean,$30 and under,Little Rock,http://www.yiayias.com/,wkwelsch@yahoo.com,(501) 821-1144,5 / 5,We love this place! Great food and atmosphere!!!,10/21/2012,http://www.pickgrapevine.com/wantmore5/little-rock-ya-yas,little-rock-ya-yas
Lulav,http://www.opentable.com/lulav?scpref=110&tab=2,3.8,"220 West 6th Street Little Rock, AR  72201 ",32,Mediterranean,$31 to $50,Little Rock,http://www.lulaveatery.com,mlile@lulaveatery.com,(501) 374-5100,5 / 5,"We really like Lulav and have eaten there at least 6 times in the last year. Great food. Service on week nights can be slow, leisurely if you are not in a rush. We had the lamb steak and short ribs. Both were excellent.",10/15/2012,http://www.pickgrapevine.com/wantmore5/lulav,lulav
Mermaid's Seafood Restaurant,http://www.opentable.com/mermaids-seafood-restaurant?scpref=110&tab=2,4.7,"2217 North College Avenue Fayetteville, AR  72703 ",3,Seafood,$30 and under,Fayetteville / Rogers,http://www.mermaids.ws/index.php,mermaids.ws@gmail.com,(479) 443-3737,4 / 5,"Always lives up to expectations. Friendly, relaxed (but talented) staff, great food, good wine. Worth a visit.",09/15/2012,http://www.pickgrapevine.com/wantmore5/mermaids-seafood-restaurant,mermaids-seafood-restaurant
Michelangelo's,http://www.opentable.com/michelangelos?scpref=110&tab=2,4.8,"1117 Oak St Conway, AR  72032 ",4,Contemporary American,$30 and under,Conway,http://michelangelosconway.com,mkmikesplace@yahoo.com,(501) 329-7278,5 / 5,"Great place, service oriented.",08/17/2012,http://www.pickgrapevine.com/wantmore5/michelangelos,michelangelos
