Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
1886 Cafe & Bakery - Driskill Hotel,austin-texas,5,28,3.8,http://www.opentable.com/1886-cafe-and-bakery-driskill-hotel?scpref=110,(512) 391-7066,driskillinfo@destinationhotels.com
ALC Steaks (Austin Land & Cattle),austin-texas,10,139,4.3,http://www.opentable.com/alc-steaks-austin-land-and-cattle?scpref=110,(512) 472-1813,steaks@austin.rr.com
Andiamo Ristorante,austin-texas,3,39,4.4,http://www.opentable.com/andiamo-ristorante?scpref=110,(512) 719-3377,""
ASTI Trattoria,austin-texas,10,123,4.3,http://www.opentable.com/asti-trattoria?scpref=110,(512) 451-1218,astiaustin@gmail.com
August E's,austin-texas,0,11,4.3,http://www.opentable.com/august-es?scpref=110,(830) 997-1585,info@august-es.com
Bar Mirabeau,austin-texas,6,40,3.4,http://www.opentable.com/bar-mirabeau?scpref=110,(512) 436-9633,info@barmirabeau.com
Bess Bistro,austin-texas,10,55,4.1,http://www.opentable.com/bess?scpref=110,(512) 477-2377,johnw@bessbistro.com
Bob's Steak and Chop House - Austin,austin-texas,9,148,4.2,http://www.opentable.com/bobs-steak-and-chop-house-austin?scpref=110,(512) 222-2627,k.johnson@bobs-steakandchop.com
Botticelli's,austin-texas,10,130,4.3,http://www.opentable.com/botticellis?scpref=110,(512) 916-1315,botticellissouthcongress@yahoo.com
Buca di Beppo - Austin,austin-texas,10,91,4.3,http://www.opentable.com/buca-di-beppo-austin?scpref=110,(512) 342-8462,austin@bucadibeppo.com
Cabernet Grill Texas Wine Country Restaurant,austin-texas,10,162,4.6,http://www.opentable.com/cabernet-grill-texas-wine-country-restaurant?scpref=110,(830) 990-5734,greatfood@cottonginlodging.com
Cafe Josie,austin-texas,4,69,4.4,http://www.opentable.com/cafe-josie?scpref=110,(512) 322-9226,""
Cafe Malta,austin-texas,5,55,4.2,http://www.opentable.com/cafe-malta?scpref=110,(512) 853-9584,reservations@cafemaltaaustin.com
Cantina Laredo - Austin,austin-texas,0,21,4.0,http://www.opentable.com/cantina-laredo-austin?scpref=110,(512) 542-9670,austin@cantinalaredo.com
Carillon Restaurant,austin-texas,7,74,4.6,http://www.opentable.com/carillon-restaurant?scpref=110,(512) 404-3655,thecarillon@attconf.utexas.edu
Carmelo's Ristorante Italiano - Austin,austin-texas,10,107,4.3,http://www.opentable.com/carmelos-ristorante-italiano-austin?scpref=110,(512) 477-7497,carmelos@carmelosrestaurant.com
Chez Zee,austin-texas,10,239,4.3,http://www.opentable.com/chez-zee?scpref=110,(512) 454-2666,talktous@chezzee.com
Cipollina,austin-texas,10,66,4.2,http://www.opentable.com/cipollina?scpref=110,(512) 477-5211,cipollina@cipollina-austin.com
Clay Pit,austin-texas,10,133,4.4,http://www.opentable.com/clay-pit?scpref=110,(512) 322-5131,austin@claypit.com
Congress,austin-texas,6,114,4.6,http://www.opentable.com/congress?scpref=110,(512) 827-2760,congress@congressaustin.com
Cool River Cafe - Austin,austin-texas,8,95,4.3,http://www.opentable.com/cool-river-cafe-austin?scpref=110,(512) 835-0010,austinevents@coolrivercafe.com
Cypress Grill,austin-texas,6,79,4.4,http://www.opentable.com/cypress-grill?scpref=110,(512) 358-7474,john@cypressgrill.net
Daily Grill - Austin,austin-texas,5,55,4.1,http://www.opentable.com/daily-grill-austin?scpref=110,(512) 836-4200,austindg@thegrill.com
Driskill Grill - Driskill Hotel,austin-texas,9,113,4.5,http://www.opentable.com/driskill-grill-driskill-hotel?scpref=110,(512) 391-7162,""
Eddie V's - 5th Street,austin-texas,10,306,4.5,http://www.opentable.com/eddie-vs-5th-street?scpref=110,(512) 472-1860,""
Eddie V's - Arboretum,austin-texas,10,200,4.6,http://www.opentable.com/eddie-vs-arboretum?scpref=110,(512) 342-2642,""
El Alma Cafe y Cantina,austin-texas,1,45,4.1,http://www.opentable.com/el-alma-cafe-y-cantina?scpref=110,(512) 609-8923,info@elalmacafe.com
El Chile Cafe y Cantina,austin-texas,2,17,4.1,http://www.opentable.com/el-chile-cafe-y-cantina?scpref=110,(512) 457-9900,info@elchilecafe.com
El Naranjo,austin-texas,10,122,4.3,http://www.opentable.com/el-naranjo?scpref=110,(512) 474-2776,inquiries@elnaranjo-restaurant.com
