18 Asian and Sushi Bar,http://www.opentable.com/18-asian-and-sushi-bar?scpref=110&tab=2,4.1,"9935 Rea Rd Charlotte, NC  28277 ",10,Asian,$30 and under,Charlotte,http://www.18blakeney.com,info@18blakeney.com,(704) 845-1801,4.0 out of 5,"Food was excellent and so if that is your main thing certainly take a trip here. It is expensive for a Sushi bar, starter, 3 types of sashimi and some of the more exotic rolls could easily run a bill up to and perhaps over $50 per person before tip.It is very noisy getting to the point at times that people were almost shouting to be heard.Once the server arrived I will say that he was quite attentive, but there was no real feeling of welcome in entering the restaurant.",07/26/2012,http://www.pickgrapevine.com/wantmore6/18-asian-and-sushi-bar,18-asian-and-sushi-bar
300 East,http://www.opentable.com/300-east?scpref=110&tab=2,4.3,"300 East Blvd Charlotte, NC  28203 ",183,American,$30 and under,Charlotte,http://www.300east.net/,threehundredeast@gmail.com,(704) 332-6507,5.0 out of 5,We love 300 East! The menu is creative and the food wholesome. We eat there every week.,09/02/2012,http://www.pickgrapevine.com/wantmore6/300-east,300-east
5Church,http://www.opentable.com/5church?scpref=110&tab=2,4.1,"127 N Tryon St Entrance at corner 5th St. &amp; Church St. Charlotte, NC  28202",368,American,$30 and under,Uptown,http://www.5church.com,info@5church.com,(704) 919-1322,2.0 out of 5,"My wife and I ate here for our wedding aniversary. The food was incredible! The bacon pizza is the best I have ever had and my pork chop was cut with a butter knife. My wife's chicken was juicy and well prepared. I would not, however, recommend this place for anyone looking to have a conversation. The tables are very close and the noise level is so loud that romance is out the door. Lots of large groups that were there more for the alcohol rather than the food. I would come again but only if I were with a large party looking to eat and drink the night away.",11/05/2012,http://www.pickgrapevine.com/wantmore6/5church,5church
A Piece of Havana,http://www.opentable.com/a-piece-of-havana?scpref=110&tab=2,4.0,"11126 S Tryon St Charlotte, NC  28273 ",21,Cuban,$30 and under,Charlotte,http://www.apieceofhavana.com,plasnciab@bellsouth.net,(704) 588-7883,5.0 out of 5,"My husband and I were looking for someplace different to celebrate our anniversary. We thought we would give A Piece of Havana a try. We were pleasantly surprised. From the menu to the people, everything was enjoyable. We can't wait to come back again.",10/09/2012,http://www.pickgrapevine.com/wantmore6/a-piece-of-havana,a-piece-of-havana
Amor De Brazil,http://www.opentable.com/amor-de-brazil?scpref=110&tab=2,4.2,"2225 Matthews Township Pkwy Matthews, NC  28105 ",81,Brazilian Steakhouse,$30 and under,Matthews,http://amordebrazilsteakhouse.com/clt,info@amordebrazilsteakhouse.com,(704) 841-1241,4.0 out of 5,"We had a great experience at Amor de Brazil. It was our first time there, and were veryimpressed as we did not know what to expect. Great food, meats were plentiful, and alwaysfresh, great salad bar. Service was very attentive. Give it a try, you won't be disappointed!",11/03/2012,http://www.pickgrapevine.com/wantmore6/amor-de-brazil,amor-de-brazil
Aria Tuscan Grill,http://www.opentable.com/aria-tuscan-grill?scpref=110&tab=2,4.2,"100 N. Tryon Street Charlotte, NC  28202 ",255,Italian,$30 and under,Charlotte,http://www.ariacharlotte.com,briana@sonomarestaurants.net,(704) 376-8880,3.0 out of 5,Food was not quite as good as it has been in the past but will probably return...,11/06/2012,http://www.pickgrapevine.com/wantmore6/aria-tuscan-grill,aria-tuscan-grill
Arooji's Wine Room & Ristorante,http://www.opentable.com/aroojis-wine-room-and-ristorante?scpref=110&tab=2,4.3,"720 Governor Morrison Street Suite 120 Charlotte, NC  28211",22,Italian,$30 and under,SouthPark,http://www.aroojis.com,southpark.aroojis@gmail.com,(704) 366-6610,3.0 out of 5,"Food was very good as usual. However service was slow and uncertain. Three of us had the wine tasting and although the wine was good, we had to remind the server for the second and third glasses. It was like she was unaware that we had more wine coming.",09/19/2012,http://www.pickgrapevine.com/wantmore6/aroojis-wine-room-and-ristorante,aroojis-wine-room-and-ristorante
Bernardin's Restaurant - Charlotte,http://www.opentable.com/bernardins-restaurant-charlotte?scpref=110&tab=2,4.4,"435 S Tryon St Charlotte, NC  28202 ",114,Contemporary American,$30 and under,Charlotte,http://www.bernardinsfinedining.com,info@bernardinsfinedining.com,(704) 332-3188,4.0 out of 5,"We had my family birthday dinner at Bernardin's. The menu selections were wonderful, something for everyone. The wait staff was attentive and accommodating. We had a lovely evening.",11/03/2012,http://www.pickgrapevine.com/wantmore6/bernardins-restaurant-charlotte,bernardins-restaurant-charlotte
Big View Diner,http://www.opentable.com/big-view-diner?scpref=110&tab=2,4.2,"16637 Lancaster Highway Charlotte, NC  28277 ",22,American,$30 and under,Charlotte,http://bigviewdiner.com/,angelo@stratosrestaurantgroup.com,(704) 544-0313,4.0 out of 5,We have started eating Breakfast every Sunday morning before Church at Big View. We try to sit in Kristin's section because she is so lively and has a bubbly. She takes great care of us. The food is irresistible. We have a hard time choosing because everything is so good. We Love Big View Diner.,09/16/2012,http://www.pickgrapevine.com/wantmore6/big-view-diner,big-view-diner
Bistro La Bon,http://www.opentable.com/bistro-la-bon?scpref=110&tab=2,4.3,"1322 Central Ave Charlotte, NC  28205 ",80,Mediterranean,$30 and under,Charlotte,http://www.bistrolabon.com,bistrolabon@gmail.com,(704) 333-4646,4.0 out of 5,First time at this place and with a group of 8. Food was excellent,10/18/2012,http://www.pickgrapevine.com/wantmore6/bistro-la-bon,bistro-la-bon
