22 North,http://www.opentable.com/22-north?scpref=110&tab=2,4.1,"22 N Lumina Ave Wrightsville Beach, NC  28480 ",64,Contemporary American,$30 and under,Wrightsville Beach,http://www.22north.net,jjradle@netzero.com,(910) 509-0177,2.0 out of 5,"Went here the weekend of November 3, off season I guess, because the food was off compared to the favorable remarks we saw on the site. The bacon wrapped scallops and bread basket breads were excellent. Wish we had stopped there. Taste is so subjective. The bronzed catfish was good, but the shrimp and grits with a bbq sauce swirl and the peanut butter pie did not 'wow' us. The wait staff were very nice and knowledgeable.",11/02/2012,http://www.pickgrapevine.com/wantmore6/22-north,22-north
247 Craven,http://www.opentable.com/247-craven?scpref=110&tab=2,4.5,"247 Craven St New Bern, NC  90436 ",49,Contemporary American,$30 and under,New Bern,http://www.247craven.com,ashley@247craven.com,(252) 635-1879,4.0 out of 5,"Loved the wine list, the specials (salmon rillettes & osso buco) and the bolagnese!",10/30/2012,http://www.pickgrapevine.com/wantmore6/247-craven,247-craven
Aqua Restaurant,http://www.opentable.com/aqua-restaurant?scpref=110&tab=2,4.3,"114 Middle Lane Beaufort, NC  28516 ",83,Seafood,$30 and under,Beaufort / Morehead City,http://www.aquaexperience.com,aquarest@aquaexperience.com,(252) 728-7777,5.0 out of 5,"We were greeted with great enthusiasm at this quaint, back street, eclectic restaurant. A friendly server offered a menu of tapas, small plates, and large plares. Wonderful opportunity for sharing. The martini menu was creative and top shelf. We will return.",10/31/2012,http://www.pickgrapevine.com/wantmore6/aqua-restaurant,aqua-restaurant
"Aqua Restaurant and Spa - Duck, NC",http://www.opentable.com/aqua-restaurant-and-spa-duck-nc?scpref=110&tab=2,4.2,"1174 Duck Rd Duck, NC  27949 ",131,Organic,$30 and under,Duck,http://www.aquaobx.com,lynettesumner@yahoo.com,(252) 261-9700,4.0 out of 5,Wonderful location overlooking the sound and food is delicious!,10/23/2012,http://www.pickgrapevine.com/wantmore6/aqua-restaurant-and-spa-duck-nc,aqua-restaurant-and-spa-duck-nc
Aubriana's Fine Dining,http://www.opentable.com/aubrianas-fine-dining?scpref=110&tab=2,4.4,"115 S. Front Street Wilmington, NC  28401 ",55,American,$30 and under,Wilmington,http://aubrianas.com,aubrianasdowntown@gmail.com,(910) 763-7773,4.0 out of 5,Fried green tomatoes appetizer just ordinary but rest of dinner was superb.,10/25/2012,http://www.pickgrapevine.com/wantmore6/aubrianas-fine-dining,aubrianas-fine-dining
The Bistro at Just Baked,http://www.opentable.com/the-bistro-at-just-baked?scpref=110&tab=2,4.4,"205 S. Topsail Dr. Surf City, NC  28445 ",158,Seafood,$30 and under,Surf City,http://www.topsailbistro.com,budtaylor@topsailbistro.com,(910) 328-2000,4.0 out of 5,Very nice overall experience. Delicious and thoughtful. We will go back often.,10/26/2012,http://www.pickgrapevine.com/wantmore6/the-bistro-at-just-baked,the-bistro-at-just-baked
The Blue Point,http://www.opentable.com/the-blue-point?scpref=110&tab=2,4.4,"1240 Duck Road / PO Box 8399 Duck, NC  27949 ",262,Contemporary American,$31 to $50,Duck,http://www.thebluepoint.com,reservations@thebluepoint.com,(252) 261-8090,5.0 out of 5,Love Blue Point! Its one of our favorite restaurants in the Outer Banks!,11/03/2012,http://www.pickgrapevine.com/wantmore6/the-blue-point,the-blue-point
Caprice Bistro,http://www.opentable.com/caprice-bistro?scpref=110&tab=2,4.6,"10 Market Street Wilmington, NC  28401 ",117,French,$30 and under,Wilmington,http://capricebistro.com,capricebistro@yahoo.com,(910) 815-0810,5.0 out of 5,Great food. Loved the mussels! We will certainly be back again and again.,11/04/2012,http://www.pickgrapevine.com/wantmore6/caprice-bistro,caprice-bistro
Catch - Modern Seafood Cuisine,http://www.opentable.com/catch-modern-seafood-cuisine?scpref=110&tab=2,4.4,"6623 Market St Wilmington, NC  28405 ",151,Seafood,$30 and under,Wilmington,http://www.catchwilmington.com/index.html,onebadchef@hotmail.com,(910) 799-3847,5.0 out of 5,"This was our second time at Catch and both meals have been awesome. If you haven't been here - you are in for a treat. The biggest problem I have is deciding what to order since everything is so good! Great sauces, presentation, fresh ingredients. I had the crab cakes this time and they were outrageous. Definitely the best I have ever had - which is saying a lot since I grew up in New England. We definitely will go back soon.",11/02/2012,http://www.pickgrapevine.com/wantmore6/catch-modern-seafood-cuisine,catch-modern-seafood-cuisine
Chefs 105,http://www.opentable.com/chefs-105?scpref=110&tab=2,4.4,"105 S. 7th St Morehead City, NC  28557 ",29,Contemporary American,$30 and under,Beaufort / Morehead City,http://www.chefs105.com,chefs105@gmail.com,(252) 240-1105,1.0 out of 5,"We are local customers and dine out at least a couple times a week. This wasn't our first visit to Chef's but will most likely be our last. My wife and I both ordered the filet special with crab and it was terrible. The beef was tough, tasteless and chewy. I cannot believe it was even filet, the worst cut of beef I have ever been served. I asked the waitress to take the half I left and ask the chef to try to cut it. To my amazement the management/kitchen did nothing to even acknowledge the poor quality, they just kept serving the ""special"". The waitress did offer to take it back and bring something else but by that point I was ready to leave. Unbelievable! On the other hand the apps and sides and were quite good and the wine was excellent.",10/20/2012,http://www.pickgrapevine.com/wantmore6/chefs-105,chefs-105
