Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
The 2nd Floor,dallas-texas,3,38,3.9,http://www.opentable.com/the-2nd-floor?scpref=110,(972) 450-2978,ann.joyce@westin.com
Abacus,dallas-texas,10,195,4.5,http://www.opentable.com/abacus-dallas?scpref=110,(214) 559-3111,abacus@kentrathbun.com
Afghan Grill,dallas-texas,0,15,4.1,http://www.opentable.com/afghan-grill?scpref=110,(972) 818-0300,afghangrill@gmail.com
Al Biernats,dallas-texas,10,319,4.6,http://www.opentable.com/al-biernats?scpref=110,(214) 219-2201,brad@albiernats.com
Arcodoro & Pomodoro - Dallas,dallas-texas,9,79,4.0,http://www.opentable.com/arcodoro-and-pomodoro-dallas?scpref=110,(214) 871-1924,pomodoro@arcodoro.com
Artin's Grill,dallas-texas,10,206,4.4,http://www.opentable.com/artins-grill?scpref=110,(469) 366-3660,hr@artinsgrill.com
Asador,dallas-texas,2,29,3.7,http://www.opentable.com/asador?scpref=110,(214) 631-2222,""
Avanti Ristorante,dallas-texas,4,59,4.5,http://www.opentable.com/avanti-ristorante?scpref=110,(214) 871-4955,Avanti.Ristorante@AvantiRestaurants.com
Baboush,dallas-texas,3,34,4.2,http://www.opentable.com/baboush?scpref=110,(214) 599-0707,contact@baboushdallas.com
Benihana - Dallas,dallas-texas,10,153,4.3,http://www.opentable.com/benihana-dallas?scpref=110,(972) 387-4404,dallas@benihana.com
Benihana - Las Colinas,dallas-texas,8,87,4.2,http://www.opentable.com/benihana-las-colinas?scpref=110,(972) 550-0060,lascolinas@benihana.com
Benihana - Plano,dallas-texas,10,121,4.0,http://www.opentable.com/benihana-plano?scpref=110,(469) 467-2242,benplano@benihana.com
Bijoux,dallas-texas,7,77,4.1,http://www.opentable.com/bijoux?scpref=110,(214) 350-6100,info@bijouxrestaurant.com
Bistro N,dallas-texas,5,55,4.3,http://www.opentable.com/bistro-n?scpref=110,(214) 231-3810,john.carros@nordstrom.com
Blu,dallas-texas,10,71,4.6,http://www.opentable.com/blu-allen?scpref=110,(972) 727-7180,""
The Blue Fish - Allen,dallas-texas,2,28,4.4,http://www.opentable.com/the-blue-fish-allen?scpref=110,(972) 908-3433,bo_nguyen@thebluefishsushi.com
The Blue Fish Japanese Restaurant - Las Colinas,dallas-texas,4,41,4.4,http://www.opentable.com/the-blue-fish-japanese-restaurant-las-colinas?scpref=110,(972) 385-3474,guestrelations@thebluefishsushi.com
The Blue Fish Japanese Restaurant-North Dallas,dallas-texas,4,45,4.1,http://www.opentable.com/the-blue-fish-japanese-restaurant-north-dallas?scpref=110,(972) 250-3474,TheBlueFishND@yahoo.com
The Blue Fish-Greenville Ave,dallas-texas,5,26,4.3,http://www.opentable.com/the-blue-fish-greenville-ave?scpref=110,(214) 824-3474,""
Bob's Steak & Chop House - Dallas on Lamar,dallas-texas,10,140,4.5,http://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lamar?scpref=110,(214) 652-4800,bobs.lamar@bobs-steakandchop.com
Bob's Steak & Chop House - Dallas on Lemmon Avenue,dallas-texas,10,151,4.4,http://www.opentable.com/bobs-steak-and-chop-house-dallas-on-lemmon-avenue?scpref=110,(214) 528-9446,bobs.dallas@bobs-steakandchop.com
Bob's Steak & Chop House - Grapevine,dallas-texas,10,216,4.3,http://www.opentable.com/bobs-steak-and-chop-house-grapevine?scpref=110,(817) 481-5555,bobs.grapevine@bobs-steakandchop.com
Bob's Steak & Chop House - Plano,dallas-texas,9,186,4.5,http://www.opentable.com/bobs-steak-and-chop-house-plano?scpref=110,(972) 608-2627,""
Bob's Steak and Chop House - Fort Worth,dallas-texas,10,79,4.3,http://www.opentable.com/bobs-steak-and-chop-house-fort-worth?scpref=110,(817) 350-4100,bobs.fortworth@bobs-steakandchop.com
Boi Na Braza - Dallas,dallas-texas,10,57,4.4,http://www.opentable.com/boi-na-braza-dallas?scpref=110,(817) 329-5514,boinabraza.dfw@boinabraza.com
Bonnell's Fine Texas Cuisine,dallas-texas,10,130,4.6,http://www.opentable.com/bonnells-fine-texas-cuisine?scpref=110,(817) 738-5489,info@bonnellstexas.com
Bonnie Ruth's Cafe et Patisserie,dallas-texas,10,69,4.0,http://www.opentable.com/bonnie-ruths-cafe-et-patisserie?scpref=110,(214) 705-7775,managers@bonnieruths.com
Braza Dancante,dallas-texas,5,31,4.1,http://www.opentable.com/braza-dancante?scpref=110,(972) 678-4778,info@brazadancante.com
Brownstone,dallas-texas,5,43,3.7,http://www.opentable.com/brownstone?scpref=110,(817) 332-1555,Reservations@Brownstonerestaurants.com
Buca di Beppo - Frisco,dallas-texas,9,94,4.2,http://www.opentable.com/buca-di-beppo-frisco?scpref=110,(972) 668-3287,dallasfrisco@bucadibeppo.com
Buca di Beppo - Mesquite,dallas-texas,6,20,3.9,http://www.opentable.com/buca-di-beppo-mesquite?scpref=110,(972) 279-2822,Mesquite@bucainc.com
Buca di Beppo - Park Lane,dallas-texas,7,81,4.1,http://www.opentable.com/buca-di-beppo-park-lane?scpref=110,(214) 361-8462,northpark@bucadibeppo.com
Buca di Beppo - Southlake,dallas-texas,10,83,4.1,http://www.opentable.com/buca-di-beppo-southlake?scpref=110,(817) 749-6262,dallassouthlake@bucadibeppo.com
Buttons Food and Music-Addison,dallas-texas,8,87,3.9,http://www.opentable.com/buttons-food-and-music-addison?scpref=110,(972) 503-2888,Addison@ButtonsRestaurant.com
Buttons Food and Music-Fort Worth,dallas-texas,10,108,4.3,http://www.opentable.com/buttons-food-and-music-fort-worth?scpref=110,(817) 735-4900,ButtonsRestaurant@att.net
Cacharel Restaurant,dallas-texas,10,109,4.5,http://www.opentable.com/cacharel-restaurant?scpref=110,(817) 640-9981,""
Cadot Restaurant,dallas-texas,6,63,4.5,http://www.opentable.com/cadot-restaurant?scpref=110,(972) 267-5700,cadotrestaurant@att.net
Cafe des Artistes,dallas-texas,10,86,3.7,http://www.opentable.com/cafe-des-artistes?scpref=110,(214) 701-3396,""
Cafe Malaga,dallas-texas,5,43,4.4,http://www.opentable.com/cafe-malaga?scpref=110,(972) 542-9996,albert.segui@comcast.net
Cafe Modern,dallas-texas,9,141,4.2,http://www.opentable.com/cafe-modern?scpref=110,(817) 840-2157,""
Cafe on the Green at the Four Seasons Dallas,dallas-texas,2,28,4.2,http://www.opentable.com/cafe-on-the-green-at-the-four-seasons-dallas?scpref=110,(972) 717-2420,cafeonthegreen.dallas@fourseasons.com
Cafe Pacific,dallas-texas,10,102,4.5,http://www.opentable.com/cafe-pacific?scpref=110,(214) 526-1170,info@cafepacificdallas.com
Capital Grille - Dallas - Uptown,dallas-texas,10,163,4.7,http://www.opentable.com/capital-grille-dallas-uptown?scpref=110,(214) 303-0500,Dallas@tcgdine.com
Capital Grille - Fort Worth,dallas-texas,10,162,4.6,http://www.opentable.com/capital-grille-fort-worth?scpref=110,(817) 348-9200,Forthworth@tcgdine.com
Cast Iron at the Omni Fort Worth,dallas-texas,7,28,3.8,http://www.opentable.com/cast-iron-at-the-omni-fort-worth?scpref=110,(817) 350-4106,rsnow@omnihotels.com
The Cedars Social,dallas-texas,7,55,4.1,http://www.opentable.com/the-cedars-social?scpref=110,(214) 928-7700,brian@thecedarssocial.com
Central 214 - Hotel Palomar Dallas,dallas-texas,5,65,4.1,http://www.opentable.com/central-214-hotel-palomar-dallas?scpref=110,(214) 443-9339,reservations@central214.com
Chamberlain's Fish Market Grill,dallas-texas,4,239,4.5,http://www.opentable.com/chamberlains-fish-market-grill?scpref=110,(972) 503-3474,glennhartzell@gmail.com
Chamberlain's Steak & Chop House,dallas-texas,5,185,4.5,http://www.opentable.com/chamberlains-steak-and-chop-house?scpref=110,(972) 934-2467,jimtruman@chamberlainsrestaurant.com
Charlie Palmer at The Joule,dallas-texas,8,91,4.2,http://www.opentable.com/charlie-palmer?scpref=110,(214) 261-4600,reservations@charliepalmer.com
Citrus Bistro Seafood,dallas-texas,3,16,4.4,http://www.opentable.com/citrus-bistro-seafood?scpref=110,(214) 750-6282,didierviriot@citrusbistro.com
The Classic Cafe,dallas-texas,10,98,4.6,http://www.opentable.com/the-classic-cafe?scpref=110,(817) 430-8185,info@theclassiccafe.com
Compari's Italian Restaurant,dallas-texas,4,16,4.3,http://www.opentable.com/comparis-italian-restaurant?scpref=110,(972) 423-1234,""
Cook Hall - Dallas,dallas-texas,6,17,3.8,http://www.opentable.com/cook-hall-dallas?scpref=110,(214) 397-4111,info@cookhalldallas.com
Cool River Cafe - Dallas,dallas-texas,10,128,4.3,http://www.opentable.com/cool-river-cafe-dallas?scpref=110,(972) 871-8881,lascolinasevents@coolrivercafe.com
Copelands of New Orleans,dallas-texas,9,42,4.1,http://www.opentable.com/copelands-of-new-orleans-southlake?scpref=110,(817) 305-2199,christopher.t.jones@hilton.com
Crossroads at House of Blues - Dallas,dallas-texas,4,52,3.8,http://www.opentable.com/crossroads-at-house-of-blues-dallas?scpref=110,(214) 978-2583,chrisspinks@livenation.com
Crudo Wood Fired Taverna,dallas-texas,7,15,4.4,http://www.opentable.com/crudo-wood-fired-taverna?scpref=110,(214) 705-1010,crudowoodfiredtavern@gmail.com
Culpepper Steak House,dallas-texas,3,19,4.6,http://www.opentable.com/culpepper-steak-house?scpref=110,(972) 771-1001,""
Dakota's Steakhouse,dallas-texas,10,174,4.5,http://www.opentable.com/dakotas-steakhouse?scpref=110,(214) 740-4001,crowberry@lpc-usa.com
Dallas Chop House,dallas-texas,7,74,4.0,http://www.opentable.com/dallas-chop-house?scpref=110,(214) 736-7300,info@dallaschophouse.com
Dallas Fish Market,dallas-texas,10,98,4.3,http://www.opentable.com/dallas-fish-market?scpref=110,(214) 744-3474,info@dallasfishmarket.com
Del Frisco's Double Eagle Steak House - Dallas,dallas-texas,10,258,4.5,http://www.opentable.com/del-friscos-double-eagle-steak-house-dallas?scpref=110,(972) 490-9000,delfriscos.dallas@dfrg.com
Del Frisco's Double Eagle Steakhouse - Ft. Worth,dallas-texas,10,333,4.6,http://www.opentable.com/del-friscos-double-eagle-steak-house-ft-worth?scpref=110,(817) 877-3999,delfriscos.ftworth@dfrg.com
Del Frisco's Grille - McKinney Ave - Dallas,dallas-texas,9,264,4.2,http://www.opentable.com/del-friscos-grille-mckinney-ave-dallas?scpref=110,(972) 807-6152,dfgrille.dallas@dfrg.com
DISH - Dallas,dallas-texas,10,222,4.5,http://www.opentable.com/dish-dallas?scpref=110,(214) 522-3474,info@dish-dallas.com
Dragonfly at Hotel ZaZa,dallas-texas,9,80,4.3,http://www.opentable.com/dragonfly-at-hotel-zaza?scpref=110,(214) 550-9500,infodallas@hotelzaza.com
Dream Cafe,dallas-texas,1,13,3.6,http://www.opentable.com/dream-cafe?scpref=110,(214) 954-0486,quadrangle@thedreamcafe.com
Eddie V's - Fort Worth,dallas-texas,10,262,4.6,http://www.opentable.com/eddie-vs-fort-worth?scpref=110,(817) 336-8000,EVMuseumPlace@eddiev.com
Eddie V's Dallas,dallas-texas,10,287,4.4,http://www.opentable.com/eddie-vs-dallas?scpref=110,(214) 890-1500,Dallas@eddiev.com
Edoko Sushi,dallas-texas,2,58,4.5,http://www.opentable.com/edoko-sushi?scpref=110,(214) 618-9888,info@edokosushi.com
El Ranchito,dallas-texas,3,11,4.5,http://www.opentable.com/el-ranchito?scpref=110,(214) 946-4238,info@elranchito-dallas.com
Ellerbe Fine Foods,dallas-texas,10,192,4.4,http://www.opentable.com/ellerbe-fine-foods?scpref=110,(817) 926-3663,info@ellerbefinefoods.com
Fearing's,dallas-texas,10,287,4.5,http://www.opentable.com/fearings?scpref=110,(214) 922-4848,info@fearingsrestaurant.com
Fedora Restaurant,dallas-texas,10,56,3.7,http://www.opentable.com/fedora-restaurant?scpref=110,(214) 999-0009,michaelt@fedoradallas.com
Ferrari's Italian Villa,dallas-texas,10,73,4.2,http://www.opentable.com/ferraris-italian-villa?scpref=110,(817) 251-2525,ferrarisevents@gmail.com
Ferre Fort Worth,dallas-texas,10,147,4.1,http://www.opentable.com/ferre-fort-worth?scpref=110,(817) 332-0033,info@ferrerestaurant.com
Five Sixty by Wolfgang Puck,dallas-texas,10,493,4.3,http://www.opentable.com/five-sixty-by-wolfgang-puck?scpref=110,(214) 741-5560,""
Four Winds Steakhouse,dallas-texas,10,177,4.7,http://www.opentable.com/four-winds-steakhouse?scpref=110,(903) 873-2225,fourwindssteakhouse@yahoo.com
The French Room,dallas-texas,10,163,4.8,http://www.opentable.com/the-french-room?scpref=110,(214) 742-8200,frenchroom@adolphus.com
The Front Room,dallas-texas,5,58,3.6,http://www.opentable.com/the-front-room?scpref=110,(214) 219-8282,robert.brown@hotellumen.com
FT33,dallas-texas,9,128,4.3,http://www.opentable.com/ft33?scpref=110,(214) 741-2629,info@ft33dallas.com
Gordon Biersch Brewery Restaurant - Park Lane,dallas-texas,2,16,3.9,http://www.opentable.com/gordon-biersch-brewery-restaurant-park-lane?scpref=110,(214) 369-2739,gbpl@gbrestaurants.com
Gordon Biersch Brewery Restaurant - Plano,dallas-texas,4,47,4.1,http://www.opentable.com/gordon-biersch-brewery-restaurant-plano?scpref=110,(469) 467-0464,gblg@gbrestaurants.com
Grace - Fort Worth,dallas-texas,10,150,4.5,http://www.opentable.com/grace-ft-worth?scpref=110,(817) 877-3388,lisa@gracefortworth.com
The Grape,dallas-texas,10,281,4.5,http://www.opentable.com/the-grape?scpref=110,(214) 828-1981,mail@thegraperestaurant.com
