Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
The 10th,denver-colorado,10,70,4.4,http://www.opentable.com/the-10th?scpref=110,(970) 754-1010,The10th@vailresorts.com
1515 Restaurant,denver-colorado,10,146,4.0,http://www.opentable.com/1515-restaurant?scpref=110,(303) 571-0011,gene@1515restaurant.com
221 South Oak Bistro,denver-colorado,10,59,4.5,http://www.opentable.com/221-south-oak-bistro?scpref=110,(970) 728-9507,southoak221@earthlink.net
4580,denver-colorado,10,77,4.0,http://www.opentable.com/4580?scpref=110,(303) 448-1500,martin@restaurant4580.com
4th Street Chophouse,denver-colorado,10,86,4.5,http://www.opentable.com/4th-street-chophouse?scpref=110,(970) 613-8287,mikeanddebbiemccarty@yahoo.com
626 on Rood...Modern American Cuisine and Wine Bar,denver-colorado,4,42,4.4,http://www.opentable.com/626-on-roodmodern-american-cuisine-and-wine-bar?scpref=110,(970) 257-7663,boss@626onrood.com
8100 Mountainside Bar & Grill,denver-colorado,10,38,3.7,http://www.opentable.com/8100-mountainside-bar-and-grill?scpref=110,(970) 827-6600,beavercreek@hyatt.com
Above the Salt,denver-colorado,3,18,3.9,http://www.opentable.com/above-the-salt?scpref=110,(970) 544-3399,""
Abrusci's Italian Eatery,denver-colorado,10,67,3.8,http://www.opentable.com/abruscis-italian-eatery?scpref=110,(303) 462-0513,cherrycreek@abruscis.com
Abrusci's Italian Restaurant - Wheat Ridge,denver-colorado,9,30,4.1,http://www.opentable.com/abruscis-italian-restaurant-wheat-ridge?scpref=110,(303) 232-2424,applewood@abruscis.com
Afternoon Holiday Teas / Special Events at The Hotel Boulderado,denver-colorado,10,34,4.1,http://www.opentable.com/afternoon-holiday-teas-special-events-at-the-hotel-boulderado?scpref=110,(303) 440-2880,sales@boulderado.com
Afternoon Tea at the Brown Palace,denver-colorado,0,89,4.7,http://www.opentable.com/afternoon-tea-at-the-brown-palace?scpref=110,(303) 297-3111,lobbytea@brownpalace.com
Ajax Tavern,denver-colorado,4,20,3.8,http://www.opentable.com/ajax-tavern?scpref=110,(970) 920-6334,""
Alba,denver-colorado,4,91,4.4,http://www.opentable.com/alba?scpref=110,(303) 938-8800,info@albaboulder.com
Allred's Restaurant,denver-colorado,10,72,4.6,http://www.opentable.com/allreds-restaurant?scpref=110,(970) 728-7474,allreds@tellurideskiresort.com
Alpenglow Stube,denver-colorado,10,34,4.6,http://www.opentable.com/alpenglow-stube?scpref=110,(970) 496-4386,AlpenglowStube@vailresorts.com
Altitude Restaurant - Hyatt Regency Denver,denver-colorado,10,68,3.7,http://www.opentable.com/altitude-restaurant-hyatt-regency-denver?scpref=110,(303) 486-4434,""
Appaloosa Grill,denver-colorado,5,58,3.8,http://www.opentable.com/appaloosa-grill?scpref=110,(720) 932-1700,events@appaloosagrill.com
Aquarium Restaurant - Downtown Denver,denver-colorado,10,141,3.7,http://www.opentable.com/aquarium-restaurant-downtown-denver?scpref=110,(303) 561-4450,""
Armando's Ristorante Italian - Aurora,denver-colorado,1,15,4.2,http://www.opentable.com/armandos-ristorante-italian-aurora?scpref=110,(303) 690-6660,armandosristorante@gmail.com
Assignments,denver-colorado,2,43,4.4,http://www.opentable.com/assignments?scpref=110,(303) 778-6625,""
Asti D' Italia,denver-colorado,8,63,4.3,http://www.opentable.com/asti-d-italia?scpref=110,(303) 457-3900,info@astiditalia.com
Avenue Grill - Denver,denver-colorado,10,182,4.2,http://www.opentable.com/avenue-grill-denver?scpref=110,(303) 861-2820,eat@avenuegrill.com
Axum Restaurant,denver-colorado,0,13,3.9,http://www.opentable.com/axum-restaurant?scpref=110,(303) 329-6139,""
Azitra - Broomfield,denver-colorado,3,26,4.3,http://www.opentable.com/azitra-broomfield?scpref=110,(303) 465-4444,information@azitra.com
Baca at The Inverness Hotel,denver-colorado,6,33,3.8,http://www.opentable.com/baca-at-the-inverness-hotel?scpref=110,(303) 397-7222,""
Bacaro Venetian Taverna,denver-colorado,9,48,3.3,http://www.opentable.com/bacaro-venetian-taverna?scpref=110,(303) 444-4888,info@bacaro.com
Bacchanale,denver-colorado,9,12,4.3,http://www.opentable.com/bacchanale?scpref=110,(970) 349-5257,info@bacchanale.net
Balata,denver-colorado,3,12,3.8,http://www.opentable.com/balata?scpref=110,(970) 477-5353,ychough@sonnenalp.com
Barolo Grill,denver-colorado,10,257,4.7,http://www.opentable.com/barolo-grill?scpref=110,(303) 393-1040,info@barologrilldenver.com
Bastien's Restaurant,denver-colorado,2,32,3.9,http://www.opentable.com/bastiens-restaurant?scpref=110,(303) 322-0363,bastiens@qwestoffice.net
BB's Kitchen,denver-colorado,3,26,3.8,http://www.opentable.com/bbs-kitchen?scpref=110,(970) 429-8284,info@bbskitchen.com
Beano's Cabin,denver-colorado,10,31,4.4,http://www.opentable.com/beanos-cabin?scpref=110,(970) 754-3463,BCDining@vailresorts.com
Beatrice & Woodsley,denver-colorado,10,135,4.4,http://www.opentable.com/beatrice-and-woodsley?scpref=110,(303) 777-3505,info@beatriceandwoodsley.com
Beaver Creek Chophouse,denver-colorado,9,20,3.8,http://www.opentable.com/beaver-creek-chophouse?scpref=110,(970) 845-0555,""
The Belvedere Restaurant,denver-colorado,10,82,3.9,http://www.opentable.com/the-belvedere-restaurant?scpref=110,(720) 974-4052,kingaslounge@gmail.com
Benihana - Broomfield,denver-colorado,10,94,4.2,http://www.opentable.com/benihana-broomfield?scpref=110,(303) 410-0482,broomfield@benihana.com
Benihana - Denver,denver-colorado,10,116,4.2,http://www.opentable.com/benihana-denver?scpref=110,(303) 750-0200,denver@benihana.com
Bent Fork Grill - Aurora,denver-colorado,2,44,4.2,http://www.opentable.com/bent-fork-grill-aurora?scpref=110,(303) 337-6600,aurora@bentforkgrill.com
Bent Fork Grill - Loveland,denver-colorado,9,53,4.1,http://www.opentable.com/bent-fork-grill-loveland?scpref=110,(970) 613-9333,loveland@bentforkgrill.com
The Bent Noodle Italian Restaurant and Catering Company,denver-colorado,8,39,4.0,http://www.opentable.com/the-bent-noodle-italian-restaurant-and-catering-company?scpref=110,(303) 337-2733,emailus@bentnoodle.com
The Berkshire,denver-colorado,6,42,3.7,http://www.opentable.com/the-berkshire?scpref=110,(303) 321-4010,andy@theberkshirerestaurant.com
Big Easy Creole Kitchen,denver-colorado,6,17,3.8,http://www.opentable.com/big-easy-creole-kitchen?scpref=110,(303) 954-9398,info@bigeasycreolekitchen.com
Big Hoss Barbecue Steakhouse,denver-colorado,1,12,3.5,http://www.opentable.com/big-hoss-barbecue-steakhouse?scpref=110,(720) 855-3061,bighossbarbq@gmail.com
Bighorn Steakhouse,denver-colorado,5,23,4.4,http://www.opentable.com/bighorn-steakhouse?scpref=110,(970) 496-4386,amaguire@vailresorts.com
Billy's Restaurant,denver-colorado,3,26,3.8,http://www.opentable.com/billys-island-grill?scpref=110,(970) 476-8811,billysislandgrill@qwestoffice.net
Bisetti's Ristorante,denver-colorado,9,84,4.6,http://www.opentable.com/bisettis-ristorante?scpref=110,(970) 493-0086,bisettis@frii.com
The Bistro at Marshdale,denver-colorado,10,92,4.6,http://www.opentable.com/the-bistro-at-marshdale?scpref=110,(303) 674-7670,sarah@thebistroatmarshdale.com
Bistro C.V.,denver-colorado,10,37,4.6,http://www.opentable.com/bistro-cv?scpref=110,(970) 879-4197,bistrocv@gmail.com
Bistro Vendome,denver-colorado,10,409,4.4,http://www.opentable.com/bistro-vendome?scpref=110,(303) 825-3232,""
Bittersweet,denver-colorado,10,151,4.3,http://www.opentable.com/bittersweet?scpref=110,(303) 942-0320,dine@bittersweetdenver.com
Black Cat,denver-colorado,10,157,4.3,http://www.opentable.com/black-cat?scpref=110,(303) 444-5500,dine@blackcatboulder.com
Black Hat Cattle Co.,denver-colorado,10,94,4.5,http://www.opentable.com/black-hat-cattle-co?scpref=110,(303) 670-0941,info@blackhatcattleco.com
Black Pearl Restaurant,denver-colorado,10,79,4.0,http://www.opentable.com/black-pearl-restaurant?scpref=110,(303) 777-0500,info@blackpearldenver.com
The Blue Bonnet Restaurant,denver-colorado,2,32,3.8,http://www.opentable.com/the-blue-bonnet-restaurant?scpref=110,(303) 778-0147,info@bluebonnetrestaurant.com
Blue Plate,denver-colorado,6,23,3.9,http://www.opentable.com/blue-plate-avon?scpref=110,(970) 845-2252,blueplatebistroavon@gmail.com
Blue River Bistro,denver-colorado,10,65,4.3,http://www.opentable.com/blue-river-bistro?scpref=110,(970) 453-6974,blueriverbistro@blueriverbistro.com
Blue Spruce Inn,denver-colorado,10,40,4.4,http://www.opentable.com/blue-spruce-inn?scpref=110,(970) 668-5900,summitchef@gmail.com
The Blue Star,denver-colorado,10,76,4.1,http://www.opentable.com/the-blue-star?scpref=110,(719) 632-1086,info@thebluestar.net
Blue Sushi Sake Grill,denver-colorado,10,43,4.1,http://www.opentable.com/blue-sushi-sake-grill?scpref=110,(303) 640-3655,cstoleson@BlueSushiSakeGrill.com
Bol Restaurant,denver-colorado,5,17,4.2,http://www.opentable.com/bol-restaurant?scpref=110,(970) 476-5300,info@bolvail.com
Bones,denver-colorado,8,115,4.2,http://www.opentable.com/bones-denver?scpref=110,(303) 860-2929,info@bonesdenver.com
Boulder ChopHouse & Tavern,denver-colorado,8,143,4.1,http://www.opentable.com/boulder-chophouse-and-tavern?scpref=110,(303) 443-1188,boulder@chophouse.com
Boulder Cork,denver-colorado,10,158,4.4,http://www.opentable.com/boulder-cork?scpref=110,(303) 443-9505,info@bouldercork.com
BRASSERIE TEN TEN,denver-colorado,10,213,4.4,http://www.opentable.com/brasserie-ten-ten?scpref=110,(303) 998-1010,""
Brexi,denver-colorado,1,28,4.4,http://www.opentable.com/brexi?scpref=110,(970) 925-2838,info@brexiaspen.com
Briar Rose Chophouse & Saloon,denver-colorado,10,58,4.4,http://www.opentable.com/briar-rose-chophouse-and-saloon?scpref=110,(970) 453-9948,info@briarrosechophouse.com
Briarhurst Manor,denver-colorado,9,87,4.6,http://www.opentable.com/briarhurst-manor?scpref=110,(719) 685-1864,info1@briarhurst.com
The Briarwood Inn,denver-colorado,10,343,4.4,http://www.opentable.com/the-briarwood-inn?scpref=110,(303) 279-3121,info@thebriarwoodinn.com
Bridgewater Grill @ The Golden Hotel,denver-colorado,2,38,3.9,http://www.opentable.com/bridgewater-grill-at-the-golden-hotel?scpref=110,(303) 279-2010,jfriedman@thegoldenhotel.com
Brook's Steak House & Cellar,denver-colorado,10,95,4.4,http://www.opentable.com/brooks-steak-house-and-cellar?scpref=110,(303) 770-1177,primesteak@brookssteakhouse.com
Bruno's Italian Bistro,denver-colorado,1,24,4.1,http://www.opentable.com/brunos-italian-bistro?scpref=110,(303) 759-7025,contact@mybrunos.com
Buca di Beppo - Broomfield,denver-colorado,7,66,3.9,http://www.opentable.com/buca-di-beppo-broomfield?scpref=110,(303) 464-7673,broomfield@bucadibeppo.com
Cafe Aion,denver-colorado,3,69,3.8,http://www.opentable.com/cafe-aion?scpref=110,(303) 993-8131,cafeaion@gmail.com
Cafe Colore - Denver,denver-colorado,9,54,4.1,http://www.opentable.com/cafe-colore-denver?scpref=110,(303) 534-6844,smouser.cafecolore@yahoo.com
Cafe Terra Cotta,denver-colorado,10,136,4.5,http://www.opentable.com/cafe-terra-cotta?scpref=110,(303) 794-6054,cafeterracottalittleton@gmail.com
cafebar,denver-colorado,10,181,4.1,http://www.opentable.com/cafebar?scpref=110,(303) 362-0227,dane@cafebarcolorado.com
Campo de Fiori - Vail,denver-colorado,1,29,4.2,http://www.opentable.com/campo-de-fiori-vail?scpref=110,(970) 476-8994,campovail@yahoo.com
Canyon Chop House,denver-colorado,7,96,4.5,http://www.opentable.com/canyon-chop-house?scpref=110,(970) 493-9588,canyonchop@gmail.com
Capital Grille - Denver,denver-colorado,9,225,4.5,http://www.opentable.com/capital-grille-denver?scpref=110,(303) 539-2500,Denver@tcgdine.com
Carl's Tavern,denver-colorado,6,19,3.7,http://www.opentable.com/carls-tavern?scpref=110,(970) 761-2060,Carl@carlstavern.com
Carmine's On Penn,denver-colorado,10,156,4.3,http://www.opentable.com/carmines-on-penn?scpref=110,(303) 777-6443,Carmines@carminesonpenn.net
Cascades - The Stanley Hotel,denver-colorado,10,163,4.0,http://www.opentable.com/cascades-the-stanley-hotel?scpref=110,(970) 577-4001,""
CB Grille in Copper Mountain Village,denver-colorado,9,19,3.8,http://www.opentable.com/cb-grille-in-copper-mountain-village?scpref=110,(970) 968-3113,cbgrille@coppercolorado.com
