Baker Peters Jazz Club,http://www.opentable.com/baker-peters-jazz-club?scpref=110&tab=2,4,"9000 Kingston Pike Knoxville, TN  37923 ",38,Contemporary American,$31 to $50,Knoxville,http://bakerpeters.com/,bakerpetersjazzclub@gmail.com,(865) 690-8110,3.0 / 5,"Unique atmosphere, but we felt that the food was over-priced for the quality. Its somewhere to try once, but I doubt we would be back again. There are many other restaurants with better steaks for the price. Having said that, the service was excellent.",10/12/12,http://www.pickgrapevine.com/wantmore5/baker-peters-jazz-club,baker-peters-jazz-club
Bald Headed Bistro,http://www.opentable.com/bald-headed-bistro?scpref=110&tab=2,4.7,"201 Keith Street SW Cleveland, TN  37311 ",63,Steakhouse,$31 to $50,Chattanooga,http://www.BaldHeadedBistro.com,bhb@baldheadedbistro.com,(423) 472-6000,2.0 / 5,"We usually come every third Thursday for dinner with 6 of our friends. We usually are impressed with the food and extensive wine list, however on this trip we were celebrating my mothers birthday, and the food was just bad. We all ordered the $30 prefix. The first two courses were great, but the main course cordon blue chicken was just awful and dry and defiantly not worth the price. The desert course was also bad, a cold apple strussel. I am not sure if the chef has changed or quality has been dropped, but I was disappointed. This was my go to restaurant when looking for good food, but I might need to reconsider.",10/25/12,http://www.pickgrapevine.com/wantmore5/bald-headed-bistro,bald-headed-bistro
Bistro 109,http://www.opentable.com/bistro-109?scpref=110&tab=2,4.3,"109 Bruce Street Sevierville, TN  37862 ",24,Fusion / Eclectic,$30 and under,Knoxville,http://www.bistro109.com,admin@bistro109.com,(865) 453-8899,5.0 / 5,"A Hidden Gem in downtown Sevierville. Great food, service and wine. Beautiful, romantic, decor",10/26/12,http://www.pickgrapevine.com/wantmore5/bistro-109,bistro-109
Broad Street Grille,http://www.opentable.com/broad-street-grille?scpref=110&tab=2,4.2,"1201 South Broad Street Chattanooga, TN  37402 ",49,Contemporary American,$30 and under,Chattanooga,http://www.broadstreetgrille.com,rshell@benchmarkmanagement.com,(423) 424-3700,5.0 / 5,As good a brunch as we could hope to find.,10/21/12,http://www.pickgrapevine.com/wantmore5/broad-street-grille,broad-street-grille
Cafe 4,http://www.opentable.com/cafe-4?scpref=110&tab=2,4.3,"4 Market Square Knoxville, TN  37902 ",34,Comfort Food,$30 and under,Knoxville,http://Cafe4MS.com,lklonaris@nxs.net,(865) 544-4144,4.0 / 5,Our only 'problem' was the noise level. It got unpleasant.,10/28/12,http://www.pickgrapevine.com/wantmore5/cafe-4,cafe-4
Chato Brasserie,http://www.opentable.com/chato-brasserie?scpref=110&tab=2,4.5,"200 Manufacturers Rd Ste 101 Chattanooga, TN  37405 ",15,Contemporary American,$30 and under,Chattanooga,http://www.chatodining.com,info@chatodining.com,(423) 305-1352,5.0 / 5,"This was our second time at Chato, the first time we were with another couple and had an excellent meal, with outstanding service. Our second visit was again with another couple and our experience was just as good. The menu is great and the specials were excellent. On both visits we have shared entree's and the kitchen happily obliged by splitting and presenting the shared dish. We've found the service to be attentive without hovering and the servers well informed as to what the chef was doing that was special or unique. The wine list is solid with some good French wines and the ""usual suspects"" from California. Chato is a little more expensive than its competitors but is also unique in its approach to classic French brasserie fare.",8/22/12,http://www.pickgrapevine.com/wantmore5/chato-brasserie,chato-brasserie
The Crown & Goose,http://www.opentable.com/the-crown-and-goose?scpref=110&tab=2,4.2,"123 South Central Street Knoxville, TN  37902 ",26,Gastro Pub,$30 and under,Knoxville,http://www.thecrownandgoose.com/,info@thecrownandgoose.comml,(828) 772-1832,5.0 / 5,"Great food! First time visiting Knoxville and used Open Table to reserve. Cheese board was great, salmon was excellent. I would go back.",10/23/12,http://www.pickgrapevine.com/wantmore5/the-crown-and-goose,the-crown-and-goose
Easy Bistro,http://www.opentable.com/easy-bistro?scpref=110&tab=2,4.3,"203 Broad St Chattanooga, TN  37402 ",74,Contemporary American,$30 and under,Chattanooga,http://easybistro.com,host@easybistro.com,(423) 266-1121,5.0 / 5,"We had the BEST meal at Easy Bistro. Our server was fantastic and he was very enthusiastic about the food, which made us excited. He was exactly right. The brisket was phenomenal, the duck was outstanding with a crisp outer shell, and the scallops were heavenly. We enjoyed some fine wine from the reserve list. Our company was the best too!",10/25/12,http://www.pickgrapevine.com/wantmore5/easy-bistro,easy-bistro
Ebi Sushi and Sake,http://www.opentable.com/ebi-sushi-and-sake?scpref=110&tab=2,3,"125 E. Jackson Ave Knoxville, TN  37915 ",2,Sushi,$30 and under,Knoxville,http://www.carleoentertainment.com,carleoentertainment@hotmail.com,(865) 247-4201,2.0 / 5,"Noone to great me at the entrance. I went straight to the bar where there was the bartender. I was not really impressed by the food. Maybe it was not the best night. Will give it a try another time, to check.",8/24/12,http://www.pickgrapevine.com/wantmore5/ebi-sushi-and-sake,ebi-sushi-and-sake
Fleming's Prime Steakhouse & Wine Bar - Knoxville,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-knoxville?scpref=110&tab=2,4.4,"11287 Parkside Drive Knoxville, TN  37934 ",25,Steak,$31 to $50,Knoxville,http://www.flemingssteakhouse.com/Knoxville,knoxville@flemingssteakhouse.com,(865) 675-9463,3.0 / 5,"My wife and I both had the Filet Mignon, I had a larger cut. They were good but I expected better since they only use Prime Beef. I was expecting to be blown away, i just felt the filets were average at best. Sides were generous in size, prepared and presented nicely. Service was very good and attentive.",10/18/12,http://www.pickgrapevine.com/wantmore5/flemings-prime-steakhouse-and-wine-bar-knoxville,flemings-prime-steakhouse-and-wine-bar-knoxville
Gourmet and Company,http://www.opentable.com/gourmet-and-company?scpref=110&tab=2,4.6,"214 East Mountcastle Johnson City, TN  37601 ",22,American,$30 and under,Tri-Cities / Bristol / Kingsport / Johnson City,http://www.gourmetandcompany.com,gourmet@gourmetandcompany.com,(423) 929-9007,5.0 / 5,"We were so glad that we visited Gourmet and Company for our special night out. The food was delicious and the service outstanding. The restaurant has a lovely ambiance, just perfect for a romantic, quiet dinner.",10/13/12,http://www.pickgrapevine.com/wantmore5/gourmet-and-company,gourmet-and-company
Hennen's,http://www.opentable.com/hennens?scpref=110&tab=2,4.5,"193 Chestnut Street Chattanooga, TN  37402 ",124,Steak,$30 and under,Chattanooga,http://www.hennens.net,chadcocks@hennens.net,(423) 634-5160,4.0 / 5,"The food is good and they have enough varity to accommodate different taste. Service was very good, never had problems in the few times visited. Pricing is moderate when compared to other local restaurants of the same category. Parking can be an issue downtown, but they are located next to a parking garage. They will validate your parking, which adds to enjoying the overall experience.",10/27/12,http://www.pickgrapevine.com/wantmore5/hennens,hennens
Marco's,http://www.opentable.com/marcos?scpref=110&tab=2,3.9,"417 Frazier Ave. Chattanooga, TN  37405 ",24,Italian,$30 and under,Chattanooga,http://www.MarcosChattanooga.com,marcosbistro.kevin@gmail.com,(423) 710-2568,4.0 / 5,Took my wife here on a date. They were able to recommend a Margarita that my wife loved and the food was very good. We will probably go back sometime.,10/19/12,http://www.pickgrapevine.com/wantmore5/marcos,marcos
The Melting Pot - Knoxville,http://www.opentable.com/the-melting-pot-knoxville?scpref=110&tab=2,4.5,"111 North Central Street Knoxville, TN  37902 ",120,European,$31 to $50,Knoxville,http://www.meltingpot.com/knoxville/specials,meltingpotknoxville@yahoo.com,(865) 971-5400,5.0 / 5,Excellent concept - great for parties or romantic evenings,10/27/12,http://www.pickgrapevine.com/wantmore5/the-melting-pot-knoxville,the-melting-pot-knoxville
Niko's,http://www.opentable.com/nikos?scpref=110&tab=2,4.3,"1400 Cowart Street Chattanooga, TN  37408 ",37,Contemporary American,$30 and under,Chattanooga,http://www.eatatnikos.com,info@nikossouthside.com,(423) 266-6511,4.0 / 5,"The service was teriffic and the food great. The presentation was good, all cooked to our request, changes to thedinner side were accommodated.",10/19/12,http://www.pickgrapevine.com/wantmore5/nikos,nikos
The Orangery,http://www.opentable.com/the-orangery?scpref=110&tab=2,4.4,"5412 Kingston Pike Knoxville, TN  37919 ",52,French,$30 and under,Knoxville,http://www.orangeryknoxville.com,info@orangeryknoxville.com,(865) 588-2964,4.0 / 5,"It was a our 4th anniversary, so we wanted romantic. I wanted live music, he wanted a wine list. We both got what we wanted, the food, the music, everything was lovely!",10/27/12,http://www.pickgrapevine.com/wantmore5/the-orangery,the-orangery
