Bernardin's Restaurant at the Zevely House,http://www.opentable.com/bernardins-restaurant-at-the-zevely-house?scpref=110&tab=2,4.5,"901 West Fourth Street Winston-Salem, NC  27101 ",55,Continental,$30 and under,Winston-Salem,http://www.bernardinsfinedining.com,info@bernardinsfinedining.com,(336) 725-6666,5.0 out of 5,Another fabulous dinner at Bernardins!,11/06/2012,http://www.pickgrapevine.com/wantmore6/bernardins-restaurant-at-the-zevely-house,bernardins-restaurant-at-the-zevely-house
The Bistro - Greensboro,http://www.opentable.com/the-bistro-greensboro?scpref=110&tab=2,4.4,"5710 High Point Rd #M Greensboro, NC  27407",25,Contemporary American,$30 and under,Greensboro,http://www.thebistroatadamsfarm.com,rhonda.fuller@att.net,(336) 294-4610,1.0 out of 5,"The wait staff would interrupt conversation to ""visit"" when not taking orders or providing service. The sauce on the duck was overpowering. The music was not in line with the ambiance of the décor. We will not go back.",10/19/2012,http://www.pickgrapevine.com/wantmore6/the-bistro-greensboro,the-bistro-greensboro
The Bistro at Childress Vineyards,http://www.opentable.com/the-bistro-at-childress-vineyards?scpref=110&tab=2,4.5,"1000 Childress Vineyards Rd. Lexington, NC  27295 ",173,American,$30 and under,Lexington,http://www.childressvineyards.com,jjones@childressvineyards.com,(336) 236-9463 x308,3.0 out of 5,Service was slow but worth the wait for wonderful wine and cheese plate. Highly recommend the chicken salad and fried green tomatoes. Will return on a day we aren't in a hurry.,11/04/2012,http://www.pickgrapevine.com/wantmore6/the-bistro-at-childress-vineyards,the-bistro-at-childress-vineyards
Bistro B + Wine Bar,http://www.opentable.com/bistro-b-and-wine-bar?scpref=110&tab=2,4.5,"126 S Main Street Suite G Kernersville, NC  27284",55,Tapas / Small Plates,$30 and under,Kernersville,http://www.thebistrob.com,cheftimo007@hotmail.com,(336) 310-4822,4.0 out of 5,Unique and interesting food made with care.The portions are just the right size and well presented. Saturday night had a guitarist and violinist which lent a festive feeling. An enjoyable casually sophisticated evening.,11/03/2012,http://www.pickgrapevine.com/wantmore6/bistro-b-and-wine-bar,bistro-b-and-wine-bar
Bistro Forty Two,http://www.opentable.com/bistro-forty-two?scpref=110&tab=2,4.3,"405-P East Dixie Drive Asheboro, NC  27203 ",13,Contemporary American,$30 and under,Asheboro,http://ncbistrofortytwo.com,bistrofortytwo@hotmail.com,(336) 625-3663,5.0 out of 5,"We love Bistro. They have background music but it is not blaring like so many places. It is casual, yet perfect for us for special occasions since we are casual folks. The people are so nice and the food is outstanding.",10/26/2012,http://www.pickgrapevine.com/wantmore6/bistro-forty-two,bistro-forty-two
Cleopatra Restaurant,http://www.opentable.com/cleopatra-restaurant?scpref=110&tab=2,4.2,"1310 Westover Ter. #107 Greensboro, NC  27408 ",12,Egyptian,$30 and under,Greensboro,http://cleopatrasrestaurant.com,cleo@cleopatrasrestaurant.com,(336) 274-5003,5.0 out of 5,Amazing food at a reasonable price. Very friendly staff.,11/03/2012,http://www.pickgrapevine.com/wantmore6/cleopatra-restaurant,cleopatra-restaurant
Deacon Tower Grille,http://www.opentable.com/deacon-tower-grille?scpref=110&tab=2,4.4,"475 Deacon Blvd Winston-Salem, NC  27105 ",80,American,$30 and under,Winston-Salem,http://deacontowergrille.com,info@deacontowergrille.com,(336) 896-8624,5.0 out of 5,"Great food, great service and a wonderful time had by all. My guests loved everything about their lunch (their first time at Deacon Tower Grille). I would recommend it to everyone!!",11/05/2012,http://www.pickgrapevine.com/wantmore6/deacon-tower-grille,deacon-tower-grille
Di Valletta Restaurant,http://www.opentable.com/di-valletta-restaurant?scpref=110&tab=2,4.4,"Grandover Resort, 1000 Club Road Greensboro, NC  27407 ",39,Continental,$30 and under,Greensboro,http://www.grandover.com/#grandoverresort/dining/divalleta,tbiddle@grandover.com,(336) 834-4877,3.0 out of 5,"This is a lovely four star hotel, but my experience both in the restaurant and banquets is less than four star. We had a business dinner with 5 people. My entree choice was short ribs risotto. It came lukewarm, soupy and just a few shreds of meat. Not nearly worthy of the approximately $28 price. My chopped salad first course was good. Service was attentive. This is not a destination restaurant, but adequate for travelers staying at the hotel.",10/15/2012,http://www.pickgrapevine.com/wantmore6/di-valletta-restaurant,di-valletta-restaurant
Dioli's Trattoria,http://www.opentable.com/diolis-trattoria?scpref=110&tab=2,3.9,"401 W Fourth Street Winston-Salem, NC  27101 ",21,Italian,$30 and under,Winston-Salem,http://www.diolis.com,diolistrattoria@triad.rr.com,(336) 331-3451,5.0 out of 5,"Food was delicious, correctly cooked, served at the proper temperature by an attentive, timely waitress. I liked the look of the restaurant and the variety on the menu. My wife and I back for more. PS. very reasonably priced.",10/26/2012,http://www.pickgrapevine.com/wantmore6/diolis-trattoria,diolis-trattoria
District Roof Top Bar and Grille,http://www.opentable.com/district-roof-top-bar-and-grille?scpref=110&tab=2,4.1,"770 Liberty View Ct Winston-Salem, NC  27101 ",60,Contemporary American,$30 and under,Winston-Salem,http://districtbarandgrille.com,skip@districtbarandgrille.com,(336) 462-8882,4.0 out of 5,We had a wonderful evening. I would highly recommend giving it a try. We will be back.,11/02/2012,http://www.pickgrapevine.com/wantmore6/district-roof-top-bar-and-grille,district-roof-top-bar-and-grille
