12th Ave. Grill,http://www.opentable.com/12th-ave-grill?scpref=110&tab=2,4.5,"1145 C 12th Ave, Honolulu Honolulu, HI  96816 ",87,Contemporary American,$30 and under,Honolulu,http://www.12thavegrill.com,"",(808) 732-9469,4.5 / 5,An outstanding and memorable dinner with the pork shoulder with sage and cherries special.The Chilean red wine special was one great bottle of wine.,10/06/2012,http://www.pickgrapevine.com/wantmore5/12th-ave-grill,12th-ave-grill
Adega Portuguesa,http://www.opentable.com/adega-portuguesa?scpref=110&tab=2,2.7,"1138 Smith Street Honolulu, HI  96817 ",14,Portuguese,$30 and under,Honolulu,http://Adegahi.com,Adega1138@hotmail.com,(808) 566-5909,2.7 / 5,A good place for Brazilian dishes. Good wine.,09/23/2012,http://www.pickgrapevine.com/wantmore5/adega-portuguesa,adega-portuguesa
Alan Wong's Restaurant,http://www.opentable.com/alan-wongs-restaurant?scpref=110&tab=2,4.5,"1857 S. King Street Honolulu, HI  96826 ",140,Hawaii Regional Cuisine,$50 and over,Honolulu,http://www.alanwongs.com,contact@alanwongs.com,(808) 949-2526,4.5 / 5,"Sake was not chilled and served in awful looking glass which was not chilled eithersome of food was Ok, rest allmost not edibleNot sure where was CHEF WONG, maybe he has his fingers in lot more pies than he can really handleWill never ever go back to his restaurant, what a disppointment",09/29/2012,http://www.pickgrapevine.com/wantmore5/alan-wongs-restaurant,alan-wongs-restaurant
Azul,http://www.opentable.com/azul?scpref=110&tab=2,4.1,"92-1001 Olani Street Kapolei, HI  96707 ",61,Organic,$31 to $50,Ko Olina,http://www.Ihilani.com,andy.hope@marriotthotels.com,(808) 679-0079,4.1 / 5,Azule was serving for the last day before they closed for a week for renovations so it was probably not a good day to go and then write a review. The entire hotel was undergoing major renovations and most of it was closed. We had to walk through some major construction just to get to the door of the restaurant.,10/06/2012,http://www.pickgrapevine.com/wantmore5/azul,azul
Azure - The Royal Hawaiian,http://www.opentable.com/azure-the-royal-hawaiian?scpref=110&tab=2,4.6,"2259 Kalakaua Avenue Honolulu, HI  96815 ",87,Seafood,$50 and over,Honolulu,http://www.royal-hawaiian.com/the-resort/dining-entertainment/azure/,jim.weisiger@luxurycollection.com,(808) 931-7440,4.6 / 5,"Azure was memorable! Food was fantastic!! Our server Greg was beyond outstanding! If I can give 10 stars for his service, I would! He was pleasant, knew the menu and wine list and his recommendations were great! He made our birthday dinner unforgetable!",10/03/2012,http://www.pickgrapevine.com/wantmore5/azure-the-royal-hawaiian,azure-the-royal-hawaiian
Baci Bistro,http://www.opentable.com/baci-bistro?scpref=110&tab=2,4.2,"30 Aulike St. Kailua, HI  96734 ",38,Italian,$30 and under,Kailua,http://www.Bacibistro.com,duvalwm@aol.com,(808) 262-7555,4.2 / 5,"Another great experience this past weekend. My wife and I have dined at Baci Bistro at least two dozen times over the past decade. One bad experience during the holidays 4 or five years ago.....every other time very good food, service and overall experience. Some of the special entrees, starters, and salads often brought to mind the great food we had on a trip to Italy in 2006....very creative dishes of seasonal fresh food.",10/06/2012,http://www.pickgrapevine.com/wantmore5/baci-bistro,baci-bistro
Bali Steak & Seafood,http://www.opentable.com/bali-steak-and-seafood?scpref=110&tab=2,4.2,"Hilton Hawaiian Village 2005 Kalia Road Honolulu, HI  96815",50,Steakhouse,$31 to $50,Honolulu,http://www.hiltonhawaiianvillage.com/dining,"",(808) 949-4321 x43,4.2 / 5,Watress was great and very helpful,09/18/2012,http://www.pickgrapevine.com/wantmore5/bali-steak-and-seafood,bali-steak-and-seafood
Banyan Tree - Ritz Carlton Kapalua,http://www.opentable.com/banyan-tree-ritz-carlton-kapalua?scpref=110&tab=2,4.2,"One Ritz-Carlton Drive Lahaina, HI  96761 ",42,International,$31 to $50,Kapalua,http://www.ritzcarlton.com/en/Properties/KapaluaMaui/Dining/TheBanyanTree/Default.htm,banyantree@ritzcarlton.com,(808) 669-6200,4.2 / 5,"Our group went to Banyan Tree and we all had 4 course tasting menu. I love it that the restaurant has a chef recommended tasting menu, but they also allow you to change it up and come up with your own tasting menu. The view from the restaurant is wonderful if you go around sunset. There were 4 people on our table and we all got either chef/modified tasting menu. Every course was delicious and their menu is large enough to go back again and try different things. The service and food were both great and we all enjoyed our dinner at Banyan Tree. We will go back when we are in Maui again.",09/29/2012,http://www.pickgrapevine.com/wantmore5/banyan-tree-ritz-carlton-kapalua,banyan-tree-ritz-carlton-kapalua
Beach Tree at the Hualalai,http://www.opentable.com/beach-tree-at-the-hualalai?scpref=110&tab=2,4.5,"72-100 Kaupulehu Dr. Kaupulehu, HI  96740 ",27,Italian,$30 and under,Kailua-Kona,http://www.fourseasons.com/hualalai/dining/restaurants/beach_tree/,kon.beachtree@fourseasons.com,(808) 325-8000 x8915,4.5 / 5,A spectacular casual dining experience. Outstanding food and service with an unbeatable view.,09/17/2012,http://www.pickgrapevine.com/wantmore5/beach-tree-at-the-hualalai,beach-tree-at-the-hualalai
Beachhouse - Moana Surfrider,http://www.opentable.com/beachhouse-moana-surfrider?scpref=110&tab=2,4.1,"2365 Kalakaua Ave. Honolulu, HI  96815 ",54,Steakhouse,$50 and over,Honolulu,http://www.beachhousewaikiki.com,TDRC.Hawaii@starwoodhotels.com,(808) 921-4600,4.1 / 5,The service here was so impressive that I and my wife enjoyed dinner. We will come back to eat some delicious dishes and see him again.,10/06/2012,http://www.pickgrapevine.com/wantmore5/beachhouse-moana-surfrider,beachhouse-moana-surfrider
