Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
024 Grille,houston-texas,2,27,3.9,http://www.opentable.com/024-grille?scpref=110,(281) 501-4350,024Grille@westin.com
17 at Alden-Houston,houston-texas,8,29,4.0,http://www.opentable.com/17-at-alden-houston?scpref=110,(832) 200-8888,info@aldenhotels.com
51Fifteen Restaurant & Lounge,houston-texas,4,38,4.2,http://www.opentable.com/51fifteen-restaurant-and-lounge?scpref=110,(713) 963-8067,51fifteen@lh2g.com
5900 Zushi Japanese Cuisine - Memorial Park,houston-texas,0,12,4.1,http://www.opentable.com/5900-zushi-japanese-cuisine-memorial-park?scpref=110,(713) 861-5588,info@zushihouston.com
Aldo's Cucina Italiana,houston-texas,10,57,4.1,http://www.opentable.com/aldos-cucina-italiana?scpref=110,(936) 447-9623,aldoscucina@gmail.com
Ambrosia,houston-texas,10,35,4.1,http://www.opentable.com/ambrosia?scpref=110,(832) 649-4636,jay@ambrosiatx.com
Américas - The Woodlands,houston-texas,10,143,4.2,http://www.opentable.com/americas-the-woodlands?scpref=110,(281) 367-1492,americaswoodlands@cordua.com
Américas River Oaks,houston-texas,10,230,4.5,http://www.opentable.com/americas-river-oaks?scpref=110,(832) 200-1492,americasriveroaks@cordua.com
Amerigo's - The Woodlands,houston-texas,1,31,4.1,http://www.opentable.com/amerigos-grille-the-woodlands?scpref=110,(281) 362-0808,info@amerigos.com
Antica Osteria,houston-texas,5,52,4.4,http://www.opentable.com/antica-osteria?scpref=110,(713) 521-1155,mcalmari@yahoo.com
Arcodoro - Houston,houston-texas,7,69,4.0,http://www.opentable.com/arcodoro-houston?scpref=110,(713) 621-6888,rsvphouston@arcodoro.com
Armandos,houston-texas,8,67,4.3,http://www.opentable.com/armandos?scpref=110,(713) 520-1738,""
Artisans Restaurant,houston-texas,10,217,4.4,http://www.opentable.com/artisans-restaurant?scpref=110,(713) 529-9111,info@artisansrestaurant.com
Artista,houston-texas,10,233,4.2,http://www.opentable.com/artista?scpref=110,(713) 278-4782,artista@cordua.com
