Asiago's,http://www.opentable.com/asiagos?scpref=110&tab=2,4.2,"1002 West Main Street Boise, ID  83702 ",108,Italian,$30 and under,Boise,http://www.asiagos.com,reservations@asiagos.com,(208) 336-5552,4.2 / 5,I went there for my anniversary and it was wonderful. The food was great quality for a reasonable price. The service was outstanding with a friendly demeanor. They were rather knowledgeable about the menu because I had not heard of half of the entrees before. The menu doesn't seem that long but everything on it I wanted. We were seated immediately and all of our food was out rather quickly. The staff was on there A-game and I have nothing bad to say. I will definitely be going back before too long.,10/11/12,http://www.pickgrapevine.com/wantmore5/asiagos,asiagos
Flatbread Community Oven - Boise,http://www.opentable.com/flatbread-community-oven-boise?scpref=110&tab=2,4.4,"615 W. Main Street,STE 100 Boise, ID  83716 ",9,Pizzeria,$30 and under,Boise,http://www.flatbreadpizza.com,boise_downtown@flatbreadpizza.com,(208) 287-4757,4.4 / 5,"Great food, good atmosphere, great staff.",9/8/12,http://www.pickgrapevine.com/wantmore5/flatbread-community-oven-boise,flatbread-community-oven-boise
The Melting Pot - Boise,http://www.opentable.com/the-melting-pot-boise?scpref=110&tab=2,4.6,"200 N. 6th St. Boise, ID  83702 ",52,Fondue,$31 to $50,Boise,http://www.meltingpot.com/boise/specials,boisemp@yahoo.com,(208) 343-8800,4.6 / 5,"Excellent service, food, and wine. I think it's great if you want to experiece tasty fun food with a romantic atmosphere, or with a group of friends. I would definitely go here again.",7/19/12,http://www.pickgrapevine.com/wantmore5/the-melting-pot-boise,the-melting-pot-boise
Fork,http://www.opentable.com/fork-boise?scpref=110&tab=2,4.4,"199 N. 8th Street Boise, ID  83702 ",190,American,$30 and under,Boise,http://boisefork.com,cameron@boisefork.com,(208) 287-1700,4.4 / 5,"Fork was amazing! Exactly what my husband and I were looking for. The food was excellent, the drinks were inventive and delicious, and the service was terrific. All in all, we had a wonderful time and will be sure to visit Fork on all future trips to Boise. We have already recommended it to all our friends!",9/20/12,http://www.pickgrapevine.com/wantmore5/fork-boise,fork-boise
Cornerstone Bar and Grill,http://www.opentable.com/corner-stone-bar-and-grill?scpref=110&tab=2,4.3,"211 North Main Street Ketchum, ID  83340 ",9,Contemporary American,$30 and under,Ketchum,http://www.cbgketchum.com,cbgketchum@gmail.com,(208) 928-7777,4.3 / 5,Food was good except the fish tha halibut I had and the salmon that my husband had seemd dry and over cooked.,9/22/12,http://www.pickgrapevine.com/wantmore5/corner-stone-bar-and-grill,corner-stone-bar-and-grill
Cottonwood Grille,http://www.opentable.com/cottonwood-grille?scpref=110&tab=2,4.3,"913 W. River Street Boise, ID  83702 ",118,Contemporary American,$30 and under,Boise,http://www.cottonwoodgrille.com,cg@cottonwoodgrille.com,(208) 333-9800,4.3 / 5,"This was our least favorite restaurants on our recent trip to Boise. My husband had the meat and cheese appetizer plate and found some of the meat tough and the presentation was poor, my son had the prime rib which he enjoyed and I had the chicken Caesar salad (which for $15.00 consisted romaine lettuce whole leaves and a piece of chicken plopped on top. I had to do a lot of cutting it up to eat it and it wasnâ€™t very tasty. Service was poor â€“ we had to continually ask for things, which at a place such as this is unacceptable. We had made reservations through Open Table and for a week after our visit Open Table indicated we were â€œno showsâ€ù according to the restaurant It took a week to straighten that out even after contacting the manager.",10/5/12,http://www.pickgrapevine.com/wantmore5/cottonwood-grille,cottonwood-grille
Taj Mahal,http://www.opentable.com/taj-mahal?scpref=110&tab=2,4.8,"150 North 8th Street Suite 222 Boise, ID  83702",5,Indian,$30 and under,Boise,http://www.tajmahalofboise.com/,danish.ishaq@gmail.com,(208) 473-7200,4.8 / 5,Fantastic as always. We are long time fans. The food is exactly how it should be...hats off to the incredible chef! Outstanding beer selection too.,10/5/12,http://www.pickgrapevine.com/wantmore5/taj-mahal,taj-mahal
Berryhill & Co.,http://www.opentable.com/berryhill-and-co?scpref=110&tab=2,4.4,"121 N 9th Street Plaza 121 Boise, ID  83702",75,Northwest,$30 and under,Boise,http://www.johnberryhillrestaurants.com,eat@johnberryhillrestaurant.com,(208) 387-3553,4.4 / 5,"I thought I was booking a reservation for Bacon. We were initially disappointed that there was no reservation at Bacon and no seating. We were pleasantly surprised and happy to enjoy the brunch at Berryhills, and it didn't really cost any more than we would have spent at Bacon.",10/14/12,http://www.pickgrapevine.com/wantmore5/berryhill-and-co,berryhill-and-co
Cafe Vicino,http://www.opentable.com/cafe-vicino?scpref=110&tab=2,4.5,"808 W Fort Street Boise, ID  83702 ",91,Italian,$30 and under,Boise,http://www.cafevicino.com,info@cafevicino.com,(208) 472-1463,4.5 / 5,"Had a delicious dinner, great service...Great evening.",10/13/12,http://www.pickgrapevine.com/wantmore5/cafe-vicino,cafe-vicino
Chandlers Steakhouse,http://www.opentable.com/chandlers-steakhouse?scpref=110&tab=2,4.6,"981 W. Grove Street Boise, ID  83702 ",137,Steakhouse,$31 to $50,Boise,http://www.chandlersboise.com,info@chandlersboise.com,(208) 383-4300,4.6 / 5,Chandlers is our favorite restaurant in Boise/Meridian.,10/16/12,http://www.pickgrapevine.com/wantmore5/chandlers-steakhouse,chandlers-steakhouse
Tavern at Bown Crossing,http://www.opentable.com/tavern-at-bown-crossing?scpref=110&tab=2,4.2,"3111 S. Bown Way Boise, ID  83706 ",23,American,$30 and under,Boise,http://www.tavernatbown.com,john@tavernatbown.com,(208) 345-2277,4.2 / 5,This is a great restaurant for lunch for personal or business use. They have a sushi bar and a great selection of salads and sandwiches.,8/14/12,http://www.pickgrapevine.com/wantmore5/tavern-at-bown-crossing,tavern-at-bown-crossing
Le Cafe de Paris - Boise,http://www.opentable.com/le-cafe-de-paris-boise?scpref=110&tab=2,4.3,"204 N Capitol Blvd. Boise, ID  83702 ",19,French,$30 and under,Boise,http://lecafedeparis.com/,lecafedeparis@hotmail.com,(208) 336-0889,4.3 / 5,Great food and wonderful selection. I would like to see a bit more noise canceling suppression as it does get quite noisy at times.,10/7/12,http://www.pickgrapevine.com/wantmore5/le-cafe-de-paris-boise,le-cafe-de-paris-boise
Castle Ranch Steakhouse,http://www.opentable.com/castle-ranch-steakhouse?scpref=110&tab=2,3.5,"3300 S. Vista Ave Boise, ID  83705 ",2,Steakhouse,$31 to $50,Boise,http://theboisehotel.com,pmcdonald@ardenthotels.com,(208) 914-3952,3.5 / 5,The food was surprisingly very good. Our server did provide good service. The atmosphere was more like a coffee shop then that of an expensive steakhouse. For special occasions you want a little more pizazz in the design and furnishings. There was no music only silence.,7/7/12,http://www.pickgrapevine.com/wantmore5/castle-ranch-steakhouse,castle-ranch-steakhouse
