801 Chop House - Des Moines,http://www.opentable.com/801-chop-house-des-moines?scpref=110&tab=2,4.3,"801 Grand Ave. Des Moines, IA  50309 ",113,Steakhouse,$31 to $50,Downtown Des Moines,http://801Chophouse.com,801Chophousedsm@gmail.com,(515) 288-6000,3 / 5,While everything at 801 Chophouse was ok nothing was near the quality you can expect at the Omaha location. The service was very good but none of our normal dishes had near the heart put into them as Omaha.,10/20/2012,http://www.pickgrapevine.com/wantmore5/801-chop-house-des-moines,801-chop-house-des-moines
Albert's Restaurant,http://www.opentable.com/alberts-restaurant?scpref=110&tab=2,4.1,"104 East Water St Decorah, IA  52101 ",35,Contemporary American,$30 and under,Decorah,http://www.hotelwinn.com/alberts-restaurant.htm,alberts@hotelwinn.com,(563) 382-1837,5 / 5,"Absolutely no complaints. We had a group of nine and were even seated early for our reservation. Waitress was excellent and food was spot on from the melt in your mouth steaks to the awesome BBQ ribs. If you come to Decorah, you should not miss having dinner here !!",10/06/2012,http://www.pickgrapevine.com/wantmore5/alberts-restaurant,alberts-restaurant
Americana - Des Moines,http://www.opentable.com/americana-des-moines?scpref=110&tab=2,4.3,"1312 Locust Street, Suite 102 Des Moines, IA  50309 ",154,Contemporary American,$30 and under,Downtown Des Moines,http://americanadsm.com,contact@americanadsm.com,(515) 283-1312,5 / 5,"Downtown is usually desolate on the weekends, but this place was packed! The brunch was a good value, and I have never seen so many options on a buffet. The hot dishes were hot, the cold food was cold, and all were fresh and delicious! To top it off, our server (Ken) was perfectly pleasant and attentive. This was an all-around great experience, thank you!",10/21/2012,http://www.pickgrapevine.com/wantmore5/americana-des-moines,americana-des-moines
Bass Street Chop House,http://www.opentable.com/bass-street-chop-house?scpref=110&tab=2,4.4,"1601 River Drive Moline, IL  61265 ",105,Steak,$31 to $50,"Moline, IL",http://www.bschouse.com,jharrop@bschouse.com,(309) 762-4700,5 / 5,Thank you Bass Street for an incredible meal!!! Much needed comfort food needed on a rainy night...loved the meatloaf and potpie:),10/19/2012,http://www.pickgrapevine.com/wantmore5/bass-street-chop-house,bass-street-chop-house
BOS,http://www.opentable.com/bos?scpref=110&tab=2,3.1,"401 Locust St. Des Moines, IA  50309 ",31,Contemporary American,$30 and under,Downtown Des Moines,http://www.BOSDesMoines.com,jandres@bosdesmoines.com,(515) 284-1267,2 / 5,Great food but it took almost an hour for us to get our food. The server had to apologize for the length of time it was taking for our food to arrive.,10/06/2012,http://www.pickgrapevine.com/wantmore5/bos,bos
Centro Restaurant,http://www.opentable.com/centro-restaurant?scpref=110&tab=2,4.4,"1007 Locust Street Des Moines, IA  50309 ",187,Italian,$30 and under,Downtown Des Moines,http://www.centrodining.com,rdeangelo@centrodining.com,(515) 248-1780,4 / 5,"Love the food, love the wine list, ADORE the service. I just wish it was quieter.",10/20/2012,http://www.pickgrapevine.com/wantmore5/centro-restaurant,centro-restaurant
Django Restaurant,http://www.opentable.com/django-restaurant?scpref=110&tab=2,4.3,"210 10th Street Suite 300 Des Moines, IA  50309",164,French,$30 and under,Downtown Des Moines,http://www.djangodesmoines.com,manager@djangodesmoines.com,(515) 288-0268,5 / 5,This is one of our favorite restaurants to go to when we visit Des Moines! It never fails to deliver EXCELLENT food and fun!,10/23/2012,http://www.pickgrapevine.com/wantmore5/django-restaurant,django-restaurant
DJ's Steakhouse-Jumers Casino and Hotel,http://www.opentable.com/djs-steakhouse-jumers-casino-and-hotel?scpref=110&tab=2,4.5,"777 Jumer Drive Rock Island, IL  61201 ",24,Steakhouse,$31 to $50,"Rock Island, IL",http://www.jumerscasinohotel.com,djs@jumerscri.com,(309) 756-4773,4 / 5,"As always, the food was fantastic. Service was great, and the staff was very friendly. We were dining for my finances birthday, and they even comped her a piece of cheesecake. The wine list was second to none, and the mixed drink specials were awesome as well. And for a high end steakhouse, the pricing was extremely fair.",10/23/2012,http://www.pickgrapevine.com/wantmore5/djs-steakhouse-jumers-casino-and-hotel,djs-steakhouse-jumers-casino-and-hotel
Gino's West Glen,http://www.opentable.com/ginos-west-glen?scpref=110&tab=2,3.8,"5513 Mills Civic Parkway, Suite 100 West Des Moines, IA  50266 ",34,Italian,$30 and under,West Des Moines,http://www.ginosfoodsdsm.com,cbell.ginos@hotmail.com,(515) 226-2320,4 / 5,"Probably the only thing that decreased the evaluation was that the table was not ready for us when we arrived and it was quite a while before it was ready. We waited at the bar which was okay - not normally a preference though, but had to check again if the table was getting ready.",10/20/2012,http://www.pickgrapevine.com/wantmore5/ginos-west-glen,ginos-west-glen
Givanni's,http://www.opentable.com/givannis?scpref=110&tab=2,3.8,"109 East College Street Iowa City, IA  52240 ",45,Italian,$30 and under,Iowa City,http://www.givannis.net,givannisiowacity@gmail.com,(319) 338-5967,4 / 5,"Fortunately had a reservation for Friday. Two couples ahead of us probably wondered why we got in and they had to wait another 2 hours. It's always difficult to choose as so many selections are excellent but I settled on the Steak DeBurgo and it was absolutely excellent. I wish there were more wines by the glass to choose from however. Offering flights, i.e., Cabs, Merlots, etc. were be a wonderful addition. The waiter was very attentive without being bothersome. Overall an excellent experience.",10/19/2012,http://www.pickgrapevine.com/wantmore5/givannis,givannis
Joseph's Steakhouse of Iowa City,http://www.opentable.com/josephs-steakhouse-of-iowa-city?scpref=110&tab=2,4.4,"212 South Clinton Street Iowa City, IA  52240 ",61,Steak,$30 and under,Iowa City,http://www.josephssteak.com,nikki.hill@mondanaros.com,(319) 358-0776,3 / 5,"Prime rib was not hot, and steaks were overcooked. Kitchen was slow.",10/19/2012,http://www.pickgrapevine.com/wantmore5/josephs-steakhouse-of-iowa-city,josephs-steakhouse-of-iowa-city
L. May Eatery,http://www.opentable.com/l-may-eatery?scpref=110&tab=2,4.5,"1072 Main St. Dubuque, IA  52001 ",137,Fusion / Eclectic,$30 and under,Dubuque,http://www.lmayeatery.com,dining@lmayeatery.com,(563) 556-0505,5 / 5,"We had a group of 9 people. The watress mentioned that she couldn't do individual tickets, which can really be a hassel. but she did a great job of giving us our totals so there was no problem. that was nice.Karen Lyness",10/22/2012,http://www.pickgrapevine.com/wantmore5/l-may-eatery,l-may-eatery
