43 North - Jackson Hole,http://www.opentable.com/43-north-jackson-hole?scpref=110&tab=2,3.8,"645 So Cache St. Jackson Hole, WY  83001 ",25,Contemporary American,$31 to $50,Jackson,http://www.forty3north.com,43njackson@gmail.com,(307) 733-0043,3.8 / 5,"We had a delicious, special dinner at 43 North! I had the prosciutto wrapped halibut! Loved it! My husband had the pork chop and my son had the stuffed prawns. We all enjoyed our entrees! Plus we were given a free bottle of wine as part of their special. While we were dining a huge group of tired looking fire fighters came in to eat. 43 North opened up the entire back room to them. Everyone applauded when they entered the restaurant. It gave me a warm feeling to know that 43 North was showing appreciation for these selfless, hard working people who literally saved our community!!",9/26/12,http://www.pickgrapevine.com/wantmore5/43-north-jackson-hole,43-north-jackson-hole
Alpenrose at the Alpenhof Lodge,http://www.opentable.com/alpenrose-at-the-alpenhof-lodge?scpref=110&tab=2,3.9,"3255 W. Village Dr. Teton Village, WY  83025 ",15,Swiss,$30 and under,Teton Village,http://www.alpenhoflodge.com,ann@alpenhoflodge.com,(307) 733-3242,3.9 / 5,"fondue and desserts very good, little outdated built in 1960s needs updating",9/21/12,http://www.pickgrapevine.com/wantmore5/alpenrose-at-the-alpenhof-lodge,alpenrose-at-the-alpenhof-lodge
Cafe Genevieve,http://www.opentable.com/cafe-genevieve?scpref=110&tab=2,4.3,"135 East Broadway Jackson, WY  83001 ",60,American,$30 and under,Jackson,http://www.genevievejh.com,cafegenevieve@gmail.com,(307) 732-1910,4.3 / 5,"My husband siad, it was the best fried chicken he's ever had! We also ate breakfast there and it was delicious! Highly recommend!",10/8/12,http://www.pickgrapevine.com/wantmore5/cafe-genevieve,cafe-genevieve
COULOIR,http://www.opentable.com/couloir?scpref=110&tab=2,4.7,"Jackson Hole Mountain Resort Teton Village, WY  83925 ",58,American,$50 and over,Teton Village,http://www.jacksonhole.com/info/ae.dining.winter.asp,couloir@jacksonhole.com,(307) 739-2675,4.7 / 5,"Fabulous food -- but the salad was memorable....watermelon, minced cashews, fresh greens -- triggered every taste bud in my mouth...incredible!",9/7/12,http://www.pickgrapevine.com/wantmore5/couloir,couloir
Mangy Moose,http://www.opentable.com/mangy-moose?scpref=110&tab=2,3.6,"3295 Village Dr. Jackson Hole, WY  83025 ",24,American,$30 and under,Teton Village,http://www.mangymoose.com,david@mangymoose.com,(307) 733-4913,3.6 / 5,"We had our 20th wedding anniverary dinner there as part of our out west trip. It was quiet, not crowded and the food was good. Nothing really popped out at us as it being an extra special place accept for the animal heads hanging on the wall. The view was beautiful outside as it is located at the base of the Grand Tetons.",9/14/12,http://www.pickgrapevine.com/wantmore5/mangy-moose,mangy-moose
The Blue Lion,http://www.opentable.com/the-blue-lion?scpref=110&tab=2,4.4,"160 N. Millward Jackson, WY  83001 ",159,Contemporary American,$30 and under,Jackson,http://www.bluelionrestaurant.com,dinner@bluelionrestaurant.com,(307) 733-3912,4.4 / 5,We have been eating here for a little over 30 years and it is still our favorite place. We love it.,10/12/12,http://www.pickgrapevine.com/wantmore5/the-blue-lion,the-blue-lion
Calico Restaurant,http://www.opentable.com/calico-restaurant?scpref=110&tab=2,3.9,"2650 Moose Wilson Rd. Wilson, WY  83014 ",24,Italian,$30 and under,Wilson,http://Calicorestaurant.com,info@calicorestaurant.com,(307) 733-2460,3.9 / 5,"This is casual dining at its best. Think of it as a pizza joint with a sports bar, alongside a large rustic dining room that has an interesting menu, a very decent wine and beer list, very good food, and friendly and attentive service. Oh yes: and reasonable prices. The parking lot is packed in the evenings, and it is not a ride-share lot! This place is popular, and deserves to be.",9/17/12,http://www.pickgrapevine.com/wantmore5/calico-restaurant,calico-restaurant
Ignight,http://www.opentable.com/ignight?scpref=110&tab=2,4.4,"945 W Broadway Jackson Hole, WY  83001 ",60,Seafood,$30 and under,Jackson,http://ignightjacksonhole.com,info@ignightjacksonhole.com,(307) 734-1997,4.4 / 5,"What a find. My friend and I had dinner here and loved it. Top notch, great prices and fabulous drinks. Loved the sushi and flatbread. The best edamine I've ever had. Service was very good. Highly recommend!",10/3/12,http://www.pickgrapevine.com/wantmore5/ignight,ignight
Giovanni's Italian Restaurant,http://www.opentable.com/giovannis-italian-restaurant?scpref=110&tab=2,4,"690 South Highway 89 Jackson Hole, WY  83002 ",55,Italian,$30 and under,Jackson,http://www.jhgiovannis.com,info@jhgionvannis.com,(307) 734-1970,5-Apr,We found Giovanni's while traveling. It was near our hotel and had good reviews. We were pleased with our meal and our service. The dining room is dark and a little stuffy.,9/5/12,http://www.pickgrapevine.com/wantmore5/giovannis-italian-restaurant,giovannis-italian-restaurant
Il Villaggio Osteria,http://www.opentable.com/il-villaggio-osteria?scpref=110&tab=2,4.1,"3335 West Village Road Teton Village, WY  83025 ",86,Italian,$30 and under,Teton Village,http://www.jhosteria.com,info@jhosteria.com,(307) 739-4100,4.1 / 5,"Everything was great. The food was well presented, flavorful and just the right amount. The",10/4/12,http://www.pickgrapevine.com/wantmore5/il-villaggio-osteria,il-villaggio-osteria
