4 Olives Restaurant,http://www.opentable.com/4-olives-restaurant?scpref=110&tab=2,4.3,"3033 Anderson Ave. Manhattan, KS  66503 ",59,Contemporary American,$31 to $50,Manhattan,http://www.4olives.biz,scottb@4olives.biz,(785) 539-1295,5 / 5,We would highly recommend this restaurant. We pulled up at 7:00 on a Saturday night and were surprised to find this in the corner of a strip mall. We were expecting something a little more upscale. Inside the ambience was about as good as one can adapt a mall space into fine dining.,10/20/2012,http://www.pickgrapevine.com/wantmore5/4-olives-restaurant,4-olives-restaurant
801 Chop House,http://www.opentable.com/801-chop-house?scpref=110&tab=2,4.4,"71 East 14th Street Kansas City, MO  64105 ",102,Steakhouse,$50 and over,KC Power & Light District,http://801chophouse.com,801chophousekc@gmail.com,(816) 994-8800,4 / 5,We had six adults in our group. We all had the three course special. It was about the right amount of food for us seniors.,10/21/2012,http://www.pickgrapevine.com/wantmore5/801-chop-house,801-chop-house
801 Chophouse Leawood,http://www.opentable.com/801-chophouse-leawood?scpref=110&tab=2,4.4,"11616 Ash Street Leawood, KS  66211 ",155,Steakhouse,$50 and over,Leawood,http://www.801chophouse.com,801chophouseleawood@gmail.com,(913) 322-1801,5 / 5,Amazing food and great service. They were very accommadating when we called ahead and wanted to see the college football game. We will definitely be back soon!,10/20/2012,http://www.pickgrapevine.com/wantmore5/801-chophouse-leawood,801-chophouse-leawood
Accurso's Italian Restaurant,http://www.opentable.com/accursos-italian-restaurant?scpref=110&tab=2,3.9,"4980 Main St Kansas City, MO  89152 ",65,Italian,$30 and under,Plaza / Brookside,http://accursos.com/,Accursosrestaurant@gmail.com,(816) 753-0810,2 / 5,Most recently a friend and I visited Accurso's on a Wednesday evening. The food was okay but not wonderful. The temperature/texture of the food appeared to be heated in the microwave and not cooked to order. The location is great and the service was okay but not outstanding for a restaurant that has such longevity and history in KC. I will not be ordering the Chicken Marsala on a return visit. I may consider their soup for future visits.,10/17/2012,http://www.pickgrapevine.com/wantmore5/accursos-italian-restaurant,accursos-italian-restaurant
Affäre,http://www.opentable.com/affare?scpref=110&tab=2,4.3,"1911 Main Kansas City, MO  64108 ",284,German,$30 and under,Kansas City,http://affarekc.com,manager@affarekc.com,(816) 298-6182,2 / 5,"I feel the Affare is soooo close, but just not quite there yet. We had a group and were seated in this odd back room - hence the 2 stars as the front room was really cool.Our server was really bad... Not rude - just seemed like he didn't know what he was doing. It was our first time there, and we needed some assistance in how to order (trust me, if it's your first time, you will too). The group wanted to try a variety of different things and the waiter wasn't very helpful in suggesting items to share. Also - the portions are set up so they aren't really shareable.... Unless you only want a tiny bite.The food was good, but not great.I will go back, as they are still young and just have some growing pains to get through.",10/20/2012,http://www.pickgrapevine.com/wantmore5/affare,affare
Aixois French Restaurant & Coffee Bar,http://www.opentable.com/aixois-french-restaurant-and-coffee-bar?scpref=110&tab=2,4.1,"251 E. 55th Street Kansas City, MO  64113 ",93,French,$30 and under,Plaza / Brookside,http://www.aixois.com,aixoiskc@gmail.com,(816) 333-3305,4 / 5,"Almost everything was excellent....However, when we arrived the hostess did not give us proper seating...I had requested a quiet table and one by the window....3 tables by the window were empty....The hostess put us at a small table in the middle of two extremly, very noisy big groups..when our waitress brought our appitizers I asked for the manager and told himof my displeasure.... he immediately moved us to one of the more quiet empty tables by the window...He even made a point of passing by later to tell us he had checked the reservations and I was correct and his hostess HAD ignored the instructions...Hopefully he made a point of making sure that it does not happen to others....From that point on, all was great.",10/20/2012,http://www.pickgrapevine.com/wantmore5/aixois-french-restaurant-and-coffee-bar,aixois-french-restaurant-and-coffee-bar
The American Restaurant,http://www.opentable.com/the-american-restaurant?scpref=110&tab=2,4.8,"200 East 25th Street, Suite 400 Mailing address: 200 East 25th Street, Suite 400 Kansas City, MO  64108",91,American,$50 and over,Crossroads / Freight District / Boulevard,http://www.theamericankc.com,theamericankc@hallmark.com,(816) 545-8001,5 / 5,"My hat's off to the group at The American! The food is amazing; the finest ingredients, the finest preparations, the finest presentation, and the finest service. This was not our first time to The American and it certainly will not be the last. On a side note, my wife and I stopped by The American a few weeks ago for happy hour and that too, was amazing. If you have not been to The American for happy hour, you should check it out. The cocktails are sublime and the discounted happy hour food menu is out of this world. If you are not ready to take the plunge and go for dinner, stop by and check out the happy hour for a example of the amazin cuisine.",10/16/2012,http://www.pickgrapevine.com/wantmore5/the-american-restaurant,the-american-restaurant
Anthony's Restaurant,http://www.opentable.com/anthonys-restaurant?scpref=110&tab=2,4.2,"701 Grand Blvd Kansas City, MO  64106 ",72,Italian,$30 and under,Downtown / River Market,http://www.kcanthonysongrand.com,anthonyspino@yahoo.com,(816) 221-4088,4 / 5,"We have eaten at Anthony's several times and they consistantly present service, ambiance, and a authentic Italian cuisine of the highest caliber.",10/20/2012,http://www.pickgrapevine.com/wantmore5/anthonys-restaurant,anthonys-restaurant
Avenues Bistro - Brookside,http://www.opentable.com/avenues-bistro-brookside?scpref=110&tab=2,4.2,"338 W 63rd St Kansas City, MO  64113 ",224,European,$30 and under,Plaza / Brookside,http://www.avenuesbistro.com/,brookside@avenuesbistro.com,(816) 333-5700,4 / 5,We've eaten our way through almost the entire menu and everything is absolutely delicious! We love the braised short ribs and bacon wrapped dates.,10/19/2012,http://www.pickgrapevine.com/wantmore5/avenues-bistro-brookside,avenues-bistro-brookside
blanc burgers + bottles,http://www.opentable.com/blanc-burgers-and-bottles?scpref=110&tab=2,4.1,"4710 Jefferson Kansas City, MO  64112 ",57,Burgers,$30 and under,Plaza / Brookside,http://www.blancburgers.com,blanc@blancburgers.com,(816) 931-6200,4 / 5,This was the first time my husband and I ate here. After reading the reviews about questionable service I was nervous about dinning here. Our service was great and the food was good. We will go back for sure.,10/12/2012,http://www.pickgrapevine.com/wantmore5/blanc-burgers-and-bottles,blanc-burgers-and-bottles
