1862 David Walley's Restaurant and Saloon,http://www.opentable.com/1862-david-walleys-restaurant-and-saloon?scpref=110&tab=2,3.9,"2001 Foothill Road Genoa, NV  89411 ",9,American,$31 to $50,South Shore,http://www.1862davidwalleysrestaurantandsaloon.com,1862DavidWalleys@summerwindsresorts.com,(888) 737-1862,3.9 / 5,"Unusual locale cuisine items, ample portions, great presentation, very well prepared and delicious, perhaps a bit pricey. Service was great without being fawning.",7/4/12,http://www.pickgrapevine.com/wantmore3/1862-david-walleys-restaurant-and-saloon,1862-david-walleys-restaurant-and-saloon
The Ahwahnee Hotel Dining Room - Ahwahnee Hotel,http://www.opentable.com/the-ahwahnee-hotel-dining-room-ahwahnee-hotel?scpref=110&tab=2,4.1,"1 Ahwahnee Road Yosemite Village, CA  95389 ",711,Californian,$31 to $50,Yosemite,http://www.yosemitepark.com,khill@dncinc.com,(209) 372-1489,4.2 / 5,Especially good service. A most delightful dining experience. Food was excellent.,9/5/12,http://www.pickgrapevine.com/wantmore3/the-ahwahnee-hotel-dining-room-ahwahnee-hotel,the-ahwahnee-hotel-dining-room-ahwahnee-hotel
PlumpJack Cafe Squaw Valley,http://www.opentable.com/plumpjack-cafe-squaw-valley?scpref=110&tab=2,4.1,"1920 Squaw Valley Road Olympic Valley, CA  96146 ",43,American,$30 and under,Squaw Valley,http://www.plumpjackcafe.com,svi@plumpjack.com,(530) 583-1578,4.1 / 5,"made a reservation for jakes in tahoe city for Aug 30 at 7 pm. made the reservation before noon the 30th. When we arrived, they had no record of our reservation? They were able to seat us so worked out anyway.",8/31/12,http://www.pickgrapevine.com/wantmore3/plumpjack-cafe-squaw-valley,plumpjack-cafe-squaw-valley
Tamarack Junction Steak House,http://www.opentable.com/tamarack-junction-steak-house?scpref=110&tab=2,4.4,"13101 S. Virginia St. Reno, NV  89511 ",137,Steakhouse,$31 to $50,Reno,http://TamarackJunction.com/Dining/Steak-House,steakhouse@TamarackJunction.com,(775) 384-3630,4.4 / 5,"Tamarack Junction Steak House was the best way my husband and I could've celebrated his birthday. The service was perfect, the food was so delicious, and the prices were very reasonable for the quantity and quality. By far, the best fine dining experience I've ever had.",9/3/12,http://www.pickgrapevine.com/wantmore3/tamarack-junction-steak-house,tamarack-junction-steak-house
Spindleshanks,http://www.opentable.com/spindleshanks?scpref=110&tab=2,3.8,"6873 North Lake Blvd. Tahoe Vista, CA  96148 ",36,American,$30 and under,Kings Beach,http://spindleshankstahoe.com,spindleshankstahoe@gmail.com,(530) 546-2191,3.9 / 5,Delicious food (as always) Ben was an excellent waiter...Can't wait to return next time we're in the Tahoe area.,8/30/12,http://www.pickgrapevine.com/wantmore3/spindleshanks,spindleshanks
The Lodge,http://www.opentable.com/the-lodge?scpref=110&tab=2,4.2,"12850 Northwoods Blvd Truckee, CA  96161 ",82,Contemporary American,$30 and under,Truckee,http://www.tahoedonner.com/the-lodge/,reservations@thelodge-tahoe.com,(530) 587-9455,4.2 / 5,"Just a solid place given that it is run by an association. Friendly staff, and very solid food!",9/3/12,http://www.pickgrapevine.com/wantmore3/the-lodge,the-lodge
Sterling's Seafood Steakhouse at Silver Legacy Resort Casino,http://www.opentable.com/sterlings-seafood-steakhouse-at-silver-legacy-resort-casino?scpref=110&tab=2,4.6,"407 N. Virginia St Reno, NV  89501 ",110,Steakhouse,$31 to $50,Reno,http://www.silverlegacyreno.com/dining/sterlings-seafood-steakhouse/,reservations@silverlegacy.com,(800) 687-8733,4.6 / 5,"WE HAD DINNER HERE FOR OUR 29TH ANNIVERSARY - JUST HAPPEN TO STOP IN RENO. EXCELLENT EVERY TIME!! OUR WAITER ERIC AND ASSN'T MGR, CARLOS WERE SUPERB!!! THANKS FOR THE SPECIAL TREATMENT AND THE DESSERT!!! LOVE YOUR WINE SELECTIONS!",9/5/12,http://www.pickgrapevine.com/wantmore3/sterlings-seafood-steakhouse-at-silver-legacy-resort-casino,sterlings-seafood-steakhouse-at-silver-legacy-resort-casino
La Strada - Eldorado Hotel Casino,http://www.opentable.com/la-strada-eldorado-hotel-casino?scpref=110&tab=2,4.4,"345 N. Virginia St Reno, CA  89501 ",74,Italian,$30 and under,Reno,http://www.eldoradoreno.com/reno-restaurants/la-strada/,reservations@eldoradoreno.com,(800) 879-8879,4.4 / 5,"Simply the best meal and wait staff I have ever had the pleasure to have a meal with !Had particular requirements for one person in our party, and they wentTotally out of their way to accommodate our needs.Not the first time here, and will NOT be the last.",8/27/12,http://www.pickgrapevine.com/wantmore3/la-strada-eldorado-hotel-casino,la-strada-eldorado-hotel-casino
The Prime Rib Grill - Eldorado Hotel Casino,http://www.opentable.com/the-prime-rib-grill-eldorado-hotel-casino?scpref=110&tab=2,4.3,"345 N. Virginia St Reno, NV  89501 ",57,Steakhouse,$30 and under,Reno,http://www.eldoradoreno.com/reno-restaurants/the-prime-rib-grill/,reservations@eldoradoreno.com,(800) 879-8879,4.3 / 5,We chose this restaurant for my daughter's 21st birthday dinner. We had 14 people and had amazing service. I had the prime rib dinner and it was really good. The salad bar is a great find as well. We would come back again and again. Thank you so much!!!,8/31/12,http://www.pickgrapevine.com/wantmore3/the-prime-rib-grill-eldorado-hotel-casino,the-prime-rib-grill-eldorado-hotel-casino
Roxy - Eldorado Hotel Casino,http://www.opentable.com/roxy-eldorado-hotel-casino?scpref=110&tab=2,4.4,"345 N. Virginia St Reno, NV  89501 ",53,Californian,$31 to $50,Reno,http://www.eldoradoreno.com/reno-restaurants/roxy/,reservations@eldoradoreno.com,(800) 879-8879,4.3 / 5,good spot food & service all good,8/25/12,http://www.pickgrapevine.com/wantmore3/roxy-eldorado-hotel-casino,roxy-eldorado-hotel-casino
