35 Steaks + Martinis,http://www.opentable.com/35-steaks-and-martinis?scpref=110&tab=2,4.0,"4455 Paradise Road Las Vegas, NV  89169 ",53,Steakhouse,$50 and over,Hard Rock Hotel,http://www.hardrockhotel.com/#/dine/35-steaks-martinis/,groupdining@hrhvegas.com,(702) 693-4092,4 / 5,"This Restaurant is on par with The Prime Rib in Washington, DC. The fact it is located in the Hard Rock Hotel and Casino in Las Vegas did not cause any problems and, in fact, made eating here more relaxing. The meat was cooked just as I asked and I got the biggest baked potato I have ever had.",09/26/2012,http://www.pickgrapevine.com/wantmore4/35-steaks-and-martinis,35-steaks-and-martinis
Addiction at Rumor Vegas Boutique Resort,http://www.opentable.com/addiction-at-rumor-vegas-boutique-resort?scpref=110&tab=2,3.5,"455 East Harmon Avenue Las Vegas, NV  89147 ",11,Contemporary American,$30 and under,Near the Strip,http://www.rumorvegas.com/addiction/,info@rumorvegas.com,(702) 369-5400,3.5 / 5,"The entire staff was completely amazing, genuine to their care for their guests, and made every accommodation without hesitation. Great new menu as well",09/29/2012,http://www.pickgrapevine.com/wantmore4/addiction-at-rumor-vegas-boutique-resort,addiction-at-rumor-vegas-boutique-resort
Agave - Las Vegas,http://www.opentable.com/agave-las-vegas?scpref=110&tab=2,3.7,"10820 W. Charleston Blvd Las Vegas, NV  89135 ",44,Contemporary Mexican,$30 and under,Summerlin,http://www.agavelasvegas.com,agave@mcrestaurants.com,(702) 214-3500,3.7 / 5,"Love, love, love the decor! It was my first visit to the restaurant, and I had chicken tacos; they were good. I would've liked a crispy flour tortilla with cheese, but it wasn't on the menu. The service was good. I live on the other side of town, so it may be a while before I'm back, but I definitely recommend Agave.",09/25/2012,http://www.pickgrapevine.com/wantmore4/agave-las-vegas,agave-las-vegas
Alizé at the Top of the Palms Casino Resort,http://www.opentable.com/alize-at-the-top-of-the-palms-casino-resort?scpref=110&tab=2,4.5,"4321 W Flamingo Road Las Vegas, NV  89103 ",93,French,$50 and over,The Palms Hotel & Casino,http://www.alizelv.com,info@alizelv.com,(702) 951-7000,4.5 / 5,"I took my husband here for his 30th birthday while we were celebrating in Vegas. We did the 7 course tasting menu for $125 per person and added the caviar as well. The Grand Marnier Souffle is not to be missed. I didn't think our server was the best, but all of the support staff were fantastic. The only damper on our evening was when we got the check and realized they charge per coke, as they do not have free refills on soda. I did not see that written on the menu, nor did our server bother to tell us the policy.",10/02/2012,http://www.pickgrapevine.com/wantmore4/alize-at-the-top-of-the-palms-casino-resort,alize-at-the-top-of-the-palms-casino-resort
America Restaurant - NYNY Hotel and Casino,http://www.opentable.com/america-restaurant-nyny-hotel-and-casino?scpref=110&tab=2,3.7,"3790 Las Vegas Blvd South Las Vegas, NV  89109 ",22,American,$30 and under,New York New York Hotel & Casino,http://www.arkvegas.com/restaurants_america.htm,"",(702) 740-6451,3.7 / 5,Excellent experience. Good food. Easy for groups.,09/06/2012,http://www.pickgrapevine.com/wantmore4/america-restaurant-nyny-hotel-and-casino,america-restaurant-nyny-hotel-and-casino
American Fish - Aria - MGM Resorts,http://www.opentable.com/american-fish-aria-mgm-resorts?scpref=110&tab=2,4.3,"3730 Las Vegas Blvd South Las Vegas, NV  89109 ",28,Contemporary American,$31 to $50,Aria Hotel & Casino,http://www.arialasvegas.com/dining/american-fish.aspx,"",(702) 590-8610,4.3 / 5,"We had an early show, and we started off with drinks fine but the appetizers arrived close to to dinner, and the restaurant was not that crowded for an early dinner.",09/21/2012,http://www.pickgrapevine.com/wantmore4/american-fish-aria-mgm-resorts,american-fish-aria-mgm-resorts
Andre's at the Monte Carlo Resort & Casino,http://www.opentable.com/andres-at-the-monte-carlo-resort-and-casino?scpref=110&tab=2,4.5,"3770 Las Vegas Blvd South Las Vegas, NV  89109 ",57,French,$50 and over,Monte Carlo Hotel & Casino,http://www.andrelv.com,infomc@andrelv.com,(702) 798-7151,4.5 / 5,Andres never fails to amaze me. The seared Foie gras is my favorite! The veal cheeks and bison carpaccio melted in ur mouth! The Dover sole was really good but nothing can get me away from ordering the stuffed lobster! Simply outstanding! And for under $70 you can't go wrong! The server assistants are always on point and the table looks immaculate after every course. Vegas has many wonderful choices for amazing food but amazing service is not easy to find here and Ricky's service is some of the best service I have ever received. He is very warm and welcoming from the start. Recommendations are always wonderful. Gives you the full dining experience with out making you feel rushed even towards the end of the night.,09/25/2012,http://www.pickgrapevine.com/wantmore4/andres-at-the-monte-carlo-resort-and-casino,andres-at-the-monte-carlo-resort-and-casino
Annie's Gourmet Italian,http://www.opentable.com/annies-gourmet-italian?scpref=110&tab=2,4.3,"1716 W Horizon Ridge Pkwy Suite 100 Henderson, NV  89012",14,Italian,$30 and under,Henderson,http://www.anniesgourmetitalian.com/,annie@anniesgourmetitalian.com,(702) 254-3663,4.3 / 5,"Annie's had a great environment! They have outdoor dining, which is dog friendly. The inside is small and offered great ambiance. The overall experience was very nice. The stuffed mushrooms were amazing! However, I prefer a spicier tomato sauce so I didn't enjoy the dinner as much as I had hoped. I would recommend Annie's if you prefer a not so spicy sauce.",09/30/2012,http://www.pickgrapevine.com/wantmore4/annies-gourmet-italian,annies-gourmet-italian
Aquaknox,http://www.opentable.com/aqua-knox?scpref=110&tab=2,4.4,"3355 South Las Vegas Blvd. Las Vegas, NV  89109 ",125,Seafood,$31 to $50,The Venetian and Palazzo,http://www.Aquaknox.net,lasvegassales@tavistockerestaurants.com,(702) 414-3772,4.4 / 5,Perfection from start to finish.,10/03/2012,http://www.pickgrapevine.com/wantmore4/aqua-knox,aqua-knox
Artisan Hotel Boutiques’ Mood Restaurant,http://www.opentable.com/artisan-hotel-boutiques-mood-restaurant?scpref=110&tab=2,3.5,"1501 West Sahara Avenue Las Vegas, NV  89102 ",4,American,$30 and under,Near the Strip,http://www.artisanhotel.com,dining@artisanhotel.com,(702) 214-4000,3.4 / 5,service was spotty....cocktail waitress came to table to get drink orders and never brought drinks....had to go to the bar and get them ourselves.... great atmosphere tho...and we would come back,09/28/2012,http://www.pickgrapevine.com/wantmore4/artisan-hotel-boutiques-mood-restaurant,artisan-hotel-boutiques-mood-restaurant
