Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
118 Degrees,los-angeles,5,50,3.8,http://www.opentable.com/118-degrees?scpref=110,(714) 754-0718,info@shop118degrees.com
1321 Downtown Taproom Bistro,los-angeles,1,22,4.0,http://www.opentable.com/1321-downtown-taproom-bistro?scpref=110,(310) 618-1321,info@1321downtown.com
208 Rodeo,los-angeles,4,26,3.9,http://www.opentable.com/208-rodeo?scpref=110,(310) 275-2428,info@208rodeo.com
230 Forest Avenue,los-angeles,10,95,4.2,http://www.opentable.com/230-forest-avenue?scpref=110,(949) 494-2545,twothirtyforest@yahoo.com
3 Dog Cantina,los-angeles,4,24,3.8,http://www.opentable.com/3-dog-cantina?scpref=110,(323) 465-1750,info@3DogCantina.com
320 Main,los-angeles,6,45,4.2,http://www.opentable.com/320-main?scpref=110,(562) 799-6246,rebecca@320MainSealBeach.com
3Twenty Wine Lounge,los-angeles,2,45,4.2,http://www.opentable.com/3twenty-wine-lounge?scpref=110,(323) 932-9500,info@320southwine.com
3Vinos,los-angeles,6,34,3.9,http://www.opentable.com/3vinos?scpref=110,(626) 966-7735,info@3vinos.com
555 East,los-angeles,10,177,4.4,http://www.opentable.com/555-east?scpref=110,(562) 437-0626,kwojcik@kingsseafood.com
6ix Park Grill,los-angeles,4,39,4.2,http://www.opentable.com/6ix-park-grill?scpref=110,(949) 225-6666,derek.ernst@hyatt.com
71 Palm,los-angeles,3,40,4.4,http://www.opentable.com/71-palm?scpref=110,(805) 653-7222,chefdidier@71palm.com
9 Olives,los-angeles,4,21,4.0,http://www.opentable.com/9-olives?scpref=110,(323) 848-2100,9olivesonsunset@gmail.com
A Restaurant,los-angeles,0,28,4.1,http://www.opentable.com/a-restaurant?scpref=110,(949) 650-6505,info@arestaurantnb.com
Aburiya Toranoko,los-angeles,0,19,4.2,http://www.opentable.com/aburiya-toranoko?scpref=110,(213) 621-9500,""
Admiral Risty,los-angeles,10,102,4.4,http://www.opentable.com/admiral-risty?scpref=110,(310) 377-0050,wayne@admiralristy.com
Agaves Kitchen and Tequilla,los-angeles,1,30,3.8,http://www.opentable.com/agaves-kitchen-and-tequilla?scpref=110,(562) 435-7700,info@agavesbar.com
Ago - West Hollywood,los-angeles,10,95,4.1,http://www.opentable.com/ago-west-hollywood?scpref=110,(323) 655-6333,AGO.REST@SBCGLOBAL.NET
Agora Churrascaria,los-angeles,10,172,4.3,http://www.opentable.com/agora-churrascaria?scpref=110,(949) 222-9910,info@agoranow.com
AKA Bistro - Pasadena,los-angeles,10,50,4.0,http://www.opentable.com/aka-bistro-pasadena?scpref=110,(626) 564-8111,napasimon@sbcglobal.com
AKASHA,los-angeles,10,303,4.2,http://www.opentable.com/akasha?scpref=110,(310) 845-1700,Info@akasharestaurant.com
Alegria Cocina Latina,los-angeles,3,40,3.8,http://www.opentable.com/alegria-cocina-latina?scpref=110,(562) 436-3388,alegria@alegriacocinalatina.com
Aliotta's Via Firenze,los-angeles,7,37,4.4,http://www.opentable.com/aliottas-via-firenze?scpref=110,(310) 371-9555,ChefMikeAliotta@gmail.com
Alley Restaurant & Bar,los-angeles,4,33,4.3,http://www.opentable.com/alley-restaurant-and-bar?scpref=110,(949) 646-9126,alleyrestaurant@sbcglobal.net
Alma,los-angeles,8,36,4.3,http://www.opentable.com/alma-los-angeles?scpref=110,(213) 444-0984,almafoodandwine@gmail.com
Aloha Steakhouse - Ventura,los-angeles,4,38,4.1,http://www.opentable.com/aloha-steakhouse-ventura?scpref=110,(805) 652-1799,info@alohasteakhouse.com
Amalfi Ristorante & Bar,los-angeles,4,49,4.0,http://www.opentable.com/amalfi-ristorante-and-bar?scpref=110,(323) 938-2504,MrAmalfi@aol.com
Amarone Kitchen & Wine,los-angeles,5,55,4.5,http://www.opentable.com/amarone-kitchen-and-wine?scpref=110,(310) 652-2233,Events@AmaroneLA.com
American Farmhouse Tavern,los-angeles,4,46,3.8,http://www.opentable.com/american-farmhouse-tavern?scpref=110,(310) 376-8044,Info@americanfarmhousetavern.com
Amici Brentwood,los-angeles,9,44,4.2,http://www.opentable.com/amici-brentwood?scpref=110,(310) 260-4900,amicibrentwood@gmail.com
Anaheim White House,los-angeles,10,98,4.2,http://www.opentable.com/anaheim-white-house?scpref=110,(714) 772-1381,info@anaheimwhitehouse.com
Ancora Cucina Italiana,los-angeles,6,18,4.1,http://www.opentable.com/ancora-cucina-italiana?scpref=110,(818) 881-8411,ancoracucina@att.net
Andrea at Pelican Hill,los-angeles,10,112,4.5,http://www.opentable.com/andrea-at-pelican-hill-fka-andrea-the-resort-at-pelican-hill?scpref=110,(949) 467-6800,diningreservations@pelicanhill.com
Andrei's,los-angeles,8,60,4.2,http://www.opentable.com/andreis?scpref=110,(949) 387-8887,info@andreisrestaurant.com
Angelini Osteria,los-angeles,3,50,4.5,http://www.opentable.com/angelini-osteria?scpref=110,(323) 297-0070,""
Antonello Ristorante,los-angeles,6,77,4.5,http://www.opentable.com/antonello-ristorante?scpref=110,(714) 751-7153,info@antonello.com
AOC,los-angeles,10,151,4.2,http://www.opentable.com/aoc-los-angeles?scpref=110,(323) 653-6359,admin@aocwinebar.com
