Amerigo - Memphis,http://www.opentable.com/amerigo?scpref=110&tab=2,4.3,"1239 Ridgeway Road Memphis, TN  38119 ",60,Italian,$30 and under,East Memphis,http://amerigo.net/,allison.swan@amerigo.net,(901) 761-4000,5.0 / 5,Good food and good service. Always a nice place to go with family or friends.,10/21/12,http://www.pickgrapevine.com/wantmore5/amerigo,amerigo
B.B. King's Blues Club - Memphis,http://www.opentable.com/bb-kings-blues-club-memphis?scpref=110&tab=2,4,"143 Beale Street Memphis, TN  38103 ",118,American,$30 and under,Memphis,http://www.bbkingclubs.com,info@bbkingclubs.com,(901) 524-5464,5.0 / 5,although we had a reservation at B.B. King's Blues Club and got a second confirmation one day before there was a privat event this evening until 8 p.m. which we didn't know. They asked us to come back at 8 p.m. and gave us a discount on the bill. At first we were disapointed because we were hungry. But the food was delicious and the live music was great. We enjoyed it very much.,10/23/12,http://www.pickgrapevine.com/wantmore5/bb-kings-blues-club-memphis,bb-kings-blues-club-memphis
Bari,http://www.opentable.com/bari?scpref=110&tab=2,4.2,"22 South Cooper St. Memphis, TN  38104 ",85,Italian,$31 to $50,Midtown/Cooper,http://www.barimemphis.com,info@barimemphis.com,(901) 722-2244,4.0 / 5,"The food was wonderful. The cheese selections were extensive, and the waiter very helpful in picking out a few kinds that we really enjoyed. The grilled endive and ridiccio salad was delicious, as was the carbonara. Will definitely return, though the prices were a bit on the high side, so this will be a special occasion restaurant for sure.",10/27/12,http://www.pickgrapevine.com/wantmore5/bari,bari
The Beauty Shop,http://www.opentable.com/the-beauty-shop?scpref=110&tab=2,4.1,"966 S Cooper St Memphis, TN  38104 ",42,Contemporary American,$30 and under,Memphis,http://www.thebeautyshoprestaurant.com,roadsidedt@aol.com,(901) 272-7111,5.0 / 5,"Fantastic food-fresh, local ingredients prepared and presented beautifully. Creative dishes and funky and fun atmosphere. One of our top meals during our stay in Memphis/Nashville area.",10/25/12,http://www.pickgrapevine.com/wantmore5/the-beauty-shop,the-beauty-shop
Benihana - Memphis,http://www.opentable.com/benihana-memphis?scpref=110&tab=2,4.3,"912 Ridgelake Blvd Memphis, TN  38120 ",45,Japanese,$30 and under,Memphis,http://www.benihana.com/locations/memphis-tn-me,memphis@benihana.com,(901) 767-8980,4.0 / 5,"My wife and I enjoy Benihana and she choose it for our 20th anniversary. They treated us well and seemed to go beyond for the ""speical"" occassion once they found out. The food was cooked to order and the sushi we ordered was fresh and abundant... as usual we didn't walk away hungury.",10/25/12,http://www.pickgrapevine.com/wantmore5/benihana-memphis,benihana-memphis
Bleu Restaurant & Lounge,http://www.opentable.com/bleu-restaurant-and-lounge?scpref=110&tab=2,3.9,"221 South Third Street Memphis, TN  38103 ",28,Fusion / Eclectic,$30 and under,Memphis,http://www.downtownbleu.com,lance.morton@downtownbleu.com,(901) 334-5950,2.0 / 5,The ambiance was very good. The food was not. The dressing on the salad was very bitter. I ordered the chicken with balsamic glaze. The glaze was sour and ruined the chicken which by the way would have been very good without the glaze. My first choice was to order the Filet but the only choice of potatoes I had was french fries. The waiter was not surprised when we expressed our disappointment with the food although he never inquired why.,10/27/12,http://www.pickgrapevine.com/wantmore5/bleu-restaurant-and-lounge,bleu-restaurant-and-lounge
Bluefin,http://www.opentable.com/bluefin-memphis?scpref=110&tab=2,4.1,"135 South Main Memphis, TN  38103 ",70,Fusion / Eclectic,$30 and under,Downtown,http://www.bluefinmemphis.com,david@bluefinmemphis.com,(901) 528-1010,5.0 / 5,Always a great experience and great food!!,10/26/12,http://www.pickgrapevine.com/wantmore5/bluefin-memphis,bluefin-memphis
Blues City Cafe,http://www.opentable.com/blues-city-cafe?scpref=110&tab=2,3.9,"138 Beale Street Memphis, TN  38103 ",8,Barbecue,$30 and under,Memphis,http://www.bluescitycafe.com,goose@bluescitycafe.com,(901) 526-3637,2.0 / 5,"We had a horrible waiter. Our appetizer/soup did not arrive at the same time; waited 20 minutes for that. Then, all the other tables got their food, but us. Those diners came way after us. We waited another 30 minutes for our main meal after having to remind/wave to the waiter.",9/18/12,http://www.pickgrapevine.com/wantmore5/blues-city-cafe,blues-city-cafe
Cafe Fontana,http://www.opentable.com/cafe-fontana?scpref=110&tab=2,4.1,"8556 Macon Road Memphis, TN  38018 ",10,Italian,$30 and under,Memphis,http://www.cafefontanamemphis.com,info@cafefontanamemphis.com,(901) 529-7526,5.0 / 5,"Great tastes. Great value. Been there 3 times and each and every time, food has been fantastic.",10/24/12,http://www.pickgrapevine.com/wantmore5/cafe-fontana,cafe-fontana
DO Sushi,http://www.opentable.com/do-sushi?scpref=110&tab=2,4.3,"966 S Cooper St Memphis, TN  38104 ",12,Sushi,$30 and under,Memphis,http://www.dosushimemphis.com,roadsidedt@aol.com,(901) 272-0830,5.0 / 5,Friendly ambience. Lots of young adults. Excellenent service. Will go back anytime.,10/5/12,http://www.pickgrapevine.com/wantmore5/do-sushi,do-sushi
