Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
1500° - Eden Roc (A Renaissance Resort),miami,7,80,4.1,http://www.opentable.com/1500-degrees-eden-roc-a-renaissance-resort?scpref=110,(305) 531-0000 x5594,1500Degrees@renaissancehotels.com
15th Street Fisheries,miami,10,154,4.1,http://www.opentable.com/15th-street-fisheries?scpref=110,(954) 763-2777,manager@15streetfisheries.com
3030 Ocean,miami,10,137,4.1,http://www.opentable.com/3030-ocean?scpref=110,(954) 765-3030,""
32 East,miami,10,96,4.4,http://www.opentable.com/32-east?scpref=110,(561) 276-7868,info@32east.com
3800 Ocean,miami,2,40,4.2,http://www.opentable.com/3800-ocean?scpref=110,(561) 340-1795,""
5 Napkin Grill - South Beach,miami,4,36,3.6,http://www.opentable.com/5-napkin-grill-south-beach?scpref=110,(305) 538-2277,info@5napkinburger.com
50 Ocean at Boston's On The Beach,miami,10,113,4.1,http://www.opentable.com/50-ocean-at-bostons-on-the-beach?scpref=110,(561) 278-3364,""
660 at The Anglers,miami,5,26,4.2,http://www.opentable.com/660-at-the-anglers?scpref=110,(786) 594-5811,660@theanglersresort.com
75 Main Delray,miami,10,45,3.3,http://www.opentable.com/75-main-delray?scpref=110,(561) 243-7975,75main.restaurant@gmail.com
94th Aero Squadron - Miami,miami,6,98,4.2,http://www.opentable.com/94th-aero-squadron-miami?scpref=110,(305) 261-4220,PKnezevic@94miami.com
A Fish Called Avalon,miami,9,126,4.4,http://www.opentable.com/a-fish-called-avalon?scpref=110,(305) 532-1727,""
Abe and Louie's - Boca Raton,miami,10,122,4.3,http://www.opentable.com/abe-and-louies?scpref=110,(561) 447-0024,""
Acquo 124,miami,4,49,4.4,http://www.opentable.com/acquo-124?scpref=110,(954) 454-2410,""
Acquolina - Weston,miami,4,39,4.2,http://www.opentable.com/acquolina-weston?scpref=110,(954) 389-1880,""
AltaMare,miami,8,66,4.3,http://www.opentable.com/altamare?scpref=110,(305) 532-3061,info@altamarrestaurant.com
Anacapri - Pinecrest,miami,1,28,4.0,http://www.opentable.com/anacapri-pinecrest?scpref=110,(305) 443-8388,anacapri@bellsouth.net
Anacapri on Ponce,miami,3,63,4.2,http://www.opentable.com/anacapri-on-ponce?scpref=110,(305) 443-8388,gz@anacaprifood.com
Anatolia Mediterranean Cuisine - Boca Raton,miami,10,69,3.8,http://www.opentable.com/anatolia-mediterranean-cuisine-boca-raton?scpref=110,(561) 361-4000,anatoliaboca@gmail.com
