24Grille,http://www.opentable.com/24grille?scpref=110&tab=2,4.0,"204 Michigan Ave Detroit, MI  48226 ",78,American,$30 and under,Detroit,http://www.24grille.com,info@spa1924grille.com,(313) 964-3821,3.0 out of 5,"We dine out 3-4 times each month, and like to try new places. The restaurant ambiance was fabulous. Everyone was very pleasant and friendly as we arrived. Our server made a good first impression, but lost the charm thoughout our dining experience when we simply told her we would be splitting our 4-person bill into 2. I have trained people in the hospitality industry and she needs some work on her attitude. Anyway, we spoke to a manager as well, and she was not polite either; in fact, she was quite rude. I'm not sure if I'll go back to this restaurant, I certainly won't recommend it to anyone, including the guests at my hotel, and I'll be sure my concierge team doesn't recommend it either. I hope to have a better experience at Roast.",10/26/2012,http://www.pickgrapevine.com/wantmore6/24grille,24grille
42º North,http://www.opentable.com/42-degrees-north?scpref=110&tab=2,4.0,"Detroit Marriott at the Renaissance Center - Level 3 Level 3 Detroit, MI  48243",1,American,$31 to $50,Detroit,http://www.dineatdetroitmarriott.com    ,42degreesnorth@marriott.com,(313) 568-8699,2.0 out of 5,Very unorganized for brunch. Food was a bit bland. Omelette maker was good. The advertising suggested a high floor level on 42 floor but was in 3 rd floor. Very disappointed.,10/28/2012,http://www.pickgrapevine.com/wantmore6/42-degrees-north,42-degrees-north
5ive Restaurant at The Inn At St. Johns,http://www.opentable.com/5ive-restaurant-at-the-inn-at-st-johns?scpref=110&tab=2,3.9,"44045 Five Mile Rd Plymouth, MI  48170 ",24,American,$30 and under,Plymouth,http://www.stjohnsgolfconference.com/five.html,5ive@stjohnsgc.com,(734) 357-5700,3.0 out of 5,"Just about what one would expect from hotel dining in a mid-sized property. High tables in bar area with televisions, through to a room with four tops and booths. Enough food choices to find something to satisfy. Place was empty when we were there. Salad was nothing special, and fish was cooked properly.",10/11/2012,http://www.pickgrapevine.com/wantmore6/5ive-restaurant-at-the-inn-at-st-johns,5ive-restaurant-at-the-inn-at-st-johns
American Harvest Restaurant,http://www.opentable.com/american-harvest-restaurant?scpref=110&tab=2,4.6,"18600 Haggerty Road Livonia, MI  48152 ",81,American,$30 and under,Northville,http://www.schoolcraft.edu/americanharvest/,amharves@schoolcraft.edu,(734) 462-4488,4.0 out of 5,We really enjoyed the experience and the special attention from the students is what makes the experience great.,10/30/2012,http://www.pickgrapevine.com/wantmore6/american-harvest-restaurant,american-harvest-restaurant
Andiamo - Livonia,http://www.opentable.com/andiamo-livonia?scpref=110&tab=2,4.1,"38703 Seven Mile Road Livonia, MI  48152 ",90,Italian,$30 and under,Detroit,http://www.andiamoitalia.com/livonia,livonia@andiamoitalia.com,(734) 953-3200,4.0 out of 5,The experience was excellent except for one beverage that went un-refilled for half and hour.,10/25/2012,http://www.pickgrapevine.com/wantmore6/andiamo-livonia,andiamo-livonia
Andiamo - Novi,http://www.opentable.com/andiamo-novi?scpref=110&tab=2,4.1,"42705 Grand River Avenue Novi, MI  48375 ",62,Italian,$30 and under,Novi,"http://andiamoitalia.com, andiamonovitheatre.com, thedirtymartinilounge.com",novi@andiamoitalia.com,(248) 348-3838,2.0 out of 5,"I brought a client and wife to Novi on 10-27-12. Dining room was slow. Hostess sat us at a 4 table, I ask to sit at booth. She came back to say it wasn't avaliable and I had to insist on booth. Got a male waiter who took a while to warm up to us, but he did fine when we started spending money. I personally ordered the veal porterhouse rare and had to send it back because it came back medium, it took a while to come back. Because of time frame to get it, I took it home and ate it later that night. I would say it was not a $45 steak. It was not flavorful at all and had a lot of gristle. There is more issues too. Can I get a call please? 248-310-0463",10/27/2012,http://www.pickgrapevine.com/wantmore6/andiamo-novi,andiamo-novi
Andiamo - Riverfront,http://www.opentable.com/andiamo-detroit?scpref=110&tab=2,4.4,"400 Renaissance Center Suite A403 Detroit, MI  48243",174,Italian,$30 and under,Detroit,http://www.andiamoitalia.com,riverfront@andiamoitalia.com,(313) 567-6700,3.0 out of 5,"Restaurant had my reservation, but we did not get to sit as requested by the window, we sat by the waiter alley. Wine pour EXACTLY 5 OUNCES, house wine $10/glass...very average chardonnay. Chianti Classico, EXACTLY 5 OUNCES,good and $14/glass. Pasta prices reasonable ($20 Fettucine Alfredo) but light on the sauce. Whitefish looked good, guests liked it. Service was attentive and friendly. I got the feeling we were on a time limit for the table. I probably would not return. I did not pay the bill nor did I see the check, so I can't comment on total price. I sense that it was rather expensive overall.",10/28/2012,http://www.pickgrapevine.com/wantmore6/andiamo-detroit,andiamo-detroit
Andiamo Italian Bistro - Sterling Heights,http://www.opentable.com/andiamo-italian-bistro?scpref=110&tab=2,4.5,"14425 Lakeside Circle Sterling Heights, MI  48036 ",81,Italian,$30 and under,Sterling Heights,http://www.andiamoitalia.com,parties.andiamoitalianbistro@andiamoitalia.com,(586) 532-8800,5.0 out of 5,We were greeted upon arrival and shown to our seat. We had asked for a high chair and one was provided quickly. Our server did an outstanding job. He was attentive without being over bearing. He appeared to know the menu and was helpful with our choices. The food (especially the crab cakes) was great. We were happy with our experience.,10/21/2012,http://www.pickgrapevine.com/wantmore6/andiamo-italian-bistro,andiamo-italian-bistro
Andiamo Royal Oak,http://www.opentable.com/andiamo-royal-oak?scpref=110&tab=2,3.9,"129 S. Main Street Royal Oak, MI  48067 ",51,Italian,$30 and under,Detroit,http://www.andiamoitalia.com,sandyk@andiamoitalia.com,(248) 582-9300,3.0 out of 5,"Food is predictable okay, but one goes for consistency versus innovative at Andiamo. Atmosphere and service is always excellent. Good wine served in exquisite glasses.",10/26/2012,http://www.pickgrapevine.com/wantmore6/andiamo-royal-oak,andiamo-royal-oak
Bacco Ristorante - Michigan,http://www.opentable.com/bacco-ristorante-michigan?scpref=110&tab=2,4.4,"29410 Northwestern Highway Southfield, MI  48034 ",77,Italian,$31 to $50,Detroit,http://www.baccoristorante.com,alberto@baccoristorante.com,(248) 356-6600,4.0 out of 5,"The experience was sort of marred from the start because the hostess was rude and condescending (not even sure why?). The dining area is very small with small tables pushed in very close together. We were at a tiny table in the middle of the room shoved between a big cactus looking thing and next tables wine cooler. the couple next to us was almost bumping enbows with us. On the good side the wait staff was very good and knowledgable, and the food was outstanding. Would've loved to come for the food again, but the ambiance is just not that enjoyable.",10/27/2012,http://www.pickgrapevine.com/wantmore6/bacco-ristorante-michigan,bacco-ristorante-michigan
Barrio Tacos & Tequila,http://www.opentable.com/barrio-tacos-and-tequila?scpref=110&tab=2,3.8,"203 Hamilton Row Birmingham, MI  48009 ",39,Mexican,$30 and under,Birmingham,http://www.barriomi.com,twilson@barriomi.com,(248) 593-6060,5.0 out of 5,"We enjoyed our entire dining experience.The staff was friendly and accomodating.The service and ambience is excellent, only to beoutdone by the fine, homemade, interestingupscale Mexican cuisine. The swordfish tacos andfresh guacamole were outstanding. Theyalso have an extensive selection of tequilas!We will definitely be back.",10/28/2012,http://www.pickgrapevine.com/wantmore6/barrio-tacos-and-tequila,barrio-tacos-and-tequila
Benihana - Dearborn,http://www.opentable.com/benihana-dearborn?scpref=110&tab=2,4.1,"18601 Hubbard Dr Dearborn, MI  48126 ",162,Japanese,$30 and under,Dearborn,http://www.benihana.com/locations/dearborn-mi-db,dearborn@benihana.com,(313) 593-3200,3.0 out of 5,our teppanyaki experience was good. our chef was very accomplished in his craft. accomodated each diners request. and interacted with all of at our table.,10/24/2012,http://www.pickgrapevine.com/wantmore6/benihana-dearborn,benihana-dearborn
Benihana - Farmington Hills,http://www.opentable.com/benihana-farmington-hills?scpref=110&tab=2,4.2,"21150 Haggerty Rd Northville, MI  48167 ",100,Japanese,$30 and under,Farmington Hills,http://www.benihana.com/locations/farmingtonhills-mi-fh,Farmingtonhills@benihana.com,(248) 348-7900,4.0 out of 5,"This was my boyfriends first trip to Benihana. He really enjoyed hisself! We will be coming back very soon. One downside was that our chef was hard to understand and seemed a little flustered when he did not have all of the items on his cart, this took away from the overall experience.",10/20/2012,http://www.pickgrapevine.com/wantmore6/benihana-farmington-hills,benihana-farmington-hills
Benihana - Troy,http://www.opentable.com/benihana-troy?scpref=110&tab=2,4.1,"1985 W. Big Beaver Road Troy, MI  48084 ",118,Japanese,$30 and under,Troy,http://www.benihana.com/locations/troy-mi-ty,troy@benihana.com,(248) 649-6340,4.0 out of 5,Great food and wonderful show. Chefs are very talented. Lots of fun for a group.,10/27/2012,http://www.pickgrapevine.com/wantmore6/benihana-troy,benihana-troy
Big Fish - Dearborn,http://www.opentable.com/big-fish-dearborn?scpref=110&tab=2,4.0,"700 Town Center Drive Dearborn, MI  48126 ",75,Seafood,$30 and under,Dearborn,http://www.muer.com/,bfdb@ldry.com,(313) 336-6350,4.0 out of 5,Great for family dinners. Had a great time and the service was wonderful.,10/27/2012,http://www.pickgrapevine.com/wantmore6/big-fish-dearborn,big-fish-dearborn
Big Rock Chop House,http://www.opentable.com/big-rock-chop-house?scpref=110&tab=2,4.3,"245 S. Eton Street Birmingham, MI  48009 ",68,American,$31 to $50,Birmingham,http://www.bigrockchophouse.com,info@bigrockchophouse.com,(248) 647-7774,5.0 out of 5,"Our Waiter, Mitchell, is wonderful. He is personable, attentive, and does an overall fantastic job! That really makes our dining experience special!",10/27/2012,http://www.pickgrapevine.com/wantmore6/big-rock-chop-house,big-rock-chop-house
The Black Pearl,http://www.opentable.com/the-black-pearl?scpref=110&tab=2,4.0,"302 S Main Street Ann Arbor, MI  48104 ",43,Seafood,$30 and under,Ann Arbor,http://www.blackpearlonmain.com,theblackpearlmartini@live.com,(734) 222-0400,5.0 out of 5,Probably the most accomodating staff of any restaurant I have visited. I require wheelchair access and the floor manager with the wait staff were very obliging. Food was wonderful in presentation and taste.,10/25/2012,http://www.pickgrapevine.com/wantmore6/the-black-pearl,the-black-pearl
Brookshire Restaurant at the Royal Park Hotel,http://www.opentable.com/brookshire-restaurant-at-the-royal-park-hotel?scpref=110&tab=2,4.5,"600 East University Drive Rochester, MI  48307 ",21,Continental,$31 to $50,Detroit,http://www.royalparkhotel.net,brookshire@royalparkhotel.net,(248) 453-8732,4.0 out of 5,Throughly enjoyed the evening. Food and service were good and would certainly return.,10/27/2012,http://www.pickgrapevine.com/wantmore6/brookshire-restaurant-at-the-royal-park-hotel,brookshire-restaurant-at-the-royal-park-hotel
Buca di Beppo - Livonia,http://www.opentable.com/buca-di-beppo-livonia?scpref=110&tab=2,4.1,"38888 Six Mile Road Livonia, MI  48152 ",75,Italian,$30 and under,Livonia,http://www.bucadibeppo.com,livonia@bucadibeppo.com,(734) 462-6442,5.0 out of 5,Great Food and ambiance! Always love to eat there!,10/27/2012,http://www.pickgrapevine.com/wantmore6/buca-di-beppo-livonia,buca-di-beppo-livonia
Buca di Beppo - Utica,http://www.opentable.com/buca-di-beppo-utica?scpref=110&tab=2,4.0,"12575 Hall Road Utica, MI  48317 ",32,Italian,$30 and under,Utica,http://www.bucadibeppo.com,utica@bucadibeppo.com,(586) 803-9463,5.0 out of 5,"This place is awesome. My BF and I went on a Saturday afternoon, and we got like a whole room to ourselves! The Waitress was amazing! She was super helpful because it was our first time, and we have no idea what to expect! The food. Omg. The food was amazing. It was a lot of food. I am glad we went for lunch, because there was a lot left over for later!!",10/28/2012,http://www.pickgrapevine.com/wantmore6/buca-di-beppo-utica,buca-di-beppo-utica
Cadillac Cafe at The Detroit Opera House,http://www.opentable.com/cadillac-cafe-at-the-detroit-opera-house?scpref=110&tab=2,4.0,"1526 Broadway Detroit, MI  48226 ",26,"Global, International",$30 and under,Detroit,http://www.cadillaccafedetroit.com,adonaldson@motopera.org,(313) 237-3284,5.0 out of 5,"The service was outstanding and prompt. They knew we had to have our dinner done in time to get to the ballet and they made sure we were done before curtain time. The food was very good, as always, but I would appreciate a little change in the menu. I love the wood floors and the ambiance of having a restaurant in the theater. We especially loved it when the waitress sang for the dining guests. Unfortunately, she hasn't sung every time we go, but we're hopeful we'll get to hear her sing again.",10/27/2012,http://www.pickgrapevine.com/wantmore6/cadillac-cafe-at-the-detroit-opera-house,cadillac-cafe-at-the-detroit-opera-house
Cafe Felix - Ann Arbor,http://www.opentable.com/cafe-felix-ann-arbor?scpref=110&tab=2,4.0,"204 South Main Street Ann Arbor, MI  48104 ",48,French,$30 and under,Ann Arbor,http://cafefelix.com,Felixlandrum@gmail.com,(734) 662-8650,5.0 out of 5,Limited menu but everything on it is excellent. Very good weekend brunch.,10/19/2012,http://www.pickgrapevine.com/wantmore6/cafe-felix-ann-arbor,cafe-felix-ann-arbor
Cafe Muse,http://www.opentable.com/cafe-muse?scpref=110&tab=2,4.5,"418 S. Washington Avenue Royal Oak, MI  48067 ",22,Contemporary American,$30 and under,Royal Oak,http://www.cafemuseroyaloak.com,cafemuse@comcast.net,(248) 544-4749,5.0 out of 5,Amazing dinner where all 7 of us were beyond impressed with the food. Great sommelier to help select a great wine. Our waitress was friendly and helpful as well!,10/27/2012,http://www.pickgrapevine.com/wantmore6/cafe-muse,cafe-muse
