Acqua Restaurant & Bar,http://www.opentable.com/acqua-restaurant-and-bar?scpref=110&tab=2,4.6,"4453 Lake Ave South White Bear Lake, MN  55110 ",314,Italian,$31 to $50,White Bear Lake,http://www.acquawbl.com,daron@acquawbl.com,(651) 407-7317,5.0 / 5,quaint resturant with great food and service,10/25/12,http://www.pickgrapevine.com/wantmore5/acqua-restaurant-and-bar,acqua-restaurant-and-bar
Afton House Inn,http://www.opentable.com/afton-house-inn?scpref=110&tab=2,3.8,"3291 South St. Croix Trail Afton, MN  55001 ",25,American,$30 and under,Afton,http://www.aftonhouseinn.com,reservations@aftonhouseinn.com,(651) 436-8883,4.0 / 5,"Food was excellent! The service was very good. They even prepare a few dishes at your table side. Our table chef, Kaitlin, was very friendly and eagerly answered our questions about the food she was preparing.We look forward to a return trip to the Afton Inn.",10/6/12,http://www.pickgrapevine.com/wantmore5/afton-house-inn,afton-house-inn
Aji Japanese Restaurant,http://www.opentable.com/aji-japanese-restaurant?scpref=110&tab=2,4.1,"712 Mainstreet Hopkins, MN  55343 ",104,Sushi,$30 and under,Hopkins,http://www.ajicj.com,aji@ajicj.com,(952) 358-3558,4.0 / 5,We are always a little cautious when it comes to buffet/all you can eat; but Aji did it right and had a great selection to choose from on the All you can eat menu!,10/28/12,http://www.pickgrapevine.com/wantmore5/aji-japanese-restaurant,aji-japanese-restaurant
Al and Alma's Supper Club,http://www.opentable.com/al-and-almas-supper-club?scpref=110&tab=2,3.6,"5201 Piper Road Mound, MN  55364 ",17,Steak,$31 to $50,Mound,http://www.al-almas.com/supper-club.php,info@al-almas.com,(952) 472-3098,2.0 / 5,"Third and last attempt at Al and Alma's. Overpriced, low-quality, clueless service in every aspect.",9/8/12,http://www.pickgrapevine.com/wantmore5/al-and-almas-supper-club,al-and-almas-supper-club
Amore Victoria,http://www.opentable.com/amore-victoria?scpref=110&tab=2,3.8,"1601 West Lake Street Minneapolis, MN  55408 ",242,Italian,$30 and under,Uptown,http://www.amorevictoria.com,jenna@amorevictoria.com,(612) 823-0250,5.0 / 5,"Clearly,this restaurant has some of the finest chefs the twin cities has seen in a long time. Everything is good and done to perfection. We will continue to come back for as many times that they can stand to see our faces",7/10/12,http://www.pickgrapevine.com/wantmore5/amore-victoria,amore-victoria
Andiamo - Eagan,http://www.opentable.com/andiamo-eagan?scpref=110&tab=2,4.2,"1629 Lena Ct Suite 100-102 Eagan, MN  55122",131,Italian,$30 and under,Eagan,http://www.andiamomn.com,enrique@andiamom.com,(651) 289-2000,2.0 / 5,"We visited Andiamo on a Friday night. We had reservations, but still waited 15 minutes.It was extremely noisy in the restaurant.The restaurant was very cold, due to air coming the front door every time it opened and closed. My husband didn't really care for his chicken parmesan, but the entre I had, a pesto chicken and broccoli dish was really good.",10/26/12,http://www.pickgrapevine.com/wantmore5/andiamo-eagan,andiamo-eagan
Ansari's Mediterranean Grill,http://www.opentable.com/ansaris-mediterranean-grill?scpref=110&tab=2,4.2,"1960 Rahncliff Ct Eagan, MN  55122 ",25,Mediterranean,$30 and under,Eagan,http://www.AnsarisGrill.com,Contact@AnsarisGrill.com,(651) 452-0999,5.0 / 5,"Everything was fantastic! The service was amazing, food incredible and belly dancing was entertaining. When we went it was for my dad's birthday, and we had an age range of 16 months the 57 years, everyone loved it! We will def going back again!",10/13/12,http://www.pickgrapevine.com/wantmore5/ansaris-mediterranean-grill,ansaris-mediterranean-grill
Atlas Grill and Clubroom,http://www.opentable.com/atlas-grill-and-clubroom?scpref=110&tab=2,4,"200 S 6th St Minneapolis, MN  55402 ",53,Mediterranean,$30 and under,Downtown Minneapolis,http://www.atlasgrill.com,info@atlasgrill.com,(612) 332-4200,1.0 / 5,"Food was good - not great. Lot's of construction noise due to work going on above the restaurant. Service was lackadaisical, which was disappointing because this was a birthday party for my wife. Took forever to order, even though there were not many people there. Worst part is they screwed up my bill. Admittedly it was a little more difficult because I used 2 debit cards and an American Express card to pay the tab. But the bottom line is that I was over charged by $50 and am still waiting on the card company to settle the problem with the restaurant. Way too much pain and grief!",10/25/12,http://www.pickgrapevine.com/wantmore5/atlas-grill-and-clubroom,atlas-grill-and-clubroom
Axel's Bonfire - Blaine,http://www.opentable.com/axels-bonfire-blaine?scpref=110&tab=2,4.1,"4365 Pheasant Ridge Dr. NE Blaine, MN  55449 ",70,American,$30 and under,Blaine,http://www.axelsbonfire.com/locations/mn/blaine,blaine@axelsbonfire.com,(763) 398-2475,2.0 / 5,"Waiter never told us it was happy hour. Told another couple who came in it was. Then it was too late to get happy hour prices for our wine. I had to ask the waiter a second time for my wine. Ordered the fish and steak. Potatoes and green beans were luke warm at best. The fish and steak were wonderful. Had been here once before with a work group and everything was great, so maybe they were having a bad day?",10/20/12,http://www.pickgrapevine.com/wantmore5/axels-bonfire-blaine,axels-bonfire-blaine
Axel's Bonfire - Savage,http://www.opentable.com/axels-bonfire-savage?scpref=110&tab=2,4.1,"14120 Highway 13 South Savage, MN  55378 ",71,American,$30 and under,Savage,http://www.axelsbonfire.com/locations/mn/savage,sbernu@axelsbonfire.com,(952) 447-1122,4.0 / 5,"Had our 14 month old son with us. staff was helpful in selecting a table so we would not be a bother to anyone and respected our desire for a quicker meal to not prolong the meal (and have our son become ""that kid"" in the restaurant).",10/20/12,http://www.pickgrapevine.com/wantmore5/axels-bonfire-savage,axels-bonfire-savage
