7M Grill,http://www.opentable.com/7m-grill?scpref=110&tab=2,4.3,"15805 West Maple Road Ste 101 Omaha, NE  68116 ",91,International,$30 and under,West Omaha,http://www.7mgrill.com,info@7mgrill.com,(402) 614-4100,4 / 5,"This is at least the 5th time we have eaten here. It is consistently good food & service. Every time they change the menu (seasonally), we feel we need to go back & try a couple more things on the menu we didn't get to. Their soup with chicken, curry & coconut is fantastic, and the ceviche is the closest thing I can find to what we have on vacation in Mexico. We have yet to be disappointed by anything we order and there is always something creative on the plate. On this visit I had another excellent meal. Fried coconut curry shrimp & chicken slices on a bed of delicious herbed risotto, topped with a strawberry mango salsa and queso fresco.",08/25/2012,http://www.pickgrapevine.com/wantmore5/7m-grill,7m-grill
801 Chophouse at the Paxton,http://www.opentable.com/801-chophouse-at-the-paxton?scpref=110&tab=2,4.5,"1403 Farnam St Omaha, NE  68102 ",157,Steak,$31 to $50,Downtown/Old Market,http://www.801chophouse.com,801chophouseomaha@gmail.com,(402) 341-1222,5 / 5,"Extensive menu, excellent food preparation, attentive service, great atmosphere, all combine for a terrific dining experience",10/19/2012,http://www.pickgrapevine.com/wantmore5/801-chophouse-at-the-paxton,801-chophouse-at-the-paxton
Billy's Restaurant,http://www.opentable.com/billys-restaurant?scpref=110&tab=2,4.5,"1301 H Street Lincoln, NE  68508 ",18,American,$30 and under,Lincoln ,http://www.billysrestaurant.com/,billysrestaurant@yahoo.com,(402) 474-0084,5 / 5,"We really enjoyed our night out at Billy's. Coming from Las Vegas, we are used to having great food and have been mostly dissapointed with most Lincoln eateries sadly. This is possibly the only place where I've had well prepared seafood here. The scallops I had were superbly prepared, and the pasta was well seasoned yet subtle, my partner wanted to keep eating my pasta as well! He really enjoyed his duck, it was very flavorful. Service was great, and the Chef came out to talk to us, which was nice.",10/19/2012,http://www.pickgrapevine.com/wantmore5/billys-restaurant,billys-restaurant
Boiler Room,http://www.opentable.com/boiler-room?scpref=110&tab=2,4.6,"1110 Jones St Omaha, NE  68102 ",91,Contemporary American,$31 to $50,Downtown/Old Market,http://www.theboilerroomrestaurant.com,info@theboilerroomrestaurant.com,(402) 916-9274,4 / 5,Looks rough on the outside but don't let that deter you. Great wine list. Wish they served domestic beer.,10/23/2012,http://www.pickgrapevine.com/wantmore5/boiler-room,boiler-room
CRAVE - Omaha,http://www.opentable.com/crave-omaha?scpref=110&tab=2,4.0,"200 South 31st Ave #4103 Omaha, NE  68131 ",131,American,$30 and under,Midtown,http://www.craveamerica.com,cateromaha@craveamerica.com,(402) 345-9999,5 / 5,We had a wonderful meal and are definitely planning on returning. A lot of choices on the menu so we can try something different next time.,10/23/2012,http://www.pickgrapevine.com/wantmore5/crave-omaha,crave-omaha
Dante Ristorante Pizzeria,http://www.opentable.com/dante-ristorante-pizzeria?scpref=110&tab=2,4.5,"16901 Wright Plaza Omaha, NE  68130 ",102,Italian,$30 and under,West Omaha,http://www.dantepizzeria.com/,info@dantepizzeria.com,(402) 932-3078,5 / 5,We celebrated my wife's birthday at Dante - and what a wonderful event it was. From the starters to the wine suggestions to the special dessert – the event could not have been more wonderful! Our waiter suggested a family style presentation of all of the fantastic food. We went through a series of savory courses that just kept topping the previous one. We’ve already marked Dante for our next special event!,08/11/2012,http://www.pickgrapevine.com/wantmore5/dante-ristorante-pizzeria,dante-ristorante-pizzeria
Dario's Brasserie,http://www.opentable.com/darios-brasserie?scpref=110&tab=2,4.6,"4920 Underwood AVe Omaha, NE  68132 ",129,French,$30 and under,Midtown,http://www.dariosbrasserie.com,dario@darios.omhcoxmail.com,(402) 933-0799,5 / 5,Great food and service. I have been there several times and love it each time. Fun atmosphere and interesting selection of beers.,10/19/2012,http://www.pickgrapevine.com/wantmore5/darios-brasserie,darios-brasserie
Espana Tapas Restaurant,http://www.opentable.com/espana-tapas-restaurant?scpref=110&tab=2,4.3,"6064 Maple St Omaha, NE  68104 ",7,Spanish,$30 and under,Midtown,http://www.espanaomaha.com,contact@espanaomaha.com,(402) 505-9917,4 / 5,"My boyfriend was really looking forward to the paella. When we arrived, we were told that we would be charged for a minimum of 2 people for the paella (no mention of this on the menu)...I don't eat it, so he wasn't willing to pay $45 for just the paella alone. Quite a disappointment.",09/23/2012,http://www.pickgrapevine.com/wantmore5/espana-tapas-restaurant,espana-tapas-restaurant
The Flatiron Cafe,http://www.opentable.com/the-flatiron-cafe?scpref=110&tab=2,4.7,"1722 Saint Marys Ave Omaha, NE  68102 ",15,American,$30 and under,Downtown/Old Market,http://www.theflatironcafe.com,kathleenjamrozy@gmail.com,(402) 344-3040,5 / 5,One of the best places in Omaha.,10/19/2012,http://www.pickgrapevine.com/wantmore5/the-flatiron-cafe,the-flatiron-cafe
Fleming's Prime Steakhouse & Wine Bar - Omaha,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-omaha?scpref=110&tab=2,4.4,"140 Regency Parkway Omaha, NE  68114 ",30,Steak,$31 to $50,West Omaha,http://www.flemingssteakhouse.com/Omaha,omaha@flemingssteakhouse.com,(402) 393-0811,2 / 5,We had the prime rib special which was tough and flavorless. The sides of garlic mashed potatoes and creamed spinach were excellant along with the service. The desserts of carrot cake and creamed berries were also excellant. The noise levels were at such a high level that my wife and I could not hear each other. The place was only a 1/4 full. Not worth the high price.,10/07/2012,http://www.pickgrapevine.com/wantmore5/flemings-prime-steakhouse-and-wine-bar-omaha,flemings-prime-steakhouse-and-wine-bar-omaha
