Vanessie,http://www.opentable.com/vanessie?scpref=110&tab=2,4,"434 W. San Francisco Santa Fe, NM  87501 ",26,Continental,$30 and under,Santa Fe,http://vanessiesantafe.com,vanessiesantafe@aol.com,(505) 982-9966,5-Apr,"Superb service! Very good food. My wife had scallops that were, in her description, absolutely delicious. I had ribeye, which was slightly overcooked, but such a good cut of meat that it could be overlooked. However, my server did not overlook it and offered, without any comment from me, to replace it. We were far enough from the piano bar to not be overwhelmed by that, and the background music added to a very enjoyable meal.",9/21/12,http://www.pickgrapevine.com/wantmore5/vanessie,vanessie
Terra American Bistro,http://www.opentable.com/terra-american-bistro?scpref=110&tab=2,3.8,"1119 Alameda Blvd NW Albuquerque, NM  87114 ",19,Contemporary American,$30 and under,Albuquerque,http://terrabistro.com/,terrawineandbistro@gmail.com,(505) 792-1700,3.8 / 5,"Since we were here last, Terra has changed its name to ""Terra Bistro Italiano,"" reflecting a change to an Italian menu. We dined on a Wednesday night and found the food still very good, selecting a nice bruschetta Caprese for starters and the manzo (pot roast)and chicken picatta fettucine for our entrees, both of which were quite tasty. The wine list is decent, and they have beefed up the Italian offerings since the change-over (not yet on the website, however), so we were able to enjoy a good Chianti Classico. The only problem we encountered was slow service. Mid-week they seem to be operating with a skeleton crew-- there was only one waiter and an assistant, but with just 5 or 6 tables occupied, service seemed unnecessarily desultory.",9/26/12,http://www.pickgrapevine.com/wantmore5/terra-american-bistro,terra-american-bistro
The Compound Restaurant,http://www.opentable.com/the-compound-restaurant?scpref=110&tab=2,4.3,"653 Canyon Rd Santa Fe, NM  87501 ",181,Contemporary American,$50 and over,Santa Fe,http://www.compoundrestaurant.com,susan@compoundrestaurant.com,(505) 982-4353,4.3 / 5,Great food and service. Very happy with our lunch..lovely atmosphere.,10/16/12,http://www.pickgrapevine.com/wantmore5/the-compound-restaurant,the-compound-restaurant
Coyote Cafe,http://www.opentable.com/coyote-cafe?scpref=110&tab=2,4.4,"132 West Water Street Santa Fe, NM  87501 ",155,Contemporary American,$31 to $50,Santa Fe,http://coyotecafe.com,sarachapman2003@yahoo.com,(505) 983-1615,4.4 / 5,My husband and I had dinner at Coyote Cafe on Saturday night. This was our third visit and the evening was wonderful. The service was very good and the food was outstanding.It was a great way to top off our wonderful visit to Santa Fe. We look forward to our next trip there.Gail,10/14/12,http://www.pickgrapevine.com/wantmore5/coyote-cafe,coyote-cafe
The Roasted Clove,http://www.opentable.com/the-roasted-clove?scpref=110&tab=2,4.5,"48 North Angel Fire Road P.O. Box 1648 Angel Fire, NM  87710",65,Steakhouse,$31 to $50,Angel Fire,http://www.roastedclove.com,roastedclove@yahoo.com,(575) 377-0636,4.5 / 5,By far the best restaurant in Angel Fire if not the entire area.,10/13/12,http://www.pickgrapevine.com/wantmore5/the-roasted-clove,the-roasted-clove
Azur,http://www.opentable.com/azur-santa-fe?scpref=110&tab=2,4.1,"428 Agua Fria St. Santa Fe, NM  87501 ",79,Mediterranean,$30 and under,Santa Fe,http://www.azursantafe.com,restaurantazur@yahoo.com,(505) 992-2897,4.1 / 5,"As always, our dining experience was fabulous. Our server, Jaime, was attentive and professional. Azur has become our favorite dining spot in Santa Fe, especially with their prix fixe menu being so reasonable.",10/16/12,http://www.pickgrapevine.com/wantmore5/azur-santa-fe,azur-santa-fe
The Palace Restaurant and Saloon,http://www.opentable.com/the-palace-restaurant-and-saloon?scpref=110&tab=2,3.9,"142 W. Palace Ave Santa Fe, NM  87501 ",43,Italian,$31 to $50,Santa Fe,http://www.palacesantafe.com,reservations@palacesantafe.com,(505) 428-0690,3.9 / 5,"We were there on a Friday evening, around 7:30. The dining room was lovely--quiet and romantic, and the food was innovative (creamy polenta, kale, and duck with raspberry sauce, with chocolate truffle stuffed pepper dipped in white chocolate for desert)and delicious!The wait staff was very professional and took very good care of us.",10/12/12,http://www.pickgrapevine.com/wantmore5/the-palace-restaurant-and-saloon,the-palace-restaurant-and-saloon
Geronimo,http://www.opentable.com/geronimo-santa-fe?scpref=110&tab=2,4.6,"724 Canyon Road Santa Fe, NM  87501 ",336,Fusion / Eclectic,$31 to $50,Santa Fe,http://www.geronimorestaurant.com,reservationist@geronimorestaurant.com.com,(505) 982-1500,4.6 / 5,POOR SERVICE! Good food.,10/16/12,http://www.pickgrapevine.com/wantmore5/geronimo-santa-fe,geronimo-santa-fe
Pars Cuisine,http://www.opentable.com/pars-cuisine?scpref=110&tab=2,4.3,"4320 The 25 Way Suite 100 Albuquerque, NM  87109",14,Persian,$30 and under,Albuquerque,http://www.parscuisine.us,reservation@pars.us,(505) 345-5156,4.3 / 5,"Excellent service. Good food: ordered beef and lamb gyro, plentiful serving, great seasoning and the cucumber dressing was excellent",9/22/12,http://www.pickgrapevine.com/wantmore5/pars-cuisine,pars-cuisine
Red Sage Restaurant,http://www.opentable.com/red-sage-restaurant?scpref=110&tab=2,3.7,"Hilton Santa Fe/Buffalo Thunder Resort 20 Buffalo Thunder Trail Santa Fe, NM  87506",21,Southwest,$31 to $50,Santa Fe,http://www.buffalothunderresort.com/santa-fe-dining/red-sage/index.cfm,redsage@hiltonbuffalothunder.com,(505) 819-2056,3.7 / 5,"We recently dined in your restaurant to celebrate my son's 30th birthday. We loved the outdoor patio and the food and service were great. Thanks for a great experience. If I have any complaints it's that my chicken was dry, but all other orders (i.e., salmon and steaks, as well as the shrimp cocktails) were great. We especially loved the cheese tray -- very nice presentation.",7/8/12,http://www.pickgrapevine.com/wantmore5/red-sage-restaurant,red-sage-restaurant
