18 Steak,http://www.opentable.com/18-steak?scpref=110&tab=2,3.8,"777 Avenue L Baton Rouge, LA  70820 ",44,Steak,$50 and over,Baton Rouge,http://www.mylauberge.com,steakhouse@lbrmail.com,(225) 224-4142,1 / 5,"No place to wait for table except trying to find a barstool outside (we arrived at time of reservation), table only had 5 settings (took 15 min to get 6th setting), took 10 min to get a waitress to take drink order, 4 out of 6 entrees were prepared/cooked wrong, extremely long time to get entrees (3 were cold), twice servers brought another table's food to our table, after voicing our displeasure with the evening some complimentary desserts were offered that took at least 15 more min to arrive (tried to ask for ticket so we could leave), reservation at 7:30 and left at 9:50 (not our desire to be there that long),",10/20/2012,http://www.pickgrapevine.com/wantmore5/18-steak,18-steak
2 Johns,http://www.opentable.com/2-johns?scpref=110&tab=2,4.6,"2151 Airline Drive Suite 1500 Bossier City, LA  71111",129,Steakhouse,$31 to $50,Bossier City,http://www.2johnsrestaurant.com,johnjr@2johnsrestaurant.com,(318) 841-5646,4 / 5,"Dined there for our 11th year wedding anniversary. Servers were prompt, attentive and friendly. Appetizer was amazingly flavorful. Dinner was enjoyable. Would eat there again.",10/20/2012,http://www.pickgrapevine.com/wantmore5/2-johns,2-johns
7 on Fulton,http://www.opentable.com/7-on-fulton?scpref=110&tab=2,3.2,"701 Convention Center Blvd New Orleans, LA  70130 ",10,Contemporary American,$30 and under,Warehouse District,http://www.7onFulton.com,dine@7onFulton.com,(504) 525-7555,4 / 5,7 on Fulton was great for lunch. Service was prompt and the food quiet good. The location is easily accessible from the convention center.,10/14/2012,http://www.pickgrapevine.com/wantmore5/7-on-fulton,7-on-fulton
A Mano,http://www.opentable.com/a-mano-new-orleans?scpref=110&tab=2,4.2,"870 Tchoupitoulas Street New Orleans, LA  70130 ",51,Italian,$30 and under,Warehouse District,http://amanonola.com,amanonola@gmail.com,(504) 208-9280,4 / 5,"A Mano was a real find. Great Northern Italian cooking in an unhurried, congenial atmosphere. Try the rabbit; succulent.",10/19/2012,http://www.pickgrapevine.com/wantmore5/a-mano-new-orleans,a-mano-new-orleans
Aloha Sushi,http://www.opentable.com/aloha-sushi?scpref=110&tab=2,4.0,"619 Pink Street Metarie, LA  70005 ",1,Pan-Asian,$30 and under,Metairie,http://www.alohasushinola.com,dana@sunraygrill.com,(504) 884-1405,4 / 5,Fantastic place and friendly ownership!,08/23/2012,http://www.pickgrapevine.com/wantmore5/aloha-sushi,aloha-sushi
The American Sector @ The National WWII Museum,http://www.opentable.com/the-american-sector-at-the-national-wwii-museum?scpref=110&tab=2,3.8,"945 Magazine Street New Orleans, LA  70130 ",68,American,$30 and under,Warehouse District,http://www.nationalww2museum.org/american-sector/,AmericanSector@chefjohnbesh.com,(504) 528-1940,5 / 5,Loved it. Can't wait to return. Prices for happy hour are good. Considering it for an event I am in charge of next fall,10/16/2012,http://www.pickgrapevine.com/wantmore5/the-american-sector-at-the-national-wwii-museum,the-american-sector-at-the-national-wwii-museum
Annadele's Plantation,http://www.opentable.com/annadeles-plantation?scpref=110&tab=2,4.5,"71518 Chestnut St Covington, LA  70433 ",22,Creole,$30 and under,Northshore,http://www.annadeles.com,info@annadeles.com,(985) 809-7669,5 / 5,"They are only open a couple of days per week for lunch, but when they are open, they offer excellent meal choices all thoughtfully prepared. Prices for lunch are very competitive with other options in the area. Although easy to get to, the plantation has a nice out of the way ambiance. It did get a bit noisy once a large group arrived, but this may not have been a usual occurence. Will definitely return.",09/27/2012,http://www.pickgrapevine.com/wantmore5/annadeles-plantation,annadeles-plantation
Apolline,http://www.opentable.com/apolline?scpref=110&tab=2,4.3,"4729 Magazine St. New Orleans, LA  70115 ",105,Contemporary American,$30 and under,Uptown,http://www.apollinerestaurant.com,jenny@apollinerestaurant.com,(504) 894-8881,4 / 5,"Usually enjoy appetizers more than entrees due to their unique nature. Appetizers here were not outstanding but the entrees were. Sweetbreads appetizer just so-so. However the duck, the lamb and the drum were as fresh as possible and all quite delicious. Well done Apoline, would definitely return.",10/19/2012,http://www.pickgrapevine.com/wantmore5/apolline,apolline
Arnaud's,http://www.opentable.com/arnauds?scpref=110&tab=2,4.3,"813 Rue Bienville Street New Orleans, LA  70112 ",220,Creole,$50 and over,French Quarter,http://www.arnauds.com,reservations@arnauds.com,(866) 230-8895,5 / 5,Food exceptional. Service very good-even.thoughvery busy night.,10/23/2012,http://www.pickgrapevine.com/wantmore5/arnauds,arnauds
Atchafalaya Restaurant,http://www.opentable.com/atchafalaya-restaurant?scpref=110&tab=2,4.2,"901 Louisiana Ave New Orleans, LA  70115 ",152,Creole,$31 to $50,Uptown,http://atchafalayarestaurant.com,info@atchafalayarestaurant.com,(504) 891-9626,4 / 5,Had a Wonderful brunch here on a Sunny Sunday. The duck dish was delicious and boudin. This place had wonderful friendly service and the jazz was welcoming. Perfect spot in a great neighborhood to walk around and sight see.,10/21/2012,http://www.pickgrapevine.com/wantmore5/atchafalaya-restaurant,atchafalaya-restaurant
