Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
310 Lakeside,orlando-florida,9,55,4.3,http://www.opentable.com/310-lakeside?scpref=110,(407) 373-0310,""
310 Park South,orlando-florida,7,59,4.1,http://www.opentable.com/310-park-south?scpref=110,(407) 647-7277,""
Adriatico Trattoria Italiana,orlando-florida,3,18,4.3,http://www.opentable.com/adriatico-trattoria-italiana?scpref=110,(407) 428-0044,rosetta@adriatico-trattoria.com
Amelia's Italian Cuisine,orlando-florida,5,47,4.5,http://www.opentable.com/amelias-italian-cuisine?scpref=110,(352) 373-1919,chefandy@ameliasgainesville.com
Amici Italian Restaurant - Orlando,orlando-florida,8,44,4.0,http://www.opentable.com/amici-italian-restaurant-orlando?scpref=110,(407) 238-9632,amici02@centurylink.net
Amura - Dr. Phillips,orlando-florida,8,68,4.0,http://www.opentable.com/amura-dr-phillips?scpref=110,(407) 370-0007,amurasushi@aol.com
Amura - Lake Mary/Heathrow,orlando-florida,0,41,4.1,http://www.opentable.com/amura-lake-mary-heathrow?scpref=110,(407) 936-6001,""
Antonio's - Maitland - Upstairs,orlando-florida,8,84,4.4,http://www.opentable.com/antonios-maitland-upstairs?scpref=110,(407) 645-5523,mtld@antoniosonline.com
Arabellas Italian Ristorante,orlando-florida,6,54,4.8,http://www.opentable.com/arabellas-italian-ristorante?scpref=110,(863) 293-1797,""
Atlantic Cove,orlando-florida,3,26,3.8,http://www.opentable.com/atlantic-cove?scpref=110,(407) 809-2662,jcoyle@cfl.rr.com
Avu-Avu,orlando-florida,0,16,3.2,http://www.opentable.com/avu-avu?scpref=110,(407) 827-3430,ahighwood@luxuryresorts.com
Azure,orlando-florida,4,16,4.1,http://www.opentable.com/azure-daytona-beach-shores?scpref=110,(386) 767-7350,ccampbell@shoresresort.com
B.B. King's Blues Club - Orlando,orlando-florida,10,147,4.3,http://www.opentable.com/bb-kings-blues-club-orlando?scpref=110,(407) 370-4550,orlandosales@bbkingclubs.com
Bananas Modern American Diner,orlando-florida,9,67,4.0,http://www.opentable.com/bananas-modern-american-diner?scpref=110,(407) 480-2200,info@bananasdiner.com
Benihana - Orlando - Hilton Orlando Lake Buena Vista,orlando-florida,10,68,4.1,http://www.opentable.com/benihana-orlando-hilton-orlando-lake-buena-vista?scpref=110,(407) 827-4865,Orlando@benihana.com
Benihana - Orlando - International Drive,orlando-florida,10,120,4.4,http://www.opentable.com/benihana-orlando-international-drive?scpref=110,(407) 239-7400,orlando2@benihana.com
Bice at The Loews Portofino Bay Hotel,orlando-florida,3,70,4.4,http://www.opentable.com/bice-at-the-loews-portofino-bay-hotel?scpref=110,(407) 503-1415,gmorlando@bicegroup.com
Big Fin Seafood Kitchen,orlando-florida,10,274,4.4,http://www.opentable.com/big-fin-seafood-kitchen?scpref=110,(407) 615-8888,info@bigfinseafood.com
Big Italy,orlando-florida,3,18,3.9,http://www.opentable.com/big-italy?scpref=110,(407) 345-5566,info@bigitaly.com
Bob Marley: A Tribute to Freedom at Universal CityWalk,orlando-florida,10,67,4.1,http://www.opentable.com/bob-marley-a-tribute-to-freedom-at-universal-citywalk?scpref=110,(407) 224-3663,BobMarleys@Universalorlando.com
The Boheme - Grand Bohemian Hotel - Orlando,orlando-florida,9,152,4.3,http://www.opentable.com/the-boheme-grand-bohemian-hotel-orlando?scpref=110,(407) 581-4700,""
Bohemian Bar and Grill,orlando-florida,7,24,4.2,http://www.opentable.com/bohemian-bar-and-grill?scpref=110,(407) 566-6000,info@celebrationhtoel.com
Bosphorous Turkish Cuisine - Orlando,orlando-florida,2,41,4.2,http://www.opentable.com/bosphorous-turkish-cuisine-orlando?scpref=110,(407) 352-6766,""
Bosphorous Turkish Cuisine - Winter Park,orlando-florida,10,96,4.4,http://www.opentable.com/bosphorous-turkish-cuisine-winter-park?scpref=110,(407) 644-8609,contact@bosphorousrestaurant.com
Braised Onion,orlando-florida,5,35,4.0,http://www.opentable.com/braised-onion?scpref=110,(352) 620-9255,braisedonion@gmail.com
Brio Italiano,orlando-florida,2,14,4.1,http://www.opentable.com/brio-italiano?scpref=110,(321) 676-8949,""
Buca di Beppo - Florida Mall,orlando-florida,10,99,4.1,http://www.opentable.com/buca-di-beppo-florida-mall?scpref=110,(407) 859-7844,floridamall@bucadibeppo.com
