name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
The 3rd Corner Wine Shop & Bistro,http://www.opentable.com/the-3rd-corner-wine-shop-and-bistro?scpref=109&tab=2,4.1,"73101 Hwy 111 Palm Desert, CA  92260 ",114,American,$30 and under,Palm Desert,http://www.the3rdcorner.com,palmdesert@the3rdcorner.com,(760) 837-9600,4.1 / 5,"Interesting concept of picking your own wine bottle and then heading on to dinner. The menu had a good creative selection of items. However, when the food came, everything was just a little too salty for us. Not enough to send it back but salty enough that we failed to really taste the potential of the food because of it.",07/20/2012
Acqua Pazza California Bistro,http://www.opentable.com/acqua-pazza-california-bistro?scpref=109&tab=2,3.7,"71-800 Hwy 111 Rancho Mirage, CA  92270 ",207,Californian,$30 and under,Rancho Mirage,http://www.acquapazzabistro.com/index.htm,"",(760) 862-9800,3.7 / 5,"We really enjoyed our dinner on Friday night. The food was good, service was OK, but it was a great dinner - easily accessible from our hotel. We would return and recommend Acqua Pazza to our friends.",07/13/2012
Adobe Grill,http://www.opentable.com/adobe-grill?scpref=109&tab=2,4.0,"Waldorf Astoria Laquinta Resort &amp; Spa 49-499 Eisenhower Dr. La Quinta, CA  92253",74,Mexican,$30 and under,La Quinta,http://www.laquintaresort.com,hherrera@laquintaresort.com,(760) 564-4111 x5725,4.1 / 5,Service and the food is always great. Best Mexican food and setting in the Valley,07/20/2012
Arnold Palmer's Restaurant,http://www.opentable.com/arnold-palmers-restaurant?scpref=109&tab=2,4.2,"78-164 Avenue 52 La Quinta, CA  92253 ",84,American,$30 and under,La Quinta,http://www.ArnoldPalmersRestaurant.com,info@ArnoldPalmersRestaurant.com,(760) 771-4653,4.2 / 5,"Service was prompt, professional, and friendly. Food (Short Ribs) was excellent. Putting green outside was a fun post-dinner activity.",07/06/2012
Augusta Restaurant - Palm Desert,http://www.opentable.com/augusta-restaurant-palm-desert?scpref=109&tab=2,4.4,"73951 El Paseo Palm Desert, CA  92260 ",76,Californian,$30 and under,Palm Desert,http://www.augustarestaurant.com,info@augustarestaurant.com,(760) 779-9200,4.4 / 5,Meals not delivered as ordered. Waiter inattentive and did not return to table promptly after meals served by assistants. One meal returned to kitchen. That individual sat with no food while meal re-prepared as ordered. Everyone else eating their meal. Children running around playing loudly on back lawn. Celebrating birthday. No special welcome or courtesies extended. Unable to acommodate special dietary requests after Phillipe confirmed they were able to do so.,06/10/2012
Backstreet Bistro,http://www.opentable.com/backstreet-bistro?scpref=109&tab=2,3.6,"72-820 El Paseo Palm Desert, CA  92260 ",57,Italian,$30 and under,Palm Desert,http://www.backstreet-bistro.com,lavane@backstreet-bistro.com,(760) 346-6393,3.6 / 5,"Delightful neighborhood find. Friendly service, accomodating for those with food allergies, outdoor seating for those with pets. Menu had many options. Would not recommend for young children.",06/16/2012
The Beer Hunter - Menifee,http://www.opentable.com/the-beer-hunter-menifee?scpref=109&tab=2,4.0,"30080 Haun Road Suite 350 Menifee, CA  92586",2,American,$30 and under,Palm Springs,http://www.thebeerhunter.net/,info@thebeerhunter.net,(951) 301-4700,4 / 5,"Had a great time with the wife, kids and family for Mothers Day. Everyone loves sports so this was the perfect place to have lunch, have a few beers, enjoy the afternoon games while spending time with the family.",05/13/2012
Bellatrix,http://www.opentable.com/bellatrix?scpref=109&tab=2,3.9,"75-200 Classic Club Blvd Palm Desert, CA  92211 ",16,Contemporary American,$31 to $50,Palm Desert,http://www.classicclubgolf.com/Bellatrix-Menus_2e9a.html,mleones@troongolf.com,(760) 601-3690,3.9 / 5,"Our meal was not really very good. We had a beet salad that was not crunchy as it should have been. Our scallops were cooked well but on a bed of home fries with apple shreds. There was a honey sauce around the dish edge that was strange. Very bland. All in all, disappointing.",06/30/2012
The Bistro - Fantasy Springs Resort & Casino,http://www.opentable.com/the-bistro-fantasy-springs-resort-and-casino?scpref=109&tab=2,4.4,"84-245 Indio Springs Parkway Indio, CA  92203 ",41,American,$31 to $50,Indio,http://www.fantasyspringsresort.com,info@fantasysprings.net,(800) 827-2946,4.4 / 5,Best spicy spring rolls I've ever had and beautifully presented.,06/30/2012
Blue Coyote Bar & Grill,http://www.opentable.com/blue-coyote-bar-and-grill?scpref=109&tab=2,3.9,"445 N. Palm Canyon Dr. Palm Springs, CA  92262 ",72,Mexican,$30 and under,Palm Springs,http://www.bluecoyotegrill.com/,bluecoyotegrill@verizon.net,(760) 327-1196,3.9 / 5,I liked this place a lot and will definitely go back! The margaritas are awesome and the food is really good. Fun place to be!,07/07/2012
