Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
5th and Wine,phoenix,4,51,4.3,http://www.opentable.com/5th-and-wine?scpref=110,(480) 699-8001,von@5thandwine.com
Acacia real food & cocktails,phoenix,10,131,4.4,http://www.opentable.com/acacia-real-food-and-cocktails?scpref=110,(520) 232-0101,info@acaciatucson.com
Afternoon Tea - The Phoenician,phoenix,10,55,4.7,http://www.opentable.com/afternoon-tea-the-phoenician?scpref=110,(480) 423-2530,thephoenician@luxurycollection.com
Agave Restaurant at Desert Diamond Casino,phoenix,10,80,4.1,http://www.opentable.com/agave-restaurant-at-desert-diamond-casino?scpref=110,(520) 342-2328,""
Alchemy Restaurant at Copperwynd Resort,phoenix,10,111,4.6,http://www.opentable.com/alchemy-restaurant-at-copperwynd-resort?scpref=110,(480) 333-1880,reservations@Alchemy360az.com
Alexi's Grill,phoenix,9,35,4.2,http://www.opentable.com/alexis-grill?scpref=110,(602) 279-0982,reservations@alexisgrillphx.com
Alto Ristorante e Bar,phoenix,2,52,4.5,http://www.opentable.com/alto-ristorante-e-bar?scpref=110,(480) 444-1234 x8640,gina.dellapella@hyatt.com
Amaro Pizzeria & Vino Lounge,phoenix,5,27,4.3,http://www.opentable.com/amaro-pizzeria-and-vino-lounge?scpref=110,(480) 502-1920,dining@amaroaz.com
Arizona Inn - Dining Room,phoenix,10,123,4.4,http://www.opentable.com/arizona-inn-dining-room?scpref=110,(520) 325-1541,dining@arizonainn.com
Armitage Wine Lounge & Cafe,phoenix,1,25,4.3,http://www.opentable.com/armitage-wine-lounge-and-cafe?scpref=110,(520) 682-9740,armitagetucson@armitagewine.com
Arrivederci Ristorante,phoenix,9,80,4.4,http://www.opentable.com/arrivederci-ristorante?scpref=110,(480) 922-8225,azitaly@gmail.com
Arrivederci Trattoria,phoenix,1,16,4.0,http://www.opentable.com/arrivederci-trattoria?scpref=110,(480) 759-9292,maxsahin@hotmail.com
The Arrogant Butcher,phoenix,9,177,4.1,http://www.opentable.com/the-arrogant-butcher?scpref=110,(602) 324-8502,tab@foxrc.net
Arrowhead Grill,phoenix,10,204,4.5,http://www.opentable.com/arrowhead-grill?scpref=110,(623) 566-2224,info@ArrowheadGrill.com
Avanti,phoenix,4,66,4.4,http://www.opentable.com/avanti?scpref=110,(602) 956-0900,ellen.m1@cox.net
Azul Restaurant and Lounge,phoenix,7,43,3.7,http://www.opentable.com/desert-garden-bistro-at-the-westin-la-paloma-resort?scpref=110,(520) 742-6000 x7020,info@azullapaloma.com
Bamboo Club - Scottsdale,phoenix,6,48,3.8,http://www.opentable.com/bamboo-club?scpref=110,(480) 998-1287,dereck@bambooscottsdale.com
Beckett's Table,phoenix,10,298,4.4,http://www.opentable.com/becketts-table?scpref=110,(602) 954-1700,chefbeckett@me.com
Bella Luna - Goodyear,phoenix,2,13,4.2,http://www.opentable.com/bella-luna-goodyear?scpref=110,(623) 535-4642,sbillelo@gmail.com
Bella Notte Ristorante,phoenix,8,33,4.3,http://www.opentable.com/bella-notte-ristorante?scpref=110,(480) 584-4975,bellanotte2012@gmail.com
Ben and Jack's Steakhouse Scottsdale Arizona,phoenix,8,18,3.6,http://www.opentable.com/ben-and-jacks-steakhouse-scottsdale-arizona?scpref=110,(480) 947-7900,info@benandjackssteakhouse.com
Benihana - Chandler,phoenix,10,144,4.4,http://www.opentable.com/benihana-chandler?scpref=110,(480) 812-4701,chandler@benihana.com
Benihana - Scottsdale,phoenix,10,111,4.2,http://www.opentable.com/benihana-scottsdale?scpref=110,(480) 444-0068,scottsdale@benihana.com
Betty's Nosh,phoenix,4,40,4.0,http://www.opentable.com/bettys-nosh?scpref=110,(623) 561-6674,cathie@bettysnosh.com
Binkley's Restaurant,phoenix,10,171,4.9,http://www.opentable.com/binkleys-restaurant?scpref=110,(480) 437-1072,""
Bistro 24 at the Ritz-Carlton Phoenix,phoenix,4,24,4.3,http://www.opentable.com/bistro-24-at-the-ritz-carlton-phoenix?scpref=110,(602) 952-2424,""
Black Angus Steakhouse - Arrowhead,phoenix,10,98,4.3,http://www.opentable.com/black-angus-steakhouse-arrowhead?scpref=110,(623) 878-6200,ba1099@blackangus.com
Black Angus Steakhouse - Chandler,phoenix,10,83,4.0,http://www.opentable.com/black-angus-steakhouse-chandler?scpref=110,(480) 855-9449,ba1128@blackangus.com
Black Angus Steakhouse - Goodyear,phoenix,7,68,4.2,http://www.opentable.com/black-angus-steakhouse-goodyear?scpref=110,(623) 535-8585,ba1124@blackangus.com
Black Angus Steakhouse - Phoenix Metro,phoenix,9,64,4.0,http://www.opentable.com/black-angus-steakhouse-phoenix-metro?scpref=110,(602) 944-1517,ba1028@blackangus.com
Black Angus Steakhouse - Superstition,phoenix,10,95,4.2,http://www.opentable.com/black-angus-steakhouse-superstition?scpref=110,(480) 830-6900,ba1109@blackangus.com
"BLT Steak at Camelback Inn, A JW Marriott Resort",phoenix,10,105,4.3,http://www.opentable.com/blt-steak-at-camelback-inn-a-jw-marriott-resort?scpref=110,(480) 905-7979,info@bltsteakscottsdale.com
Blue Adobe Grille,phoenix,7,49,4.0,http://www.opentable.com/blue-adobe-grille?scpref=110,(480) 314-0550,michael@blueadobegrille.com
Blue Hound Kitchen & Cocktails,phoenix,10,185,3.9,http://www.opentable.com/blue-hound-kitchen-and-cocktails?scpref=110,(602) 258-0231,derek.lewis@bluehoundkitchen.com
Blue Sage @ JW Marriott Desert Ridge Resort & Spa,phoenix,1,25,4.3,http://www.opentable.com/blue-sage-at-jw-marriott-desert-ridge-resort-and-spa?scpref=110,(480) 293-3636,""
Bluefin Seafood Bistro,phoenix,10,110,4.4,http://www.opentable.com/bluefin-seafood-bistro?scpref=110,(520) 531-8500,JMTBLUEFIN@AOL.COM
Bobby's Restaurant and Jazz Lounge,phoenix,10,92,3.8,http://www.opentable.com/bobbys-restaurant-and-jazz-lounge?scpref=110,(480) 556-0770,bobbys@mancusosrestaurant.com
Bob's Steak and Chop House - Omni Tucson National Resort,phoenix,9,42,4.6,http://www.opentable.com/bobs-steak-and-chop-house-omni-tucson-national-resort?scpref=110,(520) 877-2377,abravo@omnihotels.com
Bourbon Steak at The Fairmont Scottsdale Princess,phoenix,10,65,4.3,http://www.opentable.com/bourbon-steak-at-the-fairmont-scottsdale-princess?scpref=110,(480) 513-6002,anibal.macias@fairmont.com
Brazilian Bull,phoenix,9,40,3.8,http://www.opentable.com/fogo-e-brasa?scpref=110,(480) 783-6060,Brazilianbullsteakhouse@gmail.com
The Breadfruit,phoenix,8,56,4.4,http://www.opentable.com/the-breadfruit?scpref=110,(602) 267-1266,info@thebreadfruit.com
Brix Restaurant and Wine Bar,phoenix,10,75,4.5,http://www.opentable.com/brix-restaurant-and-wine-bar-flagstaff?scpref=110,(928) 213-1021,info@brixflagstaff.com
Buca di Beppo - Arrowhead,phoenix,10,73,4.1,http://www.opentable.com/buca-di-beppo-arrowhead?scpref=110,(623) 412-9463,arrowhead@bucadibeppo.com
Buca di Beppo - Chandler,phoenix,10,67,4.3,http://www.opentable.com/buca-di-beppo-chandler?scpref=110,(480) 785-7272,chandler@bucadibeppo.com
Buca di Beppo - Mesa,phoenix,10,62,4.0,http://www.opentable.com/buca-di-beppo-mesa?scpref=110,(480) 507-9463,mesa@bucadibeppo.com
Buca di Beppo - Scottsdale,phoenix,10,65,4.0,http://www.opentable.com/buca-di-beppo-scottsdale?scpref=110,(480) 949-6622,scottsdale@bucadibeppo.com
Cafe Bink,phoenix,1,60,4.1,http://www.opentable.com/cafe-bink?scpref=110,(480) 488-9796,cafebink@gmail.com
Caffe Boa - Ahwatukee,phoenix,5,25,4.0,http://www.opentable.com/caffe-boa-ahwatukee?scpref=110,(480) 893-3331,caffeboa1@msn.com
Calistro Bistro Hilton Village,phoenix,2,19,4.3,http://www.opentable.com/calistro-bistro-hilton-village?scpref=110,(480) 656-5244,dine2@calistrobistro.com
Canyon Cafe at Loews Ventana Canyon Resort,phoenix,10,49,4.6,http://www.opentable.com/canyon-cafe-tucson?scpref=110,(520) 615-5496,sagbovon@loewshotels.com
Capital Grille - Phoenix,phoenix,10,109,4.6,http://www.opentable.com/capital-grille-phoenix?scpref=110,(602) 952-8900,Phoenix@tcgdine.com
Capital Grille - Scottsdale,phoenix,10,160,4.6,http://www.opentable.com/capital-grille-scottsdale?scpref=110,(480) 348-1700,Scottsdale@tcgdine.com
Carefree Station,phoenix,8,17,4.4,http://www.opentable.com/carefree-station?scpref=110,(480) 488-8182,robert@carefreestation.com
Casa Mia,phoenix,5,53,4.5,http://www.opentable.com/casa-mia?scpref=110,(480) 314-0365,casamians@cox.net
Cask 63,phoenix,10,103,4.3,http://www.opentable.com/cask-63?scpref=110,(480) 922-5666,info@cask63.com
Catalina Barbeque Co. & Sports Bar,phoenix,1,13,3.8,http://www.opentable.com/catalina-barbeque-co-and-sports-bar?scpref=110,(520) 670-0444,Julie.Polk@marriott.com
"Cayton's at The Ritz-Carlton Golf Club, Dove Mountain",phoenix,2,21,4.2,http://www.opentable.com/caytons-at-the-ritz-carlton-golf-club-dove-mountain?scpref=110,(520) 572-3530,""
Central Bistro,phoenix,10,91,3.8,http://www.opentable.com/central-bistro-phoenix?scpref=110,(480) 646-8560,info@centralbistroaz.com
Chad's Steakhouse & Saloon,phoenix,10,56,3.9,http://www.opentable.com/chads-steakhouse-and-saloon?scpref=110,(520) 881-1802,reservations@chadssteakhouse.com
Chart House Restaurant - Scottsdale,phoenix,10,184,3.8,http://www.opentable.com/chart-house-restaurant-scottsdale?scpref=110,(480) 951-2550,chsc@ldry.com
Che-Ah-Chi at Enchantment Resort,phoenix,4,53,4.3,http://www.opentable.com/che-ah-chi-at-enchantment-resort?scpref=110,(928) 204-6000,dres@enchantmentresort.com
Cheuvront Restaurant & Wine Bar,phoenix,2,39,3.8,http://www.opentable.com/cheuvront-restaurant-and-wine-bar?scpref=110,(602) 307-0022,cheuvrontrestaurant@gmail.com
Christopher's Restaurant/Crush Lounge,phoenix,6,87,4.2,http://www.opentable.com/christophers-restaurant-crush-lounge?scpref=110,(602) 522-2344,christophersaz@gmail.com
Cien Agaves Tacos & Tequila,phoenix,1,14,3.3,http://www.opentable.com/cien-agaves-tacos-and-tequila?scpref=110,(480) 970-9002,oldtown@cienagaves.com
Citizen Public House,phoenix,10,186,4.4,http://www.opentable.com/citizen-public-house?scpref=110,(480) 398-4208,info@citizenpublichouse.com
Coach & Willie's - Chandler,phoenix,2,18,3.8,http://www.opentable.com/coach-and-willies-chandler?scpref=110,(480) 776-6240,kevin@cwrestaurant.com
Compass Restaurant - Hyatt Regency Phoenix,phoenix,9,110,4.2,http://www.opentable.com/compass-restaurant-hyatt-regency-phoenix?scpref=110,(602) 440-3166,""
Core Kitchen and Wine Bar at The Ritz-Carlton Dove Mountain,phoenix,6,36,4.8,http://www.opentable.com/core-kitchen-and-wine-bar-at-the-ritz-carlton-dove-mountain?scpref=110,(520) 572-3000,""
Cork Restaurant - Chandler,phoenix,10,105,4.6,http://www.opentable.com/cork-restaurant-chandler?scpref=110,(480) 883-3773,info@corkrestaurant.net
Cottage Place Restaurant,phoenix,5,56,4.8,http://www.opentable.com/cottage-place-restaurant?scpref=110,(928) 774-8431,info@cottageplace.com
Cowboy Ciao,phoenix,10,119,4.1,http://www.opentable.com/cowboy-ciao?scpref=110,(480) 946-3111,info@cowboyciao.com
Crudo,phoenix,10,87,4.4,http://www.opentable.com/crudo?scpref=110,(602) 358-8666,info@crudoaz.com
The Cup Cafe,phoenix,9,60,4.4,http://www.opentable.com/the-cup-cafe?scpref=110,(520) 798-1618,todd@hotelcongress.com
Dakota Cafe & Catering Co,phoenix,3,37,4.1,http://www.opentable.com/dakota-cafe-and-catering-co?scpref=110,(520) 298-7188,dakotacafe@cox.net
Davanti Enoteca - Scottsdale,phoenix,10,46,4.4,http://www.opentable.com/davanti-enoteca-scottsdale?scpref=110,(480) 659-1800,cyndi@davantienoteca.com
Del Frisco's Grille - Phoenix,phoenix,9,132,4.1,http://www.opentable.com/del-friscos-grille-phoenix?scpref=110,(602) 466-2890,dfgrille.phoenix@dfrg.com
Deseo at the Westin Kierland Resort & Spa,phoenix,9,92,4.5,http://www.opentable.com/deseo-at-the-westin-kierland-resort-and-spa?scpref=110,(480) 624-1202,info@kierlandresort.com
The Desert Oasis / The Artichoke Grill,phoenix,0,51,4.4,http://www.opentable.com/the-desert-oasis-the-artichoke-grill?scpref=110,(480) 423-6284,""
The Dhaba,phoenix,2,36,4.4,http://www.opentable.com/the-dhaba?scpref=110,(480) 557-8800,raveen@the-dhaba.com
Different Pointe of View,phoenix,10,139,4.6,http://www.opentable.com/different-pointe-of-view?scpref=110,(602) 866-6350,""
Dillon's at the Zoo,phoenix,0,14,4.4,http://www.opentable.com/dillons-at-the-zoo?scpref=110,(623) 535-4249,wildlifezoo@dillonsbbq.net
District American Kitchen and Wine Bar,phoenix,6,69,4.1,http://www.opentable.com/district-american-kitchen-and-wine-bar?scpref=110,(602) 817-5400,mithat.evirgen@sheraton.com
Distrito at The Saguaro Scottsdale,phoenix,9,62,4.2,http://www.opentable.com/distrito-at-the-saguaro-scottsdale?scpref=110,(480) 970-4444,distritoaz@garcesgroup.com
Don & Charlie's,phoenix,10,242,4.4,http://www.opentable.com/don-and-charlies?scpref=110,(480) 990-0900,leye14@aol.com
DOWNTOWN Kitchen + Cocktails,phoenix,10,197,4.4,http://www.opentable.com/downtown-kitchen-and-cocktails?scpref=110,(520) 623-7700,""
Durant's,phoenix,10,266,4.5,http://www.opentable.com/durants?scpref=110,(602) 264-5967,durantsaz@durants.phxcoxmail.com
Eddie V's - Scottsdale Quarter,phoenix,10,274,4.6,http://www.opentable.com/eddie-vs-scottsdale-quarter?scpref=110,(480) 730-4800,comments@eddiev.com
Eddie's House,phoenix,10,96,4.2,http://www.opentable.com/eddies-house?scpref=110,(480) 946-1622,chefeddiem@aol.com
El Chorro,phoenix,10,262,4.5,http://www.opentable.com/el-chorro?scpref=110,(480) 948-5170,reservations@elchorro.com
elements at Sanctuary Camelback Mountain,phoenix,10,235,4.6,http://www.opentable.com/elements-at-sanctuary-camelback-mountain?scpref=110,(800) 245-2051,reservations@sanctuaryaz.com
Epazote Kitchen & Cocktails,phoenix,1,18,3.8,http://www.opentable.com/epazote-kitchen-and-cocktails?scpref=110,(520) 544-1705,TUSHT-Epazote@hilton.com
Fleming's Prime Steakhouse & Wine Bar - Chandler,phoenix,3,59,4.5,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-chandler?scpref=110,(480) 940-1900,chandler@flemingssteakhouse.com
Fleming's Prime Steakhouse & Wine Bar - DC Ranch,phoenix,8,62,4.4,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-dc-ranch?scpref=110,(480) 538-8000,dcranch@flemingssteakhouse.com
Fleming's Prime Steakhouse & Wine Bar - Peoria,phoenix,6,56,4.5,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-peoria?scpref=110,(623) 772-9463,peoria@flemingssteakhouse.com
Fleming's Prime Steakhouse & Wine Bar - Scottsdale,phoenix,8,73,4.4,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-scottsdale?scpref=110,(480) 596-8265,scottsdale@flemingssteakhouse.com
Fleming's Prime Steakhouse & Wine Bar - Tucson,phoenix,6,68,4.6,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-tucson?scpref=110,(520) 529-5017,tucson@flemingssteakhouse.com
The Flying V at Loews Ventana Canyon Resort,phoenix,5,70,4.3,http://www.opentable.com/the-flying-v-at-loews-ventana-canyon-resort?scpref=110,(520) 615-5495,rsaul@loewshotels.com
Fogo de Chao Brazilian Steakhouse - Scottsdale,phoenix,2,20,4.5,http://www.opentable.com/fogo-de-chao-brazilian-steakhouse-scottsdale?scpref=110,(480) 609-8866,scottsdale@fogodechao.com
Frank & Alberts,phoenix,10,92,3.8,http://www.opentable.com/frank-and-alberts?scpref=110,(602) 955-6600 x2808,mhabul@arizonabiltmore.com
Gianfranco Ristorante,phoenix,5,54,4.5,http://www.opentable.com/gianfranco-ristorante?scpref=110,(480) 585-6969,""
Greekfest,phoenix,3,11,4.5,http://www.opentable.com/greekfest?scpref=110,(602) 265-2990,info@thegreekfest.com
The Greene House - Kierland Commons,phoenix,10,178,4.2,http://www.opentable.com/the-greene-house-kierland-commons?scpref=110,(480) 889-9494,""
The Grill at Hacienda del Sol,phoenix,10,94,4.4,http://www.opentable.com/the-grill-at-hacienda-del-sol?scpref=110,(520) 529-3500,""
