name,url,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
10 Below,http://www.opentable.com/10-below?scpref=109&tab=2,4.3,"10 NW Minnesota Ave Bend, OR  97701 ",15,Northwest,$30 and under,Bend,http://www.oxfordhotelbend.com/the-kitchen.htm,davidl@oxfordhotelbend.com,(541) 382-1010,4.3 / 5,We celebrated Father's Day at 10 Below and enjoyed our meal.,06/17/2012
3 Doors Down,http://www.opentable.com/3-doors-down?scpref=109&tab=2,4.1,"1429 SE 37th Portland, OR  97214 ",65,Italian,$30 and under,Southeast Portland,http://www.3doorsdowncafe.com,reservations@3doorsdowncafe.com,(503) 236-6886,4.1 / 5,We had the Chicken Liver Pate for starters as we usually do; its the best in town. Our entrees were excellenta as they normally are. We dine here about once a month. We try all the finer restaurants in Portland and this is my most favorite.,07/14/2012
900 Wall,http://www.opentable.com/900-wall?scpref=109&tab=2,4.1,"900 NW Wall Street Bend, OR  97701 ",47,Contemporary American,$30 and under,Bend,http://www.900wall.com,info@900wall.com,(541) 323-6295,4.1 / 5,Adored the Heirloom Tomato risotto . Still trying to figure out a way to have it Fed Exed to Milwaukee.Wi!,07/13/2012
a Cena Ristorante,http://www.opentable.com/a-cena-ristorante?scpref=109&tab=2,4.5,"7742 SE 13th Avenue Portland, OR  97202 ",169,Italian,$30 and under,Southeast Portland,http://www.acenapdx.com,chris@acenapdx.com,(503) 206-3291,4.5 / 5,"Great food, super knowledgeable and super attentive staff, nice wine list at a moderate price with excellent pairing recommendations from waiter (and owner, who obviously cares about his guests' experience). A wonderfully therapeutic foodie escape evening; looking forward to my next chance to go here!",07/10/2012
Accanto,http://www.opentable.com/accanto-portland?scpref=109&tab=2,4.3,"2838 SE Belmont St Portland, OR  97214 ",232,Italian,$30 and under,Southeast Portland,http://www.accantopdx.com/,info@accantopdx.com,(503) 235-4900,4.3 / 5,"I've had good/great food here in the past, so I will likely go back, but I have to say that on July 17th, the entrees (a ravioli and the cornish game hen with polenta) were simply too salty to eat- and I love salt. Our server, Sterling, was excellent, catering to my dining partner, (who was new to many of the dishes), with respect and care, but the food was far below the usual quality.",07/17/2012
Adobe Resort - Oregon,http://www.opentable.com/adobe-resort-oregon?scpref=109&tab=2,4.2,"1555 Hwy 101 Yachats, OR  97498 ",19,Northwest,$30 and under,Yachats,http://www.adoberesort.com,kwick@adoberesort.com,(541) 547-5820,4.2 / 5,"This restaurant was very good with a menu full of tasty-sounding dishes. I had the seafood alfredo, and where other restaurants skimp on more expensive meats like crab, my dish at the Adobe had lots of sweet, delicious crab. The service was very attentive and friendly. The only aspect that didn't quite live up to my expectations was the salad bar. There were a few, fancier salad additions, but overall contained few choices. Desert, however, was fantastic!",06/26/2012
Amadeus Manor,http://www.opentable.com/amadeus-manor?scpref=109&tab=2,4.4,"2122 SE Sparrow St Milwaukie, OR  97222 ",12,European,$30 and under,Milwaukie,http://amadeusmanor.com,"",(503) 659-1735,4.4 / 5,"This place has one of the most incredible views in Portland. Portland City Grill and The Chart House on Terwilliger are usually credited with the best views in Portland, but this little gem is definitely a contender. We were happy with our food and thought everything was great up until entrees, where it just stepped down to good. The entrees were a little bit overdone, not just overcooked, just too much in generall. My wife had a tenderloin steak, and any filet should be able to stand on it's own. However, they covered it in what can only be described as a blue cheese gravy with mushrooms and bacon.Shrimp w/lobster sauce App - 5 out of 5House Salad - 5 out of 5Mushroom soup - 5 out of 5Tenderloin - 3 out of 5Schnitzel - 4 out",07/17/2012
Amuse Restaurant,http://www.opentable.com/amuse-restaurant?scpref=109&tab=2,4.3,"15 North First Street Ashland, OR  97520 ",104,French,$31 to $50,Ashland,http://www.amuserestaurant.com,enjamuse@mind.net,(541) 488-9000,4.3 / 5,"We went to Amuse on the recommendation of a friend, who tunes in to great restaurants. I say that because we arrived with high expectations. The service and the atmosphere lived up to them. The food fell short. It was competently prepared but not the memorable experience we had imagined. The prawn appetizer was the exception: it was excellent. My salad was bland and overdressed. We split the salmon as our main course. The blini with it had no flavor at all. And the pickled onion and cucumber preparation didn't quite come off. The chocolate truffle cake, which we had with chocolate truffle ice cream because we're not fond of coffee ice cream and they didn't have vanilla, finished the meal on a good note.",07/20/2012
Andina,http://www.opentable.com/andina?scpref=109&tab=2,4.6,"1314 NW Glisan Portland, OR  97209 ",655,Peruvian,$31 to $50,Pearl District,http://www.andinarestaurant.com,info@andinarestaurant.com,(503) 228-9535 x4,4.6 / 5,"Interesting small plates, very accommodating, rather noisy but lots of fun. Our party of 10 was lucky to have a round table near the windows which lessened the noise level & everyone (vegetarians & omnivores) loved the foods, wines & specialty cocktails.",07/21/2012
Angel Thai,http://www.opentable.com/angel-thai?scpref=109&tab=2,4.0,"1900 NE Division Street #110 Bend, OR  97701",2,Thai,$30 and under,Bend,http://angelthaicuisines.com,angelthaicuisine@hotmail.com,(541) 388-5177,4 / 5,"Always yummy food. The Thai Salad with peanut sauce dressing is the best salad in Bend. The Orange Chicken is addicting. Most dishes, including the salad are big enough to share.",05/16/2012
Apizza Scholls,http://www.opentable.com/apizza-scholls?scpref=109&tab=2,4.6,"4741 SE Hawthorne Blvd. Portland, OR  97215 ",126,Pizzeria,$30 and under,Downtown Portland - SE,http://www.apizzascholls.com,reservations@apizzascholls.com,(503) 233-1286,4.6 / 5,"Great vegetarian and meat options, huge pizza's and willing to half-and-half pizzas. Always a great pizza!",07/16/2012
Aquariva,http://www.opentable.com/aquariva?scpref=109&tab=2,3.6,"4650 SW Macadam Ave.. Portland, OR  97239 ",91,Northwest,$30 and under,South Waterfront,http://www.aquarivaportland.com,reservations@aquarivaportland.com,(503) 802-5850,3.6 / 5,"Good scallop entree, beet salad was standard. Wine list was good. Service was good once we got past the hostess. Bar was nice for a before dinner drink. Just nothing outstanding other than the view.",07/11/2012
Aviary,http://www.opentable.com/aviary?scpref=109&tab=2,4.2,"1733 NE Alberta St Portland, OR  97211 ",208,French,$30 and under,Downtown Portland - NE,http://www.aviarypdx.com,info@aviarypdx.com,(503) 287-2400,4.2 / 5,Food was very good but it was so noisy we had trouble talking and hearing the wait staff,07/20/2012
Bastas Trattoria and Bar,http://www.opentable.com/bastas-trattoria-and-bar?scpref=109&tab=2,4.1,"410 NW 21st Portland, OR  97209 ",17,Italian,$30 and under,Downtown Portland - NW,http://www.bastastrattoria.com,marco@bastastrattoria.com,(503) 274-1572,4.1 / 5,One of our favorite restaurants for the past 16 years. Marco and his terrific staff are consistently a+,06/27/2012
The Bay House (OR),http://www.opentable.com/the-bay-house-or?scpref=109&tab=2,4.7,"5911 SW Hwy 101 Lincoln City, OR  97367 ",15,American,$31 to $50,Lincoln City,http://www.thebayhouse.org/,info@thebayhouse.org,(541) 996-3222,4.7 / 5,Warm and personable staff. Concise two page menu. Extensive wine list. European portions which is great. Fantastic view. An excellent dining experience.,07/12/2012
Beaker & Flask,http://www.opentable.com/beaker-and-flask?scpref=109&tab=2,4.1,"727 SE Washington Street Portland, OR  97214 ",73,Contemporary American,$30 and under,Southeast Portland,http://www.BeakerAndFlask.com,info@BeakerAndFlask.com,(503) 235-8180,4.1 / 5,Food was ok and the service was pour.,07/14/2012
Beast,http://www.opentable.com/beast?scpref=109&tab=2,4.4,"5425 NE 30th Ave Portland, OR  97211 ",179,French,$50 and over,Downtown Portland - NE,http://www.beastpdx.com,beast@beastpdx.com,(503) 841-6968,4.4 / 5,The food was a 50% hit and miss. Some gems and some flops. There was a tendency to over salt a number of dishes including the brined roast chicken entree. The goat cheese dessert was pretty great. I can't recommend the wine pairings...they were pretty uninspired. I won't go again; for the price there is better elsewhere. The chef has talent which was evident in many of the flavor combinations although our party sensed that perhaps it has gotten a little routine and it misses the passion and excitement of serving great food.,07/19/2012
Benihana - Beaverton,http://www.opentable.com/benihana-beaverton?scpref=109&tab=2,4.4,"9205 SW Cascade Ave Beaverton, OR  97008-7189 ",140,Japanese,$30 and under,Beaverton,http://www.benihana.com/locations/beaverton-or-bv,Beaverton@benihana.com,(503) 643-4016,4.4 / 5,"It's an energetic place, very social place, Love the atmosphere. If you don't prefer to share your meal with strangers then this isn't the place for you, since you are forced to socialize with your fellow table mates whom some you won't even know. The pricing is a bit High which is basically on special occasions , we won't be able to afford to come here on a monthly basis. The food was divine!",07/20/2012
The Benson Hotel,http://www.opentable.com/the-benson-hotel?scpref=109&tab=2,2.0,"309 SW Broadway Portland, OR  97205 ",1,Northwest,$31 to $50,Downtown Portland - SW,http://www.bensonhotel.com,info@bensonhotel.com,(503) 228-2000,2 / 5,"I was very disappointed with Easter Brunch at the MayFair Room at the Benson. My family and I have been sharing holiday brunches at The Benson in the London Grill, hence that is what has made it a ""fan favorite"" with our family. With the closure of the London Grill the MayFair room was our only choice. The food was ""fair"" I almost tripped on the table cloth as it was dragging on the floor. We paid more this year for brunch and received a bad expreince. This was $200 not worth spending, we will not be returning.",04/08/2012
The Bent Brick,http://www.opentable.com/the-bent-brick?scpref=109&tab=2,4.0,"1639 NW Marshall Street Portland, OR  97209 ",61,Contemporary American,$30 and under,Downtown Portland - NW,http://www.thebentbrick.com,info@thebentbrick.com,(503) 688-1655,4 / 5,"I made a reservation a week ago and they claimed not to have it, despite showing them the confirmation on my phone. The person who was ""helping"" us was both rude and dismissive. They did nothing to fix the situation and offered us a seat at the bar despite several open tables. We were dressed appropriately for the restaurant so I'm not sure why they didn't seem to want to seat us. We will not try it again as there are too many other restaurants in Portland with great service and good food.",07/20/2012
Bentley's Grill - The Grand Hotel in Salem,http://www.opentable.com/bentleys-grill-the-grand-hotel-in-salem?scpref=109&tab=2,4.2,"291 Liberty Street SE Salem, OR  97301 ",37,Northwest,$30 and under,Salem,http://www.bentleysgrill.com,reservations@bentleysgrill.com,(503) 779-1660,4.2 / 5,"Was definitely disappointed. Went for our anniversary. Server was pleasant and timely. My husband & I both ordered a steak (same cut) and the waitress stated they tend to undercook so I asked for mine medium to medium well - I do not care for it bloody but like a good amount of pink inside (and explained what i wanted to the waitress) When it came, mine was so hard I could barely chew it while my husbands was extremely tender and he asked for it medium. I told the waitress about it but didnt send it back - should have! I hoped she would comp one of our desserts but no offer was made & I'm too chicken to ask & didn't want to make it a big deal given that it was our anniversary. The actual ambiance was nice but they sat us right next to the",07/19/2012
Bistro 921,http://www.opentable.com/bistro-921?scpref=109&tab=2,3.9,"Hilton Portland 921 SW 6th Avenue Portland, OR  97204",35,Contemporary American,$30 and under,Downtown,http://www.bistro-921.com,"",(503) 220-2685,4 / 5,We arrived at happy hour so bar scene was pretty loud. We were seated as far from the noise as possible and all was good. Wait staff was friendly and attentive. The food was superb and in ample supply. Calamari cooked to perfection. Prices were quite reasonable especially considering portion size.,07/13/2012
Black Angus Steakhouse - Vancouver,http://www.opentable.com/black-angus-steakhouse-vancouver?scpref=109&tab=2,4.3,"415 E 13th St Vancouver, WA  98660 ",66,Steakhouse,$30 and under,"Vancouver, WA",http://blackangus.com,ba1013@blackangus.com,(360) 695-1506,4.3 / 5,Had a wonderful meal and so did my guests. We left nothing on our plates. The mud pie was outstanding. I have a sweettooth and so do my guests. Can't wait till I can have another day to go to THE BLACK ANGUS.,07/18/2012
The Blacksmith Restaurant,http://www.opentable.com/the-blacksmith-restaurant?scpref=109&tab=2,4.3,"211 NW Greenwood Avenue Bend, OR  97701 ",55,Steakhouse,$30 and under,Bend,http://www.bendblacksmith.com,owners@bendblacksmith.com,(541) 318-0588,4.3 / 5,We did the Chef's Choice meal............Fabulous!,07/16/2012
