18 Seaboard,http://www.opentable.com/18-seaboard?scpref=110&tab=2,4.5,"18 Seaboard Raleigh, NC  27604 ",426,Contemporary American,$30 and under,Raleigh,http://www.18seaboard.com,jsmith@18seaboard.com,(919) 861-4318,5.0 out of 5,"Pumpkin bisque is a must try; perfect for the cold, damp Fall weather. The wait staff was attentive but not overly so. Great experience and we will definitely go back! Chef sent sample of butternut squash bisque to table...hope this on the menu the next time we go.",11/06/2012,http://www.pickgrapevine.com/wantmore6/18-seaboard,18-seaboard
411 West,http://www.opentable.com/411-west?scpref=110&tab=2,4.2,"411 W. Franklin St. Chapel Hill, NC  27516  ",132,Italian,$30 and under,Chapel Hill,http://www.411west.com,411west@411west.com,(919) 967-2782,4.0 out of 5,"Food is unbelievable. Best Italian food in town, by far.",10/27/2012,http://www.pickgrapevine.com/wantmore6/411-west,411-west
42nd Street Oyster Bar,http://www.opentable.com/42nd-street-oyster-bar?scpref=110&tab=2,4.4,"508 West Jones Street Raleigh, NC  27603 ",308,Seafood,$30 and under,Raleigh,http://www.42ndstoysterbar.com,info@42ndstoysterbar.com,(919) 831-2811,5.0 out of 5,We had a large party that could not be sat at one table. One of the managers went out of his way to find us adjoining booths with the same waitress so that we could order together and have just one bill. The food and service were excellent as always. My favorite is the seafood bisque and fried shrimp.,11/03/2012,http://www.pickgrapevine.com/wantmore6/42nd-street-oyster-bar,42nd-street-oyster-bar
518 West,http://www.opentable.com/518-west?scpref=110&tab=2,4.2,"518 W. Jones St. West St. Raleigh, NC  27605",143,Italian,$30 and under,Raleigh,http://www.518West.com,518west@518west.com,(919) 829-2518,5.0 out of 5,Our first time at 518 for brunch. The food was excellent. The shrimp and grits were some of the best I've ever had. My mother in law had a salad topped with grilled salmon and stated the salmon was cooked perfectly. I also appreciate how well the server interacted with our 2-yr old!,11/04/2012,http://www.pickgrapevine.com/wantmore6/518-west,518-west
604 at West Village,http://www.opentable.com/604-at-west-village?scpref=110&tab=2,4.2,"604 Fernway Ave . Durham, NC  27701 ",100,Italian,$30 and under,Durham,http://www.604westvillage.com,sean@604westvillage.com,(919) 680-6333,5.0 out of 5,Very nice restaurant in the Durham warehouse district. Has charm and appeal.,11/06/2012,http://www.pickgrapevine.com/wantmore6/604-at-west-village,604-at-west-village
618 Bistro and Lounge,http://www.opentable.com/618-bistro-and-lounge?scpref=110&tab=2,4.0,"4035 Lake Boone Trail Raleigh, NC  27607 ",21,Fusion / Eclectic,$30 and under,Raleigh,http://www.618bistro.com,618bistro@gmail.com,(919) 787-9100,5.0 out of 5,"Great food; wine list isn't very big, but the food is great.",10/15/2012,http://www.pickgrapevine.com/wantmore6/618-bistro-and-lounge,618-bistro-and-lounge
Acme Restaurant,http://www.opentable.com/acme-restaurant?scpref=110&tab=2,4.4,"110 E Main St Carrboro, NC  27510 ",265,Southern,$30 and under,Carrboro,http://www.acmecarrboro.com,email@acmecarrboro.com,(919) 929-2263,5.0 out of 5,"My wife and I ordered two entrees and they were outstanding. One entree was classic steak frites. The beef was a loin cut and cooked perfectly to order; the fries were done just right and were seasoned nicely. The other entree was venison sausage and wild boar over house-made papardelle. What a treat! The servings were more than ample and we ended up taking food home, but we're not complaining :-) I drank a pint of Triangle IPA and, in my opinion, it went better with the entrees than any wine would have. We split a slice of key lime pie for desert. It was also outstanding--very bright with lime juice flavor. I recommend skipping the whipped cream. Noise was better this time because we avoided being up front near the window seating",11/04/2012,http://www.pickgrapevine.com/wantmore6/acme-restaurant,acme-restaurant
an,http://www.opentable.com/an?scpref=110&tab=2,4.6,"2800 Renaissance Park Place Cary, NC  27513 ",161,Fusion / Eclectic,$31 to $50,Cary,http://www.ancuisines.com,info@ancuisines.com,(919) 677-9229,5.0 out of 5,Beautiful setting; lots of room - tables well spaced. Excellent service,11/05/2012,http://www.pickgrapevine.com/wantmore6/an,an
Azitra,http://www.opentable.com/azitra?scpref=110&tab=2,4.5,"8411 Brier Creek Pkwy Suite 101 Raleigh, NC  27617",45,Indian,$30 and under,Raleigh,http://www.azitra.us,info@azitra.us,(919) 484-3939,5.0 out of 5,"Our third time dining here, and the best so far. Excellent service and wonderful food. Currently the best Indian restaurant in the area.",11/03/2012,http://www.pickgrapevine.com/wantmore6/azitra,azitra
Babylon,http://www.opentable.com/babylon?scpref=110&tab=2,3.9,"309 N Dawson St Raleigh, NC  27603 ",100,Moroccan,$30 and under,Raleigh,http://babylonraleigh.com,hachby@gmail.com,(919) 838-8595,5.0 out of 5,"This was our first visit to Babylon and will definitely visit again. However, even though we told our server numerous times that we were in no rush that night for our entree and wanted some time in between our appetizer and entree, our request was ignored. Having said that we will surely go again but have learned to space out our order ourself. By the way the restaurant was not busy as that would have been an appropriate reason for feeling a little rushed. Please do not hesitate to try this restaurant....we can't wait to share our discovery with friends.",11/03/2012,http://www.pickgrapevine.com/wantmore6/babylon,babylon
Bida Manda Restaurant and Bar,http://www.opentable.com/bida-manda-restaurant-and-bar?scpref=110&tab=2,4.5,"222 S. Blount St. Raleigh, NC  27601 ",95,Asian,$30 and under,Raleigh,http://www.bidamanda.com,bidamandanc@gmail.com,(919) 829-9999,5.0 out of 5,"I came here for my birthday with a large party. Claire was our waitress and she was super attentive and knowledgable about the menu. Hand crafted cocktails were delicious. My sisters loved the Marie Claire and my brothers loved the beer selection. Overall, a wonderful dining experience. It was an absolutely wonderful place to celebrate.",11/03/2012,http://www.pickgrapevine.com/wantmore6/bida-manda-restaurant-and-bar,bida-manda-restaurant-and-bar
BIN 54,http://www.opentable.com/bin-54?scpref=110&tab=2,4.4,"1201 M Raleigh Rd. Chapel Hill, NC  27517 ",85,Steakhouse,$50 and over,Chapel Hill,http://www.bin54restaurant.com,info@bin54chapelhill.com,(919) 969-1155,5.0 out of 5,Awesome food and wine to go with top shelf service...all working together!,11/06/2012,http://www.pickgrapevine.com/wantmore6/bin-54,bin-54
Blu Seafood and Bar,http://www.opentable.com/blu-seafood-and-bar?scpref=110&tab=2,4.2,"2002 Hillsborough Road Durham, NC  27705 ",112,Seafood,$30 and under,Durham,http://www.bluseafoodandbar.com,amy@bluseafoodandbar.com,(919) 286-9777,5.0 out of 5,"Our party of 4 had a great time! We had wonderful wine, cocktails and loved all the food we ordered! The staff was very friendly and knowledgeable about their menu. We'll be going back.",11/03/2012,http://www.pickgrapevine.com/wantmore6/blu-seafood-and-bar,blu-seafood-and-bar
Blue Mango Restaurant,http://www.opentable.com/blue-mango-restaurant?scpref=110&tab=2,4.2,"222 Glenwood Ave Raleigh, NC  27603 ",52,Indian,$30 and under,Raleigh,http://bluemangoraleigh.com/,info@bluemangoraleigh.com,(919) 322-2760,5.0 out of 5,"The chef personally came out and talked to my friend on her birthday! Great service- we had requested too spicy of food so the waiter offered to take it back and make it less spicy, overall excellent experience!",11/01/2012,http://www.pickgrapevine.com/wantmore6/blue-mango-restaurant,blue-mango-restaurant
Brasa Brazilian Steakhouse,http://www.opentable.com/brasa-brazilian-steakhouse?scpref=110&tab=2,4.4,"8551 Brier Creek Pkwy Raleigh, NC  27617 ",214,Brazilian Steakhouse,$31 to $50,Raleigh,http://www.brasasteakhouse.com,reservations@brasasteakhouse.com,(919) 544-3344,5.0 out of 5,"Our table of 5 was delighted with our meal. The hot and cold bars held choices for all of us. My sister especially liked the sushi and my mother, who is 92, fell in love with the shrimp bisque. The sweet raspberry dressing was a favorite of mine, adding a tangy topping to the salad. The meats brought to our table were hot, delicious, and plentiful, coming to our table in a timely fashion. Our reservation was for the last lunch seating so we were the only party in the restaurant. We received excellent attention from Benjamin, our server. We could not have asked for a more pleasant dining experience to celebrate my husband's birthday. We will return!!",11/06/2012,http://www.pickgrapevine.com/wantmore6/brasa-brazilian-steakhouse,brasa-brazilian-steakhouse
buku: Global Street Food,http://www.opentable.com/buku-global-street-food?scpref=110&tab=2,4.4,"110 East Davie Street Raleigh, NC  27601 ",283,"Global, International",$30 and under,Raleigh,http://www.bukuraleigh.com,sean@bukuraleigh.com,(919) 834-6963,3.0 out of 5,very costly because we had to order several times to satisfy our appetites large plate is entree size small plate is like a saucer size really was disappointed we were not informed by our waitress. she did know it was our first time there.this was for my birthday and my husband was trying to make it very special...we left disappointed ..food was good but risotto was highly recommended by our waitress and when it arrived we couldn't eat it .. very strong .. the small plate dish of ... can't remember the name it had pulled pork on it pickled onion goat cheese i think was divine wish you offered it in a large plate entree size.,11/03/2012,http://www.pickgrapevine.com/wantmore6/buku-global-street-food,buku-global-street-food
Caffe Luna,http://www.opentable.com/caffe-luna?scpref=110&tab=2,4.4,"136 East Hargett Street Raleigh, NC  27601 ",142,Italian,$30 and under,Raleigh,http://www.cafeluna.com,cafeluna@earthlink.net,(919) 832-6090,4.0 out of 5,"A little noisy for a romantic date, but the food is always excellent!",11/03/2012,http://www.pickgrapevine.com/wantmore6/caffe-luna,caffe-luna
Cameron Bar & Grill,http://www.opentable.com/cameron-bar-and-grill?scpref=110&tab=2,4.0,"2018 Clark Ave Raleigh, NC  27605 ",21,American,$30 and under,Raleigh,http://www.cameronbarandgrill.com,info@cameronbarandgrill.com,(919) 755-2231,5.0 out of 5,"Dear Sir or Madam, We had brunch after the City of Oaks Half Marathon. There were two kids and six adults. When we walked in, exhausted and cold, the table was already set (with water glasses!!) and our waiter (I think his name was Jeff. It was his last day and he passed us off to someone else at the end, a lovely dark haired woman with a terrific smile) had coffee to us within seconds. The service was excellent, the food was incredible (I had huevos rancheros) and it was a wonderful experience. I have been to Cameron Bar and Grill several times and chose it as our post marathon brunch place. As always, it rose to the occasion! Terrific place, thanks for taking such good care of us!!",11/04/2012,http://www.pickgrapevine.com/wantmore6/cameron-bar-and-grill,cameron-bar-and-grill
Capital City Chophouse,http://www.opentable.com/capital-city-chophouse?scpref=110&tab=2,4.2,"151 Airgate Drive Morrisville, NC  27560 ",149,Steak,$30 and under,Raleigh,http://www.chophousesofnc.com/capitalcitych.htm,capitalcitychophouse@ncrrbiz.com,(919) 484-7721,4.0 out of 5,We had a table of 10.. Service was good and food was very good and hot. The specials were also special :),11/06/2012,http://www.pickgrapevine.com/wantmore6/capital-city-chophouse,capital-city-chophouse
Capri Restaurant,http://www.opentable.com/capri-restaurant?scpref=110&tab=2,4.2,"6325 Falls of Neuse Road Raleigh, NC  27615 ",24,Italian,$30 and under,Raleigh,http://www.caprirest.com,info@caprirest.com,(919) 878-4424,5.0 out of 5,"best italian in raleigh, hands down",10/19/2012,http://www.pickgrapevine.com/wantmore6/capri-restaurant,capri-restaurant
Carolina Crossroads Restaurant at The Carolina Inn,http://www.opentable.com/carolina-crossroads-restaurant-at-the-carolina-inn?scpref=110&tab=2,4.4,"211 Pittsboro St Chapel Hill, NC  27516 ",114,Contemporary American,$31 to $50,Chapel Hill,http://www.carolinacrossroadscuisine.com,crossroads@carolinainn.com,(919) 918-2735,4.0 out of 5,"The food was less than exceptional. I suppose the word I would use would be bland. My sausage stuffed quail was very dry and while unique, unfilfilling.",11/05/2012,http://www.pickgrapevine.com/wantmore6/carolina-crossroads-restaurant-at-the-carolina-inn,carolina-crossroads-restaurant-at-the-carolina-inn
Chamas Churrascaria,http://www.opentable.com/chamas-churrascaria?scpref=110&tab=2,4.4,"905 West Main Street - Suite 115 Durham, NC  27701 ",36,Brazilian Steakhouse,$31 to $50,Durham,http://www.chamas.us,info@chamas.us,(919) 682-1309,5.0 out of 5,The food and service here are always amazing!,10/27/2012,http://www.pickgrapevine.com/wantmore6/chamas-churrascaria,chamas-churrascaria
Chef and The Farmer,http://www.opentable.com/chef-and-the-farmer?scpref=110&tab=2,4.7,"120 W. Gordon St. Kinston, NC  28501 ",193,Contemporary American,$31 to $50,Kinston,http://www.chefandthefarmer.com,res@chefandthefarmer.com,(252) 208-2433,5.0 out of 5,"When I was planning how to celebrate the past thirteen years of marriage with my beautiful wife, Chef and the Farmer immediately came to mind. The online reservation process was fast and simple. They even allowed me to stop by the restaurant to view our reserved table and leave a vase of flowers and a card. That evening we sampled various wines recommended by our hospitable server. My wife's ribeye was cooked to perfection and I truly enjoyed the Wood Fired Shrimp, Clams & Oysters! I want to thank the team at Chef and the Farmer for a wonderfully romantic evening. For a couple of average folks, we were honored like royalty! We are definitely returning!-Brad Smith, La Grange, NC-",11/06/2012,http://www.pickgrapevine.com/wantmore6/chef-and-the-farmer,chef-and-the-farmer
Chef's Palette,http://www.opentable.com/chefs-palette?scpref=110&tab=2,4.4,"3460 Ten Ten Rd. #118 Cary, NC  27518 ",83,American,$30 and under,Cary,http://chefspaletterestaurantandbar.com,contact@chefspaletterestaurantandbar.com,(919) 267-6011,5.0 out of 5,We love going to the Chef's Pallet. We even give gift cards to our friends from there. Always a good choice if you are looking for a special meal outside of the chain restaurants.,10/20/2012,http://www.pickgrapevine.com/wantmore6/chefs-palette,chefs-palette
Cholanad Restaurant and Bar,http://www.opentable.com/cholanad-restaurant-and-bar?scpref=110&tab=2,4.3,"308 West Franklin Street Chapel Hill, NC  27516 ",35,South Indian,$30 and under,Chapel Hill,http://www.cholanad.com,info@cholanad.com,(800) 246-5262,4.0 out of 5,Authentic and best upscale Indian restaurant in Chapel Hill. One of my favorites.,10/30/2012,http://www.pickgrapevine.com/wantmore6/cholanad-restaurant-and-bar,cholanad-restaurant-and-bar
City Kitchen,http://www.opentable.com/city-kitchen?scpref=110&tab=2,4.0,"201 South Estes Drive Chapel Hill, NC  27514 ",99,American,$30 and under,Chapel Hill,http://citykitchenchapelhill.com,chris@citykitchenchapelhill.com,(919) 928-8200,3.0 out of 5,"The food was terrific and inventive! Unfortunately an Open Table reservation did not seem to mean much. We had the table near the kitchen, clearly nothing ""reserved "" about it. Happily for the restaurant, it was slammed...unhappily this meant the kitchen had trouble to keep up. Our waiter tried hard to compensate, and the bread and delicious dip did a great deal to keep us from gnawing on him or the table....will try again under less stressful conditions.",10/27/2012,http://www.pickgrapevine.com/wantmore6/city-kitchen,city-kitchen
Coquette Brasserie,http://www.opentable.com/coquette-brasserie?scpref=110&tab=2,4.3,"4351-119 The Circle at North Hills Raleigh, NC  27609 ",230,French,$30 and under,Raleigh,http://www.urbanfoodgroup.com,owners@urbanfoodgroup.com,(919) 789-0606,4.0 out of 5,Fantastic lunch menu for a good price. Quick service and back to work in a flash. Good place for a business lunch.,11/06/2012,http://www.pickgrapevine.com/wantmore6/coquette-brasserie,coquette-brasserie
CPW's Fine Food and Spirits,http://www.opentable.com/cpws-fine-food-and-spirits?scpref=110&tab=2,4.3,"2422 Stantonsburg Road Greenville, NC  27834 ",10,Italian,$30 and under,Greenville,http://www.cpws.biz,contact_us@cpws.biz,(252) 757-7756,4.0 out of 5,Food was very good. We had a group of 8.Prices were very reasonable,09/28/2012,http://www.pickgrapevine.com/wantmore6/cpws-fine-food-and-spirits,cpws-fine-food-and-spirits
Dos Perros,http://www.opentable.com/dos-perros?scpref=110&tab=2,4.5,"200 N Mangum St. Suite 101 Durham, NC  27701 ",158,Mexican,$30 and under,Durham,http://dosperrosrestaurant.com,info@dosperrosrestaurant.com,(919) 956-2750,5.0 out of 5,Dos Perros has fantastic food with exceptional service.A great dining experience for our group prior to Jersey Boys @ DPAC.Make a reservation and enjoy an evening with wonderful ambience and an outstanding dinner.,11/04/2012,http://www.pickgrapevine.com/wantmore6/dos-perros,dos-perros
Draft,http://www.opentable.com/draft?scpref=110&tab=2,4.2,"510 Glenwood Ave St. 10 Raleigh, NC  27603 ",50,Burgers,$30 and under,Raleigh,http://draftraleigh.com,contactdraft@rockytophospitality.com,(919) 834-2955,4.0 out of 5,Very good food for a sports bar.,10/28/2012,http://www.pickgrapevine.com/wantmore6/draft,draft
Elaine's on Franklin,http://www.opentable.com/elaines-on-franklin?scpref=110&tab=2,4.5,"454 W. Franklin St Chapel Hill, NC  27516 ",93,"Global, International",$31 to $50,Chapel Hill,http://www.elainesonfranklin.com,elainesonfranklin@earthlink.net,(919) 960-2770,4.0 out of 5,"Very much enjoyed it overall. Service was very attentive. I thought the menu was interesting, but most of our food (she crab soup, grilled shrimp, sturgeon) was good, but not ""WOW!"". I don't mind a high bill if food, service, and environment are commensurate, but for our particular selections, I think the menu is overpriced. I'd be willing to give it another chance.",11/06/2012,http://www.pickgrapevine.com/wantmore6/elaines-on-franklin,elaines-on-franklin
Elements,http://www.opentable.com/elements?scpref=110&tab=2,4.2,"2110 Environ Way Chapel Hill, NC  27517 ",121,Fusion / Eclectic,$30 and under,Chapel Hill,http://www.elementsofchapelhill.com,info@elementsofchapelhill.com,(919) 537-8780,5.0 out of 5,"If you are looking for a place that has it all - atmosphere, food and service - this is it.",11/05/2012,http://www.pickgrapevine.com/wantmore6/elements,elements
Ephesus Taverna Mediterranean Restaurant & Bar,http://www.opentable.com/ephesus-taverna-mediterranean-restaurant-and-bar?scpref=110&tab=2,3.5,"315 Blake St. Raleigh, NC  27601 ",2,Turkish,$30 and under,Raleigh,http://www.troyml.com/index.htm,info@troyml.com,(919) 834-8133,4.0 out of 5,"The food at Troy Mezza is always better than expected. Although not food I would eat every day, it is unique and a great break from the ""standard fare"". The wine list is good and has a great mix of affordable wines. The friends we dined with had never been to Mezza before and were a bit apprehensive at first but both really enjoyed both the food and the ambiance.",09/21/2012,http://www.pickgrapevine.com/wantmore6/ephesus-taverna-mediterranean-restaurant-and-bar,ephesus-taverna-mediterranean-restaurant-and-bar
Fairview Dining Room,http://www.opentable.com/fairview-dining-room?scpref=110&tab=2,4.5,"3001 Cameron Blvd Durham, NC  27705 ",72,American,$31 to $50,Durham,http://www.washingtondukeinn.com,bgorham@wdigc.com,(919) 493-6699,4.0 out of 5,service a little slow at times but otherwise very enjoyable; also gluten-free friendly,11/04/2012,http://www.pickgrapevine.com/wantmore6/fairview-dining-room,fairview-dining-room
Fearrington Granary,http://www.opentable.com/fearrington-granary?scpref=110&tab=2,4.3,"2000 Fearrington Village Pittsboro, NC  27312 ",148,Contemporary American,$30 and under,Chapel Hill,http://www.fearringtongranary.com,fhouse@fearrington.com,(919) 542-2121,3.0 out of 5,"Food average plus. Portions modest. VERY noisy. Very busy on a Sunday. Service average. Adequate, but nothing above the ordinary.",11/04/2012,http://www.pickgrapevine.com/wantmore6/fearrington-granary,fearrington-granary
Fearrington House Restaurant,http://www.opentable.com/fearrington-house-restaurant?scpref=110&tab=2,4.8,"2000 Fearrington Village Pittsboro, NC  27312 ",114,Contemporary American,$50 and over,Chapel Hill,http://www.fearrington.com,fhouse@fearrington.com,(919) 542-2121,5.0 out of 5,Excellence from amuse bouche to espresso. We tried the chef's tasting menu for a special celebration and every course was a delight.,11/02/2012,http://www.pickgrapevine.com/wantmore6/fearrington-house-restaurant,fearrington-house-restaurant
Finelli's Cafe,http://www.opentable.com/finellis-cafe?scpref=110&tab=2,4.1,"511-G Red Banks Road Greenville, NC  27834 ",20,Italian,$30 and under,Greenville,http://www.finelliscafe.com/,david_finelli@yahoo.com,(252) 695-0020,5.0 out of 5,We are a Navy football family and ate here back in 2010. It was a great dining experience then and on our short list for any visit to Greenville. Our 2012 dining experience was equally enjoyable and I would recommend Finnelli's without hesitation. Everyone was very friendly....even the Pirate fans! Go Navy Go Pirates.,10/27/2012,http://www.pickgrapevine.com/wantmore6/finellis-cafe,finellis-cafe
