Bentwood Tavern,http://www.opentable.com/bentwood-tavern?scpref=110&tab=2,4.2,"600 West Water Street New Buffalo, MI  49117 ",135,American,$30 and under,New Buffalo,http://www.bentwoodtavern.com,info@toasthotelgroup.com,(269) 469-1699,5.0 out of 5,"My wife and I have enjoyed the Bentwood Tavern numerous times, and have been a fan of Jenny's menu items for years.",10/28/2012,http://www.pickgrapevine.com/wantmore6/bentwood-tavern,bentwood-tavern
Bistro Bella Vita,http://www.opentable.com/bistro-bella-vita?scpref=110&tab=2,4.4,"44 Grandville Ave SW Grand Rapids, MI  49503 ",191,Mediterranean,$30 and under,Grand Rapids,http://www.bistrobellavita.com,info@bistrobellavita.com,(616) 222-4600,5.0 out of 5,"The reservation system didn't do us any good, as we were forced to take a 5:00 for 8 people when clearly that didn't need to happen...got there just after 5:30 and hardly anyone was there....we almost didn't go because of this.",10/29/2012,http://www.pickgrapevine.com/wantmore6/bistro-bella-vita,bistro-bella-vita
Bravo! Restaurant and Cafe,http://www.opentable.com/bravo-restaurant-and-cafe?scpref=110&tab=2,4.4,"5402 Portage Rd Kalamazoo, MI  49002 ",41,Italian,$30 and under,Kalamazoo,http://bravokalamazoo.com,BravoKalamazoo@aol.com,(269) 344-7700,4.0 out of 5,If you are looking for a good dinner while driving between Chicago and Ann Arbor this is a gem.,10/02/2012,http://www.pickgrapevine.com/wantmore6/bravo-restaurant-and-cafe,bravo-restaurant-and-cafe
Charley's Crab - Grand Rapids,http://www.opentable.com/charleys-crab-grand-rapids?scpref=110&tab=2,4.2,"63 Market Avenue S.W. Grand Rapids, MI  49503 ",100,Seafood,$31 to $50,Grand Rapids,http://www.muer.com,ccgr@ldry.com,(616) 459-2500,5.0 out of 5,"We've been enjoying Charlie's Crab for years and find dining in the evening, lunch, or brunch all very enjoyable. Service is always outstanding, presentation of meals lovely, and all meals have been tasty!",10/21/2012,http://www.pickgrapevine.com/wantmore6/charleys-crab-grand-rapids,charleys-crab-grand-rapids
The Chop House - Grand Rapids,http://www.opentable.com/the-chop-house-grand-rapids?scpref=110&tab=2,4.6,"190 Monroe Ave NW Grand Rapids, MI  49503 ",139,Steakhouse,$50 and over,Grand Rapids,http://www.thechophouserestaurant.com,gmgrchop@msventures.net,(888) 456-3463,5.0 out of 5,We were so happy with everything that we ate and the entire evening. Our waiter made all the right suggestions.,10/30/2012,http://www.pickgrapevine.com/wantmore6/the-chop-house-grand-rapids,the-chop-house-grand-rapids
Cosmos Cucina,http://www.opentable.com/cosmos-cucina?scpref=110&tab=2,4.4,"804 W. Vine St Kalamazoo, MI  49008 ",18,Mediterranean,$30 and under,Kalamazoo,http://www.cosmoscucina.com,cosmoscucina@gmail.com,(269) 344-5666,5.0 out of 5,Excellent cuisine and excellent service!,08/18/2012,http://www.pickgrapevine.com/wantmore6/cosmos-cucina,cosmos-cucina
Food Dance,http://www.opentable.com/food-dance?scpref=110&tab=2,4.4,"401 E.Michigan Kalamazoo, MI  49007 ",89,American,$30 and under,Kalamazoo,http://www.fooddance.net,info@fooddance.net,(269) 382-1888,5.0 out of 5,"Our server was delightful! She was very friendly and accommodating. Wonderful food, as always!",10/29/2012,http://www.pickgrapevine.com/wantmore6/food-dance,food-dance
Gilly's at The B.O.B.,http://www.opentable.com/gills-blue-crab-lounge?scpref=110&tab=2,4.2,"20 Monroe Ave Grand Rapids, MI  49503 ",47,Seafood,$30 and under,Grand Rapids,http://www.thegilmorecollection.com,reservations@gilmorec.com,(616) 356-2000,5.0 out of 5,Absolutely met and exceeded our expectations on all accounts. My wife and I were celebrating our 29th wedding anniversary and found the dining experience wonderful...to the point we will be returning.,10/12/2012,http://www.pickgrapevine.com/wantmore6/gills-blue-crab-lounge,gills-blue-crab-lounge
The Grill Room at The Kirby House,http://www.opentable.com/the-grill-room-at-the-kirby-house?scpref=110&tab=2,4.2,"2 Washington Ave Grand Haven, MI  49417 ",26,Steakhouse,$30 and under,Grand Haven,http://www.thegilmorecollection.com,triley@gilmorec.com,(616) 846-3299,5.0 out of 5,Jeremy was an outstanding waiter. We were seated timely and service was fantastic. Food-excellent. Well prepared and well plated.,10/20/2012,http://www.pickgrapevine.com/wantmore6/the-grill-room-at-the-kirby-house,the-grill-room-at-the-kirby-house
Grove - Grand Rapids,http://www.opentable.com/grove-grand-rapids?scpref=110&tab=2,4.6,"919 Cherry Street SE Grand Rapids, MI  49506 ",148,American,$30 and under,Grand Rapids,http://www.groverestaurant.com,info@groverestaurant.com,(616) 454-1000,5.0 out of 5,Had heard great things about The Grove. Lived up to its reputation. Excellent food. Will definitely return.,10/26/2012,http://www.pickgrapevine.com/wantmore6/grove-grand-rapids,grove-grand-rapids
The Heritage Restaurant,http://www.opentable.com/the-heritage-restaurant?scpref=110&tab=2,4.6,"143 Bostwick Grand Rapids, MI  49503 ",44,"Global, International",$30 and under,Grand Rapids,http://grcc.edu/heritage,bschultz@grcc.edu,(616) 234-3700,5.0 out of 5,"The Heritage *never* disappoints. The food is fabulous...always. Combination of flavors, presentation, friendly service is all so enjoyable. Take the time to savor it all. The students seem always eager to please and happy to serve.",10/30/2012,http://www.pickgrapevine.com/wantmore6/the-heritage-restaurant,the-heritage-restaurant
J Bar at The B.O.B.,http://www.opentable.com/judsons-steakhouse?scpref=110&tab=2,4.4,"20 Monroe Ave. NW Grand Rapids, MI  49503 ",48,Steakhouse,$30 and under,Grand Rapids,http://www.thegilmorecollection.com ,reservations@gilmorec.com,(616) 356-2000,5.0 out of 5,My last few meals at the BOB were complete disasters with food and service. I was very reluctant to eat here again. However the J Bar did everything right. Food and service were excellent.,10/20/2012,http://www.pickgrapevine.com/wantmore6/judsons-steakhouse,judsons-steakhouse
