4th Street Grille,http://www.opentable.com/4th-street-grille?scpref=110&tab=2,3.7,"400 L St. Sacramento, CA  95814 ",23,Californian,$30 and under,Sacramento,http://4thstreetgrille.com,mngmt@4thstreetgrille.com,(916) 448-2847,3.7 / 5,Loved the Fish and Chips. Fresh and then breaded with homemade breading. Our waiter Mike was gracious and saw to it our needs were taken care of quickly and with no problem.,10/04/2012,http://www.pickgrapevine.com/wantmore5/4th-street-grille,4th-street-grille
Aioli Bodega Espanola,http://www.opentable.com/aioli-bodega-espanola?scpref=110&tab=2,4.4,"1800 L Street Sacramento, CA  95818 ",95,Spanish,$30 and under,Sacramento,http://aiolibodega.com,aiolibodega@gmail.com,(916) 447-9440,4.4 / 5,"Nice energy with a guitarist playing, loud enough to enhance the dining experience, but not too loud to interfere with conversations. The food was excellent. I had the skirt steak and my friend had salmon; both came with au gratin potatoes and sauteed spinach, which were delicious. Our server was very attentive and excellent with wine recommendations. Overall, a great dining experience...we'll be back!",10/05/2012,http://www.pickgrapevine.com/wantmore5/aioli-bodega-espanola,aioli-bodega-espanola
Ambience,http://www.opentable.com/ambience?scpref=110&tab=2,4.6,"6440 Fair Oaks Blvd Carmichael, CA  95608 ",35,French,$50 and over,Carmichael,http://www.ambiencerestaurantsac.com,ambience_restaurant@yahoo.com,(916) 489-8464,4.6 / 5,"We have been to Ambience a number of times and have always had agood experience , with exceptional service... Having said that , themenu has regrettably become tired and predictable. If you've neverbeen, then by all means go and enjoy but you won't need to go againbecause the menu will be the same or a basic variation on the sameingredients. Here's hoping chef Song has some new inspiration....I for one would welcome the change..... and let me say that this is NOT a bad review, the food is very good,It's just always the same.",09/28/2012,http://www.pickgrapevine.com/wantmore5/ambience,ambience
Back Wine Bar & Bistro,http://www.opentable.com/back-wine-bar-and-bistro?scpref=110&tab=2,4.6,"25075 Blue Ravine Rd #150 Folsom, CA  95630",30,Californian,$30 and under,Folsom,http://www.backwinebar.com,info@backwinebar.com,(916) 986-9100,4.6 / 5,First time here and we were really pleased. Only had salads but they were fresh and well presented. Will give this place another try soon.,09/23/2012,http://www.pickgrapevine.com/wantmore5/back-wine-bar-and-bistro,back-wine-bar-and-bistro
Bamiyan - Citrus Heights,http://www.opentable.com/bamiyan-citrus-heights?scpref=110&tab=2,4.8,"7622 Greenback Ln Citrus Heights, CA  95610 ",8,Mediterranean,$30 and under,Citrus Heights,http://www.afghancuisine.com,bamiyanmail@msn.com,(916) 725-6009,4.8 / 5,"Lovely restaurant tucked away in a little strip mall, perfect service, awesome food, restful ambiance.",08/13/2012,http://www.pickgrapevine.com/wantmore5/bamiyan-citrus-heights,bamiyan-citrus-heights
Bamiyan - El Dorado Hills,http://www.opentable.com/bamiyan-el-dorado-hills?scpref=110&tab=2,4.8,"1121 White Rock Rd El Dorado Hills, CA  95762 ",4,"Global, International",$30 and under,El Dorado Hills,http://www.afghancuisine.com,www.bamiyanmail@msn.com,(916) 941-8787,4.8 / 5,"Excellent place - waited too long to make the visit. Food is delicious and great value. Service was friendly and attentive. Was a little dark when we arrived, and they cut the lights up a little so we could order. Very quiet. Will return for sure.",10/05/2012,http://www.pickgrapevine.com/wantmore5/bamiyan-el-dorado-hills,bamiyan-el-dorado-hills
Benihana - Sacramento,http://www.opentable.com/benihana-sacramento?scpref=110&tab=2,4.3,"5489 Sunrise Blvd Citrus Heights, CA  95610 ",81,Japanese,$30 and under,Citrus Heights,http://www.benihana.com/locations/sacramento-ca-sa,sacramento@benihana.com,(916) 961-2791,4.3 / 5,"Our chef however was great! we had a table with our family and one other and he had all of us laughing, talking, and having a great time!",09/30/2012,http://www.pickgrapevine.com/wantmore5/benihana-sacramento,benihana-sacramento
Biba Restaurant,http://www.opentable.com/biba-restaurant?scpref=110&tab=2,4.6,"2801 Capitol Avenue Sacramento, CA  95816 ",210,Italian,$31 to $50,Sacramento,http://www.biba-restaurant.com,biba@biba-restaurant.com,(916) 455-2422,4.5 / 5,"I always make it a point to eat at least once during a Sacramento stay. And I always recommend Biba's to my friends. I love the restaurant, the food, and the waiters are always fun. I have travelled to Italy many times and I always feel like I have been there, again, while dining at Biba's. Thanks!",10/02/2012,http://www.pickgrapevine.com/wantmore5/biba-restaurant,biba-restaurant
Bidwell Street Bistro,http://www.opentable.com/bidwell-street-bistro?scpref=110&tab=2,4.3,"1004 East Bidwell Street Folsom, CA  95630 ",120,Californian,$30 and under,Folsom,http://www.bidwellstreetbistro.com,bidwellstbistro@sbcglobal.net,(916) 984-7500,4.3 / 5,This was my first visit and I was pleasantly surprised. Live in Roseville but would definitely go back again.,10/05/2012,http://www.pickgrapevine.com/wantmore5/bidwell-street-bistro,bidwell-street-bistro
Bistro 33,http://www.opentable.com/bistro-33?scpref=110&tab=2,3.6,"226 F Street Davis, CA  95618 ",36,American,$30 and under,Davis,http://Bistro33.com,Davis@bistro33.com,(530) 756-4556,3.6 / 5,"After two visits, ""inconsistent"" is the take-away.Last week, we had an awesome meal with fantastic, attentive service.This week, except for the fact that we were sitting in the same space, everything was different - and not in a good way.The service was barely adequate - slow, inattentive.The food wasn't great either - including the salmon, which we had and loved the week before.The spinach salad was overdressed, making the leaves limp,and the dressing wasn't tasty - unlike that on the bistro gardens, which is very good.We used to come here a lot, and now maybe we remember why we stopped.But we will probably be back since it's a convenient option before Mondavi events.And the patio is a lovely setting.",10/06/2012,http://www.pickgrapevine.com/wantmore5/bistro-33,bistro-33
