4th Street Grille,http://www.opentable.com/4th-street-grille?scpref=110&tab=2,3.7,"400 L St. Sacramento, CA  95814 ",23,Californian,$30 and under,Sacramento,http://4thstreetgrille.com,mngmt@4thstreetgrille.com,(916) 448-2847,3.7 / 5,Loved the Fish and Chips. Fresh and then breaded with homemade breading. Our waiter Mike was gracious and saw to it our needs were taken care of quickly and with no problem.,10/4/12,http://www.pickgrapevine.com/wantmore3/4th-street-grille,4th-street-grille
Formaggio Taverna & Patio - Sacramento Marriott Rancho Cordova,http://www.opentable.com/formaggio-taverna-and-patio-sacramento-marriott-rancho-cordova?scpref=110&tab=2,3.5,"11211 Point East Drive Rancho Cordova, CA  95742 ",11,Italian,$30 and under,Rancho Cordova,http://www.formaggiorestaurant.com,adam.miller@marriottranchocordova.com,(916) 267-6755,3.5 / 5,excellent Prime Rib Special,8/10/12,http://www.pickgrapevine.com/wantmore3/formaggio-taverna-and-patio-sacramento-marriott-rancho-cordova,formaggio-taverna-and-patio-sacramento-marriott-rancho-cordova
Adega Portuguesa,http://www.opentable.com/adega-portuguesa?scpref=110&tab=2,2.7,"1138 Smith Street Honolulu, HI  96817 ",14,Portuguese,$30 and under,Honolulu,http://Adegahi.com,Adega1138@hotmail.com,(808) 566-5909,2.7 / 5,A good place for Brazilian dishes. Good wine.,9/23/12,http://www.pickgrapevine.com/wantmore3/adega-portuguesa,adega-portuguesa
Aioli Bodega Espanola,http://www.opentable.com/aioli-bodega-espanola?scpref=110&tab=2,4.4,"1800 L Street Sacramento, CA  95818 ",93,Spanish,$30 and under,Sacramento,http://aiolibodega.com,aiolibodega@gmail.com,(916) 447-9440,4.4 / 5,"Nice energy with a guitarist playing, loud enough to enhance the dining experience, but not too loud to interfere with conversations. The food was excellent. I had the skirt steak and my friend had salmon; both came with au gratin potatoes and sauteed spinach, which were delicious. Our server was very attentive and excellent with wine recommendations. Overall, a great dining experience...we'll be back!",10/5/12,http://www.pickgrapevine.com/wantmore3/aioli-bodega-espanola,aioli-bodega-espanola
Benihana - Anchorage,http://www.opentable.com/benihana-anchorage?scpref=110&tab=2,4,"1100 W 8th Ave Anchorage, AK  99501 ",46,Japanese,$30 and under,Anchorage,http://www.benihana.com/locations/anchorage-ak-ac,alaska@benihana.com,(907) 222-5212,4.0 / 5,food was great service and your servers a plus to your business they were very friendly and fun I would recommend to others,10/2/12,http://www.pickgrapevine.com/wantmore3/benihana-anchorage,benihana-anchorage
Ferraro's Bar e Ristorante Maui,http://www.opentable.com/ferraros-bar-e-ristorante-maui?scpref=110&tab=2,4.4,"3900 Wailea Alanui Drive Wailea, HI  96753 ",105,Italian,$31 to $50,Wailea,http://www.fourseasons.com/maui/dining/restaurants/ferraros_bar_e_ristorante/,alec.vanmeijeren@fourseasons.com,(808) 874-8000,4.4 / 5,"Per our request for a table close to the ocean they seated us at a fabulous table. The service was very good. The Grand Wailea next door has a luau until 8PM-our reservation was at 7:30 and you could hear the drums from the luau for a half hour. Kind of interferes with the restaurant's music. We had the bolognese, good sauce, too heavy pasta tho. all wines are Italian and while we are familiar with 2 or 3 types (other than Chianti) we didn't want to go with something that we didn't know and pay too little-so we paid $120 for a bottle which after it breathed a bit, was pretty good. We told the waitress we like bold reds like a good simi cab. she said our choice was, but in truth it was very lite. great place tho!",10/4/12,http://www.pickgrapevine.com/wantmore3/ferraros-bar-e-ristorante-maui,ferraros-bar-e-ristorante-maui
RumFire Poipu Kauai,http://www.opentable.com/rumfire-poipu-kauai-poipu-beach?scpref=110&tab=2,3.8,"2440 Hoonani Road Poipu Beach, HI  96756 ",36,International,$30 and under,Koloa,http://rumfirekauai.com,Alexander.youn@Sheraton.com,(808) 742-4786,3.8 / 5,"Rumfire was able to accommodate our party of 15 with no problem. Fun drink menu using island favorites. View is fantastic. The menu is versatile, with plenty of options. I look forward to returning for a special occasion meal.",10/6/12,http://www.pickgrapevine.com/wantmore3/rumfire-poipu-kauai-poipu-beach,rumfire-poipu-kauai-poipu-beach
Ambience,http://www.opentable.com/ambience?scpref=110&tab=2,4.6,"6440 Fair Oaks Blvd Carmichael, CA  95608 ",34,French,$50 and over,Carmichael,http://www.ambiencerestaurantsac.com,ambience_restaurant@yahoo.com,(916) 489-8464,4.6 / 5,"We have been to Ambience a number of times and have always had agood experience , with exceptional service... Having said that , themenu has regrettably become tired and predictable. If you've neverbeen, then by all means go and enjoy but you won't need to go againbecause the menu will be the same or a basic variation on the sameingredients. Here's hoping chef Song has some new inspiration....I for one would welcome the change..... and let me say that this is NOT a bad review, the food is very good,It's just always the same.",9/28/12,http://www.pickgrapevine.com/wantmore3/ambience,ambience
Ushio-tei,http://www.opentable.com/ushio-tei?scpref=110&tab=2,3.9,"92-1001 Olani Street Kapolei, HI  96707 ",34,Japanese,$30 and under,Ko Olina,http://www.ihilani.com,andy.hope@marriotthotels.com,(808) 679-2166,3.9 / 5,Very overpriced as far as local restaurants go. Food needs to be refilled a luttle bit quicker. Variety should include shellfish at the price for the buffett. Also the added 20% gratuity tip was automatically added even tho we only had two people came as a shock. Softdrinks charged separately on a different bill was strange.,10/5/12,http://www.pickgrapevine.com/wantmore3/ushio-tei,ushio-tei
Lucy's - University of Alaska Anchorage,http://www.opentable.com/lucys-university-of-alaska-anchorage?scpref=110&tab=2,4.7,"3211 Providence Drive Cuddy Hall Anchorage, AK  99508",14,Contemporary American,$30 and under,Anchorage,http://www.uaa.alaska.edu/ctcnew/programs/culinary/lucy-cuddy-dining.cfm,aychef@uaa.alaska.edu,(907) 786-1122,4.8 / 5,"Lucy's is a fine dining restaurant that supports the UAA Culinary program. Since the food is cooked by students there is a potential for the food to be ""hit or miss"", though I have experienced more hits than misses.I think it is a wonderful thing they are doing for the students and recommend that all my friends go check it out at least twice.",10/9/12,http://www.pickgrapevine.com/wantmore3/lucys-university-of-alaska-anchorage,lucys-university-of-alaska-anchorage
