Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
20nine Restaurant & Wine Bar,san-antonio-texas,8,31,3.9,http://www.opentable.com/20nine-restaurant-and-wine-bar?scpref=110,(210) 798-9463,info@20ninewine.com
Ácenar,san-antonio-texas,10,89,4.0,http://www.opentable.com/acenar?scpref=110,(210) 222-2362,keith@acenar.com
Achiote - Grand Hyatt San Antonio,san-antonio-texas,10,52,3.6,http://www.opentable.com/achiote-grand-hyatt?scpref=110,(210) 224-1234,satgh@hyatt.com
Aldo's Ristorante Italiano,san-antonio-texas,3,30,4.5,http://www.opentable.com/aldos-ristorante-italiano?scpref=110,(210) 696-2536,Aldos@satx.rr.com
Antlers Lodge,san-antonio-texas,6,30,4.2,http://www.opentable.com/antlers-lodge?scpref=110,(210) 520-4001,david.cantu@hyatt.com
Bella...On The River,san-antonio-texas,10,119,4.6,http://www.opentable.com/bellaon-the-river?scpref=110,(210) 404-2355,bellaontheriver@gmail.com
Biga on the Banks,san-antonio-texas,10,265,4.6,http://www.opentable.com/biga-on-the-banks?scpref=110,(210) 225-0722,reservations@biga.com
Bliss Restaurant,san-antonio-texas,10,219,4.6,http://www.opentable.com/bliss-restaurant?scpref=110,(210) 225-2547,info@foodisbliss.com
Bohanan's Prime Steaks and Seafood,san-antonio-texas,10,337,4.6,http://www.opentable.com/bohanans-prime-steaks-and-seafood?scpref=110,(210) 472-2600,Bohanans@aol.com
The Boiler House and Texas Grill & Wine Garden,san-antonio-texas,10,38,4.0,http://www.opentable.com/the-boiler-house-and-texas-grill-and-wine-garden?scpref=110,(210) 354-4644,info@boilerhousesa.com
Cappy's Restaurant,san-antonio-texas,10,97,4.6,http://www.opentable.com/cappys-restaurant?scpref=110,(210) 828-9669,""
Chart House Restaurant - Tower of the Americas,san-antonio-texas,10,604,4.0,http://www.opentable.com/chart-house-restaurant-tower-of-the-americas?scpref=110,(210) 223-3101,tame@ldry.com
