1500 OCEAN at the Hotel Del Coronado,http://www.opentable.com/1500-ocean-at-the-hotel-del-coronado?scpref=110&tab=2,4.4,"1500 Orange Avenue Coronado, CA  92118 ",239,American,$31 to $50,Coronado,http://www.hoteldel.com/1500-ocean,deldining@hoteldel.com,(619) 522-8490,4.4 / 5,They had an outdoor concert that was way off the charts for noise. Sounded like Boom Box was playing in the next booth for the entire 2 hours we were eating.,09/29/2012,http://www.pickgrapevine.com/wantmore5/1500-ocean-at-the-hotel-del-coronado,1500-ocean-at-the-hotel-del-coronado
333 Pacific - Steaks & Seafood,http://www.opentable.com/333-pacific-steaks-and-seafood?scpref=110&tab=2,4.2,"333 N. Pacific Street Oceanside, CA  92054 ",235,Steak,$31 to $50,Oceanside,http://www.333pacific.com,team@333pacific.com,(760) 433-3333,4.2 / 5,Had the blue-cheese crusted meatloaf with mashed. My wife had the cowboy steak. Both were excellent. Our waiter recommended wine pairings which were perfect. We will definitely go again--only this time before sunset so we can catch the setting sun on the Pacific.,10/03/2012,http://www.pickgrapevine.com/wantmore5/333-pacific-steaks-and-seafood,333-pacific-steaks-and-seafood
94th Aero Squadron - San Diego,http://www.opentable.com/94th-aero-squadron-san-diego?scpref=110&tab=2,4.1,"8885 Balboa Ave San Diego, CA  92123 ",197,American,$30 and under,Kearny Mesa,http://www.94thaerosquadron.signonsandiego.com,94thsd@sbcglobal.net,(858) 560-6771,4.1 / 5,"We love this restaurant for the brunch and ambiance. I would say that this time the waitress took quite a bit of time getting to us to start off and was slow with service. We were seated right away out on the patio per our request but we were in the smokers corner and no one asked or advised us that we would be with the smokers. That said, we love their special cappuciono and the wide variety of food choices.",09/30/2012,http://www.pickgrapevine.com/wantmore5/94th-aero-squadron-san-diego,94th-aero-squadron-san-diego
Acqua - Hilton San Diego Resort & Spa,http://www.opentable.com/acqua-hilton-san-diego-resort-and-spa?scpref=110&tab=2,3.3,"1775 E Mission Bay Dr San Diego, CA  92109 ",11,Contemporary American,$30 and under,Downtown / Gaslamp,http://www.sandiegohilton.com/acqua-restaurant.aspx,"",(877) 313-6645,3.3 / 5,"This restaurant was good, but my party and I were disappointed as we made a reservation for restaurant week and when we got there we found out that they were not participating in it. They need to make sure all of their marketing and is up to date.",09/26/2012,http://www.pickgrapevine.com/wantmore5/acqua-hilton-san-diego-resort-and-spa,acqua-hilton-san-diego-resort-and-spa
Acqua Al 2 Ristorante,http://www.opentable.com/acqua-al-2-ristorante?scpref=110&tab=2,4.2,"322 5th Avenue San Diego, CA  92101 ",66,Italian,$31 to $50,Downtown / Gaslamp,http://www.acquaal2.com,"",(619) 230-0382,4.2 / 5,sadly a poor night--wasted calories for the food --had the eggplant melanze without a drop of eggplant in it -- the veal chop with mushrooms was overly drowned in the sauce and had HUNKS and CHUNKs of uncooked garlic in the sauce--seriously... gross --staff was very nice but having been to the other 2 aqcua restaurants a serious disappointment --the pasta was not even homemade --a far fetch from the other restaurants --if this had been my first we would not rate acqua our favorite for romantic or special occasions --try out DC or Firenze --leave San Diego behind,09/29/2012,http://www.pickgrapevine.com/wantmore5/acqua-al-2-ristorante,acqua-al-2-ristorante
Addison at The Grand Del Mar,http://www.opentable.com/addison-at-the-grand-del-mar?scpref=110&tab=2,4.7,"5200 Grand Del Mar Way San Diego, CA  92130 ",62,Contemporary French,$50 and over,Del Mar,http://www.addisondelmar.com,addisonhost@addisondelmar.com,(858) 314-1900,4.7 / 5,"Food was fabulous. I loved the little touches like the amuse bouche. Staff was exceptional: attentive, friendly, charming, knowledgeable. Food was served with impeccable timing. However, the formality of the service and ambiance bordered on stuffy. That and cost would deter me from coming again.",10/03/2012,http://www.pickgrapevine.com/wantmore5/addison-at-the-grand-del-mar,addison-at-the-grand-del-mar
Alchemy Restaurant,http://www.opentable.com/alchemy-restaurant?scpref=110&tab=2,4.0,"1503 30th Street San Diego, CA  92102 ",60,Contemporary American,$30 and under,South Park,http://www.alchemysandiego.com,info@alchemysandiego.com,(619) 255-0616,4 / 5,"This was our first visit to Alchemy and we will definitely be back. It's a cool, neighborhood joint with a distinctly California, hipster vibe. The owners are clearly into being part of the neighborhood - they had area musicians ""sponsored"" by a local builder, playing some nice Samba-style music. The food was very good (the ceviche was spectacular) and fairly priced. The wine list was decent, if not totally familiar to us, but that's what made it fun and interesting. I have to mention, I read a review and the diner complained about small portions and having to order two meals - this is a TAPAS RESTAURANT. The portions are smaller and designed for sharing - DUH!! The neighborhood is clearly in transition, but don't let that intimidate you.",10/02/2012,http://www.pickgrapevine.com/wantmore5/alchemy-restaurant,alchemy-restaurant
Alexander's on 30th,http://www.opentable.com/alexanders-on-30th?scpref=110&tab=2,4.4,"3391 30th St. San Diego, CA  92104 ",203,Italian,$30 and under,North Park,http://www.alexanderson30th.com,info@Alexanders.com,(619) 281-2539,4.4 / 5,When we got there the place was very busy but the atmosphere was great. We came based on a recommendation from a friend. They accommodated us with outdoor seating which was perfect amount of light and noise. There was even a silent film playing out there. The wine glass pours are generous and the fresh made pastas make the visit complete. One small improvement on service would be to have support waiters fill the water often as we usually had to ask for more! We love that they accept the passport card and will definitely be back for more!!!,09/28/2012,http://www.pickgrapevine.com/wantmore5/alexanders-on-30th,alexanders-on-30th
Aloha Sushi Lounge & Hawaiian Grille,http://www.opentable.com/aloha-sushi-lounge-and-hawaiian-grille?scpref=110&tab=2,3.8,"7731 Fay Ave La Jolla, CA  92037 ",32,Sushi,$30 and under,La Jolla / Golden Triangle,http://www.alohasushilounge.com ,sandiegosushi@yahoo.com,(858) 551-5000,3.8 / 5,"I loved the atmosphere, and the setting. The large booth tables were wonderful for special occasions but I would suggest to make the tables square. It was a square booth with a round table, and there were lots of dead space .. and we had to eat at the end of our seats because the table wasn't moveable and wasn't large enough to sit properly on the booth.",09/19/2012,http://www.pickgrapevine.com/wantmore5/aloha-sushi-lounge-and-hawaiian-grille,aloha-sushi-lounge-and-hawaiian-grille
Amaya at The Grand Del Mar,http://www.opentable.com/amaya-at-the-grand-del-mar?scpref=110&tab=2,4.5,"5300 Grand Del Mar Court San Diego, CA  92130 ",125,American,$31 to $50,Del Mar,http://www.thegranddelmar.com/san-diego-dining-amaya/,amayahost@thegranddelmar.com,(858) 314-2727,4.5 / 5,A very lovely place to sit and relax. Views from the terrace are fabulous; and the interior is nothing short of beautiful.,09/29/2012,http://www.pickgrapevine.com/wantmore5/amaya-at-the-grand-del-mar,amaya-at-the-grand-del-mar
Americana Restaurant,http://www.opentable.com/americana-restaurant?scpref=110&tab=2,3.7,"1454 Camino del Mar Del Mar, CA  92014-2510 ",7,American,$30 and under,Del Mar,http://www.americanarestaurant.com,americanacafe@aol.com,(858) 794-6838,3.7 / 5,"The food was outstanding, the service was prompt, curious and friendly. I would highly recommend the restaurant",09/21/2012,http://www.pickgrapevine.com/wantmore5/americana-restaurant,americana-restaurant
Aqua Terra Restaurant,http://www.opentable.com/aqua-terra-restaurant?scpref=110&tab=2,4.1,"2001 Old Highway 395 Fallbrook, CA  92028 ",17,Seafood,$30 and under,Fallbrook,http://www.aquaterra.com,lmartucci@palamesa.com,(760) 731-6805,4.1 / 5,"Have been there several times: twice for lunch, once for Mother's Day brunch and now for dinner. The food and the service have been outstanding every time. This last time was to celebrate a birthday, and included a 1-year old (my grandson!). The service staff was extremely accommodating toward him and everyone else. It is especially nice to find a place with really good food that also works for children!",09/22/2012,http://www.pickgrapevine.com/wantmore5/aqua-terra-restaurant,aqua-terra-restaurant
Argyle Steakhouse,http://www.opentable.com/argyle-steakhouse?scpref=110&tab=2,4.5,"7447 Batiquitos Drive Carlsbad, CA  92011 ",41,Steakhouse,$31 to $50,Carlsbad,http://argylesteakhouse.com/,Argyle@hyatt.com,(760) 603-6908,4.5 / 5,Mediocre steak quality for the price. Service was slow and food came out cold frm the kitchen. Over priced restaurant that did not live up to it's reputation.,09/29/2012,http://www.pickgrapevine.com/wantmore5/argyle-steakhouse,argyle-steakhouse
Aroma Bakery and Cafe La Jolla,http://www.opentable.com/aroma-bakery-and-cafe-la-jolla?scpref=110&tab=2,3.9,"909 Prospect St. Suite 100 La Jolla, CA  92037 ",9,Californian,$30 and under,La Jolla / Golden Triangle,http://www.aromalajolla.com,ben@barflylajolla.com,(858) 454-4447,3.9 / 5,"It was a very busy day, there was a special event going on.",05/23/2012,http://www.pickgrapevine.com/wantmore5/aroma-bakery-and-cafe-la-jolla,aroma-bakery-and-cafe-la-jolla
