123 Bolinas,http://www.opentable.com/123-bolinas?scpref=110&tab=2,4.3,"123 Bolinas Road Fairfax, CA  94930 ",4,Californian,$30 and under,Fairfax,http://www.123bolinas.com,dominic@123bolinas.com,(415) 488-5123,4.3 / 5,"This is really a wine bar, not a restaurant. The tables and seating make for very uncomfortable arrangements. The menu is extremely limited. However, the food is very good.",09/09/2012,http://www.pickgrapevine.com/wantmore5/123-bolinas,123-bolinas
1300 on Fillmore,http://www.opentable.com/1300-on-fillmore?scpref=110&tab=2,3.9,"1300 Fillmore Street San Francisco, CA  94115 ",185,American,$31 to $50,Pacific Heights,http://www.1300fillmore.com,guestinfo@1300fillmore.com,(415) 771-7100,3.9 / 5,"This is Southern food for fine dining, akin to the great New South places in Charleston. Great grits, perfect catfish. Room for improvement: fried chicken plate needs some more pep and color (we made up for latter with very good brussel sprouts side); cobbler was just okay, but not up to standards of rest of meal; atmosphere a bit too sedate and way too dark; service was efficient but not as warm and welcoming as you'd want (no Southern hospitality at all). However, the plusses well outweigh the minuses, and highly recommend.",10/06/2012,http://www.pickgrapevine.com/wantmore5/1300-on-fillmore,1300-on-fillmore
1515 Restaurant & Lounge,http://www.opentable.com/1515-restaurant-and-lounge?scpref=110&tab=2,3.7,"1515 N. Main Street Walnut Creek, CA  94596 ",97,Californian,$30 and under,Walnut Creek,http://www.1515wc.com,info@1515wc.com,(925) 939-1515,3.7 / 5,Waiter was great! And so was food!,09/29/2012,http://www.pickgrapevine.com/wantmore5/1515-restaurant-and-lounge,1515-restaurant-and-lounge
19 Market,http://www.opentable.com/19-market?scpref=110&tab=2,4.0,"19 N Market San Jose, CA  95113 ",43,Vietnamese,$30 and under,San Jose,http://19market.com,19market@gmail.com,(408) 280-6111,4 / 5,"Terrific, delicious food. Very attentive service. Our family had a great dinner. Lamb chops with noodles our favorite dish.",10/01/2012,http://www.pickgrapevine.com/wantmore5/19-market,19-market
231 Ellsworth,http://www.opentable.com/231-ellsworth?scpref=110&tab=2,4.4,"231 South Ellsworth Ave. San Mateo, CA  94401 ",61,Contemporary American,$31 to $50,San Mateo,http://www.231ellsworth.com,letusknow@231ellsworth.com,(650) 347-7231,4.4 / 5,"First impression: dowdy, dated interiors. The evening we were there the kitchen and serving staff were out of sync. The menu was aspiring, and the execution of the dishes was good, but not inspired. There were extended periods between courses, wrong dishes presented, but the serving staff remained professional and apologetic throughout and at the end of the [very long] evening, quietly made an adjustment to the bill recognizing their faux pas.",10/05/2012,http://www.pickgrapevine.com/wantmore5/231-ellsworth,231-ellsworth
25 Lusk,http://www.opentable.com/25-lusk?scpref=110&tab=2,4.2,"25 Lusk Street San Francisco, CA  94107 ",255,Contemporary American,$31 to $50,SOMA,http://www.twentyfivelusk.com,info@25lusk.com,(415) 495-5875,4.2 / 5,I had a sensational dining experience.,09/30/2012,http://www.pickgrapevine.com/wantmore5/25-lusk,25-lusk
272 Soluna Cafe & Lounge,http://www.opentable.com/272-soluna-cafe-and-lounge?scpref=110&tab=2,3.7,"272 McAllister Street San Francisco, CA  94102 ",105,Californian,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.solunasf.com,info@solunasf.com,(415) 621-2200,3.7 / 5,"Local to the Opera and that was nice. Food was tasty, a bit salty. We had Fish and Chips along with Fryed Chicken. Basic, filling and tasty. Takes a while to get the food so get there early enough to handle that. Staff was very nice",09/29/2012,http://www.pickgrapevine.com/wantmore5/272-soluna-cafe-and-lounge,272-soluna-cafe-and-lounge
2G Japanese Brasserie,http://www.opentable.com/2g-japanese-brasserie?scpref=110&tab=2,3.6,"601 Van Ness Avenue Suite F San Francisco, CA  94102 ",34,Japanese,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.2gjapanese.com,info@2gjapanese.com,(415) 292-9997,3.6 / 5,Second time at the 2G. First time service was 4star. This visit three servers including the owner. They couldn't get their signals straight. Ordered oyster app(excellent by the way) from the owner he left and never returned. Had to remind our regular server. We ordered one salad from one server. Another server brought a different salad. We ordered the sushi sampler. We got the sashimi sampler from a different server. We didn't complain because the sashimi was also excellent. But the point was that it was not what we ordered. We ordered a second glass of wine from one server when it didn't arrive I reminded our regular server who told us they were out of that particular wine. Seconds later the wine arrived. The wine they ran out of???,10/03/2012,http://www.pickgrapevine.com/wantmore5/2g-japanese-brasserie,2g-japanese-brasserie
37 North,http://www.opentable.com/37-north?scpref=110&tab=2,3.5,"835 Airport Blvd Burlingame, CA  94010 ",8,Contemporary American,$30 and under,Burlingame,http://doubletree3.hilton.com/en/hotels/california/doubletree-by-hilton-hotel-san-francisco-airport-SFOAODT/dining/index.html,37North@hilton.com,(650) 373-2208,3.5 / 5,"When I booked this on Open Table, I didn't expect to find myself in a hotel dining room. It was the menu that had attracted me and the food proved to be really good. It's an odd space, huge and modern, but the food and the service are both great. Try the chicken salad or the roasted brussels sprouts. Parking is free; just get a stamp on your ticket before leaving the restaurant.",08/31/2012,http://www.pickgrapevine.com/wantmore5/37-north,37-north
4290 Bistro & Bar,http://www.opentable.com/4290-bistro-and-bar?scpref=110&tab=2,3.3,"4290 El Camino Real Palo Alto, CA  94306 ",6,American,$30 and under,Palo Alto,http://www.cabanapaloalto.com/dining,4290bistro@cabanapaloalto.com,(650) 628-0145,3.3 / 5,"Too loud, bad service. Waiter had no time for us. Not enough help.",09/12/2012,http://www.pickgrapevine.com/wantmore5/4290-bistro-and-bar,4290-bistro-and-bar
