13moons,http://www.opentable.com/13moons?scpref=110&tab=2,4.2,"12885 Casino Drive Anacortes, WA  98221 ",75,Seafood,$30 and under,Anacortes,http://www.swinomishcasino.com/dining/13moons,"",(360) 293-2691,4.2 / 5,Found out we had to sit in the lounge for Happy Hour Menu....or on deck which was too cold and windy !Service was not up to par....My food didn't come as ordered......had to send it back....Salads were great !Beautiful building and view of the outside....Will go again...to see if it improves.,10/02/2012,http://www.pickgrapevine.com/wantmore3/13moons,13moons
35th Street Bistro,http://www.opentable.com/rest_profile.aspx?rid=79546&scpref=110&tab=2,4.1,"709 N 35th Street Seattle, WA  98103 ",70,French,$30 and under,Fremont,http://35bistro.com,michellec@35bistro.com,(206) 547-9850,4.1 / 5,"Great food, service, atmosphere....no complaints",09/29/2012,http://www.pickgrapevine.com/wantmore3/rest_profile.aspx,rest_profile.aspx
520 Bar & Grill,http://www.opentable.com/520-bar-and-grill?scpref=110&tab=2,3.9,"10146 Main Street Bellevue, WA  98004 ",64,Northwest,$30 and under,Bellevue,http://www.20BarAndGrill.com,Info@520BarandGrill.com,(425) 450-0520,3.9 / 5,"The restaurant was fair, the food was okay, the service was excellent, but the noise level was deafening and detracted from the whole experience. Don't go here of you want to talk or hear.",09/29/2012,http://www.pickgrapevine.com/wantmore3/520-bar-and-grill,520-bar-and-grill
A la bonne franquette,http://www.opentable.com/a-la-bonne-franquette?scpref=110&tab=2,4.4,"1421 31st Avenue South Seattle, WA  98144 ",58,French,$31 to $50,Leschi / Madrona / Madison Park,http://www.Alabonnefranquetteseattle.com,reservations@alabonnefranquetteseattle.com,(206) 568-7715,4.4 / 5,"This is an excellent restaurant. As a result of this dinner, I have selected it as our pick for our Ethnic Out to Dinner GroupThe service was almost as good as the food and that was unbeatable.",09/29/2012,http://www.pickgrapevine.com/wantmore3/a-la-bonne-franquette,a-la-bonne-franquette
Adriatic Grill - Italian Cuisine & Wine Bar,http://www.opentable.com/adriatic-grill-italian-cuisine-and-wine-bar?scpref=110&tab=2,4.1,"4201 S. Steele St. Tacoma, WA  98409 ",73,Italian,$30 and under,Tacoma,http://www.adriaticgrill.com,adriaticgrill@comcast.net,(253) 475-6000,4.1 / 5,"We have been to Adriatic Grill many times. We live in Seattle and we are willing to travel to Tacoma just to eat at this fabulous restaurant. The service has always been outstanding--we are greeted by name by the owners, Chef Bill and Monique. The bar is an easy place to sit and either enjoy appetizers, your meal, or just drinks. Our party of four had fresh steelhead, lasagna, a salad entree, and top sirloin. Lots of choices, and all were excellent. And the desserts are amazing. I've had several that I loved, but I always come back to Chef Bill's fabulous spumoni ice cream!",09/29/2012,http://www.pickgrapevine.com/wantmore3/adriatic-grill-italian-cuisine-and-wine-bar,adriatic-grill-italian-cuisine-and-wine-bar
Agave Cocina & Cantina,http://www.opentable.com/agave-cocina-and-cantina?scpref=110&tab=2,3.0,"17158 Redmond Way #180 Redmond, WA  98052 ",3,Contemporary Mexican,$30 and under,Redmond,http://agaverest.com,federicoramos8a@hotmail.com,(425) 881-8252,3 / 5,"Based on the menu and reviews, we were excited to try this restaurant. However, the music in the restaurant was terribly loud and uncomfortable, and the food was not great and quite bland. Our kids liked their food, though. The table service was pretty good, but it took about 5 minutes for someone to notice us waiting for a table in the almost empty restaurant.",09/09/2012,http://www.pickgrapevine.com/wantmore3/agave-cocina-and-cantina,agave-cocina-and-cantina
Agave Cocina & Tequilas,http://www.opentable.com/agave-cocina-and-tequilas?scpref=110&tab=2,3.4,"1048 Northeast Park Drive Issaquah, WA  98029 ",7,Contemporary Mexican,$30 and under,Issaquah,http://www.agaverest.com,federicoramos8a@hotmail.com,(425) 369-8900,3.4 / 5,"The food at Agave is very fresh and well presented; however, the flavors are bland and lacking authenticity. It is okay if you are not expecting Mexican or TexMex. The staff are great.",06/28/2012,http://www.pickgrapevine.com/wantmore3/agave-cocina-and-tequilas,agave-cocina-and-tequilas
Al Boccalino,http://www.opentable.com/al-boccalino?scpref=110&tab=2,4.4,"1 Yesler Way Seattle, WA  98104 ",10,Italian,$30 and under,International District,http://www.seattleslittleitaly.com/al_boccalino.htm,angela@seattleslittleitaly.com,(206) 622-7688,4.4 / 5,"Before I get to the irritating start to our dinner, let me say that the food was OUTSTANDING. 3 pasta dishes with distinct and delicious flavors, and an engaging server. Great wine recommendation from the Maitre d'.",09/13/2012,http://www.pickgrapevine.com/wantmore3/al-boccalino,al-boccalino
Anchovies & Olives,http://www.opentable.com/anchovies-and-olives?scpref=110&tab=2,4.3,"1550 15th Avenue Seattle, WA  98122 ",119,Seafood,$31 to $50,Capitol Hill / First Hill,http://www.anchoviesandolives.com,info@ethanstowellrestaurants.com,(206) 838-8080,4.3 / 5,AMAZING! Cannot wait to visit Seattle again and dine here. The food was fresh and delicious! the service was attentive and friendly. I do not have one bad thing to say about Anchovies & Olives.,09/30/2012,http://www.pickgrapevine.com/wantmore3/anchovies-and-olives,anchovies-and-olives
Andaluca,http://www.opentable.com/andaluca?scpref=110&tab=2,4.4,"407 Olive Way Seattle, WA  98101 ",71,Mediterranean,$30 and under,Downtown,http://www.andaluca.com,kkhoshdel@andaluca.com,(206) 382-6999,4.4 / 5,"We had a wonderful meal before heading off to the theater. Best lemondrop I have ever tasted! They also offer free valet parking, which is a plus.",10/03/2012,http://www.pickgrapevine.com/wantmore3/andaluca,andaluca
Andiamo Bellevue,http://www.opentable.com/andiamo-bellevue?scpref=110&tab=2,3.9,"938 110th Ave NE Bellevue, WA  98004 ",20,Italian,$30 and under,Bellevue,http://www.andiamobellevue.com,reyes@andiamobellevue.com,(425) 452-9602,3.8 / 5,I canceled this through your Open Table site...I also called the restaurant. I have dined there many times in the past though. Thank you.,09/25/2012,http://www.pickgrapevine.com/wantmore3/andiamo-bellevue,andiamo-bellevue
Annapurna Cafe,http://www.opentable.com/annapurna-cafe?scpref=110&tab=2,4.2,"1833 Broadway Seattle, WA  98122 ",6,Indian,$30 and under,Capitol Hill / First Hill,http://www.annapurnacafe.com,info@annapurnacafe.com,(206) 320-7770,4.2 / 5,The place could use a bit of facelift!,09/11/2012,http://www.pickgrapevine.com/wantmore3/annapurna-cafe,annapurna-cafe
Anthony's HomePort,http://www.opentable.com/anthonys-homeport?scpref=110&tab=2,4.0,"135 Lake Street South Kirkland, WA  98033 ",89,Seafood,$30 and under,Kirkland,http://www.anthonys.com/restaurants/detail/anthonys-homeport-kirkland/,kirkland@anthonys.com,(425) 822-0225,4 / 5,"Incredible experience - felt like we were celebrating our anniversary. Attention to detail from the moment we valet parked. We were greeted and went to the restaurant (women in heels use the elevator). The upbeat hostess and the maitre d' found us a nice table by the window (even after I accidentally asked for the patio forgetting it would be cold). Our server was first rate and made us feel like a guest in her home. Huckleberries are in season, so we tried the spinach salads and they were delicious. We had delicious manila clams and used the sourdough bread to enjoy the rich broth. Chargrilled, very fresh halibut and lingcod with fresh vegetables and rice, awesome. Huckleberry ice cream to seal the deal. Have fun and enjoy your visit.",09/29/2012,http://www.pickgrapevine.com/wantmore3/anthonys-homeport,anthonys-homeport
Anthony's Pier 66,http://www.opentable.com/anthonys-pier-66?scpref=110&tab=2,4.2,"2201 Alaskan Way Seattle, WA  98121 ",105,Seafood,$31 to $50,Downtown,http://www.anthonys.com/restaurants/detail/anthonys-pier-66,bellstreet@anthonys.com,(206) 448-6688,4.2 / 5,The preparation of the salmon is the best in town!,10/01/2012,http://www.pickgrapevine.com/wantmore3/anthonys-pier-66,anthonys-pier-66
AQUA by El Gaucho,http://www.opentable.com/aqua-by-el-gaucho?scpref=110&tab=2,4.4,"2801 Alaskan Way Pier 70 Seattle, WA  98121",133,Seafood,$50 and over,Waterfront / Belltown ,http://www.elgaucho.com/aqua-by-el-gaucho.html,smennen@elgaucho.com,(206) 956-9171,4.4 / 5,"Great experience, all around. One overwhelming memory is that it is expensive!!",10/02/2012,http://www.pickgrapevine.com/wantmore3/aqua-by-el-gaucho,aqua-by-el-gaucho
Aqua Terra,http://www.opentable.com/aqua-terra-seattle?scpref=110&tab=2,3.1,"3201 S 176th St Seattle, WA  98188 ",7,American,$30 and under,Seatac,http://www.marriott.com/hotels/hotel-information/restaurant/seawa-seattle-airport-marriott/,Val.Morris@Marriott.com,(206) 241-2000 x2673,3.1 / 5,"Excellent find. Had a great business dinner. Quiet, great ambiance, attentive weight staff, excellent food.",09/28/2012,http://www.pickgrapevine.com/wantmore3/aqua-terra-seattle,aqua-terra-seattle
Art Restaurant & Lounge at the Four Seasons Seattle,http://www.opentable.com/art-restaurant-and-lounge-at-the-four-seasons-seattle?scpref=110&tab=2,4.3,"99 Union Street Seattle, WA  98101 ",121,Contemporary American,$31 to $50,Downtown,http://www.artrestaurantseattle.com/,art.sew@fourseasons.com,(206) 749-7070,4.3 / 5,"They made our anniversary very memorable- surprise champagne, beautiful table, and the servers were attentive, positive, and delightful. Two hours blew by in a hurry. The food was perfect, as was the whole experience.",10/02/2012,http://www.pickgrapevine.com/wantmore3/art-restaurant-and-lounge-at-the-four-seasons-seattle,art-restaurant-and-lounge-at-the-four-seasons-seattle
Assaggio,http://www.opentable.com/assaggio?scpref=110&tab=2,4.3,"2010 4th Ave. Seattle, WA  98121 ",132,Italian,$31 to $50,Downtown,http://www.assaggioseattle.com,events@assaggioseattle.com,(206) 441-1399,4.3 / 5,"Okay, not great, and a bit pricey.",10/02/2012,http://www.pickgrapevine.com/wantmore3/assaggio,assaggio
Bainbridge Thai Cuisine,http://www.opentable.com/bainbridge-thai-cuisine?scpref=110&tab=2,4.0,"330 Madison Ave South Bainbridge, WA  98110 ",2,Thai,$30 and under,Bainbridge Island,http://www.bainbridgethai.com,"",(206) 780-2403,4 / 5,"We were seated in a private area which was lovely. Main dining room is LOUD. View is lovely. Ferry ride over from Seattle is great and AWESOME after dinner. Food was delish, service was friendly and attentive. Great relaxed dinner with my family.",06/02/2012,http://www.pickgrapevine.com/wantmore3/bainbridge-thai-cuisine,bainbridge-thai-cuisine
Barking Frog,http://www.opentable.com/barking-frog?scpref=110&tab=2,4.3,"14580 NE 145th Street Woodinville, WA  98072 ",267,Northwest,$50 and over,Woodinville,http://www.willowslodge.com/wine_dine/barking_frog.html,mike.west@willowslodge.com,(425) 424-2999,4.3 / 5,"My husband is a food snob, so he is not easily impressed. We love this place. The ambiance is lovely, but I took a star off because it was drafty in our section. They will provide you with a blanket, though!",10/03/2012,http://www.pickgrapevine.com/wantmore3/barking-frog,barking-frog
Barolo,http://www.opentable.com/barolo-seattle?scpref=110&tab=2,4.5,"1940 Westlake Avenue Seattle, WA  98101 ",139,Italian,$31 to $50,Downtown,http://www.baroloseattle.com,"",(206) 770-9000,4.5 / 5,"Came with my sister, who recently got engaged! Went to dinner here with all of the girls before the dress fitting and it was perfect! Such a girly and fun atmosphere!! Perfect spot and such great service. Our server took great care of us (so sorry I can't remember her name) and I can't wait to go back!!",09/29/2012,http://www.pickgrapevine.com/wantmore3/barolo-seattle,barolo-seattle
Barrio - Capitol Hill,http://www.opentable.com/barrio-capitol-hill?scpref=110&tab=2,4.3,"1420 12th Avenue Seattle, WA  98122 ",52,Mexican,$30 and under,Capitol Hill / First Hill,http://www.barriorestaurant.com,barriocaphill@barriorestaurant.com,(206) 588-8105,4.3 / 5,Barrio is a great restaurant maybe the best that Heavy has. The food was great especially for the lactose intolerance. It is nice to ser a Mexican restaurant that servers Mexican style food. We will be back. One bad note the chairs.,09/15/2012,http://www.pickgrapevine.com/wantmore3/barrio-capitol-hill,barrio-capitol-hill
Basil's Kitchen,http://www.opentable.com/basils-kitchen?scpref=110&tab=2,3.8,"300 112th Avenue SE Bellevue, WA  98004 ",22,Northwest,$30 and under,Bellevue,http://bellevuehilton.com,Chris.Cheuk@Hilton.com,(425) 455-1300,3.8 / 5,We were there for Opera Night which is on the third Sunday each month.,09/16/2012,http://www.pickgrapevine.com/wantmore3/basils-kitchen,basils-kitchen
Basil's Kitchen - Tukwila,http://www.opentable.com/basils-kitchen-tukwila?scpref=110&tab=2,4.0,"15920 W. Valley Highway Tukwila, WA  98188 ",2,Northwest,$30 and under,Tukwila,http://www.freewebs.com/basilskitchen/,thope@basilsseattle.com,(425) 227-9406,4 / 5,Had lunch here the other day with our friends. The menu was small but everyone liked what they ordered. My wife had the spinach salad which was very good. I had one of the pasta dishes and it was very good as well. The wait staff were attentive and the location was easy to access. We chose it as a location midway between where we and our friends live so I don't know if I would go out of my way to visit but if I were in the area I would not hesitate to have a meal here.,07/22/2012,http://www.pickgrapevine.com/wantmore3/basils-kitchen-tukwila,basils-kitchen-tukwila
Beach Cafe,http://www.opentable.com/beach-cafe?scpref=110&tab=2,3.7,"1270 Carillon Point Kirkland, WA  98033 ",163,American,$30 and under,Kirkland,http://www.thewoodmark.com/wine_and_dine/beach_cafe.html,cafeinfo@beachcafekirkland.com,(425) 889-0303,3.7 / 5,"Good food and service, but it can get a little noisy with the lunch crowd -- very busy place but fun!",10/02/2012,http://www.pickgrapevine.com/wantmore3/beach-cafe,beach-cafe
