17 North,http://www.opentable.com/17-north?scpref=110&tab=2,4.0,"3563 N Hwy 17 Mt. Pleasant, SC  29464 ",79,American,$30 and under,Mt. Pleasant,http://www.roadsidekitchens.com,heatherh@roadsidekitchens.com,(843) 606-2144,2.0 out of 5,"17 North had been one of our favorites- for ourselves and to bring out of town guests.Not so anymore.They have a lot or work to do to get back to high quality food, service and overall dining experience.",11/03/2012,http://www.pickgrapevine.com/wantmore6/17-north,17-north
181 Palmer,http://www.opentable.com/181-palmer?scpref=110&tab=2,4.6,"66 Columbus Street Culinary Institute of Charleston Charleston, SC  29403",37,American,$30 and under,Charleston,http://www.tridenttech.edu/culinary_institute_of_charleston_16608.htm,181palmer@tridenttech.edu,(843) 820-5087,5.0 out of 5,The fried oyster appetizer was delicious. Would love it if it was also offered as an entree,10/29/2012,http://www.pickgrapevine.com/wantmore6/181-palmer,181-palmer
82 Queen,http://www.opentable.com/82-queen?scpref=110&tab=2,4.2,"82 Queen Street Charleston, SC  29401 ",408,Low Country,$30 and under,Charleston,http://www.82queen.com,info@82queen.com,(843) 723-7591,3.0 out of 5,"Wanted to charge sharing fee for salad. No other restaurant we've eaten at in Charleston has done that. Beef bourgonoin was awful, tough and chewy. Was taken off check. But with all the great restaurants in the city, would not go back.",11/06/2012,http://www.pickgrapevine.com/wantmore6/82-queen,82-queen
Al Di La,http://www.opentable.com/al-di-la?scpref=110&tab=2,4.3,"25 Magnolia Rd. Charleston, SC  29407 ",164,Italian,$30 and under,Charleston,http://www.aldilarestaurant.com,info@aldilarestaurant.com,(843) 571-2321,4.0 out of 5,As always this is an execellent place to have a nice quiet and romantic meal. The food was absolutely AMAZING! Out of all the resturants in Charleston; this by far is the closest thing to true italian food that you will ever get here.,11/03/2012,http://www.pickgrapevine.com/wantmore6/al-di-la,al-di-la
Alexander's - Hilton Head Island,http://www.opentable.com/alexanders-hilton-head-island?scpref=110&tab=2,4.4,"76 Queen's Folly Rd Hilton Head Island, SC  29928 ",138,Seafood,$30 and under,Hilton Head,http://alexandersrestaurant.com,alexandershhi@live.com,(843) 785-4999,5.0 out of 5,Mainly went for the food as it was ranked very high on the list for the area. We knew it would be fairly expensive but we were there for my wife's birthday. Remember happy wife means happy husband. The food was excellent. We both had the specials lamb and fillet and they were cooked perfectly.,11/04/2012,http://www.pickgrapevine.com/wantmore6/alexanders-hilton-head-island,alexanders-hilton-head-island
Amen Street Fish + Raw Bar,http://www.opentable.com/amen-street-fish-and-raw-bar?scpref=110&tab=2,4.1,"205 East Bay Street Charleston, SC  29401 ",205,Seafood,$30 and under,Charleston,http://Amenstreet.com,amenstreet@yahoo.com,(843) 853-8600,3.0 out of 5,waitress would rather talk that do her job,11/04/2012,http://www.pickgrapevine.com/wantmore6/amen-street-fish-and-raw-bar,amen-street-fish-and-raw-bar
American Grocery Restaurant,http://www.opentable.com/american-grocery-restaurant?scpref=110&tab=2,4.4,"732 S. Main St. Greenville, SC  29601 ",112,Contemporary American,$31 to $50,Greenville,http://www.americangr.com,info@americangr.com,(864) 232-7665,5.0 out of 5,"We all had great meals, I had the best sword fish dinner ever. We have been here several times never disappointed.",11/03/2012,http://www.pickgrapevine.com/wantmore6/american-grocery-restaurant,american-grocery-restaurant
Aspen Grille,http://www.opentable.com/aspen-grille?scpref=110&tab=2,4.6,"5101 N Kings Highway Myrtle Beach, SC  29577 ",132,American,$31 to $50,Myrtle Beach,http://www.aspen-grille.com,contact@aspen-grille.com,(843) 449-9191,4.0 out of 5,"Waiter was pleasant, but when presented with specific dietary needs, became a bit frazzled. Owner/chef came out to assist and calm situation. Waiter was quick to say no to dietary requests. Very awkward and uncomfortable for a bit, however, Chef/owner reversed ""no"" to the dietary needs and accommodated. Food was great, wine selection was great. Pricey but worth it for a special occasion or date night.",11/03/2012,http://www.pickgrapevine.com/wantmore6/aspen-grille,aspen-grille
Bambu Asian Bistro,http://www.opentable.com/bambu-asian-bistro?scpref=110&tab=2,4.2,"604 Coleman Blvd Mt. Pleasant, SC  29464 ",17,Asian,$30 and under,Mt. Pleasant,http://www.bambudining.com,info@bambudining.com,(843) 284-8229,4.0 out of 5,"We enjoyed dining on the patio. The sushi is fresh, with many creative offerings. The rolls are very generous so you quickly forget they are a little overpriced. There are plenty of flavors, from fruity to on fire. A nice sashimi plate is available called Belly Belisimo that is worth trying for those that enjoy nice fish cuts.",10/12/2012,http://www.pickgrapevine.com/wantmore6/bambu-asian-bistro,bambu-asian-bistro
Baron's Steaks and Spirits,http://www.opentable.com/barons-steaks-and-spirits?scpref=110&tab=2,3.4,"9650 N Kings Hwy Myrtle Beach, SC  29572 ",11,Steakhouse,$30 and under,Myrtle Beach,http://www.baronssteaksandspirits.com,jeff_shorthouse@hotmail.com,(843) 497-5200,2.0 out of 5,"The service was good but the prime rib special was small, thin and tough. Save your money and pick another steakhouse. We followed the next day by dining at Chucks Steakhouse and that was an AMAZING meal!!",07/26/2012,http://www.pickgrapevine.com/wantmore6/barons-steaks-and-spirits,barons-steaks-and-spirits
