<<<<<<< HEAD
Bracco Sioux Falls,http://www.opentable.com/bracco?scpref=110&tab=2,4.1,"5001 S Western Ave Sioux Falls, SD  57108 ",16,"Global, International",$30 and under,Sioux Falls,http://www.braccorestaurant.com,braccospezia@gmail.com,(605) 338-4386,4 / 5,"We were celebrating a birthday, everyone was very pleased with the food and portion sizes. Our Witt was vry busy but treated us as if we were his only table.",08/05/2012,http://www.pickgrapevine.com/wantmore5/bracco,bracco
The Corn Exchange,http://www.opentable.com/the-corn-exchange?scpref=110&tab=2,4.3,"727 Main Street Rapid City, SD  57701 ",64,Contemporary American,$31 to $50,Rapid City,http://www.cornexchange.com,cornexchangebistro@gmail.com,(605) 343-5070,5 / 5,"The staff was very welcoming. I had the Salmon and it was fantastic, the sauce was lite allowing the flavor of the fish to come through nicely. The portion size was just right. My only negative comment was the sign out front did not say ""Corn Exchange"" only Bistro. Confusing for an out of tower like myself.",10/17/2012,http://www.pickgrapevine.com/wantmore5/the-corn-exchange,the-corn-exchange
Dakotah Steakhouse,http://www.opentable.com/dakotah-steakhouse?scpref=110&tab=2,4.1,"1325 N Elk Vale Road Rapid City, SD  57703 ",34,Steakhouse,$30 and under,Rapid City,http://www.dakotahsteakhouse.com,info@dakotahsteakhouse.com,(605) 791-1800,5 / 5,"We decided to give Dakotah Steakhouse a try for our anniversary dinner--and it didn't disappoint!! Food was fantastic....my husband had the prime rib (which was huge) and it was perfect! THe surf and turf with the snow crab claws was very good also. Our appetizer was the buffalo satay skewers-FANTASTIC!! There is a wild mushroom bread pudding that my husband said was very savory and the red, white and bleu potatoes were also very good. Overall, we had a great evening and great food. Would definitely recommend Dakotah Steakhouse to friends and family!",10/06/2012,http://www.pickgrapevine.com/wantmore5/dakotah-steakhouse,dakotah-steakhouse
Delmonico Grill,http://www.opentable.com/delmonico-grill?scpref=110&tab=2,4.3,"609 Main Street Rapid City, SD  57701 ",56,American,$31 to $50,Rapid City,http://www.delmonicogrill.biz,pfcairo@gmail.com,(605) 791-1664,2 / 5,"After tasting a few of the ""tenderloin tips"".. most of them tough and chewy, my wife looked up and said, ""I'm thinking Schwan's..."" enough said.",10/20/2012,http://www.pickgrapevine.com/wantmore5/delmonico-grill,delmonico-grill
Enigma Restaurant,http://www.opentable.com/enigma-restaurant?scpref=110&tab=2,4.2,"445 Mt. Rushmore Road Rapid City, SD  57701 ",22,American,$31 to $50,Rapid City,http://www.enigmarestaurant.com,contact@enigmarestaurant.com,(605) 716-0600,5 / 5,"Amazing...I arrived late and they held my table, they also stayed after hours so me and my date would be able to eat a full meal... I recomend this to anyone and everyone looking to treat someone special to something special",10/11/2012,http://www.pickgrapevine.com/wantmore5/enigma-restaurant,enigma-restaurant
Minerva's - Sioux Falls,http://www.opentable.com/minervas-sioux-falls?scpref=110&tab=2,4.5,"301 S Phillips Ave Sioux Falls, SD  57104 ",68,American,$30 and under,Sioux Falls,http://www.minervas.net,jbremmon@minervas.net,(605) 334-0386,4 / 5,my group of 4 really enjoyed it,10/13/2012,http://www.pickgrapevine.com/wantmore5/minervas-sioux-falls,minervas-sioux-falls
=======
Bracco Sioux Falls,http://www.opentable.com/bracco?scpref=110&tab=2,4.1,"5001 S Western Ave Sioux Falls, SD  57108 ",16,"Global, International",$30 and under,Sioux Falls,http://www.braccorestaurant.com,braccospezia@gmail.com,(605) 338-4386,4.0 out of 5,"We were celebrating a birthday, everyone was very pleased with the food and portion sizes. Our Witt was vry busy but treated us as if we were his only table.",08/05/2012,http://www.pickgrapevine.com/wantmore5/bracco,bracco
The Corn Exchange,http://www.opentable.com/the-corn-exchange?scpref=110&tab=2,4.3,"727 Main Street Rapid City, SD  57701 ",63,Contemporary American,$31 to $50,Rapid City,http://www.cornexchange.com,cornexchangebistro@gmail.com,(605) 343-5070,5.0 out of 5,"Delicious food and wine, in a gem of a restaurant in the revitalized downtown area.",10/26/2012,http://www.pickgrapevine.com/wantmore5/the-corn-exchange,the-corn-exchange
Dakotah Steakhouse,http://www.opentable.com/dakotah-steakhouse?scpref=110&tab=2,4.1,"1325 N Elk Vale Road Rapid City, SD  57703 ",34,Steakhouse,$30 and under,Rapid City,http://www.dakotahsteakhouse.com,info@dakotahsteakhouse.com,(605) 791-1800,5.0 out of 5,"We decided to give Dakotah Steakhouse a try for our anniversary dinner--and it didn't disappoint!! Food was fantastic....my husband had the prime rib (which was huge) and it was perfect! THe surf and turf with the snow crab claws was very good also. Our appetizer was the buffalo satay skewers-FANTASTIC!! There is a wild mushroom bread pudding that my husband said was very savory and the red, white and bleu potatoes were also very good. Overall, we had a great evening and great food. Would definitely recommend Dakotah Steakhouse to friends and family!",10/06/2012,http://www.pickgrapevine.com/wantmore5/dakotah-steakhouse,dakotah-steakhouse
Delmonico Grill,http://www.opentable.com/delmonico-grill?scpref=110&tab=2,4.3,"609 Main Street Rapid City, SD  57701 ",54,American,$31 to $50,Rapid City,http://www.delmonicogrill.biz,pfcairo@gmail.com,(605) 791-1664,2.0 out of 5,"After tasting a few of the ""tenderloin tips"".. most of them tough and chewy, my wife looked up and said, ""I'm thinking Schwan's..."" enough said.",10/20/2012,http://www.pickgrapevine.com/wantmore5/delmonico-grill,delmonico-grill
Enigma Restaurant,http://www.opentable.com/enigma-restaurant?scpref=110&tab=2,4.1,"445 Mt. Rushmore Road Rapid City, SD  57701 ",23,American,$31 to $50,Rapid City,http://www.enigmarestaurant.com,contact@enigmarestaurant.com,(605) 716-0600,3.0 out of 5,part of dish was so salty I couldn't eat it....and I am a big fan of salt,10/27/2012,http://www.pickgrapevine.com/wantmore5/enigma-restaurant,enigma-restaurant
Minerva's - Sioux Falls,http://www.opentable.com/minervas-sioux-falls?scpref=110&tab=2,4.5,"301 S Phillips Ave Sioux Falls, SD  57104 ",67,American,$30 and under,Sioux Falls,http://www.minervas.net,jbremmon@minervas.net,(605) 334-0386,4.0 out of 5,Always a treat to stop at this well established venue.,10/26/2012,http://www.pickgrapevine.com/wantmore5/minervas-sioux-falls,minervas-sioux-falls
>>>>>>> a0d2f81d78cc0932a8182c891c2ab6b5f18822c3
