1904 Steak House at River City,http://www.opentable.com/1904-steak-house-at-river-city?scpref=110&tab=2,3.9,"777 River City Casino Boulevard St. Louis, MO  63125 ",10,Steakhouse,$31 to $50,St. Louis,http://rivercity.com,1904steakhouse@rivercity.com,(314) 388-7630,4 / 5,"We had a party of four and we all thought the food was prepared exactly as ordered. The portions are large enough to split and the wait staff is very attentive. My wife and I have eaten here numerous times but for us it's a little on the expensive side so we come here for special occasions, but it is always well worth the cost. We highly recommend this restaurant.",09/14/2012,http://www.pickgrapevine.com/wantmore5/1904-steak-house-at-river-city,1904-steak-house-at-river-city
44 Stone Public House,http://www.opentable.com/44-stone-public-house?scpref=110&tab=2,4.3,"3910 Peachtreee Dr. Suite H Columbia, MO  65203",37,Gastro Pub,$30 and under,Columbia,http://44StonePub.com,MarkS@44stonepub.com,(573) 443-2726,5 / 5,"The staff was amazing here. The day we went someone called from the restaurant to ask if there was anything special that they could do since we were having a bridal shower. We decided to put the brides bill on mine and to have her dessert brought out before everyone else without her even seeing a menu. When we got there 45 minutes before our reserved time, they seated us right away in a large comfy booth on a raised platform overlooking the rest of the dining a bar area, so we felt a bit special. The waitress was very prompt and kept checking on us for about an hour while we waited for the last person in our party. We ordered the welsh rarebit for the table and it was amazing. The 44 stone burger was delicious as well. Recommend!!!",10/18/2012,http://www.pickgrapevine.com/wantmore5/44-stone-public-house,44-stone-public-house
Annie Gunn's,http://www.opentable.com/annie-gunns?scpref=110&tab=2,4.6,"16806 Chesterfield Airport Rd Chesterfield, MO  63005 ",224,American,$31 to $50,Chesterfield,http://www.anniegunns.com,lrook@anniegunns.com,(636) 532-7684,5 / 5,My favorite restaurant in St. Louis.,10/21/2012,http://www.pickgrapevine.com/wantmore5/annie-gunns,annie-gunns
Araka Restaurant,http://www.opentable.com/araka-restaurant?scpref=110&tab=2,4.2,"131 Carondelet Plaza Clayton, MO  63105 ",54,Contemporary American,$30 and under,Clayton,http://www.araka.com,info@araka.com,(314) 725-6777,3 / 5,"Quick business lunch on the outside patio. Food was good (grouper), well prepared, and timely.",10/16/2012,http://www.pickgrapevine.com/wantmore5/araka-restaurant,araka-restaurant
Aya Sofia,http://www.opentable.com/aya-sofia?scpref=110&tab=2,4.5,"6671 Chippewa Street St. Louis, MO  63109 ",104,Turkish,$30 and under,St. Louis Hills,http://www.ayasofiacuisine.com,alicia@ayasofiacuisine.com,(314) 645-9919,4 / 5,"For those of us who love the cuisine of other Eastern Mediterranean cultures, such as Lebanese or Greek fare, Aya Sofia's Turkish theme is at once both familiar and adventurous. We love the nuanced seasonings, great vegetarian options and flavorful lamb dishes. They are also our favorite source for a calamari appetizer.",10/19/2012,http://www.pickgrapevine.com/wantmore5/aya-sofia,aya-sofia
Bar Italia Ristorante,http://www.opentable.com/bar-italia-ristorante?scpref=110&tab=2,4.3,"13 Maryland plaza Saint Louis, MO  63108 ",65,Italian,$30 and under,Central West End,http://www.baritaliastl.com,events@baritaliastl.com,(314) 361-7010,5 / 5,Food was excellent and wait staff was very helpful and friendly.,10/05/2012,http://www.pickgrapevine.com/wantmore5/bar-italia-ristorante,bar-italia-ristorante
BARcelona Tapas Restaurant,http://www.opentable.com/barcelona-tapas-restaurant?scpref=110&tab=2,3.9,"32-34 North Central Ave Clayton, MO  63105 ",66,Tapas / Small Plates,$30 and under,Clayton,http://www.barcelonatapas.com,manager@barcelonatapas.com,(314) 863-9909,4 / 5,The food is excellent!! It is a very busy place and the noise is overwhelming if your trying to have a conversation. Though I would go back everyday of the week because of the food. The wine we enjoyed Tres Picos was good and our server was accommodating.,10/20/2012,http://www.pickgrapevine.com/wantmore5/barcelona-tapas-restaurant,barcelona-tapas-restaurant
Bistro 1130,http://www.opentable.com/bistro-1130?scpref=110&tab=2,4.3,"1130 Town and Country Crossing Dr Town and Country, MO  63017 ",41,Contemporary French,$31 to $50,Chesterfield,http://www.bistro1130.com,mikki@bistro1130.com,(636) 394-1130,5 / 5,"I had the Autumn risotto, which was super. Also had the duck confit salad. Great. Others had the curry, a steak, steak tartare, veggie Napoleon. All excellent.",10/20/2012,http://www.pickgrapevine.com/wantmore5/bistro-1130,bistro-1130
Bixby's,http://www.opentable.com/bixbys?scpref=110&tab=2,4.4,"5700 Lindell St. Louis, MO  63112 ",123,American,$30 and under,St. Louis,http://www.bixbys-mohistory.com,info@bixbys-mohistory.com,(314) 361-7313,5 / 5,"Bixby's is one of the few restaurants in St. Louis that specialize in civilized dining: good food, a peaceful setting, and the opportunity to converse without having to shout over loud music. The menu is creative -- and the prices are reasonable. The service is exceptional -- friendly, hospitable, and attentive without being overbearing. This is a five-star eating experience.",08/17/2012,http://www.pickgrapevine.com/wantmore5/bixbys,bixbys
Bleu Restaurant and Wine Bar,http://www.opentable.com/bleu-restaurant-and-wine-bar?scpref=110&tab=2,4.1,"811 E. Walnut St Columbia, MO  65201 ",39,Contemporary American,$30 and under,Columbia,http://www.bleucolumbia.com,bleurestaurant@gmail.com,(573) 442-8220,5 / 5,Four of us attended before attending the show at Jesse Hall. The dining experience was a delight!,10/18/2012,http://www.pickgrapevine.com/wantmore5/bleu-restaurant-and-wine-bar,bleu-restaurant-and-wine-bar
