Afternoon Tea - Grand America Hotel,http://www.opentable.com/afternoon-tea-grand-america-hotel?scpref=110&tab=2,4.5,"555 South Main Salt Lake City, UT  84111 ",35,Afternoon Tea,$30 and under,Salt Lake City,http://www.grandamerica.com/dining/afternoon-tea,araafati@grandamerica.com,(801) 258-6708,4.5 / 5,"Such a beautiful and unbelievably affordable tea. Unhurried, unrushed service in a gorgeous setting. What a great place to catch up with long lost friends. Highly recommend this!!!",10/12/12,http://www.pickgrapevine.com/wantmore5/afternoon-tea-grand-america-hotel,afternoon-tea-grand-america-hotel
The Garden Cafe - Grand America Hotel,http://www.opentable.com/the-garden-cafe-grand-america-hotel?scpref=110&tab=2,4.5,"555 South Main Salt Lake City, UT  84111 ",15,Contemporary American,$30 and under,Salt Lake City,http://www.grandamerica.com/dining/garden-cafe,araafati@grandamerica.com,(801) 258-6708,4.5 / 5,Nice quiet lunch spot with a good menu and wine list.,10/1/12,http://www.pickgrapevine.com/wantmore5/the-garden-cafe-grand-america-hotel,the-garden-cafe-grand-america-hotel
The Foundry Grill @ Sundance,http://www.opentable.com/the-foundry-grill-at-sundance?scpref=110&tab=2,4.4,"8841 N. Alpine Loop Rd. Sundance, UT  84604 ",144,American,$30 and under,Sundance,http://sundanceresort.com/dine/foundry_grill.html,bbogar@sundance-utah.com,(801) 223-4216,4.4 / 5,"The Founry Grill has been a favorite of our family for years. Unmatched atmosphere - really breathtaking setting year-round. And the food is fabulous. My four sisters and I share a meal together once each year at the Foundry Grill to celebrate all our birthdays. It's a perfect location for special events like this. (We visit it often in between too, because we love the place.)",10/12/12,http://www.pickgrapevine.com/wantmore5/the-foundry-grill-at-sundance,the-foundry-grill-at-sundance
The Tree Room @ Sundance,http://www.opentable.com/the-tree-room-at-sundance?scpref=110&tab=2,4.6,"8841 N. Alpine Loop Rd. Sundance, UT  84604 ",63,American,$31 to $50,Sundance,http://sundanceresort.com/dine/tree_room.html,bbogar@sundance-utah.com,(801) 225-4100,4.6 / 5,"Everything was superb! The fish was cooked perfectly, the steak done to perfection, the ambiance and location unbeatable. The service was thorough. The entire evening was just a treat!!",10/13/12,http://www.pickgrapevine.com/wantmore5/the-tree-room-at-sundance,the-tree-room-at-sundance
Apex at Montage Deer Valley,http://www.opentable.com/apex-at-montage-deer-valley?scpref=110&tab=2,4.6,"9100 Marsac Ave Park City, UT  84060 ",16,American,$31 to $50,Park City,http://www.montagedeervalley.com/deer-valley-dining.php,BReeder@montagehotels.com,(435) 604-1300,4.6 / 5,"Apex was described as being ""romantic"" so we went for our anniversary. The staff couldn't have been more attentive.. Each one congratulated us, they brought us a personalized dessert .. We will definitely return for the food, service, and to hear the wonderful musician - who saved the evening from being a disaster because of the OBNOXIOUS noise level for the entire 2 1/2 hours we were there - all coming from one table of 8 people. They were having a great time, shrieking and screaming... They should be allowed to be ""energetic"", as described above. The restaurant has all hard surfaces, nothing to absorb sound- so go in your jeans, sit in the bar, & enjoy. Do not go for a quiet, romantic evening! Apex- PLEASE GET A RUG!",10/8/12,http://www.pickgrapevine.com/wantmore5/apex-at-montage-deer-valley,apex-at-montage-deer-valley
Roof Restaurant,http://www.opentable.com/roof-restaurant?scpref=110&tab=2,4.5,"15 East South Temple 10th Floor Salt Lake City, UT  84150",162,American,$31 to $50,Salt Lake City,http://www.templesquarehospitality.com/restaurants/roof.php,broberts@templesquarehospitality.com,(801) 539-1911,4.5 / 5,"Got the best seats in the house, right in the middle of a large window overlooking the temple. Great food. Wonderful desserts. Very romantic. No wine or alcohol (as expected).",10/11/12,http://www.pickgrapevine.com/wantmore5/roof-restaurant,roof-restaurant
Caffe Niche,http://www.opentable.com/caffe-niche?scpref=110&tab=2,4.3,"779 E 300 S Salt Lake City, UT  84102 ",48,Contemporary American,$30 and under,Salt Lake City,http://www.caffeniche.com,caffeniche@gmail.com,(801) 433-3380,4.3 / 5,"The food is always fantastic at Niche. The small plates, and specials are always stellar, and the regular menu items are excellent as well. I have never had a bad experience at Cafe Niche",10/12/12,http://www.pickgrapevine.com/wantmore5/caffe-niche,caffe-niche
Inferno Cantina,http://www.opentable.com/inferno-cantina?scpref=110&tab=2,3.4,"122 Pierpont Ave Salt Lake City, UT  84101-1901 ",5,Mexican,$30 and under,Salt Lake City,http://infernoslc.com,cameron@infernoslc.com,(801) 883-8838,3.4 / 5,"Food wasn't very good at all. The appetizer and entrees came out so fast that it was obvious that the food was prepared in advance. We arrived, ate an appetizer and entrees, paid the bill, and were gone all in 30 minutes. The food was average. The menu wasn't accurate, and neither was the description of my dish given by the waitress. Most of the restaurants on OpenTable are a little higher end, but this one ranks below Chiles.",10/13/12,http://www.pickgrapevine.com/wantmore5/inferno-cantina,inferno-cantina
The Farm,http://www.opentable.com/the-farm?scpref=110&tab=2,4.5,"4000 Canyons Resort Dr. Park City, UT  84098 ",85,Contemporary American,$31 to $50,Park City,http://thecanyons.com/summer_dining.html?summer=yes,cback@thecanyons.com,(435) 615-8060,4.5 / 5,"The Farm is inconvenient to get to unless you are staying at one of the Canyons buildings at the base of the gondola (valet the car at one of the hotels, then a walk up and out to the ""beach"" area and down the concourse to the main door). The decor is great. The trout and port chop special were prepared and presented very well. The beet salad was bland but colorful. The service is excellent. The specialty drinks were excellent and the bottled wine list is large although mostly foreign. The by-the-glass selection of red wines is limited but there are a few good selections. We had a great meal and recommended the Farm for a great evening.",10/11/12,http://www.pickgrapevine.com/wantmore5/the-farm,the-farm
Zucca Trattoria - Ogden,http://www.opentable.com/zucca-trattoria-ogden?scpref=110&tab=2,4.6,"1479 East 5600 S. Ste 101a Ogden, UT  84403",11,Italian,$30 and under,Ogden,http://www.myzucca.com,chef@myzucca.com,(801) 475-7077,4.6 / 5,"AMAZING FOOD!!! I love the meatball appetizer, but the were out of the mint this time. That dish is wonder with the mint. It is still good with out the mint but would have ordered something different had I been told that there was no mint.The Zucca Pizza was awesome as well, and the roast with mushroom sauce my wife ordered was exquisite. Always keep going back!",10/13/12,http://www.pickgrapevine.com/wantmore5/zucca-trattoria-ogden,zucca-trattoria-ogden
