419 West,http://www.opentable.com/419-west?scpref=111&tab=2,3.9,"3865 Electric Rd Roanoke, VA  24018 ",24,American,$30 and under,Roanoke,http://www.419-west.com,info@419-west.com,(540) 776-0419,5.0 out of 5,The menu is wonderful everything looked so delicious it was hard to decide. I will definitely go there again next time I visit Roanoke. I went for lunch so can't speak on how the bar scene is but I did make note they had great drink specials.,01/08/2013,http://www.pickgrapevine.com/wantmore6/419-west,419-west
525 at The Berry Burk,http://www.opentable.com/525-at-the-berry-burk?scpref=111&tab=2,4.0,"525 E Grace St Richmond, VA  23219 ",142,American,$30 and under,Richmond,http://www.525rva.com,525management@gmail.com,(804) 382-8390,2.0 out of 5,"Ordered their 525 Salad with grilled chicken - it was ok, but wholly unremarkable.",02/13/2013,http://www.pickgrapevine.com/wantmore6/525-at-the-berry-burk,525-at-the-berry-burk
Aberdeen Barn - Charlottesville,http://www.opentable.com/aberdeen-barn-charlottesville?scpref=111&tab=2,4.2,"2018 Holiday Dr Charlottesville, VA  22901 ",69,Steakhouse,$30 and under,Charlottesville,http://www.aberdeenbarn.com,angela@aberdeenbarn.com,(434) 296-4630,5.0 out of 5,Best chop house in Charlottesville and has been for years,02/07/2013,http://www.pickgrapevine.com/wantmore6/aberdeen-barn-charlottesville,aberdeen-barn-charlottesville
Al Fresco Italian Restaurant,http://www.opentable.com/al-fresco-italian-restaurant?scpref=111&tab=2,4.4,"11710 Jefferson Avenue Newport News, VA  23606 ",13,Italian,$30 and under,Newport News,http://www.alfrescoitalianrestaurant.com,frescotrattoria@hotmail.com,(757) 873-0644,4.0 out of 5,"the reservation made via opentable wasa not on record. however, they accommodated my party.",01/16/2013,http://www.pickgrapevine.com/wantmore6/al-fresco-italian-restaurant,al-fresco-italian-restaurant
Aldo's Ristorante,http://www.opentable.com/aldos-ristorante?scpref=111&tab=2,4.6,"1860 Laskin Road Virginia Beach, VA  23454 ",159,Italian,$30 and under,Virginia Beach,http://www.aldosvb.com,admin@aldosvb.com,(757) 491-1111,5.0 out of 5,We had a wonderful dinner and highly recommend it to others,02/13/2013,http://www.pickgrapevine.com/wantmore6/aldos-ristorante,aldos-ristorante
Alexander's - Roanoke,http://www.opentable.com/alexanders-roanoke?scpref=111&tab=2,4.6,"105 South Jefferson Street Roanoke, VA  24011 ",53,Contemporary American,$31 to $50,Roanoke,http://www.alexandersva.com,alex105so@gmail.com,(540) 982-6983,4.0 out of 5,"Great food. Excellent service. My only complaint is that when making the reservation on Open Table, I requested a quiet spot to celebrate a romantic occassion. Instead, we were seated at the end of a long booth directly in front of the drink station.",02/09/2013,http://www.pickgrapevine.com/wantmore6/alexanders-roanoke,alexanders-roanoke
Amici Ristorante - Richmond,http://www.opentable.com/amici-ristorante-richmond?scpref=111&tab=2,4.1,"3343 West Cary Street Richmond, VA  23221 ",95,Italian,$31 to $50,Richmond,http://www.amiciristorante.net,carlomgaione@aol.com,(804) 353-4700,5.0 out of 5,The food & service was amazing!!,02/09/2013,http://www.pickgrapevine.com/wantmore6/amici-ristorante-richmond,amici-ristorante-richmond
Aqua Vi - Sheraton Virginia Beach,http://www.opentable.com/aqua-vi-sheraton-virginia-beach?scpref=111&tab=2,3.7,"3501 Atlantic Ave Virginia Beach, VA  23451 ",7,Contemporary American,CAN$30 and under,Virginia Beach,http://www.sheratonvirginiabeach.com,cbrown@sheratonvirginiabeach.com,(757) 425-9000,4.0 out of 5,Loved the food (particularly the half-portion option) and the Cherry Crepe specialty drink. The experience provided just the right amount of everything for this diner.,12/31/2012,http://www.pickgrapevine.com/wantmore6/aqua-vi-sheraton-virginia-beach,aqua-vi-sheraton-virginia-beach
Art Cafe 26,http://www.opentable.com/art-cafe-26?scpref=111&tab=2,4.9,"5107-2 Center Street Williamsburg, VA  23188 ",28,Contemporary European,$31 to $50,Williamsburg,http://www.artcafe26.com,artcafe26@aol.com,(757) 565-7788,5.0 out of 5,"We celebrated New Year’s Eve at Art Café 26 – it was our first visit to the establishment in New Town area of Williamsburg, and the every aspect of the dinner, the entertainment, and the service was superb. The café itself is small but with the European flair resembling a living room filled with art. The 10-course menu designed by a very talented young chef Klinger was spread over several unhurried hours – the food and the presentation was exquisite. There was a wonderful selection of wines providing an excellent pairing with the food presented. We decided to definitely visit this restaurant and would recommend it to our friends when in the area. Kudos to Ms. Sibilla Dengs the owner of Art Café 26 who made our New Year’s Eve very special.",12/31/2012,http://www.pickgrapevine.com/wantmore6/art-cafe-26,art-cafe-26
Avenue 805,http://www.opentable.com/avenue-805?scpref=111&tab=2,4.1,"805 N Davis Avenue Richmond, VA  23220 ",34,Italian,$30 and under,Richmond,http://www.avenue805.net  ,avenue805@comcast.net804.353.0339,(804) 353-2505,4.0 out of 5,we had a wonderful meal and the atmosphere was perfect.Would definitely recommend it and look forward to going back,02/13/2013,http://www.pickgrapevine.com/wantmore6/avenue-805,avenue-805
