The Admiral,http://www.opentable.com/the-admiral?scpref=110&tab=2,4.6,"400 Haywood Rd Asheville, NC  28806 ",463,Comfort Food,$30 and under,Asheville,http://www.theadmiralnc.com,info@theadmiralnc.com,(828) 252-2541,4.0 out of 5,"Good food, would recommend but if you have been there once you probably wouldn't be eagerly awaiting a second visit",11/05/2012,http://www.pickgrapevine.com/wantmore6/the-admiral,the-admiral
Artisanal Restaurant,http://www.opentable.com/artisanal-restaurant?scpref=110&tab=2,4.8,"1200 Dobbins Rd Banner Elk, NC  28604 ",137,American,$50 and over,Banner Elk,http://www.artisanalnc.com,artisanalrest@aol.com,(828) 898-5395,5.0 out of 5,See letter printed in the Winston Salem Journal many months ago.,10/24/2012,http://www.pickgrapevine.com/wantmore6/artisanal-restaurant,artisanal-restaurant
The Bistro - Biltmore Estate,http://www.opentable.com/the-bistro-biltmore-estate?scpref=110&tab=2,4.5,"1 Lodge Street Biltmore Estate Asheville, NC  28803",116,Contemporary American,$31 to $50,Asheville,http://www.biltmore.com/visit/dining/bistro.asp,gmurray@biltmore.com,(828) 225-6230,5.0 out of 5,"One trip and you are hooked!!! From the homemade bread to the crisp salads, gourmet entrees and magnificent desserts....it is difficult to decide which entree is best....over the week, I had the delicious tender veal, poached salmon, grouper and risotto all accompanied by fall vegetables. A culinary delight!!!! And service to match....a perfect evening meal to accompany a wonderful fall get-away.",11/02/2012,http://www.pickgrapevine.com/wantmore6/the-bistro-biltmore-estate,the-bistro-biltmore-estate
Bistro Roca and Antlers Bar,http://www.opentable.com/bistro-roca-and-antlers-bar?scpref=110&tab=2,4.3,"143 Wonderland Trail Blowing Rock, NC  28605 ",295,American,$30 and under,Blowing Rock,http://www.BistroRoca.com,Host@BistroRoca.com,(828) 295-4008,5.0 out of 5,"Once again, this restaurant did not disappoint. Especailly good wines this visit. The menu change is nice.",11/03/2012,http://www.pickgrapevine.com/wantmore6/bistro-roca-and-antlers-bar,bistro-roca-and-antlers-bar
The Blackbird,http://www.opentable.com/the-blackbird?scpref=110&tab=2,4.3,"47 Biltmore Ave Asheville, NC  28801 ",72,Southern,$30 and under,Asheville,http://www.theblackbirdrestaurant.com,roz@theblackbirdrestaurant.com,(828) 669-5556,5.0 out of 5,Just outstanding. Poultry raised locally. Poulet rouge and game hen are remarkable. Highly recommend in every way.,11/05/2012,http://www.pickgrapevine.com/wantmore6/the-blackbird,the-blackbird
Blowing Rock Grille,http://www.opentable.com/blowing-rock-grille?scpref=110&tab=2,4.2,"349 Sunset Dr Blowing Rock, NC  28605 ",79,American,$30 and under,Blowing Rock,http://theblowingrockgrille.com/,brgrille@theblowingrockgrille.com,(828) 295-9474,4.0 out of 5,"Nice relaxing restaurant/bar. Food was good and reasonably priced, service was very good. Will certainly go back one of the better places for the price in town.",10/27/2012,http://www.pickgrapevine.com/wantmore6/blowing-rock-grille,blowing-rock-grille
Blue Ridge Dining Room - Grove Park Inn,http://www.opentable.com/blue-ridge-dining-room-grove-park-inn?scpref=110&tab=2,4.5,"290 Macon Ave Asheville, NC  28801 ",121,American,$30 and under,Asheville,http://www.groveparkinn.com,bookit@groveparkinn.com,(800) 438-5800,5.0 out of 5,"The food was delicious and there was plenty of it. The service was great and all thought that our server was ""johnnie on the spot"". I would recommend the Blue Ridge Dinning Room to all my friends.ART MURRAY",11/03/2012,http://www.pickgrapevine.com/wantmore6/blue-ridge-dining-room-grove-park-inn,blue-ridge-dining-room-grove-park-inn
Canyon Kitchen,http://www.opentable.com/canyon-kitchen?scpref=110&tab=2,4.6,"94 Lonesome Valley Rd. Sapphire, NC  28717 ",101,American,$50 and over,Highlands / Sapphire,http://www.lonesomevalley.com/info.php?pnum=11,canyonkitchen@lonesomevalley.com,(828) 743-7967,4.0 out of 5,"Ambiance great, service great, food avg. for price.",10/24/2012,http://www.pickgrapevine.com/wantmore6/canyon-kitchen,canyon-kitchen
Casa Rustica Restaurant,http://www.opentable.com/casa-rustica-restaurant?scpref=110&tab=2,4.3,"1348 Hwy 105 South Boone, NC  28607 ",111,Italian,$30 and under,Boone,http://casarustica1981.com,cr1981@vzw.blackberry.net,(828) 262-5128,4.0 out of 5,"We go to Casa Rustica every year for our anniversary. We love Italian food, and love going to Casa Rustica. The food is great, the atmosphere is great, and the service has always been good. We highly recommend this restaurant to anyone who is visiting the Boone, North Carolina, area.",11/03/2012,http://www.pickgrapevine.com/wantmore6/casa-rustica-restaurant,casa-rustica-restaurant
Char Modern American Restaurant,http://www.opentable.com/char-modern-american-restaurant?scpref=110&tab=2,3.7,"179 Howard St Boone, NC  28607 ",18,Contemporary American,$30 and under,Boone,http://www.char179.com/,char179@live.com,(828) 266-2179,3.0 out of 5,"We ended up with a party of 9. Food was good, and our waiter was GREAT!. HOWEVER, one of my friends and I asked if we could have a little more of the sauce that was on our filets and the chef said that he would have to charge us $1 because it was made with red wine!!! Really?! I am paying $29 for my entree and you are going to charge me for a little more sauce?! Probably won't return because of that. Chef needs a little lesson about how to please his customers.",09/22/2012,http://www.pickgrapevine.com/wantmore6/char-modern-american-restaurant,char-modern-american-restaurant
