Location Name,City,Review Count,Total Reviews,Rating,OT URL,Phone,Email
43 North,wisconsin,10,82,4.2,http://www.opentable.com/43-north?scpref=110,(608) 255-4343,43northmadison@gmail.com
8-Twelve MVP Bar and Grill American Wood Fire Cuisine,wisconsin,10,431,4.2,http://www.opentable.com/8-twelve-mvp-bar-and-grill-american-wood-fire-cuisine?scpref=110,(262) 641-5600,info@8-twelve.com
Allgauer's in the Park,wisconsin,1,20,3.9,http://www.opentable.com/allgauers-in-the-park?scpref=110,(414) 577-5000,jon.neitzke@hilton.com
Andrew's Bar & Restaurant,wisconsin,8,50,4.3,http://www.opentable.com/andrews-bar-and-restaurant?scpref=110,(262) 646-1620,info@thedelafieldhotel.com
Bacchus - A Bartolotta Restaurant,wisconsin,10,156,4.6,http://www.opentable.com/bacchus-a-bartolotta-restaurant?scpref=110,(414) 765-1166,""
Back When Cafe,wisconsin,9,40,4.2,http://www.opentable.com/back-when-cafe?scpref=110,(715) 848-5668,backwhencafe@gmail.com
Baker House,wisconsin,8,128,4.4,http://www.opentable.com/baker-house?scpref=110,(262) 248-4700,Info@BakerHouse1885.com
Bandung,wisconsin,1,21,4.4,http://www.opentable.com/bandung?scpref=110,(608) 255-6910,bandungrestaurant@gmail.com
Bartolotta's Lake Park Bistro,wisconsin,10,309,4.5,http://www.opentable.com/bartolottas-lake-park-bistro?scpref=110,(414) 962-6300,info@lakeparkbistro.com
Bistro 333 - Hyatt Regency Milwaukee,wisconsin,2,19,4.2,http://www.opentable.com/hyatt-regency-milwaukee-bistro-333?scpref=110,(414) 270-6130,info@bistro333milwaukee.com
Bonfyre American Grille,wisconsin,10,206,4.2,http://www.opentable.com/bonfyre-american-grille?scpref=110,(608) 273-3973,pquinlan@bonfyregrille.net
Bosley on Brady,wisconsin,10,96,4.5,http://www.opentable.com/bosley-on-brady?scpref=110,(414) 727-7975,michele@bosleyonbrady.com
Bourbon & Tunns Tavern,wisconsin,1,33,3.6,http://www.opentable.com/bourbon-and-tunns-tavern?scpref=110,(414) 298-3000,palmsbistro@hotmail.com
Buca di Beppo - Milwaukee,wisconsin,10,153,4.2,http://www.opentable.com/buca-di-beppo-milwaukee?scpref=110,(414) 224-8672,milwaukee@bucadibeppo.com
Buck & Honeys,wisconsin,10,102,4.4,http://www.opentable.com/buck-and-honeys?scpref=110,(608) 837-3131,Info@BuckandHoneys.com
c.1880,wisconsin,10,107,4.5,http://www.opentable.com/c1880?scpref=110,(414) 431-9271,reservations@c1880.com
Cafe Manna,wisconsin,5,60,4.3,http://www.opentable.com/cafe-mama?scpref=110,(262) 790-2340,info@cafemanna.com
Café Pfister!,wisconsin,3,11,3.5,http://www.opentable.com/cafe-pfister?scpref=110,(414) 390-3830,brianjohnson@thepfisterhotel.com
Capital Grille - Milwaukee,wisconsin,10,119,4.6,http://www.opentable.com/capital-grille-milwaukee?scpref=110,(414) 223-0600,Milwaukee@tcgdine.com
Capitol ChopHouse,wisconsin,6,62,4.1,http://www.opentable.com/capitol-chophouse?scpref=110,(608) 255-0165,info@capitolchophouse.com
Captain Bill's - Middleton,wisconsin,10,72,4.2,http://www.opentable.com/captain-bills-middleton?scpref=110,(608) 831-7327,vonr@gdinet.com
Carinis la conca d'oro,wisconsin,6,37,4.3,http://www.opentable.com/carinis-la-conca-doro?scpref=110,(414) 963-9623,carinisrestaurant@gmail.com
Carnevor,wisconsin,10,140,4.4,http://www.opentable.com/carnevor?scpref=110,(414) 223-2200,info@carnevor.com
Champps Americana - Brookfield,wisconsin,0,16,4.3,http://www.opentable.com/champps-americana-brookfield?scpref=110,(262) 797-6600,info@champps-wi.com
Chefusion Eclectic Cuisine & Lounge,wisconsin,8,23,4.6,http://www.opentable.com/chefusion-eclectic-cuisine-and-lounge?scpref=110,(920) 432-2300,rphill9959@aol.com
Coa,wisconsin,3,23,3.4,http://www.opentable.com/coa?scpref=110,(414) 967-1451,info@getcoa.com
Coquette Cafe,wisconsin,5,206,4.4,http://www.opentable.com/coquette-cafe?scpref=110,(414) 291-2655,Coquette_Cafe@sbcglobal.net
The Del-Bar,wisconsin,10,96,4.6,http://www.opentable.com/the-del-bar?scpref=110,(608) 253-1861,info@del-bar.com
Devon Seafood + Steak - Milwaukee,wisconsin,10,149,4.4,http://www.opentable.com/devon-seafood-and-steak-milwaukee?scpref=110,(414) 967-9790,3164@houlihans.com
Distil,wisconsin,2,41,4.2,http://www.opentable.com/distil?scpref=110,(414) 220-9411,info@su-rg.com
Dream Dance Steak at Potawatomi Bingo Casino,wisconsin,4,48,4.6,http://www.opentable.com/dream-dance-steak-at-potawatomi-bingo-casino?scpref=110,(414) 847-7883,dreamdance@paysbig.com
Eno Vino Wine Bar and Bistro,wisconsin,10,115,4.4,http://www.opentable.com/eno-vino-wine-bar-and-bistro?scpref=110,(608) 664-9565,jlgrandos@eno-vino.com
Envoy,wisconsin,9,56,4.3,http://www.opentable.com/envoy?scpref=110,(414) 345-5015,information@experienceenvoy.com
Field's at the Wilderness,wisconsin,1,35,4.3,http://www.opentable.com/fields-at-the-wilderness?scpref=110,(608) 253-1400,""
Fleming's Prime Steakhouse & Wine Bar - Brookfield,wisconsin,9,63,4.3,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-brookfield?scpref=110,(262) 782-9463,brookfield@flemingssteakhouse.com
Fleming's Prime Steakhouse & Wine Bar - Madison,wisconsin,5,40,4.4,http://www.opentable.com/flemings-prime-steakhouse-and-wine-bar-madison?scpref=110,(608) 233-9550,madison@flemingssteakhouse.com
Fontana Grill at The Abbey Resort,wisconsin,4,26,3.7,http://www.opentable.com/fontana-grill-at-the-abbey-resort?scpref=110,(262) 275-1815,militello@theabbeyresort.com
Francesca's al Lago,wisconsin,8,110,4.0,http://www.opentable.com/francescas-al-lago?scpref=110,(608) 255-6000,lagocontact@miafrancesca.com
Fresco,wisconsin,8,212,4.4,http://www.opentable.com/fresco?scpref=110,(608) 663-7374,fresco@foodfightinc.com
Geneva Chophouse,wisconsin,10,150,4.4,http://www.opentable.com/geneva-chophouse?scpref=110,(262) 249-4788,AmyKelly@GrandGeneva.com
Golden Mast,wisconsin,8,82,4.5,http://www.opentable.com/golden-mast?scpref=110,(262) 567-7047,goldenmast@weissgerbergroup.com
Grand Cafe-Grand Geneva Resort,wisconsin,5,37,4.1,http://www.opentable.com/grand-cafe-grande-geneva-resort?scpref=110,(262) 249-4788,StaceyLucas@GrandGeneva.com
The Grandview Restaurant and Lounge at The Geneva Inn,wisconsin,4,53,4.3,http://www.opentable.com/the-grandview-restaurant-and-lounge-at-the-geneva-inn?scpref=110,(262) 248-5690,dwatson@genevainn.com
Harbor House,wisconsin,10,372,4.4,http://www.opentable.com/harbor-house?scpref=110,(414) 395-4900,info@harborhousemke.com
Harvest - Wisconsin,wisconsin,1,32,4.3,http://www.opentable.com/harvest-wisconsin?scpref=110,(608) 255-6075,tami@harvest-restaurant.com
Hinterland Brewery Restaurant,wisconsin,7,64,4.6,http://www.opentable.com/hinterland-brewery-restaurant?scpref=110,(920) 438-8050,info@hinterlandbeer.com
Hinterland Erie Street Gastropub,wisconsin,10,117,4.3,http://www.opentable.com/hinterland-erie-street-gastropub?scpref=110,(414) 727-9300,info@hinterlandbeer.com
HUE Restaurant & Lounge,wisconsin,3,24,4.1,http://www.opentable.com/hue-restaurant-and-lounge?scpref=110,(414) 294-0483,info@huebayview.com
The Hunt Club and Legends Tavern,wisconsin,2,11,4.1,http://www.opentable.com/the-hunt-club-and-legends-tavern?scpref=110,(262) 245-7200,huntclub@gnresort.com
Il Mito Enoteca,wisconsin,10,147,4.4,http://www.opentable.com/il-mito-enoteca?scpref=110,(414) 443-1414,specialevents@ilmito.com
Imperial Garden,wisconsin,2,19,4.1,http://www.opentable.com/imperial-garden-middleton?scpref=110,(608) 238-6445,dine@imperialgarden.com
Innovation,wisconsin,3,18,3.4,http://www.opentable.com/innovation?scpref=110,(414) 259-0793,info@innovationrestaurant.com
Jake's Burger,wisconsin,8,98,3.8,http://www.opentable.com/jakes-burger?scpref=110,(262) 781-1110,JAKE@JAKES-RESTAURANTGROUP.COM
Jake's Restaurant,wisconsin,10,184,4.4,http://www.opentable.com/jakes-restaurant?scpref=110,(262) 781-7995,Jake@jakes-restaurantgroup.com
Joey Gerard's - A Bartolotta Supper Club - Greendale,wisconsin,10,615,4.1,http://www.opentable.com/joey-gerards-a-bartolotta-supper-club-greendale?scpref=110,(414) 858-1900,info@joeygerards.com
Joey Gerard's - A Bartolotta Supper Club - Mequon,wisconsin,10,389,4.0,http://www.opentable.com/joey-gerards-a-bartolotta-supper-club-mequon?scpref=110,(262) 518-5500,""
Kanpai - Milwaukee,wisconsin,10,98,4.0,http://www.opentable.com/kanpai-milwaukee?scpref=110,(414) 220-1155,kanpai.wi@gmail.com
Kennedy Manor Dining Room & Bar,wisconsin,1,30,4.5,http://www.opentable.com/kennedy-manor-dining-room-and-bar?scpref=110,(608) 256-5556,kmdr@sbcglobal.net
Kil@Wat,wisconsin,10,236,4.2,http://www.opentable.com/kil-at-wat?scpref=110,(414) 291-4793,sfitz@intercontinentalmilwaukee.com
The Knick,wisconsin,10,108,4.3,http://www.opentable.com/the-knick?scpref=110,(414) 272-0011,contactus@theknickrestaurant.com
La Merenda,wisconsin,10,268,4.6,http://www.opentable.com/la-merenda?scpref=110,(414) 389-0125,info@lamerenda125.com
Lakefront Grille,wisconsin,6,36,3.8,http://www.opentable.com/lakefront-grille?scpref=110,(262) 691-0200,matt@lakefrontgrille.com
Latitude,wisconsin,0,14,3.8,http://www.opentable.com/latitude-sheboygan?scpref=110,(920) 453-4000,Lattitude@blueharborresort.com
L'Etoile Restaurant,wisconsin,5,134,4.7,http://www.opentable.com/letoile-restaurant?scpref=110,(608) 251-0500,information@letoile-restaurant.com
Lombardino's,wisconsin,10,267,4.4,http://www.opentable.com/lombardinos?scpref=110,(608) 238-1922,info@lombardinos.com
Maggiano's - Milwaukee,wisconsin,10,219,4.2,http://www.opentable.com/maggianos-milwaukee?scpref=110,(414) 978-1000,milwaukee.infomation@maggianos.com
Maharaja,wisconsin,4,30,4.1,http://www.opentable.com/maharaja?scpref=110,(414) 276-2250,info@maharajarestaurants.com
The Mariner's Inn,wisconsin,6,58,4.4,http://www.opentable.com/the-mariners-inn?scpref=110,(608) 246-3120,marinersinn.restaurant@gmail.com
Mason Street Grill,wisconsin,10,166,4.4,http://www.opentable.com/mason-street-grill?scpref=110,(414) 298-3131,info@masonstreetgrill.com
MATC Cuisine Restaurant,wisconsin,0,57,4.3,http://www.opentable.com/matc-cuisine-restaurant?scpref=110,(414) 297-6697,cuisine@matc.edu
McCormick & Schmick's Seafood - Milwaukee,wisconsin,10,148,4.2,http://www.opentable.com/mccormick-and-schmicks-seafood-milwaukee?scpref=110,(414) 475-0700,msmw@ldry.com
Medusa Grill & Bistro,wisconsin,4,45,4.5,http://www.opentable.com/medusa-grill-and-bistro-lake-geneva?scpref=110,(262) 249-8644,""
Merchant,wisconsin,8,94,3.9,http://www.opentable.com/merchant?scpref=110,(608) 259-9799,info@merchantmadison.com
METRO,wisconsin,0,22,4.2,http://www.opentable.com/metro-milwaukee?scpref=110,(414) 225-3270,info@hotelmetro.com
Milwaukee ChopHouse,wisconsin,10,92,4.4,http://www.opentable.com/milwaukee-chophouse?scpref=110,(414) 226-2467,info@milwaukeechophouse.com
Mimmas Cafe,wisconsin,4,50,4.2,http://www.opentable.com/mimmas-cafe?scpref=110,(414) 271-7337,Mimma@Mimmas.com
