1833,http://www.opentable.com/1833?scpref=110&tab=2,4.3,"500 Hartnell Avenue Monterey, CA  93920 ",259,Californian,$31 to $50,Monterey,http://www.restaurant1833.com,tobias@restaurant1833.com,(831) 643-1833,4.3 / 5,Adequate food. Overpriced wine list. Great drinks.,8/18/12,http://www.pickgrapevine.com/wantmore3/1833,1833
1862 David Walley's Restaurant and Saloon,http://www.opentable.com/1862-david-walleys-restaurant-and-saloon?scpref=110&tab=2,3.9,"2001 Foothill Road Genoa, NV  89411 ",9,American,$31 to $50,South Shore,http://www.1862davidwalleysrestaurantandsaloon.com,1862DavidWalleys@summerwindsresorts.com,(888) 737-1862,3.9 / 5,"Unusual locale cuisine items, ample portions, great presentation, very well prepared and delicious, perhaps a bit pricey. Service was great without being fawning.",7/4/12,http://www.pickgrapevine.com/wantmore3/1862-david-walleys-restaurant-and-saloon,1862-david-walleys-restaurant-and-saloon
1910 Main - An American Bistro,http://www.opentable.com/1910-main-an-american-bistro?scpref=110&tab=2,4.3,"1910 Main St. Forest Grove, OR  97116 ",3,Contemporary American,$30 and under,Forest Grove,http://www.1910main.com/,1910main@live.com,(503) 430-7014,4.3 / 5,"The place was deserted, but we had a great meal.",7/22/12,http://www.pickgrapevine.com/wantmore2/1910-main-an-american-bistro,1910-main-an-american-bistro
20nine Restaurant & Wine Bar,http://www.opentable.com/20nine-restaurant-and-wine-bar?scpref=109&tab=2,4.1,"255 E Basse Rd Ste 940 San Antonio, TX  78209 ",27,Contemporary American,$30 and under,Alamo Heights,http://www.20ninewine.com,info@20ninewine.com,(210) 798-9463,4.0 out of 5,This is a great place for a romantic evening or a social gathering. Be prepared to spend about $100 for 2 but it's worth it. The goat cheese is wonderful by the way.,7/14/12,http://www.pickgrapevine.com/wantmore/20nine-restaurant-and-wine-bar,20nine-restaurant-and-wine-bar
23 Hoyt,http://www.opentable.com/23-hoyt?scpref=110&tab=2,3.9,"529 NW 23rd Ave Portland, OR  97210 ",28,Contemporary American,$30 and under,Downtown Portland - NW,http://www.23hoyt.com,matt@23hoyt.com,(503) 445-7400,3.9 / 5,"We waited 15 minutes to have our orders taken. My wife and I each ordered a salad and a starter. It took about 20 minutes to get the salads, and 40 additional minutes to get our starters. Diners who arrived after us and ordered dinner entres received their food before we did. The waiter said that the manager apologized for the delay (didn't visit us in person) and that they'd give us 1 free dessert. Their dessert menu had 3 items. We were really disapointed, because we loved the ambience but received such poor service. I'd even written a note in my reservation that it was my wife and I's anniversary!",8/10/12,http://www.pickgrapevine.com/wantmore2/23-hoyt,23-hoyt
3 Doors Down,http://www.opentable.com/3-doors-down?scpref=110&tab=2,4.2,"1429 SE 37th Portland, OR  97214 ",65,Italian,$30 and under,Southeast Portland,http://www.3doorsdowncafe.com,reservations@3doorsdowncafe.com,(503) 236-6886,4.2 / 5,"The food and waiter service were fantastic! But there was some odd things that didn't sit well with me. We put ""birthday party!"" on the notes in the reservation, and either they didn't notice or didn't think it was important. After our meal, I ordered a local brandy. I was given a glass of grappa. The waiter was quick to take the grappa back, but then a guy in a red untucked polo shirt came over and said they were out of the local brandy, and that the calvados was better. It took me a beat to realize he was the bartender! I thought it was just kind of odd.",8/9/12,http://www.pickgrapevine.com/wantmore2/3-doors-down,3-doors-down
900 Wall,http://www.opentable.com/900-wall?scpref=110&tab=2,4,"900 NW Wall Street Bend, OR  97701 ",54,Contemporary American,$30 and under,Bend,http://www.900wall.com,info@900wall.com,(541) 323-6295,4.0 / 5,Great location. Food/wine was amazing.,8/11/12,http://www.pickgrapevine.com/wantmore2/900-wall,900-wall
a Cena Ristorante,http://www.opentable.com/a-cena-ristorante?scpref=110&tab=2,4.6,"7742 SE 13th Avenue Portland, OR  97202 ",153,Italian,$30 and under,Southeast Portland,http://www.acenapdx.com,chris@acenapdx.com,(503) 206-3291,4.6 / 5,Amazing service and wine list. Cute little neighborhood with lots of bars and restaurants. Cena is definitely worth checking out. My wife recommends the lemoncellotini ;-).,8/18/12,http://www.pickgrapevine.com/wantmore2/a-cena-ristorante,a-cena-ristorante
Abalonetti Bar and Grill,http://www.opentable.com/abalonetti-bar-and-grill?scpref=110&tab=2,3.8,"57 Fisherman's Wharf Monterey, CA  93940 ",21,Seafood,$30 and under,Monterey,http://www.abalonettimonterey.com,abalonetti@gmail.com,(831) 373-1851,3.8 / 5,"The calamari was good, but not exceptional. My husband had tuna and said it was beyond bland. It wasn't a bad restaurant, but with all the great restaurants in Monterey to choose from, I wouldn't recommend it.",9/2/12,http://www.pickgrapevine.com/wantmore3/abalonetti-bar-and-grill,abalonetti-bar-and-grill
Accanto,http://www.opentable.com/accanto-portland?scpref=110&tab=2,4.2,"2838 SE Belmont St Portland, OR  97214 ",215,Italian,$30 and under,Southeast Portland,http://www.accantopdx.com/,info@accantopdx.com,(503) 235-4900,4.2 / 5,Great service and excellent food!,8/14/12,http://www.pickgrapevine.com/wantmore2/accanto-portland,accanto-portland
