1833,http://www.opentable.com/1833?scpref=110&tab=2,4.4,"500 Hartnell Avenue Monterey, CA  93920 ",244,Californian,$31 to $50,Monterey,http://www.restaurant1833.com,tobias@restaurant1833.com,(831) 643-1833,4.4 / 5,"Great place, excellent food and very good service.",8/23/12,http://www.pickgrapevine.com/wantmore2/1833,1833
Abalonetti Bar and Grill,http://www.opentable.com/abalonetti-bar-and-grill?scpref=110&tab=2,3.8,"57 Fisherman's Wharf Monterey, CA  93940 ",13,Seafood,$30 and under,Monterey,http://www.abalonettimonterey.com,abalonetti@gmail.com,(831) 373-1851,3.8 / 5,Very accommodating to a large group.,8/16/12,http://www.pickgrapevine.com/wantmore2/abalonetti-bar-and-grill,abalonetti-bar-and-grill
Apple Farm Restaurant,http://www.opentable.com/apple-farm-restaurant?scpref=110&tab=2,4.1,"2015 Monterey Street San Luis Obispo, CA  93401 ",36,American,$30 and under,San Luis Obispo,http://www.applefarm.com,afrestaurant@applefarm.com,(805) 544-6100,4.0 / 5,"Excellent food, friendly staff, and cute gift shop. Being able to reserve on Open Table was a plus because it's always busy here. Large selection of menu items and although a littly pricey the portions were large and tasted great. My teenagers and hubby ate every bite. We'll be sure to stop here on future trips.",8/12/12,http://www.pickgrapevine.com/wantmore2/apple-farm-restaurant,apple-farm-restaurant
Alberto's Ristorante (Pacifc Grove),http://www.opentable.com/albertos-ristorante-pacifc-grove?scpref=110&tab=2,4.2,"1219 Forest Avenue Pacific Grove, CA  93950 ",9,Italian,$30 and under,Pacific Grove,http://www.albertospg.com/,albertobonatelli@comcast.net,(831) 373-3993,4.2 / 5,Very good food. Chef and owner attentive and friendly . Waitstaff good. Good service. Won't break the bank even with wine bottle ordered. Don' t expect anything but strip center ambience though.,8/17/12,http://www.pickgrapevine.com/wantmore2/albertos-ristorante-pacifc-grove,albertos-ristorante-pacifc-grove
Milk 'n Honey,http://www.opentable.com/milk-n-honey?scpref=110&tab=2,3.9,"30 W. Anapamu Santa Barbara, CA  93101 ",8,Tapas / Small Plates,$30 and under,Santa Barbara,http://milknhoneytapas.com,altruizm@gmail.com,(805) 275-4232,3.9 / 5,We've been coming in for a few years and have never been disappointed. The only reason we don't come more often is because we'd order everything. We always find something new to try and have loved each discovery.,7/7/12,http://www.pickgrapevine.com/wantmore2/milk-n-honey,milk-n-honey
Anton & Michel Restaurant,http://www.opentable.com/anton-and-michel-restaurant?scpref=110&tab=2,4.2,"Mission St &amp; 7th Ave Carmel-by-the-Sea, CA  93921-4917 ",68,European,$31 to $50,Carmel,http://www.carmelsbest.com/antonmichel,anton@carmelsbest.com,(831) 624-2406,4.2 / 5,Classic French style restaurant. Quiet and intimate. Nice ambience and view of a courtyard with fountains and flowers. Food is quite good and pricy.,8/13/12,http://www.pickgrapevine.com/wantmore2/anton-and-michel-restaurant,anton-and-michel-restaurant
Arnoldi's Cafe,http://www.opentable.com/arnoldis-cafe?scpref=110&tab=2,3.9,"600 Olive St. Santa Barbara, CA  93101 ",34,Italian,$30 and under,Santa Barbara,http://www.arnoldis.com,arnoldiscafe@gmail.com,(805) 962-5394,3.9 / 5,"Our reservation was made perfectly through open table.We all arrived and the wait staff particularly Demetri and Marco were very well trained and had great customer service.We chose this venue due to the fact that our group was mostly made up of out of state pro league Bocce players.The food and service we had was amazing,the ambiance was awesome.We were greatly looking forward to play a couple rounds.We saw there was a roller and lute so we started to roll and lute the court in order to play.We were met with very sharp orders to stop.That we couldn't use those.Mostly because it was dinner time and it was distracting from dinner.I fully understand, however it would have been nice to have a sign out, rather than embarrassing paying customers",8/17/12,http://www.pickgrapevine.com/wantmore2/arnoldis-cafe,arnoldis-cafe
Pearl of the Ocean,http://www.opentable.com/pearl-of-the-ocean?scpref=110&tab=2,3.3,"736 Water St Santa Cruz, CA  95060 ",3,Indian,$30 and under,Santa Cruz,http://www.pearloftheocean.net,ayomaw7@ca.rr.com,(831) 457-2350,3.3 / 5,"I was disappointed in the service this time. It took so much time to even get a glass of water. I'm not sure why, but it seemed we were just a bother to them. I wondered if they were just angry that we used OpenTable to make the reservation.",6/16/12,http://www.pickgrapevine.com/wantmore2/pearl-of-the-ocean,pearl-of-the-ocean
Bahama Island Steakhouse,http://www.opentable.com/bahama-island-steakhouse?scpref=110&tab=2,4.1,"3690 The Barnyard Carmel, CA  93923 ",9,Steakhouse,$30 and under,Carmel,http://BahamaIslandSteakhouse.com,bahama831@att.net,(831) 626-0430,4.1 / 5,"We went looking for a steakhouse, after so much seafood in California. The steaks were ok, but not great. The fish was also good. the service was a little slow and lacking. We were a group of 8, and to order dessert the waitress gave us 2 dessert menus!!!Also, some of us in the group wanted a expresso coffee after dinner, and they don't have.",5/17/12,http://www.pickgrapevine.com/wantmore2/bahama-island-steakhouse,bahama-island-steakhouse
Baja Cantina - Carmel,http://www.opentable.com/baja-cantina-carmel?scpref=110&tab=2,3.7,"7166 Carmel Valley Rd. Carmel Valley, CA  93923 ",16,Mexican / Southwestern,$30 and under,Carmel,http://www.bajacantina.com,bajacantina@redshift.com,(831) 625-2252,3.7 / 5,"We our from out of town.. This restaurant was highly recommend to us. We made reservations on Sunday for Tuesday night knowing it was lobster night, but when making reservations thru open table we did not know you had also reserve a lobster on that night. Thank goodness when we got there they still had two left. The for was good but our server (pretty sure her name was Veronica) did a poor job. She messed up ur whole order. We saw a manager when we first got there but not later. Probably would have enjoyed our dinner better if the service was better. When we ask for sour cream it took almost 10 minutes and the food was getting cold waiting. Asked for a salad with lettuce and cheese only and she brought out a salad with everything.",7/31/12,http://www.pickgrapevine.com/wantmore2/baja-cantina-carmel,baja-cantina-carmel
