1833,http://www.opentable.com/1833?scpref=110&tab=2,4.3,"500 Hartnell Avenue Monterey, CA  93920 ",259,Californian,$31 to $50,Monterey,http://www.restaurant1833.com,tobias@restaurant1833.com,(831) 643-1833,4.3 / 5,Adequate food. Overpriced wine list. Great drinks.,8/18/12,http://www.pickgrapevine.com/wantmore3/1833,1833
Abalonetti Bar and Grill,http://www.opentable.com/abalonetti-bar-and-grill?scpref=110&tab=2,3.8,"57 Fisherman's Wharf Monterey, CA  93940 ",21,Seafood,$30 and under,Monterey,http://www.abalonettimonterey.com,abalonetti@gmail.com,(831) 373-1851,3.8 / 5,"The calamari was good, but not exceptional. My husband had tuna and said it was beyond bland. It wasn't a bad restaurant, but with all the great restaurants in Monterey to choose from, I wouldn't recommend it.",9/2/12,http://www.pickgrapevine.com/wantmore3/abalonetti-bar-and-grill,abalonetti-bar-and-grill
Apple Farm Restaurant,http://www.opentable.com/apple-farm-restaurant?scpref=110&tab=2,4.2,"2015 Monterey Street San Luis Obispo, CA  93401 ",33,American,$30 and under,San Luis Obispo,http://www.applefarm.com,afrestaurant@applefarm.com,(805) 544-6100,4.2 / 5,"My son and his family took us to dinner for my birthday. We made the reservation on line it was so easy and fast. From young to old enjoyed the whole dining experience. It was evening ,the flowers and decore was so relaxing and the lights at night added to the relaxed feeling we all had. Very friendly staff even thou they were busy it was Saturday night. All enjoyed the food something for everyones taste. I even got a birthday song and their homemade apple pie, it was a wonderful evening. We will be going again as we live near by.",8/29/12,http://www.pickgrapevine.com/wantmore3/apple-farm-restaurant,apple-farm-restaurant
Alberto's Ristorante (Pacifc Grove),http://www.opentable.com/albertos-ristorante-pacifc-grove?scpref=110&tab=2,3.8,"1219 Forest Avenue Pacific Grove, CA  93950 ",12,Italian,$30 and under,Pacific Grove,http://www.albertospg.com/,albertobonatelli@comcast.net,(831) 373-3993,3.8 / 5,Very good food. Chef and owner attentive and friendly . Waitstaff good. Good service. Won't break the bank even with wine bottle ordered. Don' t expect anything but strip center ambience though.,8/17/12,http://www.pickgrapevine.com/wantmore3/albertos-ristorante-pacifc-grove,albertos-ristorante-pacifc-grove
Milk 'n Honey,http://www.opentable.com/milk-n-honey?scpref=110&tab=2,3.9,"30 W. Anapamu Santa Barbara, CA  93101 ",8,Tapas / Small Plates,$30 and under,Santa Barbara,http://milknhoneytapas.com,altruizm@gmail.com,(805) 275-4232,3.9 / 5,We've been coming in for a few years and have never been disappointed. The only reason we don't come more often is because we'd order everything. We always find something new to try and have loved each discovery.,7/7/12,http://www.pickgrapevine.com/wantmore3/milk-n-honey,milk-n-honey
Anton & Michel Restaurant,http://www.opentable.com/anton-and-michel-restaurant?scpref=110&tab=2,4.2,"Mission St &amp; 7th Ave Carmel-by-the-Sea, CA  93921-4917 ",76,European,$31 to $50,Carmel,http://www.carmelsbest.com/antonmichel,anton@carmelsbest.com,(831) 624-2406,4.2 / 5,Very nice restaurant with fantastic service.,8/17/12,http://www.pickgrapevine.com/wantmore3/anton-and-michel-restaurant,anton-and-michel-restaurant
Trattoria Mollie,http://www.opentable.com/trattoria-mollie?scpref=110&tab=2,4,"1250 Coast Village Rd. Santa Barbara, CA  93108 ",54,Italian,$31 to $50,Montecito,http://www.trattoriamollie.com,ara5er@gmail.com,(805) 565-9381,4.0 / 5,"Don't know if we experienced an off night or whether it was typical, but we were decidedly unimpressed. We had very high expectations, based on a recommendation from someone very knowledgeable about Italian cuisine and fine dining. Restaurant was very loud. One of our party of seven ordered pizza, which was served before anyone else received appetizers. Main courses were pedestrian. I ordered chocolate creme bríélí©e for dessert, and it didn't look chocolate when it came out. I asked the waiter to confi that it was chocolate, which he did. He was wrong.",8/21/12,http://www.pickgrapevine.com/wantmore3/trattoria-mollie,trattoria-mollie
Arnoldi's Cafe,http://www.opentable.com/arnoldis-cafe?scpref=110&tab=2,3.9,"600 Olive St. Santa Barbara, CA  93101 ",32,Italian,$30 and under,Santa Barbara,http://www.arnoldis.com,arnoldiscafe@gmail.com,(805) 962-5394,3.9 / 5,"Comfortable, casual, delightful, delicious, and on selected days, they have Bocce Ball contests.",8/22/12,http://www.pickgrapevine.com/wantmore3/arnoldis-cafe,arnoldis-cafe
Pearl of the Ocean,http://www.opentable.com/pearl-of-the-ocean?scpref=110&tab=2,3.3,"736 Water St Santa Cruz, CA  95060 ",3,Indian,$30 and under,Santa Cruz,http://www.pearloftheocean.net,ayomaw7@ca.rr.com,(831) 457-2350,3.3 / 5,"I was disappointed in the service this time. It took so much time to even get a glass of water. I'm not sure why, but it seemed we were just a bother to them. I wondered if they were just angry that we used OpenTable to make the reservation.",6/16/12,http://www.pickgrapevine.com/wantmore3/pearl-of-the-ocean,pearl-of-the-ocean
Bahama Island Steakhouse,http://www.opentable.com/bahama-island-steakhouse?scpref=110&tab=2,3.7,"3690 The Barnyard Carmel, CA  93923 ",10,Steakhouse,$30 and under,Carmel,http://BahamaIslandSteakhouse.com,bahama831@att.net,(831) 626-0430,3.7 / 5,Place has really gone downhill. Do not recommend.,8/15/12,http://www.pickgrapevine.com/wantmore3/bahama-island-steakhouse,bahama-island-steakhouse
