(K)new,http://www.opentable.com/knew?scpref=110&tab=2,3.7,"2556 W. Fullerton Ave. Chicago, IL  60647 ",21,Contemporary American,$30 and under,Logan Square,http://knewrestaurant.com,omarthechef@sbcglobal.net,(773) 772-7721,2.0 out of 5,"While some of the entrees were very good, some were OK. The biggest problem is that k(new) is understaffed and service is very slow. Unfortunately, this colored the evening. We were at the restaurant for 2 1/2 hours ( it wasn't particularly busy).",10/26/2012,http://www.pickgrapevine.com/wantmore6/knew,knew
2nd Street Bistro - Highland Park,http://www.opentable.com/2nd-street-bistro-highland-park?scpref=110&tab=2,3.8,"1825 Second Street Highland Park, IL  60035 ",72,Contemporary American,$30 and under,Highland Park,http://www.2ndstreetbistrohp.com,cheffmichael@yahoo.com,(847) 433-3400,2.0 out of 5,"All the right elements, but just off. From the entrance (no sign, kind of a doorway off the street) to the entrees (good mussels but served with burnt toast) this restaurant has the makings of a good place but not quite there. I loved it was BYOB and the service was amazing (despite seeming short staffed, you were never left waiting). Maybe it was an off night - doubt I will try again with other options to choose from.",10/26/2012,http://www.pickgrapevine.com/wantmore6/2nd-street-bistro-highland-park,2nd-street-bistro-highland-park
312 Chicago,http://www.opentable.com/312-chicago?scpref=110&tab=2,4.0,"136 N. La Salle St. Chicago, IL  60602 ",308,Italian,$31 to $50,Downtown / Loop,http://www.312chicago.com,jeff.cannon@312chicago.com,(312) 696-2420,5.0 out of 5,Absolutely amazing time. The people and the food were outstanding.,11/03/2012,http://www.pickgrapevine.com/wantmore6/312-chicago,312-chicago
4 Suyos,http://www.opentable.com/4-suyos?scpref=110&tab=2,4.2,"2727 W. Fullerton Ave. Chicago, IL  60647 ",28,Peruvian,$30 and under,Logan Square,http://www.4Suyos.com,contact@4Suyos.com,(773) 278-6525,2.0 out of 5,"We were excited to go out and try a new place. The flavor of the entrees were just bland - I had the skirt steak and my fiance had the paella. I do recommend the ceviche - this was awesome. The place is BYOB, which is what brought us in the door.",10/19/2012,http://www.pickgrapevine.com/wantmore6/4-suyos,4-suyos
90 Miles Cuban Cafe,http://www.opentable.com/90-miles-cuban-cafe?scpref=110&tab=2,4.2,"2540 W. Armitage Avenue Chicago, IL  60647 ",97,Cuban,$30 and under,Logan Square,http://www.90milescubancafe.com,alberto@90milescubancafe.com,(773) 227-2822,4.0 out of 5,"We had seen ""90 Miles"" on Check Please last week, and decided to try their Sunday Brunch while visiting our daughter in the City. Loved the food we had - the Cuban Pancakes and Cuban French Toast were outstanding --- as were the potatoes with chorizo. Will definately go back and try one of their other meals (probably dinner)",11/04/2012,http://www.pickgrapevine.com/wantmore6/90-miles-cuban-cafe,90-miles-cuban-cafe
A Plate on Southport,http://www.opentable.com/a-plate-on-southport?scpref=110&tab=2,4.0,"2819 N Southport Ave Chicago, IL  60657 ",4,Asian,$30 and under,Lakeview / East Lakeview,http://www.aplateonsouthport.com,aplateonsouthport@gmail.com,(773) 525-6695,4.0 out of 5,"Delicious thai food in a quaint, comfortable setting.",09/23/2012,http://www.pickgrapevine.com/wantmore6/a-plate-on-southport,a-plate-on-southport
Acre Restaurant,http://www.opentable.com/acre-restaurant?scpref=110&tab=2,3.9,"5308 N Clark St Chicago, IL  60640 ",50,American,$30 and under,Andersonville,http://acrerestaurant.com,acrerestaurant@gmail.com,(773) 334-7600,4.0 out of 5,The host and our waiter were very accommodating and we weren't without bottomless mimosa's the whole time! The restaurant is nice and spacious which is especially nice when dining with children. I will definitely be coming back.,10/13/2012,http://www.pickgrapevine.com/wantmore6/acre-restaurant,acre-restaurant
Act One,http://www.opentable.com/act-one?scpref=110&tab=2,3.8,"1330 W. Morse Ave. Chicago, IL  60626 ",28,American,$30 and under,North of Foster / Rogers Park,http://www.actonepub.com,info@actonepub.com,(773) 381-4550,5.0 out of 5,"This is a small place attached to the Mayne Stage Theatre. It's a pub, really, but with a little brighter atmosphere. I expected high prices and sub-par food since it's attached to a theatre, but not at all. The highlight is the Pulled Pork Nacho (also available as a sandwich). It rivals Kalua Pig from Hawaii, which is phenomenal if you've ever had it. There wasn't much on the dessert menu, and I think they should work on that because the menu is mostly small plates. The staff was courteous and quick, and the valet parking is really inexpensive and absolutely necessary in this neighborhood. Overall, a fun place to go before a show at the theatre itself.",10/31/2012,http://www.pickgrapevine.com/wantmore6/act-one,act-one
Ada Street,http://www.opentable.com/ada-street?scpref=110&tab=2,4.4,"1664 Ada St. Chicago, IL  60642 ",157,American,$31 to $50,Bucktown / Wicker Park,http://www.adastreetchicago.com,rmelencio@dmkrestaurants.com,(773) 697-7069,4.0 out of 5,"Nearly everything that counts about Ada Street was amazing: the food, the crowd, the atmosphere, the service, the drink, etc. Be warned though that they do NOT honor reservation made through OpenTable. Both my party and a party we conversed with in the waiting area waited almost an hour for our ""reserved"" table. I'm surprised I didn't just leave, but glad I stayed.",10/31/2012,http://www.pickgrapevine.com/wantmore6/ada-street,ada-street
Adelle's,http://www.opentable.com/adelles?scpref=110&tab=2,4.4,"535 West Liberty Dr. Wheaton, IL  60187 ",201,Contemporary American,$30 and under,Wheaton,http://adelles.com,adelles@sbcglobal.net,(630) 784-8015,5.0 out of 5,Excellent meal. The risotto was one of the best dishes I've eaten in a long time. The whole experience was wonderful,11/02/2012,http://www.pickgrapevine.com/wantmore6/adelles,adelles
