104 by the Ocean,http://www.opentable.com/104-by-the-ocean?scpref=110&tab=2,3.0,"104 Santa Monica Blvd Santa Monica, CA  90401 ",2,Tapas / Small Plates,$30 and under,Santa Monica,http://104bytheocean.com,bytheocean104.sm@gmail.com,(310) 576-6104,2.0 out of 5,"We were the only table there yet we waited between 1-1.5 hour for our food. We just ordered simple panini sandwiches and 1 duck. The place itself is cool, and recommended to hang out for drinks. If you have hunger, try a different place in the area.",11/14/2012,http://www.pickgrapevine.com/wantmore6/104-by-the-ocean,104-by-the-ocean
118 Degrees,http://www.opentable.com/118-degrees?scpref=110&tab=2,4.0,"2981 Bristol Suite B5 Costa Mesa, CA  92626 ",43,Vegetarian / Vegan,$31 to $50,Costa Mesa,http://www.118degrees.com,info@shop118degrees.com,(714) 754-0718,4.0 out of 5,Wonderful ambience; great customer service; excellent food options; healthy and delicious!,11/18/2012,http://www.pickgrapevine.com/wantmore6/118-degrees,118-degrees
1321 Downtown Taproom Bistro,http://www.opentable.com/1321-downtown-taproom-bistro?scpref=110&tab=2,4.0,"1321 Sartori Avenue Torrance, CA  90501 ",22,Gastro Pub,$30 and under,Torrance,http://1321downtown.com,info@1321downtown.com,(310) 618-1321,5.0 out of 5,"Great beer selection, crab cakes best ever, salmon was perfection.",11/11/2012,http://www.pickgrapevine.com/wantmore6/1321-downtown-taproom-bistro,1321-downtown-taproom-bistro
208 Rodeo,http://www.opentable.com/208-rodeo?scpref=110&tab=2,4.1,"208 Via Rodeo Drive Beverly Hills, CA  90210 ",21,Californian,$31 to $50,Beverly Hills,http://www.208rodeo.com,info@208rodeo.com,(310) 275-2428,5.0 out of 5,The host and waitress are really nice. They have great service the food is spectacular a little high budget but it is worth it. The location is great. I would definitely recommend this restaurant.,11/25/2012,http://www.pickgrapevine.com/wantmore6/208-rodeo,208-rodeo
230 Forest Avenue,http://www.opentable.com/230-forest-avenue?scpref=110&tab=2,4.2,"230 Forest Ave Laguna Beach, CA  92651 ",112,Californian,$31 to $50,Laguna Beach,http://www.230Forestavenue.com,twothirtyforest@yahoo.com,(949) 494-2545,5.0 out of 5,"I'm never disappointed when I go there. The food is wonderful and the wait staff are all very accomodating. We were a small group of 5, just the girls celebrating the holiday, and everyone loved it. You can't go wrong at 230 Forest!",11/24/2012,http://www.pickgrapevine.com/wantmore6/230-forest-avenue,230-forest-avenue
3 Dog Cantina,http://www.opentable.com/3-dog-cantina?scpref=110&tab=2,4.1,"1615 N. Cahuenga Blvd Los Angeles, CA  90028 ",12,Mexican,$30 and under,Hollywood,http://www.3DogCantina.com,info@3DogCantina.com,(323) 465-1750,3.0 out of 5,"It was fine. Probably better for a younger crowd as it is pretty noisy. The pitcher of margaritas was filled with ice so for $39 it seemed a bit high. The food was good but not great, but maybe this is because I was expecting more traditional mexican food. Despite all that, I would definitely recommend the place. It was fun and the servers were terrific.",11/18/2012,http://www.pickgrapevine.com/wantmore6/3-dog-cantina,3-dog-cantina
320 Main,http://www.opentable.com/320-main?scpref=110&tab=2,4.2,"320 Main St Ste A Seal Beach, CA  90740-6382 ",37,American,$30 and under,Huntington Beach / Seal Beach / Fountain Valley,http://www.320MainSealBeach.com,rebecca@320MainSealBeach.com,(562) 799-6246,4.0 out of 5,This seems to be more of a bar scene. VERY loud!! Too bad because the food is great and mostly interesting. Not for anyone looking to have a conversation over dinner.,11/17/2012,http://www.pickgrapevine.com/wantmore6/320-main,320-main
3Twenty Wine Lounge,http://www.opentable.com/3twenty-wine-lounge?scpref=110&tab=2,4.3,"320 South La Brea Ave. Los Angeles, CA  90036 ",52,Tapas / Small Plates,$31 to $50,Beverly / Fairfax / La Brea / Third St.,http://www.320southwine.com,info@320southwine.com,(323) 932-9500,3.0 out of 5,"Compared to other wine bars, it is very pricy.",11/08/2012,http://www.pickgrapevine.com/wantmore6/3twenty-wine-lounge,3twenty-wine-lounge
3Vinos,http://www.opentable.com/3vinos?scpref=110&tab=2,3.7,"201 N Citrus Ave Covina, CA  91723 ",26,Latin / Spanish,$30 and under,Covina,http://www.3vinos.com/,info@3vinos.com,(626) 966-7735,5.0 out of 5,Great food and great live music. Very nice clientele also. Comfortable environment even if you're alone.,11/23/2012,http://www.pickgrapevine.com/wantmore6/3vinos,3vinos
555 East,http://www.opentable.com/555-east?scpref=110&tab=2,4.3,"555 East Ocean Blvd. Long Beach, CA  90802 ",143,American,$31 to $50,Long Beach,http://www.555east.com,kwojcik@kingsseafood.com,(562) 437-0626,5.0 out of 5,Took my girlfriend to 555 east for her birthday. It was a first for the both of us. We loved the food! They sure know steaks!! Highly recomend!!,11/25/2012,http://www.pickgrapevine.com/wantmore6/555-east,555-east
6ix Park Grill,http://www.opentable.com/6ix-park-grill?scpref=110&tab=2,4.1,"17900 Jamboree Rd. Irvine, CA  92614 ",43,Californian,$30 and under,Irvine,http://www.6ixparkgrill.com,derek.ernst@hyatt.com,(949) 225-6666,5.0 out of 5,"What a Thanksgiving spread!WOW!I thought it would be good but it was so much better than I could imagine. They had everything...sure the turkey, dressing, etc. but seafood galore (I pigged out on the oysters, shrimp and crab claws. The almond,lemon green beans and the sauteed brussels sprouts with bacon and butternut squash soup were superb!I didn't even have salad or (can you believe it) beautiful sushi.Fabulous desserts, wonderful prime rib....and unlimited champagne.Thoroughly enjoyed my meal.Yes, it was a tad noisy but people were enjoying themselves, even dancing to the live piano player.Yes, we will do this again.",11/22/2012,http://www.pickgrapevine.com/wantmore6/6ix-park-grill,6ix-park-grill
71 Palm,http://www.opentable.com/71-palm?scpref=110&tab=2,4.4,"71 North Palm Street Ventura, CA  93001 ",41,French,$30 and under,Ventura,http://www.71palm.com,chefdidier@71palm.com,(805) 653-7222,5.0 out of 5,I have enjoyed dining at 71 Palm Restaurant for the past nine years. It is a special treat to visit there as I live almost 50 miles away. It is well worth the trip. I have introduced other family and relatives as well as friends to 71 Palm. They always enjoy it and want to go back. It is such a welcoming restaurant. Chef Didier is wonderful!,11/24/2012,http://www.pickgrapevine.com/wantmore6/71-palm,71-palm
9 Olives,http://www.opentable.com/9-olives?scpref=110&tab=2,3.9,"8210 Sunset Blvd Los Angeles, CA  90046 ",13,American,$31 to $50,West Hollywood,http://www.9olives.com,9olivesonsunset@gmail.com,(323) 848-2100,2.0 out of 5,"Didn't like that we had to pay $20 to park. There was also a baby shower/party going on in the front part of the restaurant which seemed odd to walk into. Food had the same quality as hotel room service, wasn't bad - just not great. The dessert we had was fantastic and was the highlight of the meal - some sticky toffee ice cream concoction!",11/17/2012,http://www.pickgrapevine.com/wantmore6/9-olives,9-olives
A Restaurant,http://www.opentable.com/a-restaurant?scpref=110&tab=2,4.1,"3334 West Coast Highway Newport Beach, CA  92663 ",38,Contemporary American,$30 and under,Newport Beach,http://www.arestaurantnb.com,info@arestaurantnb.com,(949) 650-6505,5.0 out of 5,"Had driven past this restaurant for years on PCH, and finally decided to try it. The food and service were both terrific; I really enjoyed the sworfish I ordered. Only caution, try to sit away from the bar area, which is quite active and loud.",11/15/2012,http://www.pickgrapevine.com/wantmore6/a-restaurant,a-restaurant
A1 Cucina Italiana,http://www.opentable.com/a1-cucina-italiana?scpref=110&tab=2,4.1,"107 N Robertson Blvd. Beverly Hills, CA  90211 ",79,Italian,$30 and under,Beverly Hills,http://www.a1la.com,info@a1la.com,(310) 657-1345,5.0 out of 5,We chose this restaurant randomly and I'm sooooo glad we did. The food was absolutely DELICIOUS from the bread to dessert EVERYTHING WAS OUTSTANDING!. Dishes were served piping hot and being Italian I can tell you the food was perfection! I will make this restaurant a permanent stop when I'm back in Beverly Hills!!,11/24/2012,http://www.pickgrapevine.com/wantmore6/a1-cucina-italiana,a1-cucina-italiana
