Bracco Sioux Falls,http://www.opentable.com/bracco?scpref=110&tab=2,4.1,"5001 S Western Ave Sioux Falls, SD  57108 ",16,"Global, International",$30 and under,Sioux Falls,http://www.braccorestaurant.com,braccospezia@gmail.com,(605) 338-4386,4.0 out of 5,"We were celebrating a birthday, everyone was very pleased with the food and portion sizes. Our Witt was vry busy but treated us as if we were his only table.",08/05/2012,http://www.pickgrapevine.com/wantmore5/bracco,bracco
The Corn Exchange,http://www.opentable.com/the-corn-exchange?scpref=110&tab=2,4.3,"727 Main Street Rapid City, SD  57701 ",63,Contemporary American,$31 to $50,Rapid City,http://www.cornexchange.com,cornexchangebistro@gmail.com,(605) 343-5070,5.0 out of 5,"Delicious food and wine, in a gem of a restaurant in the revitalized downtown area.",10/26/2012,http://www.pickgrapevine.com/wantmore5/the-corn-exchange,the-corn-exchange
Dakotah Steakhouse,http://www.opentable.com/dakotah-steakhouse?scpref=110&tab=2,4.1,"1325 N Elk Vale Road Rapid City, SD  57703 ",34,Steakhouse,$30 and under,Rapid City,http://www.dakotahsteakhouse.com,info@dakotahsteakhouse.com,(605) 791-1800,5.0 out of 5,"We decided to give Dakotah Steakhouse a try for our anniversary dinner--and it didn't disappoint!! Food was fantastic....my husband had the prime rib (which was huge) and it was perfect! THe surf and turf with the snow crab claws was very good also. Our appetizer was the buffalo satay skewers-FANTASTIC!! There is a wild mushroom bread pudding that my husband said was very savory and the red, white and bleu potatoes were also very good. Overall, we had a great evening and great food. Would definitely recommend Dakotah Steakhouse to friends and family!",10/06/2012,http://www.pickgrapevine.com/wantmore5/dakotah-steakhouse,dakotah-steakhouse
Delmonico Grill,http://www.opentable.com/delmonico-grill?scpref=110&tab=2,4.3,"609 Main Street Rapid City, SD  57701 ",54,American,$31 to $50,Rapid City,http://www.delmonicogrill.biz,pfcairo@gmail.com,(605) 791-1664,2.0 out of 5,"After tasting a few of the ""tenderloin tips"".. most of them tough and chewy, my wife looked up and said, ""I'm thinking Schwan's..."" enough said.",10/20/2012,http://www.pickgrapevine.com/wantmore5/delmonico-grill,delmonico-grill
Enigma Restaurant,http://www.opentable.com/enigma-restaurant?scpref=110&tab=2,4.1,"445 Mt. Rushmore Road Rapid City, SD  57701 ",23,American,$31 to $50,Rapid City,http://www.enigmarestaurant.com,contact@enigmarestaurant.com,(605) 716-0600,3.0 out of 5,part of dish was so salty I couldn't eat it....and I am a big fan of salt,10/27/2012,http://www.pickgrapevine.com/wantmore5/enigma-restaurant,enigma-restaurant
Minerva's - Sioux Falls,http://www.opentable.com/minervas-sioux-falls?scpref=110&tab=2,4.5,"301 S Phillips Ave Sioux Falls, SD  57104 ",67,American,$30 and under,Sioux Falls,http://www.minervas.net,jbremmon@minervas.net,(605) 334-0386,4.0 out of 5,Always a treat to stop at this well established venue.,10/26/2012,http://www.pickgrapevine.com/wantmore5/minervas-sioux-falls,minervas-sioux-falls
HoDo Restaurant,http://www.opentable.com/hodo-restaurant?scpref=110&tab=2,5.0,"101 Broadway Fargo, ND  58102 ",2,Organic,$31 to $50,Fargo,http://www.hoteldonaldson.com,info@hoteldonaldson.com,(701) 478-8888,5.0 out of 5,"Expect to spend about $75 for food, drinks, tip, and tax. So budget accordingly. We had appetizers, 1 drink each, sparkling water, and entrees. OK, I got caught off guard with the price. Now having gotten that off my chest, I must say that the experience over-all was excellent. Food was excellent, service was friendly and fantastic. Also, we were repeatedly treated to ""nice"" surprises all of which are a reflection of an establishment that is committed to excellence. The quality of this establishment deserves no less than 5 stars. If quality, flavor, presentation, and service are important to you, then you certainly get what you pay for. I would highly recommend. Just budget accordingly. I hope to visit again.",09/14/2012,http://www.pickgrapevine.com/wantmore5/hodo-restaurant,hodo-restaurant
Maxwells,http://www.opentable.com/maxwells-west-fargo?scpref=110&tab=2,4.8,"1380 9th St E West Fargo, ND  58078 ",5,Contemporary American,$31 to $50,Fargo,http://www.maxwellsnd.com,contact@maxwellsnd.com,(701) 277-9463,5.0 out of 5,"Had the Blackened Walleye, not what you would receive in the south but remember, you are in North Dakota. The service was wonderful. Found the noise coming from the bar area distracting but it sounded like they were having fun.",09/21/2012,http://www.pickgrapevine.com/wantmore5/maxwells-west-fargo,maxwells-west-fargo
Mezzaluna,http://www.opentable.com/mezzaluna?scpref=110&tab=2,4.5,"309 Roberts St Fargo, ND  58102 ",4,Contemporary American,$30 and under,Fargo,http://www.mosaicfoods.net/mezzaluna,info@mosaicfoodgroup.com,(701) 364-9479,5.0 out of 5,"Outstanding food, service and atmosphere. Crab stuffed walleye is delicious! Specialty drinks are unique and perfect. The bar staff is very energenic, knowledgable recommend the perfect wine or cocktail to compliment your meal.Would highly recommend. We've been there a dozen times. Heading there tonight and Saturday night.",09/18/2012,http://www.pickgrapevine.com/wantmore5/mezzaluna,mezzaluna
Monte's Downtown,http://www.opentable.com/montes-downtown?scpref=110&tab=2,5.0,"220 broadway Fargo, ND  58102 ",1,Contemporary American,$30 and under,Fargo,http://www.montesdowntown.com,montes@ideaone.net,(701) 526-0149,5.0 out of 5,"My husband and I, along with a group of friends, went out for his birthday. There is a new menu. We each tried a different dish to share. All were very good. We had the shrimp, carpaccio and squid/mussel calamari for appetizers. Very good start. The duck was nicely prepared. The steaks were well-cooked. All the desserts were good too especially the croissant pudding. It was a satisfying dining experience. We will definitely come back!",10/09/2012,http://www.pickgrapevine.com/wantmore5/montes-downtown,montes-downtown
