10 Degrees South,http://www.opentable.com/10-degrees-south?scpref=110&tab=2,4.3,"4183 Roswell Road Atlanta, GA  30342 ",146,"Global, International",$30 and under,Buckhead,http://www.10degreessouth.com,info@10degreessouth.com,(404) 705-8870,2.0 out of 5,"I heard of the restaurant when I first came to town 10 years ago, but visited for the first time recently. The restaurant is beautiful inside, and has at least two seating areas. It was busy, but the noise level was fine. Service was erratic, with a waiter that may have been overworked. Water and drink orders took a long time to come out, but the hostess did a great job coming by to check on our table. The food was mediocre at best. Sides seem dated (vegetable medley and mashed potatoes), and the medium rare ostrich came very overcooked. The flavor of the curry was fine, but came with an odd assortment of vegetables and bananas. For the price point, there are much better restaurants in Sandy Springs, let alone all of Atlanta. I",11/2/12,http://www.pickgrapevine.com/wantmore8/10-degrees-south,10-degrees-south
17Hundred90 Inn and Restaurant,http://www.opentable.com/17hundred90-inn-and-restaurant?scpref=110&tab=2,4.4,"307 East President St. Savannah, GA  31401 ",98,Continental,$30 and under,Savannah,http://17hundred90.com,1790.coo@gmail.com,(912) 236-7122,5.0 out of 5,We loved the setting - very nice historical building. Restaurant is in the basement with fire places and the original stone floor. We ate early so it was not busy and the room was quiet. Would be a bit noisier if full. The bar is in a separate area so the noise did not bleed into the restaurant. Food was wonderful - my husband really enjoyed the Shrimp and Scallop Scampi and I loved the Boursin Chicken. Service ranked as one of the best experiences I have had anywhere. Stephen was wonderful!,11/7/12,http://www.pickgrapevine.com/wantmore8/17hundred90-inn-and-restaurant,17hundred90-inn-and-restaurant
4th & Swift,http://www.opentable.com/4th-and-swift?scpref=110&tab=2,4.4,"621 North Avenue NE Atlanta, GA  30308 ",309,Contemporary American,$31 to $50,Midtown,http://www.4thandswift.com,info@4thandswift.com,(678) 904-0160,5.0 out of 5,"Located in the heart of the Old 4th Ward just east of Midtown/Downtown on North Avenue, 4th & Swift is consistently one of Atlanta's top five restaurants. Chef owned and operated, inspired by local and southern ingredients, 4th & Swift is one of the places that makes Atlanta's restaurant scene special.",11/4/12,http://www.pickgrapevine.com/wantmore8/4th-and-swift,4th-and-swift
700 Drayton,http://www.opentable.com/700-drayton?scpref=110&tab=2,4.3,"700 Drayton St. Savannah, GA  31401 ",95,Contemporary American,$30 and under,Savannah,http://www.700drayton.com,700drayton@mansiononforsythpark.com,(912) 721-5002,5.0 out of 5,Got engaged at 700 Drayton and the whole staff was incredible. They made it a very memorable evening. We will definitely be going back there the next time we are in Savannah!,11/3/12,http://www.pickgrapevine.com/wantmore8/700-drayton,700-drayton
A.lure Savannah,http://www.opentable.com/alure-savannah?scpref=110&tab=2,4.4,"309 West Congress St. Savannah, GA  31401 ",89,Contemporary American,$31 to $50,Savannah,http://aluresavannah.com,gm@aluresavannah.com,(912) 233-2111,3.0 out of 5,"I would not recommend it right now. I did not dis-like it, it just didn't ""wow"" me enough to recommend it. I liked the menu, but I think I would like to try a few more things before passing judgment. The appetizers were great (Blue Cheese fondue chips and lobster macaroni). The main courses needed a little work. The biscuit and gravy (really a seafood gravy) sounded great but didn't quite blend well. The steak and fries was over cooked but tased well. We were too close to the people around us and they the couple next to us were just miserable people and it put a damper on the evening. Like I said, I loved the menu and want to give it another try before making recommendations.",11/2/12,http://www.pickgrapevine.com/wantmore8/alure-savannah,alure-savannah
Abattoir,http://www.opentable.com/abattoir?scpref=110&tab=2,4.3,"1170 Howell Mill Road Atlanta, GA  30318 ",120,Organic,$30 and under,Downtown,http://www.starprovisions.com,abattoir@eatoutoften.net,(404) 892-3335,4.0 out of 5,The food was absolutely out of this world. Everything was perfectly seasoned and the food was playful and fun. The only issue I had was that I would've liked the food coursed out instead of a barrage all at once. Next time I'll just order one thing at a time. Overall it was great though.,11/1/12,http://www.pickgrapevine.com/wantmore8/abattoir,abattoir
Acoustix Jazz Restaurant & Lounge,http://www.opentable.com/acoustix-jazz-restaurant-and-lounge?scpref=110&tab=2,3.7,"840 Marietta Street NW Atlanta, GA  30318 ",24,Contemporary American,$30 and under,Downtown,http://www.AcoustixJazz.com,taylordstaff@gmail.com,(404) 861-8002,4.0 out of 5,"I must say that I enjoyed myself. The service, music, & scene was inviting.",11/3/12,http://www.pickgrapevine.com/wantmore8/acoustix-jazz-restaurant-and-lounge,acoustix-jazz-restaurant-and-lounge
Adam's American Mediterranean Restaurant and Piano Bar,http://www.opentable.com/adams-american-mediterranean-restaurant-and-piano-bar?scpref=110&tab=2,4.5,"15 East Main Street Buford, GA  30518 ",35,American,$30 and under,Buford,http://www.adamsrestaurantandpianobar.com,adamsrestaurant@yahoo.com,(678) 745-0379,5.0 out of 5,"On the Continental scene, salads are served after the main course. In the U.S. they will precede. Well, Adam has several salads, and to repeat what a son-in-law said after he devoured Adam's Wedge, ""That was the BEST salad I ever had!"" I totally agree and urge you to partake of pure joy as I did last visit. The imagination on the menu and with the specialities abound here. Enjoy them.",10/26/12,http://www.pickgrapevine.com/wantmore8/adams-american-mediterranean-restaurant-and-piano-bar,adams-american-mediterranean-restaurant-and-piano-bar
Ailsa's,http://www.opentable.com/ailsas?scpref=110&tab=2,3.3,"10010 B Ford Ave Richmond Hill, GA  31324 ",3,Contemporary American,$30 and under,Savannah,http://ailsasrichmondhill.com,info@ailsasrichmondhill.com,(912) 445-5987,4.0 out of 5,"Ailsa's is sort of tucked away and off of the main road, but it is a great local place for residents of Richmond Hill who don't want to drive all the way into Savannah for a great dinner. The food was excellent and we will definitely be back to try the other items we didn't choose this time. The table we were seated at was a bit too small and the staff seem like they could use a little more practice, but were very accomodating and helpful. There is karaoke on Friday nights, which is odd since there were approximately 5 patrons in the restaurant by the time they started it, but the piano player that played before that during dinner set a great mood. But overall, a great experience we plan on having again!",8/31/12,http://www.pickgrapevine.com/wantmore8/ailsas,ailsas
AJA - Atlanta,http://www.opentable.com/aja-atlanta?scpref=110&tab=2,3.9,"3500 Lenox Rd Atlanta, GA  30326 ",114,Asian,$30 and under,Buckhead,http://www.h2sr.com/aja,Jim.Davis@h2sr.com,(404) 231-0001,3.0 out of 5,This was my first time dining at Aja. It was a good experience. The staff was friendly and helpful.,11/2/12,http://www.pickgrapevine.com/wantmore8/aja-atlanta,aja-atlanta
