The Artichoke Restaurant & Bar,http://www.opentable.com/the-artichoke-restaurant-and-bar?scpref=110&tab=2,4.8,"2610 N. 3rd St. Langley, OK  74350 ",34,American,$30 and under,Langley,http://theartichokeatgrand.com,jksellers@wavelinx.net,(918) 782-9855,5.0 / 5,The best restaurant near Grand Lake. Reasonable prices also!,10/13/12,http://www.pickgrapevine.com/wantmore5/the-artichoke-restaurant-and-bar,the-artichoke-restaurant-and-bar
Avanti Bar & Grill,http://www.opentable.com/avanti-bar-and-grill?scpref=110&tab=2,4.4,"13509 Highland Park Blvd. Oklahoma City, OK  73120 ",9,"Global, International",$30 and under,Oklahoma City,http://www.avantibarandgrill.com,gm@avantibarandgrill.com,(405) 254-5200,4.0 / 5,The live entertainment (Edgar Cruz) was excellent.,9/19/12,http://www.pickgrapevine.com/wantmore5/avanti-bar-and-grill,avanti-bar-and-grill
Bellinis,http://www.opentable.com/bellinis?scpref=110&tab=2,4.1,"6305 Waterford Blvd Suite 100 Oklahoma City, OK  73118",28,Italian,$30 and under,Oklahoma City,http://www.bellinis.net,bellinisokc@coxinet.net,(405) 848-1065,4.0 / 5,Really like atmosphere -service was great but the food was just ok,10/19/12,http://www.pickgrapevine.com/wantmore5/bellinis,bellinis
Benvenuti's,http://www.opentable.com/benvenutis?scpref=110&tab=2,4.6,"105 W Main Norman, OK  73069 ",198,Italian,$30 and under,Norman,http://www.benvenutisristorante.com/,Benvenutis@coxinet.net,(405) 310-5271,5.0 / 5,I love your restaurant......food was delicious.......I will keep coming back!,10/8/12,http://www.pickgrapevine.com/wantmore5/benvenutis,benvenutis
Bodean Seafood,http://www.opentable.com/bodean-seafood?scpref=110&tab=2,4.5,"3376 E 51st Street Tulsa, OK  74135 ",70,Seafood,$31 to $50,Tulsa,http://www.bodean.net,info@bodean.net,(918) 749-1407,5.0 / 5,"Bodeans is known for their seafood, and they didn't disappoint. We bothhad (very) fresh Alaskan salmon, some of the best we've ever had. It was aSunday night; they had a 4 piece jazz band playing in the bar. It was agreat experience all around. Friendly and experienced staff.",7/22/12,http://www.pickgrapevine.com/wantmore5/bodean-seafood,bodean-seafood
Cafe 501 - Classen Curve,http://www.opentable.com/cafe-501-classen-curve?scpref=110&tab=2,4.2,"5825 N.W. Grand Blvd Oklahoma City, OK  73118 ",42,Contemporary American,$30 and under,Oklahoma City,http://www.Cafe501.com,Melissa@Cafe501.com,(405) 844-1501,3.0 / 5,"Usually, our experiences here are outstanding. On our most recent visit, one of the pizzas was prepared with the wrong ingredients, and the other pizza was split into two plates with the pieces separated and presented individually as if for a small child to eat... It was very strange and the server had no explanation. We sent them both back and on the second go-round, one pizza was perfect and the other was short an ingredient. The manager graciously comp'd our meal (without our request). We will go back, however, as our prior experiences were very good.",10/5/12,http://www.pickgrapevine.com/wantmore5/cafe-501-classen-curve,cafe-501-classen-curve
Castle Falls,http://www.opentable.com/castle-falls?scpref=110&tab=2,4.4,"820 N. MacArthur Blvd Oklahoma City, OK  73127 ",43,European,$30 and under,Oklahoma City,http://www.castlefalls.com/restaurant-dining/,amy@castlefalls.com,(405) 942-6133,3.0 / 5,"This was the first time there since they changed the menu. The food was the reason for going. Don't get me wrong, the food was good, but not what I wanted. I used to get the house salad with my meal, now I have to pay for it. I really don't mind paying for the salad because it used to be that good. That is probably the low point of it all. I was so disapointed in that salad. They told me that the German chef was no longer there. I didn't ask why, but if at all possible, they need to get him back and pay him what he is worth. I'm sure it will be a long time before I return. I took a couple with me that hadn't ever been there before. I talked this restaurant up so high. What a let down. Service was awesome.",10/20/12,http://www.pickgrapevine.com/wantmore5/castle-falls,castle-falls
Cheever's Cafe,http://www.opentable.com/cheevers-cafe?scpref=110&tab=2,4.4,"2409 N. Hudson Oklahoma City, OK  73103 ",354,American,$30 and under,Oklahoma City,http://www.cheeverscafe.com,rkpaul@coxinet.net,(405) 525-7007,5.0 / 5,"Full restaurant on a Tuesday, good experience.",10/23/12,http://www.pickgrapevine.com/wantmore5/cheevers-cafe,cheevers-cafe
Chefs di Domani,http://www.opentable.com/chefs-di-domani?scpref=110&tab=2,4.3,"2727 W. Memorial Road Oklahoma City, OK  73134 ",11,Fusion / Eclectic,$30 and under,Oklahoma City,http://www.plattcolleges.edu/restaurants/index.php,smirzaee@plattcollege.org,(405) 749-6798,4.0 / 5,"We went to Chefs di Domani knowing that it was associated with a culinary school. We were prepared for things to be imperfect. The food was better than we expected though the portions were kind of small. The food is what you would get at a fine dining establishment, but the prices are more in the $12-17 dollar range. My only criticism would be associated with the service. The wait staff seemed very inexperienced and nervous. Though the menu is pretty small, our waiter could not tell us much about the offerings. We wrote this off as us having a new student serve us, so it was fine. I will recommend Chefs to my friends and family but will warn them of the potential need to be patient/tolerant.",10/19/12,http://www.pickgrapevine.com/wantmore5/chefs-di-domani,chefs-di-domani
Club One,http://www.opentable.com/club-one?scpref=110&tab=2,3.6,"1 Remington Place Oklahoma City, OK  73112 ",5,American,$30 and under,Oklahoma City,http://www.remingtonpark.com,contact@remingtonpark.com,(405) 425-3280,4.0 / 5,"We loved your set up..having table service even at the seats down close to the track! We go to another track in arkansas with box seats and have to do all our own walking for food, drink, etc..Love that you can order from any food business and get it right at our seats!! We were there on a very stormy night, but I do believe people in your community donot realize what a gem and affordable time you can have at your track and casino!! wished we lived closer..we are 5-6 hours away!!",10/13/12,http://www.pickgrapevine.com/wantmore5/club-one,club-one
